POW_LGA_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
LGA24970,528,136,62,13102,10988,972,568,140,43,12713,10387,1006,565,109,58,12127,8736,815,501,98,46,10208,6107,593,431,98,40,7261,2616,396,272,75,15,3369,792,231,162,68,20,1266,270,119,91,64,19,562,103315,6922,4821,1136,497,116697
LGA25060,357,55,21,4042,3130,540,406,52,16,4148,3103,561,326,55,26,4077,2533,479,319,67,24,3427,1733,350,254,56,18,2412,785,202,180,49,12,1225,229,92,82,28,11,448,84,50,31,13,4,184,33081,3647,3027,548,238,40540
LGA25150,95,31,11,983,690,142,83,27,8,957,707,137,102,28,11,979,655,120,108,36,10,922,434,91,82,46,17,672,187,56,46,37,12,336,49,29,37,36,4,157,28,18,31,31,9,112,7474,986,874,319,99,9746
LGA25250,600,66,25,4543,3042,577,595,80,32,4325,3040,556,495,90,29,4220,2657,477,417,65,33,3647,1874,326,287,60,19,2570,761,179,177,40,17,1183,274,97,95,27,5,501,89,48,45,28,6,211,34407,4086,4851,648,268,44261
LGA25340,583,88,54,5310,4325,875,760,105,74,6132,4387,925,758,139,67,6282,3823,856,667,126,64,5528,2893,705,569,135,69,4374,1275,459,388,91,57,2269,480,283,213,100,27,1105,178,132,136,93,33,575,44901,6236,5607,1103,629,58473
LGA25430,107,14,6,725,640,49,149,10,16,855,663,90,157,17,10,941,668,74,140,23,14,922,560,67,132,26,19,812,239,47,106,23,8,420,44,32,46,25,6,161,17,18,37,16,3,94,5797,525,1064,182,108,7670
LGA25490,91,18,7,575,447,77,131,26,8,692,460,84,135,38,21,735,467,81,175,48,32,798,344,66,149,50,22,629,153,42,149,49,13,404,37,38,76,42,11,206,10,24,65,49,22,167,4329,591,1166,390,165,6639
LGA25620,52,15,9,415,364,50,64,6,4,497,332,84,80,27,9,534,354,70,88,26,12,552,312,71,78,32,11,512,122,39,60,27,5,256,47,33,50,36,4,166,26,16,63,49,8,153,3301,477,653,249,71,4757
LGA25710,205,41,11,1417,1017,302,221,33,8,1583,1028,307,240,22,15,1610,909,291,224,39,11,1482,660,264,175,48,14,1155,301,152,133,40,5,634,105,73,67,26,6,278,60,53,33,15,5,161,10671,2079,1842,315,99,15013
LGA25810,34,6,0,395,361,36,44,7,4,447,415,47,45,23,14,548,379,58,68,10,4,518,342,46,68,30,13,495,141,26,75,20,7,271,42,22,32,24,6,111,21,12,31,24,9,97,3995,341,477,180,86,5082
LGA25900,481,80,32,8774,6114,932,519,61,45,7664,5223,918,469,79,33,6716,3801,782,417,80,33,5103,2548,599,369,73,20,3600,1076,386,259,58,15,1799,407,250,150,44,14,856,170,112,87,38,17,431,66550,6483,4464,678,345,78518
LGA25990,20,10,0,191,164,30,27,24,6,249,165,27,37,14,8,257,169,18,38,17,6,246,129,35,39,27,6,245,65,12,27,23,0,130,20,15,26,23,6,86,5,7,12,24,7,56,1462,203,268,188,34,2158
LGA26080,12,5,3,135,127,17,16,5,6,169,134,20,25,4,0,181,146,26,20,9,0,205,114,18,20,0,3,159,56,22,28,3,4,108,23,9,16,5,0,44,10,8,11,0,0,25,1222,152,157,39,20,1590
LGA26170,130,32,18,1004,815,124,185,43,32,1203,950,124,210,48,24,1359,812,121,259,54,28,1277,749,116,246,65,16,1193,329,85,182,81,29,706,104,58,125,69,14,366,25,30,79,58,18,205,8217,940,1740,511,242,11645
LGA26260,84,27,16,680,562,51,113,20,9,755,616,58,82,28,17,805,597,73,142,40,12,864,483,58,142,57,15,750,225,53,112,61,19,468,66,15,73,47,11,212,14,16,42,47,14,136,5704,474,964,389,148,7685
LGA26350,428,72,14,5259,3796,761,436,75,22,5096,3624,823,444,98,23,5012,2899,676,424,90,27,4117,2100,509,362,68,21,3058,1124,343,232,76,12,1781,435,280,197,75,6,998,148,177,135,66,27,550,50037,5659,4029,812,253,60787
LGA26430,35,12,13,327,252,47,36,15,4,358,277,36,51,15,5,385,285,45,73,24,7,429,267,47,69,35,4,423,159,35,65,62,7,321,44,21,53,48,4,174,14,11,52,53,5,137,2842,348,516,277,68,4045
LGA26490,197,35,9,1180,750,214,180,39,13,1199,670,192,193,29,10,1085,607,192,174,38,10,1023,504,139,163,46,12,859,207,76,105,41,4,434,65,49,75,34,3,218,30,16,36,38,4,125,8340,1440,1551,360,90,11779
LGA26610,65,21,14,969,656,81,78,33,17,857,740,90,68,41,13,952,770,110,95,49,20,1036,624,89,74,47,18,856,259,64,57,38,16,438,61,24,34,32,9,160,19,14,21,33,7,106,8132,785,670,369,175,10132
LGA26670,22,13,3,171,125,25,21,11,3,190,145,32,48,6,0,233,162,32,42,23,0,260,156,32,57,18,7,265,62,24,66,26,10,175,21,17,48,29,4,118,6,14,38,25,14,96,1433,205,404,168,46,2256
LGA26700,117,21,6,1288,1173,105,105,33,11,1421,1185,141,118,41,28,1506,1120,124,123,38,14,1425,920,123,145,37,16,1251,382,81,98,49,14,630,85,37,89,42,6,266,23,17,64,46,16,170,11003,942,1088,363,159,13560
LGA26730,128,16,10,1709,1478,119,140,14,11,1765,1520,171,135,22,15,1864,1411,125,105,18,23,1673,1094,100,135,20,14,1366,432,39,86,15,4,577,109,23,49,17,12,210,39,14,16,11,8,85,15125,902,1133,179,155,17487
LGA26810,174,31,23,1673,1366,125,191,34,28,1739,1451,148,178,31,29,1840,1354,128,196,49,28,1762,1165,90,236,78,40,1607,461,79,162,66,20,796,122,34,116,60,13,341,45,25,77,54,23,224,14266,971,1767,485,265,17756
LGA26890,29,9,5,135,98,14,20,15,3,146,104,19,48,22,6,198,104,13,63,32,4,224,80,12,73,31,5,195,39,15,43,36,0,137,13,8,27,28,4,78,6,6,30,27,5,64,921,139,416,238,39,1754
LGA26980,440,121,31,7718,6433,803,509,129,33,7906,6332,760,561,98,35,7786,5520,688,458,79,42,6777,3992,457,398,72,34,4950,1724,309,241,44,14,2337,554,168,143,53,9,938,229,86,98,40,14,464,63739,5451,4223,923,316,74657
LGA27070,578,95,60,7486,5753,735,502,77,48,7117,5313,739,429,82,42,6612,4486,607,377,80,45,5607,3089,463,316,62,36,3971,1283,259,150,39,17,1758,298,110,70,27,12,513,111,74,36,20,13,255,58882,5483,4300,795,465,69926
LGA27170,93,13,9,2148,1850,139,126,13,14,2137,1886,154,122,16,13,2188,1617,129,112,18,16,1893,1232,95,130,19,8,1483,499,48,73,18,11,663,117,30,37,20,3,201,40,23,26,19,13,119,18787,1018,1056,173,136,21166
LGA27260,804,180,59,10277,7304,817,585,120,41,8879,6533,689,447,91,43,7798,5338,570,379,95,32,6418,3514,375,256,77,29,4251,1296,199,139,40,15,1689,298,90,55,21,8,474,73,49,31,14,14,188,74602,6273,5066,1085,522,87535
LGA27350,524,64,39,10183,7080,853,477,68,40,8521,5926,827,484,59,28,7324,4447,629,417,49,23,5559,3114,439,332,62,19,3962,1440,314,229,54,12,2055,470,177,146,42,8,844,159,105,101,43,18,419,82946,6067,4597,614,363,94588
LGA27450,526,88,24,4352,3386,622,569,87,31,4687,3378,700,564,95,37,4781,3050,563,590,126,36,4364,2308,485,444,118,35,3385,937,288,324,107,15,1675,324,169,163,93,16,773,117,58,90,65,10,348,34988,4406,4676,960,294,45331
LGA27630,13,5,3,183,148,30,34,8,0,217,166,36,31,23,3,263,202,39,50,26,6,322,213,47,57,26,8,342,85,20,23,15,3,156,13,9,28,21,0,61,9,7,26,30,7,76,1759,276,318,179,46,2576
LGA29399,9,5,0,122,109,11,15,0,0,138,83,23,9,3,5,124,105,16,11,0,0,133,89,10,13,3,0,117,59,0,8,9,0,75,16,3,4,3,0,32,3,0,0,7,0,14,2187,97,90,38,12,2422
LGA29499,3872,230,213,13467,6693,2195,4220,215,204,13522,6267,2248,4507,232,263,13516,5443,1834,4211,240,250,11974,4164,1383,3707,226,262,9740,1906,795,2019,214,139,5077,707,340,872,163,78,2149,326,189,453,240,86,1298,79049,16470,37324,2452,2182,137478
LGA29799,0,0,0,24,36,0,0,0,0,36,34,0,0,0,0,35,34,0,0,0,0,35,12,0,0,0,0,18,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,194
