POW_LGA_CODE_2021,Pvte_1250_1499_Mng,Pvte_1250_1499_Pro,Pvte_1250_1499_TecTW,Pvte_1250_1499_CoPSW,Pvte_1250_1499_ClAW,Pvte_1250_1499_SWks,Pvte_1250_1499_MaOpDv,Pvte_1250_1499_Lab,Pvte_1250_1499_IDNS,Pvte_1250_1499_Tot,Pvte_1500_1749_Mng,Pvte_1500_1749_Pro,Pvte_1500_1749_TecTW,Pvte_1500_1749_CoPSW,Pvte_1500_1749_ClAW,Pvte_1500_1749_SWks,Pvte_1500_1749_MaOpDv,Pvte_1500_1749_Lab,Pvte_1500_1749_IDNS,Pvte_1500_1749_Tot,Pvte_1750_1999_Mng,Pvte_1750_1999_Pro,Pvte_1750_1999_TecTW,Pvte_1750_1999_CoPSW,Pvte_1750_1999_ClAW,Pvte_1750_1999_SWks,Pvte_1750_1999_MaOpDv,Pvte_1750_1999_Lab,Pvte_1750_1999_IDNS,Pvte_1750_1999_Tot,Pvte_2000_2999_Mng,Pvte_2000_2999_Pro,Pvte_2000_2999_TecTW,Pvte_2000_2999_CoPSW,Pvte_2000_2999_ClAW,Pvte_2000_2999_SWks,Pvte_2000_2999_MaOpDv,Pvte_2000_2999_Lab,Pvte_2000_2999_IDNS,Pvte_2000_2999_Tot,Pvte_3000_3499_Mng,Pvte_3000_3499_Pro,Pvte_3000_3499_TecTW,Pvte_3000_3499_CoPSW,Pvte_3000_3499_ClAW,Pvte_3000_3499_SWks,Pvte_3000_3499_MaOpDv,Pvte_3000_3499_Lab,Pvte_3000_3499_IDNS,Pvte_3000_3499_Tot,Pvte_3500mo_Mng,Pvte_3500mo_Pro,Pvte_3500mo_TecTW,Pvte_3500mo_CoPSW,Pvte_3500mo_ClAW,Pvte_3500mo_SWks,Pvte_3500mo_MaOpDv,Pvte_3500mo_Lab,Pvte_3500mo_IDNS,Pvte_3500mo_Tot,Pvte_PINS_Mng,Pvte_PINS_Pro,Pvte_PINS_TecTW,Pvte_PINS_CoPSW,Pvte_PINS_ClAW,Pvte_PINS_SWks,Pvte_PINS_MaOpDv,Pvte_PINS_Lab,Pvte_PINS_IDNS,Pvte_PINS_Tot,Pvte_Tot_Mng,Pvte_Tot_Pro,Pvte_Tot_TecTW,Pvte_Tot_CoPSW,Pvte_Tot_ClAW,Pvte_Tot_SWks,Pvte_Tot_MaOpDv,Pvte_Tot_Lab,Pvte_Tot_IDNS,Pvte_Tot_Tot,NS_NNI_Mng,NS_NNI_Pro,NS_NNI_TecTW,NS_NNI_CoPSW,NS_NNI_ClAW,NS_NNI_SWks,NS_NNI_MaOpDv,NS_NNI_Lab,NS_NNI_IDNS,NS_NNI_Tot,NS_1_149_Mng,NS_1_149_Pro,NS_1_149_TecTW,NS_1_149_CoPSW,NS_1_149_ClAW,NS_1_149_SWks,NS_1_149_MaOpDv,NS_1_149_Lab,NS_1_149_IDNS,NS_1_149_Tot,NS_150_299_Mng,NS_150_299_Pro,NS_150_299_TecTW,NS_150_299_CoPSW,NS_150_299_ClAW,NS_150_299_SWks,NS_150_299_MaOpDv,NS_150_299_Lab,NS_150_299_IDNS,NS_150_299_Tot,NS_300_399_Mng,NS_300_399_Pro,NS_300_399_TecTW,NS_300_399_CoPSW,NS_300_399_ClAW,NS_300_399_SWks,NS_300_399_MaOpDv,NS_300_399_Lab,NS_300_399_IDNS,NS_300_399_Tot,NS_400_499_Mng,NS_400_499_Pro,NS_400_499_TecTW,NS_400_499_CoPSW,NS_400_499_ClAW,NS_400_499_SWks,NS_400_499_MaOpDv,NS_400_499_Lab,NS_400_499_IDNS,NS_400_499_Tot,NS_500_649_Mng,NS_500_649_Pro,NS_500_649_TecTW,NS_500_649_CoPSW,NS_500_649_ClAW,NS_500_649_SWks,NS_500_649_MaOpDv,NS_500_649_Lab,NS_500_649_IDNS,NS_500_649_Tot,NS_650_799_Mng,NS_650_799_Pro,NS_650_799_TecTW,NS_650_799_CoPSW,NS_650_799_ClAW,NS_650_799_SWks,NS_650_799_MaOpDv,NS_650_799_Lab,NS_650_799_IDNS,NS_650_799_Tot,NS_800_999_Mng,NS_800_999_Pro,NS_800_999_TecTW,NS_800_999_CoPSW,NS_800_999_ClAW,NS_800_999_SWks,NS_800_999_MaOpDv,NS_800_999_Lab,NS_800_999_IDNS,NS_800_999_Tot,NS_1000_1249_Mng,NS_1000_1249_Pro,NS_1000_1249_TecTW,NS_1000_1249_CoPSW,NS_1000_1249_ClAW,NS_1000_1249_SWks,NS_1000_1249_MaOpDv,NS_1000_1249_Lab,NS_1000_1249_IDNS,NS_1000_1249_Tot,NS_1250_1499_Mng,NS_1250_1499_Pro,NS_1250_1499_TecTW,NS_1250_1499_CoPSW,NS_1250_1499_ClAW,NS_1250_1499_SWks,NS_1250_1499_MaOpDv,NS_1250_1499_Lab,NS_1250_1499_IDNS,NS_1250_1499_Tot,NS_1500_1749_Mng,NS_1500_1749_Pro,NS_1500_1749_TecTW,NS_1500_1749_CoPSW,NS_1500_1749_ClAW,NS_1500_1749_SWks,NS_1500_1749_MaOpDv,NS_1500_1749_Lab,NS_1500_1749_IDNS,NS_1500_1749_Tot,NS_1750_1999_Mng,NS_1750_1999_Pro,NS_1750_1999_TecTW,NS_1750_1999_CoPSW,NS_1750_1999_ClAW,NS_1750_1999_SWks,NS_1750_1999_MaOpDv,NS_1750_1999_Lab,NS_1750_1999_IDNS,NS_1750_1999_Tot
LGA21270,72,24,29,9,17,6,32,22,5,201,57,15,12,5,17,5,12,6,0,130,53,21,9,0,0,4,12,10,0,99,49,14,15,0,4,4,4,3,4,100,12,0,3,0,0,4,0,0,0,21,28,11,0,0,0,0,4,0,0,45,19,0,0,0,3,0,4,3,3,39,758,177,228,126,169,157,159,311,20,2091,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0
LGA21370,254,241,205,115,123,68,138,151,5,1304,266,229,158,68,86,45,128,109,13,1095,147,173,84,27,34,31,75,68,10,645,288,242,132,19,49,31,54,71,3,881,67,45,28,3,3,9,5,10,0,164,135,81,25,9,7,15,5,12,5,288,39,8,27,11,12,7,20,27,9,159,2646,1651,2080,1553,1280,1551,1019,2168,125,14073,9,0,0,0,0,0,0,0,20,26,0,0,0,0,0,0,0,0,13,17,0,0,0,0,0,0,0,4,15,15,4,0,0,0,0,0,4,0,12,29,0,0,0,0,0,3,0,4,8,16,0,0,3,0,0,0,4,4,16,26,5,0,3,0,0,0,0,0,16,26,6,0,0,0,0,3,0,7,16,29,0,0,0,0,0,0,5,0,6,18,3,0,3,0,0,0,0,5,3,10,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,7
LGA21450,398,545,586,165,322,150,278,242,30,2716,361,465,514,88,187,117,217,156,21,2125,287,338,316,50,114,65,108,86,19,1372,494,491,415,27,128,72,88,63,13,1796,147,96,64,14,29,19,24,13,5,405,230,198,72,11,31,21,21,11,9,608,45,25,73,18,21,33,20,30,20,278,3612,3560,5125,3384,2952,3276,2052,3872,318,28162,0,0,0,0,0,0,0,0,10,14,0,0,0,5,3,0,0,3,10,24,0,0,0,0,0,0,0,0,12,21,3,0,3,0,0,0,0,4,8,22,0,0,0,9,0,0,0,0,11,19,0,0,10,3,0,0,0,0,15,32,0,5,6,3,3,3,0,8,20,54,4,0,11,0,3,0,3,8,31,61,0,6,9,7,7,0,11,8,26,58,3,8,7,0,6,0,0,0,8,30,0,0,0,0,0,0,5,0,16,26,0,0,0,0,0,0,0,0,8,18
LGA21610,925,1747,1359,485,912,434,596,471,98,7036,883,1709,1044,284,547,291,377,295,58,5489,656,1257,608,129,265,172,179,189,35,3494,1237,1803,725,128,327,248,158,205,40,4882,356,345,97,20,50,60,26,49,4,995,533,608,110,32,68,88,33,18,20,1510,66,63,119,88,56,90,50,70,72,668,8101,11968,10720,9578,7850,10115,5133,8375,880,72729,0,5,0,3,0,0,0,0,32,41,0,0,0,0,5,0,0,4,14,22,3,3,0,8,7,0,4,5,17,44,0,4,0,6,4,3,3,6,24,56,0,3,3,10,4,0,3,6,29,62,4,5,11,5,0,3,7,16,36,84,8,0,8,13,5,5,13,20,57,126,3,14,16,10,4,10,34,12,77,173,5,9,20,15,8,3,13,15,62,155,4,7,25,10,0,5,8,8,34,98,5,13,7,0,3,3,6,3,29,66,0,5,15,3,0,0,4,0,12,37
LGA21670,58,43,50,32,31,14,45,24,6,300,45,69,34,15,17,7,20,16,0,233,28,46,8,5,8,5,7,4,0,103,39,58,23,3,10,3,12,4,0,150,12,7,4,3,3,0,0,0,0,35,14,23,9,0,0,5,0,0,0,54,10,0,6,6,3,7,4,8,0,49,515,439,560,499,335,473,275,598,35,3718,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,3,0,0,3,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,4,0,8,8,3,0,0,0,0,0,0,5,5,13,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
LGA21750,169,151,151,81,66,29,133,138,12,938,133,135,93,46,50,21,89,59,5,635,91,95,79,24,17,16,35,29,3,387,184,155,93,19,31,15,20,8,6,537,45,31,13,4,3,0,0,5,0,102,73,47,16,4,6,7,0,0,0,158,19,8,19,7,3,10,11,15,3,94,1613,1084,1317,1050,753,867,717,1932,77,9406,0,0,3,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,6,9,6,0,0,0,0,0,0,3,6,15,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,3,7,3,0,0,0,0,0,0,3,4,12,0,0,4,0,3,0,3,5,8,27,0,0,0,0,0,0,0,3,10,15,6,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,4,3
LGA21830,193,56,64,28,32,21,90,87,3,578,176,80,55,21,28,17,69,40,0,492,109,48,35,13,12,3,45,51,6,320,168,68,74,12,13,8,37,37,3,429,55,16,23,0,3,0,4,8,0,102,135,30,52,3,0,3,0,9,0,243,64,4,10,3,11,11,13,17,6,138,1946,503,811,515,394,459,568,1052,59,6289,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,5,9,20,5,0,0,0,0,0,0,0,6,18,3,0,0,0,0,0,0,3,7,15,4,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0
LGA21890,657,1238,717,491,529,290,279,181,60,4452,641,1174,587,284,338,192,152,138,32,3543,510,876,362,119,191,128,88,70,21,2368,1069,1301,463,110,178,177,103,71,34,3507,337,301,75,14,66,40,12,3,10,858,569,517,53,13,61,58,9,20,19,1316,50,70,67,46,29,46,12,29,22,381,5955,8963,6038,6427,4649,5387,2837,3693,497,44445,0,0,5,0,0,0,0,0,22,25,0,0,0,0,0,0,0,3,4,9,0,3,0,0,0,0,0,0,13,21,0,0,0,0,3,0,0,0,22,35,0,0,0,13,0,0,0,4,11,35,0,0,5,12,6,6,4,3,32,69,4,0,8,7,3,0,7,9,36,64,0,3,10,7,5,0,5,11,28,73,0,4,5,10,4,6,0,7,37,78,3,6,8,3,10,0,4,0,26,59,0,10,4,0,0,0,5,0,19,45,0,5,4,0,0,0,4,3,12,25
LGA22110,227,239,225,102,112,65,135,130,19,1252,226,207,173,68,67,43,93,68,0,945,132,168,67,18,38,23,53,28,3,538,225,227,84,15,41,26,27,27,7,672,66,42,17,0,15,5,4,5,0,162,98,80,14,5,8,16,7,3,3,228,42,13,27,14,12,15,9,34,9,176,2369,1686,2096,1783,1414,1630,988,2166,154,14278,3,0,0,0,0,0,0,0,14,21,0,0,0,6,0,0,0,3,11,25,8,0,0,0,0,0,0,0,8,21,0,0,3,0,3,0,0,6,17,28,0,0,0,0,0,0,0,6,8,21,5,0,3,9,4,0,0,11,21,44,3,0,0,0,0,3,0,3,15,30,4,4,3,0,3,0,0,0,20,45,5,4,5,0,0,0,0,6,24,41,4,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,11,6,4,0,0,0,0,4,0,9,16
LGA22170,610,932,937,362,542,261,282,276,51,4247,614,888,707,197,323,189,183,187,41,3328,453,640,434,92,204,108,104,115,26,2185,838,880,468,73,173,144,127,112,32,2842,248,155,64,14,41,33,19,15,4,595,383,424,63,16,58,36,11,19,16,1019,49,43,96,48,47,51,27,46,31,440,5189,6350,6848,5439,5033,5427,2456,4704,500,41949,0,3,0,0,0,0,0,0,27,33,0,0,0,0,0,4,0,4,10,18,0,0,0,3,3,3,0,0,12,18,0,0,0,0,0,6,0,0,15,25,0,0,3,4,6,0,0,4,10,33,0,0,3,6,3,0,5,5,20,42,0,0,5,9,4,0,8,6,30,61,0,7,8,3,5,0,8,15,56,104,3,11,12,7,11,3,3,5,14,62,0,9,8,4,0,0,0,5,18,45,0,3,0,4,6,0,0,0,17,30,0,3,5,0,4,0,0,0,7,18
