POW_LGA_CODE_2021,F_SthAfrica_ES_NS,F_SthAfrica_Tot,F_SriLanka_E,F_SriLanka_OM_IE,F_SriLanka_OM_UIE,F_SriLanka_CFW,F_SriLanka_ES_NS,F_SriLanka_Tot,F_Taiwan_E,F_Taiwan_OM_IE,F_Taiwan_OM_UIE,F_Taiwan_CFW,F_Taiwan_ES_NS,F_Taiwan_Tot,F_Thailand_E,F_Thailand_OM_IE,F_Thailand_OM_UIE,F_Thailand_CFW,F_Thailand_ES_NS,F_Thailand_Tot,F_UK_E,F_UK_OM_IE,F_UK_OM_UIE,F_UK_CFW,F_UK_ES_NS,F_UK_Tot,F_USA_E,F_USA_OM_IE,F_USA_OM_UIE,F_USA_CFW,F_USA_ES_NS,F_USA_Tot,F_Vietnam_E,F_Vietnam_OM_IE,F_Vietnam_OM_UIE,F_Vietnam_CFW,F_Vietnam_ES_NS,F_Vietnam_Tot,F_Elsewhere_E,F_Elsewhere_OM_IE,F_Elsewhere_OM_UIE,F_Elsewhere_CFW,F_Elsewhere_ES_NS,F_Elsewhere_Tot,F_COB_NS_E,F_COB_NS_OM_IE,F_COB_NS_OM_UIE,F_COB_NS_CFW,F_COB_NS_ES_NS,F_COB_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_Australia_E,P_Australia_OM_IE,P_Australia_OM_UIE,P_Australia_CFW,P_Australia_ES_NS,P_Australia_Tot,P_Afghanistan_E,P_Afghanistan_OM_IE,P_Afghanistan_OM_UIE,P_Afghanistan_CFW,P_Afghanistan_ES_NS,P_Afghanistan_Tot,P_Bangladesh_E,P_Bangladesh_OM_IE,P_Bangladesh_OM_UIE,P_Bangladesh_CFW,P_Bangladesh_ES_NS,P_Bangladesh_Tot,P_Canada_E,P_Canada_OM_IE,P_Canada_OM_UIE,P_Canada_CFW,P_Canada_ES_NS,P_Canada_Tot,P_China_E,P_China_OM_IE,P_China_OM_UIE,P_China_CFW,P_China_ES_NS,P_China_Tot,P_Croatia_E,P_Croatia_OM_IE,P_Croatia_OM_UIE,P_Croatia_CFW,P_Croatia_ES_NS,P_Croatia_Tot,P_Egypt_E,P_Egypt_OM_IE,P_Egypt_OM_UIE,P_Egypt_CFW,P_Egypt_ES_NS,P_Egypt_Tot,P_Fiji_E,P_Fiji_OM_IE,P_Fiji_OM_UIE,P_Fiji_CFW,P_Fiji_ES_NS,P_Fiji_Tot,P_Germany_E,P_Germany_OM_IE,P_Germany_OM_UIE,P_Germany_CFW,P_Germany_ES_NS,P_Germany_Tot,P_Greece_E,P_Greece_OM_IE,P_Greece_OM_UIE,P_Greece_CFW,P_Greece_ES_NS,P_Greece_Tot,P_HongKong_E,P_HongKong_OM_IE,P_HongKong_OM_UIE,P_HongKong_CFW,P_HongKong_ES_NS,P_HongKong_Tot,P_India_E,P_India_OM_IE,P_India_OM_UIE,P_India_CFW,P_India_ES_NS,P_India_Tot,P_Indonesia_E,P_Indonesia_OM_IE,P_Indonesia_OM_UIE,P_Indonesia_CFW,P_Indonesia_ES_NS,P_Indonesia_Tot,P_Iran_E,P_Iran_OM_IE,P_Iran_OM_UIE,P_Iran_CFW,P_Iran_ES_NS,P_Iran_Tot,P_Iraq_E,P_Iraq_OM_IE,P_Iraq_OM_UIE,P_Iraq_CFW,P_Iraq_ES_NS,P_Iraq_Tot,P_Ireland_E,P_Ireland_OM_IE,P_Ireland_OM_UIE,P_Ireland_CFW,P_Ireland_ES_NS,P_Ireland_Tot,P_Italy_E,P_Italy_OM_IE,P_Italy_OM_UIE,P_Italy_CFW,P_Italy_ES_NS,P_Italy_Tot,P_Japan_E,P_Japan_OM_IE,P_Japan_OM_UIE,P_Japan_CFW,P_Japan_ES_NS,P_Japan_Tot,P_KoreaSouth_E,P_KoreaSouth_OM_IE,P_KoreaSouth_OM_UIE,P_KoreaSouth_CFW,P_KoreaSouth_ES_NS,P_KoreaSouth_Tot,P_Lebanon_E,P_Lebanon_OM_IE,P_Lebanon_OM_UIE,P_Lebanon_CFW,P_Lebanon_ES_NS,P_Lebanon_Tot,P_Malaysia_E,P_Malaysia_OM_IE,P_Malaysia_OM_UIE,P_Malaysia_CFW,P_Malaysia_ES_NS,P_Malaysia_Tot,P_Nepal_E,P_Nepal_OM_IE,P_Nepal_OM_UIE,P_Nepal_CFW,P_Nepal_ES_NS,P_Nepal_Tot,P_Netherlands_E,P_Netherlands_OM_IE,P_Netherlands_OM_UIE,P_Netherlands_CFW,P_Netherlands_ES_NS,P_Netherlands_Tot,P_NZ_E,P_NZ_OM_IE,P_NZ_OM_UIE,P_NZ_CFW,P_NZ_ES_NS,P_NZ_Tot
LGA21270,0,4,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,14,0,0,0,0,15,4,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,6,8,0,5,5,0,18,882,78,90,86,17,1153,1530,290,267,232,44,2357,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,13,0,0,0,0,13,3,0,0,0,0,7,17,0,5,0,0,18
LGA21370,0,19,17,0,0,0,0,21,14,0,0,0,0,14,9,0,0,0,0,13,123,0,3,10,0,139,10,0,0,0,0,10,17,0,5,0,0,23,53,6,4,0,0,66,90,12,9,3,13,129,6924,409,574,258,107,8268,11504,1127,1373,469,209,14677,3,0,0,0,0,9,10,0,0,0,0,10,16,0,0,0,0,19,23,7,4,6,0,34,0,0,0,0,0,0,9,3,0,0,0,11,12,0,0,0,0,12,15,0,0,0,0,19,4,3,0,0,0,7,5,0,6,0,0,11,130,11,3,0,3,142,4,4,0,0,0,4,7,0,0,0,0,6,3,0,0,0,0,3,21,3,3,0,0,27,17,0,4,0,0,27,4,0,0,0,0,4,6,0,0,0,0,9,0,0,0,0,0,0,38,0,4,0,0,40,29,0,0,0,0,30,15,0,7,0,0,25,172,17,16,8,7,219
LGA21450,0,106,285,30,18,5,0,343,42,0,3,0,5,48,47,12,15,0,0,70,501,38,65,17,10,638,35,0,7,0,0,39,74,7,13,0,0,93,516,36,64,10,6,623,75,5,0,3,4,84,13121,937,1236,354,111,15752,18083,2194,2002,465,184,22935,109,28,25,4,6,177,38,15,4,0,0,56,37,4,5,0,0,52,270,54,30,22,8,379,20,5,7,5,3,38,55,13,11,5,0,85,66,11,7,0,0,87,44,4,10,0,0,70,16,3,4,0,0,31,24,6,8,0,0,39,1254,185,161,27,7,1647,50,9,7,0,6,65,36,4,9,0,0,46,10,3,3,0,0,17,46,5,10,0,0,60,58,15,9,7,0,88,20,0,3,0,0,28,29,3,4,0,3,43,21,7,4,0,0,30,152,27,4,5,3,188,31,3,0,0,0,34,47,15,17,10,0,91,505,58,63,14,0,638
LGA21610,0,355,1429,131,232,49,8,1844,51,0,0,3,0,56,171,10,27,5,0,210,1317,78,90,17,3,1509,97,4,6,0,0,109,369,21,39,11,7,442,2395,178,197,59,19,2855,117,11,11,10,5,153,38111,1893,2678,668,186,43535,40802,3313,3172,517,192,47996,1118,316,343,56,38,1866,119,37,23,4,3,187,87,4,12,0,0,104,1178,279,170,83,14,1729,119,42,36,9,0,199,232,28,33,12,0,304,394,46,24,13,4,480,135,14,18,3,0,176,95,17,23,0,0,140,150,32,23,7,0,206,5766,1068,774,117,45,7771,194,17,13,4,0,233,221,26,48,6,3,299,80,26,13,0,4,127,158,22,27,4,0,212,161,55,28,9,0,253,42,0,4,0,0,53,158,20,34,7,0,227,99,28,29,8,0,163,608,57,86,15,5,765,142,4,4,3,0,156,94,24,16,5,3,146,1490,107,117,20,9,1738
LGA21670,0,6,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,37,6,10,0,0,53,5,0,0,0,0,5,5,0,0,0,0,4,20,5,0,0,0,21,27,0,3,0,4,38,2076,85,137,48,34,2378,3225,247,303,106,67,3949,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,6,5,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,3,6,6,0,0,0,8,0,0,0,0,0,3,3,0,0,0,0,3,45,8,0,0,0,54,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,10,28,0,0,0,0,28,3,0,0,0,0,3,39,0,3,0,0,43
LGA21750,0,6,12,0,4,0,0,15,61,0,0,0,0,67,9,0,0,0,0,7,71,8,4,0,0,92,4,0,0,0,0,8,0,0,0,0,0,4,59,3,8,0,0,79,54,0,4,5,6,71,4201,216,397,152,54,5022,7135,590,900,272,108,9003,17,0,0,0,0,17,13,0,0,0,0,9,5,0,0,0,0,8,103,13,5,6,0,129,4,0,0,0,0,3,4,0,0,0,0,5,7,0,0,0,0,9,15,0,12,0,0,24,0,0,3,0,0,3,9,0,4,0,0,15,90,7,3,0,0,101,16,0,0,0,0,20,4,0,0,0,0,4,3,0,0,0,0,3,13,7,0,0,0,16,4,0,0,0,0,9,8,0,0,0,0,14,18,0,0,0,0,18,0,0,0,0,0,0,26,0,0,0,0,26,18,0,0,0,0,24,13,7,4,4,0,24,122,12,7,5,3,149
LGA21830,0,5,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,40,4,16,3,3,66,0,0,0,0,0,0,3,0,0,0,0,4,35,6,5,0,0,43,46,0,9,4,5,66,2511,191,385,180,71,3340,4527,564,935,339,163,6534,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,3,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,9,0,0,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,7,0,0,0,0,10,4,0,0,0,0,4,0,0,0,0,0,0,20,3,0,0,0,25,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,14,8,6,4,7,0,23,137,19,29,11,3,201
LGA21890,0,115,297,8,10,0,0,319,62,3,0,0,5,72,125,14,12,0,0,149,552,35,74,9,0,667,129,9,24,3,0,164,608,42,53,17,4,718,1579,75,113,19,10,1798,84,10,4,0,5,100,24303,1157,2011,298,119,27883,28337,2465,2843,305,155,34112,59,7,6,0,0,75,121,14,10,0,0,148,135,14,20,0,0,172,1375,252,148,79,16,1871,72,3,3,3,0,82,104,13,8,4,4,135,125,7,11,0,0,140,139,10,30,4,0,180,372,56,74,18,6,519,151,15,22,0,0,190,2300,174,141,29,25,2672,187,13,15,6,0,220,207,33,33,6,0,274,168,23,27,0,6,223,156,20,14,5,0,193,493,101,78,19,12,706,116,9,20,5,0,147,120,9,18,0,0,149,216,62,53,5,12,343,412,20,35,3,0,474,619,13,12,0,0,639,61,0,5,0,0,66,848,66,112,13,0,1041
LGA22110,0,40,8,0,0,0,0,8,13,0,0,0,0,13,33,0,3,3,0,35,252,16,21,11,3,306,19,0,3,0,0,23,31,0,4,3,0,44,108,11,11,5,10,137,115,7,14,7,12,150,7717,376,667,279,140,9185,12056,1033,1461,506,262,15316,0,0,0,0,0,0,6,4,0,0,0,5,30,6,3,0,0,40,48,10,4,7,0,70,0,0,0,0,0,0,4,4,0,0,0,6,15,0,0,0,0,17,37,4,14,5,0,59,0,0,4,0,0,8,11,0,0,4,0,13,116,11,11,0,3,142,15,0,0,0,0,17,9,0,0,0,0,11,3,0,0,0,0,9,10,0,0,0,0,18,14,3,0,0,3,22,6,0,0,0,0,6,10,0,0,0,0,15,0,0,0,0,0,0,51,4,9,3,0,64,21,0,0,0,0,21,24,0,7,4,0,41,166,9,22,8,5,211
LGA22170,0,270,325,8,13,5,0,345,29,0,0,0,0,33,110,9,14,3,0,136,1390,74,113,22,6,1609,96,7,8,0,6,111,205,8,25,9,0,251,1090,53,89,21,10,1267,84,0,7,0,4,103,25130,1100,1579,326,119,28247,30824,2847,2532,352,174,36728,185,25,16,0,0,229,24,7,0,0,0,35,94,11,9,0,0,113,504,122,66,52,5,740,44,11,8,5,0,64,91,19,7,3,0,123,163,8,4,4,0,177,142,26,24,8,0,198,69,15,16,3,0,101,90,10,4,8,0,113,2043,118,79,25,18,2286,114,6,5,0,0,125,93,9,11,3,0,117,47,4,0,0,0,55,153,28,10,0,0,191,80,24,11,10,0,117,40,6,3,0,0,49,60,0,0,0,0,68,38,18,17,6,0,83,268,20,24,3,7,316,99,0,0,0,3,104,76,20,6,5,0,118,966,84,89,17,4,1162
LGA22250,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,22,3,6,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,14,23,0,4,5,3,33,1422,112,177,105,31,1835,2463,350,430,220,67,3532,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,10,6,0,0,0,16,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,28,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,7,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,9,0,0,0,0,9,4,0,0,0,0,6,19,0,4,0,0,23
LGA22310,0,651,286,14,11,4,0,322,43,3,3,4,0,55,143,9,15,0,0,162,620,44,77,16,4,755,162,7,31,0,0,197,256,29,32,10,8,345,1553,157,271,52,16,2046,44,0,3,5,0,59,18846,1417,2139,399,103,22909,18168,2398,2432,338,86,23426,99,16,20,0,8,141,67,3,0,0,0,72,103,18,18,3,0,137,1140,346,158,124,11,1780,36,5,12,0,0,52,42,13,8,3,0,64,82,10,0,0,0,93,115,28,34,5,0,183,159,23,36,3,0,219,169,17,26,0,0,218,2105,196,141,27,13,2478,174,18,17,0,0,203,96,21,17,0,5,132,22,3,0,0,0,28,183,20,22,0,0,234,128,15,31,0,0,180,137,5,25,0,0,180,192,26,36,6,0,263,46,14,8,0,0,71,397,48,40,13,4,502,379,10,4,0,0,390,58,7,5,0,0,69,588,70,72,3,4,736
