POW_LGA_CODE_2021,Pro_300_399_H_0,Pro_300_399_H_1_19,Pro_300_399_H_20_29,Pro_300_399_H_30_34,Pro_300_399_H_35_39,Pro_300_399_H_40_44,Pro_300_399_H_45_49,Pro_300_399_H_50ov,Pro_300_399_H_NS,Pro_300_399_H_Tot,Pro_400_499_H_0,Pro_400_499_H_1_19,Pro_400_499_H_20_29,Pro_400_499_H_30_34,Pro_400_499_H_35_39,Pro_400_499_H_40_44,Pro_400_499_H_45_49,Pro_400_499_H_50ov,Pro_400_499_H_NS,Pro_400_499_H_Tot,Pro_500_649_H_0,Pro_500_649_H_1_19,Pro_500_649_H_20_29,Pro_500_649_H_30_34,Pro_500_649_H_35_39,Pro_500_649_H_40_44,Pro_500_649_H_45_49,Pro_500_649_H_50ov,Pro_500_649_H_NS,Pro_500_649_H_Tot,Pro_650_799_H_0,Pro_650_799_H_1_19,Pro_650_799_H_20_29,Pro_650_799_H_30_34,Pro_650_799_H_35_39,Pro_650_799_H_40_44,Pro_650_799_H_45_49,Pro_650_799_H_50ov,Pro_650_799_H_NS,Pro_650_799_H_Tot,Pro_800_999_H_0,Pro_800_999_H_1_19,Pro_800_999_H_20_29,Pro_800_999_H_30_34,Pro_800_999_H_35_39,Pro_800_999_H_40_44,Pro_800_999_H_45_49,Pro_800_999_H_50ov,Pro_800_999_H_NS,Pro_800_999_H_Tot,Pro_1000_1249_H_0,Pro_1000_1249_H_1_19,Pro_1000_1249_H_20_29,Pro_1000_1249_H_30_34,Pro_1000_1249_H_35_39,Pro_1000_1249_H_40_44,Pro_1000_1249_H_45_49,Pro_1000_1249_H_50ov,Pro_1000_1249_H_NS,Pro_1000_1249_H_Tot,Pro_1250_1499_H_0,Pro_1250_1499_H_1_19,Pro_1250_1499_H_20_29,Pro_1250_1499_H_30_34,Pro_1250_1499_H_35_39,Pro_1250_1499_H_40_44,Pro_1250_1499_H_45_49,Pro_1250_1499_H_50ov,Pro_1250_1499_H_NS,Pro_1250_1499_H_Tot,Pro_1500_1749_H_0,Pro_1500_1749_H_1_19,Pro_1500_1749_H_20_29,Pro_1500_1749_H_30_34,Pro_1500_1749_H_35_39,Pro_1500_1749_H_40_44,Pro_1500_1749_H_45_49,Pro_1500_1749_H_50ov,Pro_1500_1749_H_NS,Pro_1500_1749_H_Tot,Pro_1750_1999_H_0,Pro_1750_1999_H_1_19,Pro_1750_1999_H_20_29,Pro_1750_1999_H_30_34,Pro_1750_1999_H_35_39,Pro_1750_1999_H_40_44,Pro_1750_1999_H_45_49,Pro_1750_1999_H_50ov,Pro_1750_1999_H_NS,Pro_1750_1999_H_Tot,Pro_2000_2999_H_0,Pro_2000_2999_H_1_19,Pro_2000_2999_H_20_29,Pro_2000_2999_H_30_34,Pro_2000_2999_H_35_39,Pro_2000_2999_H_40_44,Pro_2000_2999_H_45_49,Pro_2000_2999_H_50ov,Pro_2000_2999_H_NS,Pro_2000_2999_H_Tot,Pro_3000_3499_H_0,Pro_3000_3499_H_1_19,Pro_3000_3499_H_20_29,Pro_3000_3499_H_30_34,Pro_3000_3499_H_35_39,Pro_3000_3499_H_40_44,Pro_3000_3499_H_45_49,Pro_3000_3499_H_50ov,Pro_3000_3499_H_NS,Pro_3000_3499_H_Tot,Pro_3500mo_H_0,Pro_3500mo_H_1_19,Pro_3500mo_H_20_29,Pro_3500mo_H_30_34,Pro_3500mo_H_35_39,Pro_3500mo_H_40_44,Pro_3500mo_H_45_49,Pro_3500mo_H_50ov,Pro_3500mo_H_NS,Pro_3500mo_H_Tot,Pro_PINS_H_0,Pro_PINS_H_1_19,Pro_PINS_H_20_29,Pro_PINS_H_30_34,Pro_PINS_H_35_39,Pro_PINS_H_40_44,Pro_PINS_H_45_49,Pro_PINS_H_50ov,Pro_PINS_H_NS,Pro_PINS_H_Tot,Pro_Tot_H_0,Pro_Tot_H_1_19,Pro_Tot_H_20_29,Pro_Tot_H_30_34,Pro_Tot_H_35_39,Pro_Tot_H_40_44,Pro_Tot_H_45_49,Pro_Tot_H_50ov,Pro_Tot_H_NS,Pro_Tot_H_Tot,TaTW_NNI_H_0,TaTW_NNI_H_1_19,TaTW_NNI_H_20_29,TaTW_NNI_H_30_34,TaTW_NNI_H_35_39,TaTW_NNI_H_40_44,TaTW_NNI_H_45_49,TaTW_NNI_H_50ov,TaTW_NNI_H_NS,TaTW_NNI_H_Tot,TaTW_1_149_H_0,TaTW_1_149_H_1_19,TaTW_1_149_H_20_29,TaTW_1_149_H_30_34,TaTW_1_149_H_35_39,TaTW_1_149_H_40_44,TaTW_1_149_H_45_49,TaTW_1_149_H_50ov,TaTW_1_149_H_NS,TaTW_1_149_H_Tot,TaTW_150_299_H_0,TaTW_150_299_H_1_19,TaTW_150_299_H_20_29,TaTW_150_299_H_30_34,TaTW_150_299_H_35_39,TaTW_150_299_H_40_44,TaTW_150_299_H_45_49,TaTW_150_299_H_50ov,TaTW_150_299_H_NS,TaTW_150_299_H_Tot,TaTW_300_399_H_0,TaTW_300_399_H_1_19,TaTW_300_399_H_20_29,TaTW_300_399_H_30_34,TaTW_300_399_H_35_39,TaTW_300_399_H_40_44,TaTW_300_399_H_45_49,TaTW_300_399_H_50ov,TaTW_300_399_H_NS,TaTW_300_399_H_Tot,TaTW_400_499_H_0,TaTW_400_499_H_1_19,TaTW_400_499_H_20_29,TaTW_400_499_H_30_34,TaTW_400_499_H_35_39,TaTW_400_499_H_40_44,TaTW_400_499_H_45_49,TaTW_400_499_H_50ov,TaTW_400_499_H_NS,TaTW_400_499_H_Tot,TaTW_500_649_H_0,TaTW_500_649_H_1_19,TaTW_500_649_H_20_29,TaTW_500_649_H_30_34,TaTW_500_649_H_35_39,TaTW_500_649_H_40_44,TaTW_500_649_H_45_49,TaTW_500_649_H_50ov,TaTW_500_649_H_NS,TaTW_500_649_H_Tot
LGA21270,0,5,4,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,8,5,7,6,0,0,0,0,0,0,20,6,14,6,5,3,5,0,0,0,33,0,5,4,14,8,13,9,3,0,60,0,0,3,7,17,15,3,6,0,57,0,6,0,6,6,16,0,13,0,47,0,0,0,3,8,7,0,9,0,37,0,5,0,5,7,22,7,16,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,10,0,0,0,0,0,3,0,0,0,3,13,55,35,36,51,74,31,59,4,367,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,4,0,5,0,0,0,0,0,11,3,8,0,0,3,4,0,0,0,19,0,3,4,3,4,3,0,0,0,18
LGA21370,7,13,5,0,0,0,0,0,0,33,4,16,17,3,0,6,0,0,0,46,4,41,15,8,3,0,0,6,0,77,10,55,41,14,12,3,0,0,4,139,14,40,56,35,45,30,8,3,0,227,25,34,74,68,85,61,13,11,5,371,20,19,48,66,93,94,30,33,0,409,18,15,32,64,89,111,31,46,0,400,13,10,15,29,59,77,23,56,4,290,9,10,10,22,61,114,60,91,0,376,3,0,7,7,8,10,3,14,0,52,3,3,7,6,13,23,10,32,0,92,0,0,4,0,5,0,0,0,6,16,134,268,337,317,478,530,180,304,23,2566,3,0,0,0,0,9,0,3,0,15,4,11,4,0,0,0,0,0,0,22,6,23,3,0,0,0,0,0,0,36,7,19,6,3,8,4,0,7,0,50,6,19,16,4,28,27,4,8,4,120,17,18,28,9,49,46,12,23,4,192
LGA21450,8,64,11,8,5,3,0,3,0,95,4,47,24,4,7,0,0,11,0,96,11,68,50,15,6,14,0,5,0,164,10,67,73,26,24,27,3,3,4,251,24,67,102,61,80,44,14,21,3,401,27,57,107,87,147,105,26,37,3,590,18,30,51,85,220,196,63,96,15,774,31,24,42,64,174,196,61,119,9,711,19,14,16,33,126,149,53,113,3,519,26,18,24,20,137,226,111,215,3,786,0,3,5,7,17,43,13,21,0,106,0,8,15,15,17,63,22,55,0,204,0,5,6,6,3,0,0,0,8,26,194,574,535,428,971,1078,360,696,47,4889,6,9,0,4,0,3,0,9,3,37,8,28,4,0,0,0,0,0,0,53,5,43,17,0,0,0,0,8,0,81,13,66,25,8,12,10,0,3,0,134,27,54,54,12,33,38,4,6,0,234,25,60,87,32,92,102,22,18,12,439
LGA21610,24,129,42,10,12,10,4,8,3,238,24,151,55,16,15,25,4,4,0,290,34,225,153,39,33,32,3,13,6,536,62,238,255,103,58,58,10,13,9,802,58,194,352,167,222,133,16,51,12,1203,83,141,379,331,462,353,75,118,14,1947,82,106,256,335,709,597,154,239,21,2499,83,61,156,319,712,654,206,309,23,2527,56,55,70,159,490,584,183,303,8,1909,71,59,98,114,527,788,310,637,15,2616,14,18,15,33,81,112,34,100,0,398,9,31,57,48,103,166,58,188,0,656,3,9,4,7,13,21,3,10,24,92,653,1745,1914,1683,3443,3553,1058,2010,138,16200,10,20,12,0,7,10,0,7,7,81,24,62,5,0,4,12,0,7,4,114,29,102,26,7,3,4,3,4,0,171,34,116,59,15,22,14,4,6,5,267,32,113,120,32,67,67,14,13,12,463,54,120,245,78,156,162,25,51,11,889
LGA21670,0,9,0,0,0,0,0,3,0,12,0,9,0,0,0,0,0,0,0,7,4,16,4,0,0,0,0,0,0,25,4,13,6,7,0,3,0,3,0,39,3,10,12,12,10,6,0,0,4,63,6,6,20,16,29,28,5,0,0,108,9,4,8,10,22,11,4,3,0,76,10,7,4,13,29,30,7,11,0,115,6,0,5,14,10,15,11,11,0,73,3,4,3,15,24,34,10,15,0,100,0,0,0,0,3,4,0,3,0,12,0,0,0,0,0,3,0,10,0,23,0,0,0,0,0,0,0,0,0,0,43,80,75,92,129,142,36,72,13,672,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,12,0,8,0,0,0,3,0,0,0,16,0,10,0,4,0,3,0,6,0,29,4,14,9,0,10,11,0,4,0,41,4,5,12,6,12,9,0,0,0,50
LGA21750,0,13,6,0,0,0,0,0,0,22,0,20,6,0,0,0,0,0,0,35,0,29,16,9,0,3,0,0,0,64,7,27,31,3,3,8,0,9,0,89,3,20,34,10,11,14,4,6,0,107,9,18,36,34,40,38,11,12,0,199,7,14,26,36,50,45,9,9,0,203,14,0,13,25,46,48,20,25,0,193,6,8,3,14,29,36,12,20,0,130,12,8,7,8,38,54,27,40,6,200,0,0,0,3,8,8,0,10,0,34,0,4,3,5,3,10,12,12,0,51,0,0,0,0,6,0,0,0,0,15,75,178,190,149,241,267,88,162,6,1367,0,0,0,0,0,0,0,0,0,6,4,17,0,0,3,0,0,0,0,30,0,11,0,0,0,0,0,0,0,20,3,16,4,5,0,0,0,0,0,32,3,21,6,0,13,14,0,7,0,68,6,22,26,3,16,30,7,6,0,117
LGA21830,0,9,0,0,0,0,0,0,0,15,0,5,5,0,0,0,0,5,0,14,5,11,15,3,0,5,0,5,0,34,10,14,12,12,3,0,0,0,0,60,5,18,20,15,6,9,0,0,0,73,12,10,19,31,15,16,5,13,0,124,10,7,18,31,37,22,9,12,0,132,12,9,12,17,38,26,16,29,0,148,3,0,3,15,19,21,8,18,0,93,0,4,3,12,23,36,20,28,0,124,0,0,0,5,5,0,3,8,0,17,0,3,5,5,6,4,0,17,0,37,0,0,3,0,0,0,0,0,0,6,59,113,121,131,151,147,64,129,10,917,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,17,7,0,0,0,0,0,0,28,0,6,3,0,0,5,0,0,0,20,0,12,4,0,4,4,0,3,0,40,3,9,13,5,6,24,5,8,0,73
LGA21890,17,144,36,11,9,14,0,4,0,251,15,156,52,15,8,24,0,11,4,280,21,219,121,32,31,34,4,26,3,504,33,241,188,83,51,49,6,24,3,668,48,183,267,140,153,129,20,35,4,981,50,160,296,244,382,277,41,93,0,1546,57,101,192,243,575,388,101,136,12,1808,61,70,175,236,610,518,121,180,13,1989,58,50,103,114,510,421,136,191,8,1596,72,70,119,119,623,686,256,435,11,2385,3,13,33,45,70,126,51,95,0,439,14,19,41,44,78,160,69,207,0,629,7,12,4,9,20,23,0,3,26,101,485,1703,1670,1343,3138,2865,805,1453,110,13583,5,6,0,6,3,9,0,9,0,32,0,27,8,0,0,3,0,3,0,47,16,64,11,4,9,7,0,5,0,122,12,64,49,0,16,10,3,3,3,163,21,77,53,19,13,22,8,7,7,228,38,90,133,63,67,87,17,20,11,517
LGA22110,4,23,6,5,0,0,0,4,0,39,6,23,6,0,0,3,0,3,0,43,13,44,21,10,7,4,4,3,0,110,8,51,48,19,17,7,0,9,0,166,12,43,80,34,22,38,9,3,5,241,24,42,94,67,85,61,14,24,4,408,27,18,49,87,130,87,27,34,0,456,12,13,45,47,113,117,36,57,5,440,8,7,19,52,71,83,33,63,0,342,15,14,15,37,78,109,48,77,4,390,6,8,4,0,6,12,7,9,3,56,0,5,6,7,10,20,16,24,0,94,0,0,0,3,5,3,0,0,4,21,157,317,395,361,552,547,190,322,27,2874,0,0,0,0,5,0,0,0,0,10,0,18,0,4,0,0,0,4,0,26,4,26,5,0,3,4,0,0,0,42,7,29,7,8,15,10,0,5,0,80,4,28,22,9,14,24,4,5,0,125,16,35,43,15,53,43,11,20,5,237
LGA22170,19,80,22,8,5,7,0,0,0,138,8,101,41,5,4,4,0,4,0,180,34,139,86,23,8,14,3,12,3,327,37,162,151,75,29,37,0,19,8,520,57,145,286,150,145,85,18,20,5,905,76,127,308,310,290,211,40,61,8,1434,74,91,248,292,375,389,81,109,10,1672,84,68,159,331,461,462,137,182,11,1887,70,24,76,195,341,454,104,159,4,1433,85,40,67,113,374,645,202,370,9,1908,8,12,21,14,37,71,33,67,0,267,19,21,38,53,87,168,80,173,0,642,4,4,8,11,8,12,0,11,8,72,613,1138,1532,1599,2178,2564,699,1197,71,11598,9,14,4,5,12,0,3,8,0,42,0,35,6,0,5,4,0,0,0,55,12,54,12,13,7,4,0,4,0,109,16,73,23,9,5,15,6,7,3,165,21,60,71,16,42,35,5,18,3,271,49,72,80,45,111,130,21,25,7,535
LGA22250,0,6,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,5,14,0,5,4,4,0,0,0,3,0,24,0,3,7,4,3,4,0,0,0,29,3,11,12,9,5,9,0,0,0,48,7,4,15,8,22,9,3,4,0,66,7,4,10,14,21,29,7,9,0,96,7,0,4,12,14,20,8,10,0,73,0,0,4,10,6,13,10,18,0,61,0,0,0,9,15,12,8,16,0,63,0,0,3,0,0,0,0,4,0,13,0,0,0,0,0,8,4,6,0,21,0,0,0,0,0,0,0,0,5,4,33,50,64,60,91,109,39,66,8,518,0,3,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,9,4,6,8,6,0,3,0,0,0,18,6,6,4,0,5,3,0,0,0,31,0,10,9,0,9,9,4,4,0,44
LGA22310,21,139,36,9,3,7,3,6,0,228,15,166,52,10,10,5,3,13,0,277,21,244,87,38,22,14,5,16,0,451,27,225,137,62,34,44,8,28,6,566,36,190,232,139,123,94,15,38,5,878,45,185,296,194,268,226,37,64,13,1323,51,127,234,202,344,376,70,101,14,1523,53,92,171,201,378,446,125,163,12,1647,53,85,95,128,329,427,128,180,11,1428,54,83,105,160,427,787,225,462,12,2314,5,28,38,44,52,165,42,129,0,496,18,56,63,64,90,286,91,334,3,1010,7,11,18,10,13,22,0,16,30,113,444,1954,1600,1259,2094,2931,776,1539,116,12721,0,0,5,0,6,4,0,5,0,17,3,33,0,4,0,0,0,6,0,50,8,51,7,4,8,0,0,3,4,83,12,64,29,9,10,3,0,5,0,130,12,65,70,14,17,22,0,9,7,215,30,68,98,38,35,38,6,13,3,334
LGA22410,0,11,0,0,0,5,0,0,0,15,0,20,0,3,0,0,0,4,0,32,5,15,7,6,0,0,0,0,0,41,8,23,24,9,8,4,0,0,0,76,5,15,29,12,12,10,0,5,0,87,4,14,27,30,34,24,0,3,0,139,10,13,18,24,32,36,9,12,0,155,17,5,23,33,36,49,10,34,3,209,7,0,7,11,34,27,12,15,0,109,7,3,0,14,31,54,21,38,0,167,0,0,0,0,3,6,0,6,0,27,5,3,0,0,10,11,6,6,0,48,0,3,0,5,0,0,0,0,0,12,56,151,142,152,220,229,62,127,9,1151,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,5,0,21,3,9,3,0,0,4,0,0,0,25,4,19,11,3,8,12,0,3,0,55,6,15,21,3,27,19,0,3,0,96
LGA22490,5,7,0,0,0,0,0,0,0,22,0,11,0,0,0,0,0,0,0,16,0,9,10,0,0,3,0,0,0,31,4,14,13,6,3,4,0,6,0,43,0,11,13,7,6,3,0,7,0,39,4,7,15,10,16,23,5,9,0,93,7,3,13,18,31,25,11,7,0,119,0,5,3,8,26,24,9,16,0,86,4,0,7,6,13,24,6,14,0,69,0,0,8,6,15,32,10,33,0,97,0,0,0,0,3,0,0,6,0,17,5,0,4,6,0,8,0,7,0,32,0,0,0,0,0,0,0,0,0,6,30,94,79,67,115,158,49,98,8,696,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,14,0,10,0,0,0,4,0,0,0,18,6,8,6,0,3,0,0,4,0,29,0,12,14,0,8,12,0,0,0,42,7,6,11,9,12,13,0,4,3,75
LGA22620,12,80,18,4,0,0,0,0,0,123,10,94,18,11,4,4,0,0,0,148,23,141,90,23,16,15,4,13,4,331,51,173,133,57,42,20,6,9,3,489,63,148,256,126,134,56,21,21,4,829,78,105,313,302,359,230,44,57,8,1490,95,78,229,274,485,310,87,114,8,1684,109,62,167,294,564,477,131,160,6,1973,71,35,86,172,403,404,122,187,3,1487,90,39,76,140,510,546,244,404,4,2062,8,9,15,13,51,85,35,72,0,287,24,15,24,35,82,119,51,191,6,546,4,13,5,6,9,0,3,10,7,65,645,1096,1452,1474,2676,2274,756,1254,56,11685,3,3,0,5,0,10,0,10,0,26,0,35,3,0,4,0,0,4,0,49,17,45,23,0,3,14,0,0,0,98,21,52,16,8,11,18,3,8,0,133,21,69,40,11,64,56,10,8,3,286,30,87,109,45,136,112,33,34,13,596
LGA22670,10,131,28,12,5,6,0,8,5,200,12,142,74,15,12,16,0,4,0,276,21,166,114,33,19,19,4,4,14,392,28,155,174,67,114,54,8,19,11,636,53,158,274,168,298,205,18,23,19,1216,95,102,325,304,670,518,73,93,24,2197,81,71,241,291,880,713,147,173,23,2609,102,70,148,267,885,861,188,229,20,2781,86,51,83,159,646,723,192,244,15,2190,82,55,69,135,747,1040,364,588,17,3110,6,12,17,29,71,109,44,108,0,398,12,14,53,59,114,182,73,223,0,720,0,5,4,11,15,19,8,18,31,118,636,1389,1624,1551,4470,4481,1132,1734,190,17209,3,24,7,0,13,10,5,5,3,76,3,47,7,0,6,3,5,3,3,69,19,77,17,0,10,7,0,4,3,150,22,121,70,11,23,14,3,10,14,288,22,93,161,28,63,55,6,16,10,451,34,102,176,75,166,164,41,31,15,809
LGA22750,26,214,49,7,7,11,7,6,3,319,43,248,81,21,7,20,5,6,3,440,73,407,209,52,29,32,10,10,5,835,113,443,361,117,85,59,10,30,11,1230,105,403,580,282,237,155,45,45,22,1876,139,285,750,551,764,574,96,118,20,3301,152,190,584,578,1002,739,166,214,17,3649,199,153,341,627,1118,903,249,375,15,3976,164,93,193,356,942,930,305,364,19,3363,205,101,215,312,1293,1693,539,947,26,5333,23,25,37,51,109,251,74,187,9,763,38,56,119,127,179,416,169,498,6,1604,8,14,14,12,18,22,9,14,29,142,1358,2946,3575,3115,5806,5826,1688,2819,200,27340,6,10,3,0,8,15,4,10,0,55,18,91,7,5,0,6,0,9,5,131,37,150,27,8,17,13,0,4,5,257,42,147,71,16,23,18,4,13,9,341,44,171,160,33,105,95,13,18,11,646,70,206,187,76,197,267,44,50,7,1107
LGA22830,9,38,13,0,0,0,0,0,0,63,4,57,24,8,5,3,0,5,0,104,6,71,43,10,8,9,0,6,0,158,20,92,76,41,22,16,0,5,0,270,23,76,103,65,72,36,13,18,3,409,48,60,154,162,207,149,20,54,4,860,41,26,87,160,273,221,44,61,5,910,47,33,57,156,270,260,61,87,6,974,29,21,23,65,182,223,58,91,6,694,33,20,28,62,199,307,111,186,3,951,5,3,7,10,22,41,20,36,0,138,9,4,10,26,32,74,31,82,0,267,0,0,3,3,0,3,0,5,6,25,278,553,638,766,1290,1360,351,638,42,5919,3,0,0,0,4,7,0,0,0,13,4,19,0,0,0,4,0,0,0,29,4,22,6,0,3,6,0,5,0,52,3,29,13,4,11,8,5,12,0,82,9,30,36,15,43,45,6,14,7,196,10,36,52,18,58,95,14,24,7,319
LGA22910,0,10,4,0,0,3,0,0,0,16,0,24,10,0,0,0,6,6,0,43,0,22,15,6,0,11,0,3,0,57,4,20,10,0,5,4,0,0,0,48,6,17,22,10,9,8,0,4,3,79,4,18,30,22,24,17,7,4,0,124,14,16,21,19,23,17,12,10,0,124,11,13,11,27,34,38,10,17,0,155,0,0,9,10,13,20,9,9,0,75,0,5,9,10,7,41,21,29,0,125,0,0,7,0,4,4,7,14,0,34,0,0,0,4,4,14,3,16,0,48,0,0,0,0,0,0,0,0,0,3,47,175,147,120,129,182,65,108,3,971,0,4,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,13,5,4,0,3,0,5,0,0,0,18,0,15,0,0,6,6,0,0,0,33,4,27,15,3,7,3,4,3,0,70
LGA22980,0,3,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,9,3,6,3,0,6,0,0,0,0,18,0,0,4,0,0,7,0,0,0,19,0,5,6,9,10,17,3,3,0,52,3,0,8,12,5,17,3,3,0,58,0,0,4,11,14,21,0,12,0,61,0,0,0,0,4,9,0,4,0,17,3,0,3,0,4,18,6,11,0,55,0,0,0,0,0,5,4,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,32,37,43,38,94,25,32,5,331,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,11,0,0,0,0,3,0,0,0,0,14
LGA23110,8,56,6,3,3,3,0,5,3,88,8,69,25,7,3,7,3,3,0,115,8,80,53,19,16,16,0,7,3,216,20,100,72,24,26,28,0,8,4,275,22,71,126,60,88,52,11,12,0,435,22,60,137,103,177,117,34,37,8,692,21,35,94,81,223,214,41,71,0,781,26,36,48,78,232,236,59,128,3,850,32,23,28,50,188,207,61,112,6,700,33,34,41,71,295,389,158,286,5,1316,6,6,16,9,26,75,22,63,4,222,8,14,20,27,34,117,35,132,0,395,0,0,3,5,4,9,0,12,8,35,222,673,680,539,1323,1483,426,880,49,6265,3,0,3,0,8,3,0,0,0,28,10,15,3,0,0,0,0,0,0,26,10,26,12,0,0,0,0,0,0,54,11,43,28,8,4,9,0,5,4,104,9,45,51,8,14,23,3,12,0,167,8,49,79,32,52,59,16,6,5,306
LGA23190,0,8,5,0,0,0,0,0,0,10,4,11,4,0,0,0,0,0,0,23,4,26,9,0,6,5,0,0,0,56,8,30,21,14,10,0,3,3,0,84,6,18,44,26,26,11,4,10,0,147,15,22,37,58,71,51,7,27,0,294,12,16,29,47,78,75,20,25,0,295,18,9,23,52,98,80,22,16,0,320,10,14,12,17,42,63,13,29,0,196,9,6,10,17,33,95,33,52,0,262,0,0,0,5,8,3,7,9,0,32,5,4,3,0,15,20,12,25,0,83,0,0,0,0,0,4,0,0,4,12,94,185,200,244,388,412,119,199,12,1841,0,4,0,0,0,0,0,0,0,7,3,7,0,0,0,0,0,0,0,11,0,14,5,0,0,0,0,0,0,20,0,11,3,0,4,0,0,8,0,37,5,17,7,10,24,12,0,0,0,67,3,11,10,11,39,27,7,0,3,107
LGA23270,14,105,24,3,6,3,0,0,0,161,12,111,54,12,4,6,0,9,5,228,21,162,91,27,24,22,0,7,8,367,36,153,150,51,58,57,4,19,11,532,43,137,269,126,223,128,14,30,21,987,74,107,275,197,552,400,86,96,15,1813,53,74,156,220,717,567,145,194,16,2141,86,62,105,167,778,711,176,265,21,2372,73,38,60,90,526,603,168,232,9,1799,125,101,103,113,736,1090,390,578,20,3256,32,37,41,33,115,135,44,95,7,540,116,106,88,73,216,210,79,185,6,1076,3,7,10,3,15,19,3,14,38,116,733,1401,1448,1127,3997,3966,1128,1720,177,15700,18,21,10,0,16,11,4,6,12,94,18,56,11,5,3,7,0,3,0,105,20,93,22,10,12,5,0,0,3,166,21,143,98,19,22,14,9,7,4,339,23,139,166,37,75,82,8,25,9,567,47,127,216,71,184,160,45,33,26,912
LGA23350,0,8,0,0,0,0,0,3,0,18,0,12,7,5,0,0,0,3,0,29,7,13,6,4,0,6,0,5,0,33,0,10,22,10,0,4,0,0,0,48,0,9,21,6,7,3,0,4,0,64,6,17,20,21,18,7,4,4,0,94,3,8,14,12,35,28,3,12,0,122,3,3,13,16,20,39,8,5,0,117,5,9,4,9,19,31,4,13,0,95,7,0,8,14,22,44,9,35,0,136,0,0,0,0,5,9,0,9,0,20,0,0,4,0,5,7,0,9,0,26,0,0,0,0,0,0,0,0,0,9,50,110,123,91,132,175,35,106,8,836,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,9,0,11,5,0,0,0,0,0,0,13,7,7,3,0,0,0,0,0,0,15,0,11,3,0,5,7,0,4,0,43,0,6,7,7,14,8,3,7,0,52
LGA23430,20,135,19,9,3,9,0,9,0,216,20,114,62,10,4,10,0,6,0,232,23,177,128,30,27,32,5,13,7,450,33,180,168,63,73,41,5,18,5,598,44,126,287,143,183,181,28,51,3,1050,50,144,269,215,494,380,69,79,11,1724,55,88,201,250,640,498,104,164,10,2011,73,70,107,200,581,586,157,213,4,1987,40,41,80,111,422,485,163,213,8,1562,71,68,88,121,577,851,311,535,18,2641,15,16,19,27,74,153,54,123,0,476,9,27,35,59,97,198,65,229,3,738,0,4,5,0,7,20,5,14,20,92,506,1434,1515,1257,3198,3465,969,1677,113,14126,11,8,0,4,3,12,0,10,4,58,8,46,7,0,0,8,0,5,0,75,21,70,22,6,7,11,0,5,0,140,15,109,54,8,21,18,3,11,0,253,31,92,122,23,55,49,10,16,7,406,39,127,171,73,143,159,20,33,13,775
LGA23670,10,124,25,9,9,15,0,3,0,199,12,137,49,12,11,7,0,12,0,245,21,167,130,30,18,24,3,6,4,407,35,185,154,62,65,36,8,11,4,558,29,142,222,144,175,131,24,36,3,915,54,126,276,228,460,342,57,79,16,1637,74,89,214,213,604,507,107,131,0,1951,66,76,124,212,657,547,139,216,8,2038,56,33,64,131,437,468,128,199,6,1532,47,60,76,93,599,841,276,422,8,2423,5,16,25,27,73,163,47,97,6,450,7,21,37,44,97,199,72,202,0,672,0,5,14,6,16,18,5,8,24,90,465,1399,1447,1235,3236,3305,875,1428,90,13478,0,12,9,6,0,14,0,10,0,38,8,62,7,0,6,3,0,4,0,87,21,83,19,9,7,3,3,3,0,154,17,88,48,12,21,23,4,7,4,225,18,81,83,14,38,54,3,18,4,322,46,111,163,46,134,136,23,27,12,698
