POW_LGA_CODE_2021,M_M2_BusTot_15_24,M_M2_BusTot_25_34,M_M2_BusTot_35_44,M_M2_BusTot_45_54,M_M2_BusTot_55_64,M_M2_BusTot_65_74,M_M2_BusTot_75ov,M_M2_BusTot_Tot,M_M2_Other_M2_15_24,M_M2_Other_M2_25_34,M_M2_Other_M2_35_44,M_M2_Other_M2_45_54,M_M2_Other_M2_55_64,M_M2_Other_M2_65_74,M_M2_Other_M2_75ov,M_M2_Other_M2_Tot,M_M2_Tot_M2_15_24,M_M2_Tot_M2_25_34,M_M2_Tot_M2_35_44,M_M2_Tot_M2_45_54,M_M2_Tot_M2_55_64,M_M2_Tot_M2_65_74,M_M2_Tot_M2_75ov,M_M2_Tot_M2_Tot,M_M3_Trn_and_2_oth_Ms_15_24,M_M3_Trn_and_2_oth_Ms_25_34,M_M3_Trn_and_2_oth_Ms_35_44,M_M3_Trn_and_2_oth_Ms_45_54,M_M3_Trn_and_2_oth_Ms_55_64,M_M3_Trn_and_2_oth_Ms_65_74,M_M3_Trn_and_2_oth_Ms_75ov,M_M3_Trn_and_2_oth_Ms_Tot,M_M3_Bus2othMs_ex_tn_15_24,M_M3_Bus2othMs_ex_tn_25_34,M_M3_Bus2othMs_ex_tn_35_44,M_M3_Bus2othMs_ex_tn_45_54,M_M3_Bus2othMs_ex_tn_55_64,M_M3_Bus2othMs_ex_tn_65_74,M_M3_Bus2othMs_ex_tn_75ov,M_M3_Bus2othMs_ex_tn_Tot,M_M3_Other_M3_15_24,M_M3_Other_M3_25_34,M_M3_Other_M3_35_44,M_M3_Other_M3_45_54,M_M3_Other_M3_55_64,M_M3_Other_M3_65_74,M_M3_Other_M3_75ov,M_M3_Other_M3_Tot,M_M3_Tot_M3_15_24,M_M3_Tot_M3_25_34,M_M3_Tot_M3_35_44,M_M3_Tot_M3_45_54,M_M3_Tot_M3_55_64,M_M3_Tot_M3_65_74,M_M3_Tot_M3_75ov,M_M3_Tot_M3_Tot,M_Wkd_at_home_15_24,M_Wkd_at_home_25_34,M_Wkd_at_home_35_44,M_Wkd_at_home_45_54,M_Wkd_at_home_55_64,M_Wkd_at_home_65_74,M_Wkd_at_home_75ov,M_Wkd_at_home_Tot,M_Did_not_go_to_work_15_24,M_Did_not_go_to_work_25_34,M_Did_not_go_to_work_35_44,M_Did_not_go_to_work_45_54,M_Did_not_go_to_work_55_64,M_Did_not_go_to_work_65_74,M_Did_not_go_to_work_75ov,M_Did_not_go_to_work_Tot,M_MT_NS_15_24,M_MT_NS_25_34,M_MT_NS_35_44,M_MT_NS_45_54,M_MT_NS_55_64,M_MT_NS_65_74,M_MT_NS_75ov,M_MT_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75ov,M_Tot_Tot,F_M1_Train_15_24,F_M1_Train_25_34,F_M1_Train_35_44,F_M1_Train_45_54,F_M1_Train_55_64,F_M1_Train_65_74,F_M1_Train_75ov,F_M1_Train_Tot,F_M1_Bus_15_24,F_M1_Bus_25_34,F_M1_Bus_35_44,F_M1_Bus_45_54,F_M1_Bus_55_64,F_M1_Bus_65_74,F_M1_Bus_75ov,F_M1_Bus_Tot,F_M1_Ferry_15_24,F_M1_Ferry_25_34,F_M1_Ferry_35_44,F_M1_Ferry_45_54,F_M1_Ferry_55_64,F_M1_Ferry_65_74,F_M1_Ferry_75ov,F_M1_Ferry_Tot,F_M1_Tram_or_LR_15_24,F_M1_Tram_or_LR_25_34,F_M1_Tram_or_LR_35_44,F_M1_Tram_or_LR_45_54,F_M1_Tram_or_LR_55_64,F_M1_Tram_or_LR_65_74,F_M1_Tram_or_LR_75ov,F_M1_Tram_or_LR_Tot,F_M1_Taxi_or_RSS_15_24,F_M1_Taxi_or_RSS_25_34,F_M1_Taxi_or_RSS_35_44,F_M1_Taxi_or_RSS_45_54,F_M1_Taxi_or_RSS_55_64,F_M1_Taxi_or_RSS_65_74,F_M1_Taxi_or_RSS_75ov,F_M1_Taxi_or_RSS_Tot,F_M1_CarAsDriv_15_24,F_M1_CarAsDriv_25_34,F_M1_CarAsDriv_35_44,F_M1_CarAsDriv_45_54,F_M1_CarAsDriv_55_64,F_M1_CarAsDriv_65_74,F_M1_CarAsDriv_75ov,F_M1_CarAsDriv_Tot,F_M1_CarAsPas_15_24,F_M1_CarAsPas_25_34,F_M1_CarAsPas_35_44,F_M1_CarAsPas_45_54,F_M1_CarAsPas_55_64,F_M1_CarAsPas_65_74,F_M1_CarAsPas_75ov,F_M1_CarAsPas_Tot,F_M1_Truck_15_24,F_M1_Truck_25_34,F_M1_Truck_35_44,F_M1_Truck_45_54,F_M1_Truck_55_64,F_M1_Truck_65_74,F_M1_Truck_75ov,F_M1_Truck_Tot,F_M1_MBikeScoot_15_24,F_M1_MBikeScoot_25_34,F_M1_MBikeScoot_35_44,F_M1_MBikeScoot_45_54,F_M1_MBikeScoot_55_64,F_M1_MBikeScoot_65_74,F_M1_MBikeScoot_75ov,F_M1_MBikeScoot_Tot,F_M1_Bicycle_15_24,F_M1_Bicycle_25_34,F_M1_Bicycle_35_44,F_M1_Bicycle_45_54,F_M1_Bicycle_55_64,F_M1_Bicycle_65_74,F_M1_Bicycle_75ov,F_M1_Bicycle_Tot,F_M1_Other_15_24,F_M1_Other_25_34,F_M1_Other_35_44,F_M1_Other_45_54,F_M1_Other_55_64,F_M1_Other_65_74,F_M1_Other_75ov,F_M1_Other_Tot,F_M1_WlkOnly_15_24,F_M1_WlkOnly_25_34,F_M1_WlkOnly_35_44,F_M1_WlkOnly_45_54,F_M1_WlkOnly_55_64,F_M1_WlkOnly_65_74,F_M1_WlkOnly_75ov,F_M1_WlkOnly_Tot,F_M1_Tot_M1_15_24,F_M1_Tot_M1_25_34,F_M1_Tot_M1_35_44,F_M1_Tot_M1_45_54,F_M1_Tot_M1_55_64,F_M1_Tot_M1_65_74,F_M1_Tot_M1_75ov,F_M1_Tot_M1_Tot,F_M2_TrnBus_15_24,F_M2_TrnBus_25_34,F_M2_TrnBus_35_44,F_M2_TrnBus_45_54,F_M2_TrnBus_55_64,F_M2_TrnBus_65_74,F_M2_TrnBus_75ov,F_M2_TrnBus_Tot
LGA21270,0,0,0,0,0,0,0,0,6,0,0,0,5,6,0,21,6,0,0,0,5,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,17,44,59,42,17,214,18,10,8,10,10,5,3,65,0,0,7,0,3,5,0,16,182,203,208,279,338,188,37,1432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,115,103,149,178,38,0,641,13,0,6,4,0,6,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,4,19,15,16,38,35,8,3,145,90,137,126,193,222,47,3,825,0,0,0,0,0,0,0,0
LGA21370,0,0,0,0,0,0,0,10,7,10,12,11,11,0,0,61,6,14,16,17,11,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,14,3,6,3,0,3,0,0,16,23,73,100,166,201,162,64,798,174,59,75,80,106,53,9,560,17,5,10,7,17,8,14,77,1231,1397,1365,1654,1692,619,139,8098,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,10,606,975,1036,1279,1115,250,15,5275,204,46,31,35,39,14,6,366,0,0,0,0,4,0,0,4,0,6,6,0,3,0,0,13,3,0,3,10,13,0,0,35,0,4,4,4,4,5,0,16,69,63,48,81,86,34,3,374,890,1091,1128,1418,1258,296,24,6111,0,0,0,0,0,0,0,0
LGA21450,4,8,0,0,3,0,0,10,42,51,26,20,22,5,0,160,61,68,28,26,24,5,0,213,4,5,0,0,6,0,0,10,0,0,0,0,0,0,0,0,12,7,13,6,0,0,0,38,21,14,13,6,0,0,0,50,75,320,432,428,396,204,62,1923,504,217,181,164,135,77,11,1290,16,19,21,9,18,7,0,98,2900,3711,3242,2799,2169,749,152,15729,27,17,4,10,7,0,0,64,23,13,6,4,3,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,11,3,0,0,3,32,1278,1949,1791,1847,1156,205,21,8243,579,129,101,83,62,11,8,967,3,0,0,4,0,3,0,12,0,3,0,0,0,0,0,3,3,4,10,7,0,0,0,16,8,11,11,8,7,4,0,55,78,46,60,45,37,21,0,292,2004,2188,1995,2003,1280,238,31,9737,15,18,0,8,0,0,0,41
LGA21610,38,12,0,0,9,0,0,59,89,91,53,49,21,6,0,311,173,146,83,66,38,11,0,521,22,21,8,3,0,0,0,54,9,4,0,0,0,0,0,15,67,38,57,18,19,3,0,201,92,65,58,26,14,3,0,265,247,923,1381,1125,790,295,61,4824,1235,533,457,390,350,156,34,3149,25,53,53,37,14,13,15,201,7055,9222,8768,6862,5116,1478,219,38718,45,66,21,22,6,0,0,163,160,90,42,27,27,3,0,352,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,55,37,23,7,4,0,0,133,3383,5266,5483,5041,3210,557,34,22982,1530,332,247,263,196,49,7,2628,4,0,3,3,3,0,0,15,0,0,0,0,0,0,0,9,8,3,6,7,5,0,0,33,17,42,49,34,25,3,4,181,135,98,98,106,68,11,3,529,5342,5945,5988,5517,3548,633,51,27019,47,36,14,19,8,0,0,136
LGA21670,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,12,3,6,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,8,12,13,29,42,21,11,142,49,18,26,26,33,20,6,182,0,3,5,7,9,0,5,28,321,357,321,426,430,170,39,2058,3,5,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,167,269,269,369,363,102,7,1552,53,21,19,16,10,6,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,4,34,24,13,21,18,9,0,126,260,318,307,412,400,120,10,1821,0,0,0,0,0,0,0,0
LGA21750,0,0,0,0,0,0,0,0,4,16,3,6,5,0,0,34,8,20,3,6,6,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,4,0,0,0,0,29,8,14,4,0,0,0,0,29,14,54,83,112,130,95,36,532,121,59,44,74,84,29,7,421,4,6,8,4,8,10,5,46,827,1132,969,1050,994,405,100,5480,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,366,567,588,725,578,141,8,2973,141,80,23,21,26,12,0,306,0,0,0,0,0,0,0,0,5,0,3,0,0,3,0,5,6,3,4,5,3,0,0,17,0,0,10,8,7,4,0,27,52,47,42,41,62,21,0,266,573,702,671,800,677,179,11,3609,0,0,0,0,0,0,0,0
LGA21830,0,0,0,0,3,0,0,3,3,0,3,4,3,3,0,18,3,0,3,3,6,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,61,92,128,167,129,48,652,47,33,45,44,54,26,7,260,14,9,0,8,3,8,4,55,528,669,679,795,841,395,109,4010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,335,370,484,422,103,12,1944,75,19,8,15,17,4,0,137,0,0,0,4,0,0,0,4,0,0,5,3,3,0,0,12,0,0,5,3,3,0,0,8,3,6,0,5,6,0,0,23,27,26,30,55,67,18,6,224,319,386,420,564,513,130,25,2357,0,0,0,0,0,0,0,0
LGA21890,27,18,11,12,3,0,0,75,36,52,37,27,18,4,3,175,114,146,76,56,54,11,3,458,26,23,13,6,0,5,0,72,12,3,0,0,3,0,0,18,19,30,14,12,9,3,0,80,55,57,26,14,9,7,0,170,203,1144,1511,1352,824,299,40,5373,697,541,348,353,283,133,16,2369,14,51,25,18,17,14,5,141,3424,6435,5669,5255,3908,1226,173,26082,78,123,60,35,16,3,3,316,114,112,48,28,35,9,0,342,0,0,0,0,0,0,0,4,60,77,22,15,8,0,0,185,18,24,9,3,0,0,0,58,1425,2869,2643,2776,2014,431,26,12182,464,201,115,122,109,38,6,1055,0,0,0,0,0,0,0,3,3,5,4,0,4,0,0,15,64,98,58,60,24,3,0,298,14,26,21,19,20,4,0,96,192,189,99,103,94,19,6,696,2429,3724,3082,3166,2306,500,36,15250,34,55,27,22,19,5,0,157
LGA22110,3,0,0,0,0,0,0,3,10,19,11,12,18,8,3,94,14,25,11,12,18,8,3,97,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,4,4,0,0,3,0,0,12,6,4,0,0,3,0,0,15,17,64,108,167,248,212,92,911,163,86,103,87,165,86,14,706,25,9,13,11,17,12,8,94,1163,1453,1444,1628,1855,824,202,8572,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,9,581,994,1082,1396,1298,289,18,5648,217,56,51,51,49,18,4,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,9,3,3,0,0,27,6,6,7,14,14,8,0,49,50,51,43,62,76,28,3,314,872,1116,1193,1525,1448,341,24,6518,0,0,0,0,0,0,0,0
LGA22170,31,5,5,3,0,0,0,43,47,33,21,18,9,3,0,128,99,60,40,31,18,5,0,260,9,10,3,0,0,0,0,24,6,3,0,0,0,0,0,10,26,20,13,10,7,0,0,77,40,33,15,14,7,0,0,106,125,459,786,744,550,226,42,2944,767,364,267,291,259,133,32,2112,19,30,26,19,7,4,7,117,4024,5281,4976,4658,3543,1124,204,23800,13,28,10,9,6,0,0,75,96,64,32,28,35,4,0,262,0,3,0,4,0,0,0,10,0,0,0,0,0,0,0,0,21,16,9,3,0,0,0,58,1942,3532,3423,3667,2705,524,17,15817,649,183,126,123,120,32,0,1235,0,0,0,3,0,0,0,4,3,3,0,0,0,0,0,3,3,6,4,13,13,0,0,41,12,17,25,9,20,4,0,88,93,59,67,57,68,15,3,367,2847,3912,3702,3913,2970,593,28,17963,21,16,10,4,7,3,0,60
LGA22250,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,21,0,4,3,0,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,19,35,56,66,61,16,263,22,13,5,12,20,17,0,86,6,6,0,3,0,0,3,26,241,295,346,412,470,222,60,2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,187,228,268,276,61,7,1121,37,9,5,8,10,0,0,75,0,0,0,0,0,0,0,4,0,0,4,0,0,3,0,12,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,9,22,16,23,21,34,14,3,129,161,210,254,311,333,81,13,1357,0,0,0,0,0,0,0,0
LGA22310,4,6,0,0,0,0,0,18,22,24,24,11,8,4,0,99,89,79,54,31,28,4,0,289,11,21,4,3,5,4,0,45,0,0,0,0,0,0,0,0,15,13,7,7,6,0,0,45,25,33,16,13,7,3,0,91,247,951,1271,1326,911,484,98,5287,624,274,218,205,176,121,31,1647,15,27,16,17,3,8,0,88,2776,4083,3707,3530,2624,1218,229,18173,121,190,102,51,36,10,0,512,44,50,11,15,11,7,0,134,0,3,0,0,0,0,0,3,49,75,26,10,9,5,0,168,13,18,4,3,0,5,0,39,1064,2030,1932,2095,1653,468,30,9268,348,178,94,84,85,39,0,831,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,7,14,19,11,16,16,0,0,82,8,25,21,27,16,4,0,96,249,150,115,135,107,34,5,795,1902,2743,2319,2440,1940,570,39,11946,49,42,24,13,12,0,0,141
LGA22410,0,0,0,0,0,0,0,0,5,5,8,5,5,0,0,31,5,5,8,5,5,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,9,4,0,3,0,0,3,0,14,17,32,49,74,100,94,44,403,74,45,52,90,95,34,3,396,8,4,3,9,0,4,7,41,570,680,741,886,953,367,108,4304,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,403,472,655,537,144,14,2466,103,10,15,21,14,7,0,167,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,7,0,0,8,0,0,0,4,0,0,0,7,27,27,22,25,38,17,7,161,381,452,516,704,593,166,13,2823,0,0,0,0,0,0,0,0
LGA22490,0,0,0,0,0,0,0,4,8,3,6,0,4,0,0,14,8,3,6,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,19,46,59,105,97,81,26,436,44,18,16,32,17,13,0,138,0,3,3,0,5,0,0,15,337,443,455,498,360,192,57,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,261,274,252,155,31,0,1152,57,14,11,9,5,7,0,93,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,3,0,0,4,13,8,10,15,22,11,7,76,241,285,302,278,179,48,11,1334,0,0,0,0,0,0,0,0
LGA22620,22,14,4,0,0,0,0,39,34,37,25,19,21,5,0,140,57,50,39,24,24,8,0,195,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,8,6,8,11,11,6,0,0,45,11,16,15,11,6,0,0,51,110,470,700,708,534,232,66,2823,620,339,325,271,337,152,12,2067,27,28,27,23,27,18,14,161,4073,5419,5083,4882,4103,1252,182,24989,6,4,4,0,6,0,0,23,98,39,25,13,13,7,0,194,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,16,9,4,0,0,0,34,2282,3452,3432,3441,2855,512,28,16008,695,203,131,146,133,26,5,1350,0,0,0,0,4,0,0,6,4,5,5,0,3,0,0,15,4,20,25,28,16,0,0,98,4,14,20,14,12,0,0,61,119,137,92,110,129,30,5,611,3224,3895,3737,3761,3168,589,35,18408,0,0,0,0,0,0,0,3
LGA22670,50,27,14,11,9,3,0,109,96,143,103,65,52,8,0,466,252,301,188,128,97,24,4,999,46,47,32,21,7,0,0,150,8,8,6,0,0,0,0,14,53,70,28,32,32,5,0,211,107,124,62,51,37,6,0,377,201,1154,1630,1586,1083,285,45,5974,752,627,604,546,658,281,46,3515,45,98,63,37,34,15,3,296,7546,15763,15718,15359,12182,3018,311,69890,75,164,61,31,25,6,0,366,164,109,57,48,39,15,0,440,0,4,4,0,0,0,0,11,0,5,0,4,0,0,0,9,48,46,24,21,10,0,0,142,2251,5559,5699,6207,4238,861,44,24860,870,530,338,370,360,99,10,2578,0,3,5,4,9,3,0,25,0,7,3,3,0,0,0,15,8,8,6,7,5,0,0,33,22,36,42,30,24,8,0,159,97,96,65,49,63,13,3,389,3539,6562,6314,6776,4768,1005,62,29021,68,112,44,22,26,3,0,275
LGA22750,30,26,12,7,6,3,0,88,87,92,57,56,35,9,0,341,135,146,93,79,52,18,3,519,19,9,5,4,0,0,0,40,10,7,5,0,0,0,0,23,48,51,44,18,12,7,0,180,76,68,53,26,14,7,0,237,255,1518,2196,1869,1385,617,113,7950,1489,788,693,597,692,321,33,4612,60,61,51,46,32,17,20,290,9006,12894,11847,10788,8594,2690,387,56197,29,62,27,14,9,0,0,144,228,163,94,56,67,15,0,622,0,0,7,0,0,0,0,7,0,3,0,0,0,0,0,3,48,39,31,10,10,0,0,142,4799,7749,7060,7626,5698,1060,62,34044,1514,454,256,258,254,75,3,2813,3,0,0,3,0,0,0,7,8,7,7,4,3,0,0,30,20,48,37,52,40,9,0,205,15,29,37,28,14,10,0,134,296,261,191,251,247,58,3,1307,6948,8822,7739,8309,6341,1232,75,39467,18,22,11,3,0,0,0,54
LGA22830,7,0,0,0,0,0,0,7,25,23,22,15,5,0,3,101,36,23,23,16,5,0,3,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,15,0,0,0,33,3,5,6,15,0,0,0,31,54,156,250,327,288,184,54,1312,267,167,149,161,202,73,17,1032,19,26,16,25,18,9,7,127,2304,3265,2979,3176,2835,940,181,15675,0,4,0,0,0,0,0,8,13,6,5,3,6,6,0,43,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,15,5,0,6,0,0,30,1191,2196,2043,2286,1854,391,13,9974,453,191,125,110,90,19,0,991,0,0,0,4,0,0,0,4,3,0,3,3,0,0,0,14,5,15,6,15,13,5,0,55,0,8,7,13,9,9,0,48,69,91,63,77,106,28,4,434,1759,2522,2263,2503,2080,464,25,11609,0,0,0,0,0,0,0,0
LGA22910,0,0,0,0,0,0,0,4,0,6,0,0,3,0,0,10,0,6,0,3,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,30,95,131,137,91,42,533,62,49,56,40,37,26,0,264,3,3,3,0,4,0,4,25,277,391,465,529,495,244,78,2474,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,141,261,269,401,343,50,4,1464,63,17,20,7,11,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,7,4,0,0,10,11,14,19,21,41,12,4,124,218,298,310,433,403,59,10,1740,0,0,0,0,0,0,0,0
LGA22980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,11,18,10,34,50,26,14,163,7,6,7,14,16,12,0,64,0,0,0,5,4,3,3,14,126,236,187,199,295,103,44,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,122,100,125,148,27,3,584,13,8,3,12,4,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,28,11,23,24,14,0,113,80,166,122,159,172,42,8,740,0,0,0,0,0,0,0,0
LGA23110,8,3,3,3,5,0,0,27,30,39,22,37,12,8,0,149,79,98,60,61,40,15,0,349,14,21,8,10,7,0,0,58,0,0,0,0,0,0,0,0,13,21,13,4,8,0,0,58,31,38,18,17,13,0,0,111,88,507,846,754,503,148,28,2870,439,304,314,245,227,96,6,1639,14,15,22,16,6,7,4,89,2561,5077,5124,4592,3449,866,96,21762,59,82,36,9,10,4,0,207,47,28,9,15,11,5,0,119,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,5,13,17,4,6,0,0,0,41,780,1679,1679,1684,1244,235,16,7310,350,160,103,78,63,15,0,765,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,8,13,10,24,13,12,0,0,73,5,9,12,13,4,0,0,43,90,44,48,64,52,9,4,307,1360,2034,1920,1876,1393,270,21,8877,27,50,21,15,10,0,0,125
LGA23190,0,0,0,0,0,0,0,6,11,14,3,6,5,7,4,49,11,15,3,6,9,7,4,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,3,0,0,0,12,7,5,0,3,0,0,0,12,15,53,93,111,114,58,25,471,77,52,47,36,56,31,6,305,3,9,3,8,0,3,6,28,717,973,851,932,947,320,74,4815,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,8,373,674,586,697,639,124,7,3107,135,26,28,19,23,8,3,241,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,5,0,0,4,6,0,0,19,4,0,4,6,3,0,0,21,34,34,29,30,44,12,0,181,555,747,647,764,727,145,13,3590,0,0,0,0,0,0,0,0
LGA23270,44,35,10,14,12,0,0,114,99,109,72,61,45,6,0,402,202,238,142,113,95,15,0,807,24,33,22,14,5,3,0,93,6,3,5,4,0,0,0,14,55,66,62,33,24,9,0,252,87,99,86,52,32,8,0,367,206,1256,1904,1566,1036,290,39,6295,1011,901,921,932,748,229,18,4753,58,86,87,45,32,7,10,316,7874,15579,15259,13347,9951,2269,218,64496,47,94,32,13,13,0,0,208,108,99,40,42,21,6,0,323,0,0,0,4,0,0,0,4,0,8,3,0,0,0,0,14,23,35,23,20,12,0,0,115,2830,5411,5323,5313,3380,512,22,22794,1124,415,281,260,244,44,3,2368,0,0,4,0,4,0,0,10,5,7,0,0,0,0,0,17,0,13,6,7,7,0,0,30,15,45,41,25,19,5,3,148,78,67,63,63,50,22,0,355,4240,6201,5824,5757,3749,598,32,26390,49,57,19,17,8,6,0,145
LGA23350,0,0,0,0,0,0,0,0,9,4,0,0,4,0,0,14,9,4,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,9,31,57,99,128,73,45,444,59,30,37,46,59,26,6,271,6,0,9,0,4,3,6,24,321,384,459,611,611,262,94,2741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,230,269,387,309,85,10,1418,59,12,7,12,7,3,0,102,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,3,3,4,6,4,0,14,32,9,14,31,47,26,8,162,230,249,293,430,378,118,20,1712,0,0,0,0,0,0,0,0
LGA23430,18,8,4,10,3,0,0,52,63,65,43,26,31,9,0,242,191,184,108,95,70,23,3,674,24,42,11,20,5,4,0,106,3,0,0,0,0,0,0,4,28,51,21,15,10,0,0,130,64,91,34,32,17,6,0,243,216,1082,1729,1749,1127,398,78,6372,1226,590,459,486,509,215,50,3529,33,61,55,32,28,17,12,228,6279,10329,9895,9918,7865,2356,362,47015,133,136,50,32,27,3,0,384,119,95,39,38,38,10,0,351,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,20,17,8,15,5,4,0,73,2347,3864,3899,4686,3263,703,65,18820,820,367,214,204,197,53,9,1875,0,0,3,0,3,0,0,8,4,4,9,7,5,0,0,19,13,13,16,26,25,0,0,91,9,25,17,30,13,8,0,103,191,106,93,125,111,29,5,658,3670,4637,4353,5164,3676,810,82,22385,79,82,30,35,20,8,0,250
