POW_LGA_CODE_2021,LG_650_799_Mng,LG_650_799_Pro,LG_650_799_TecTW,LG_650_799_CoPSW,LG_650_799_ClAW,LG_650_799_SWks,LG_650_799_MaOpDv,LG_650_799_Lab,LG_650_799_IDNS,LG_650_799_Tot,LG_800_999_Mng,LG_800_999_Pro,LG_800_999_TecTW,LG_800_999_CoPSW,LG_800_999_ClAW,LG_800_999_SWks,LG_800_999_MaOpDv,LG_800_999_Lab,LG_800_999_IDNS,LG_800_999_Tot,LG_1000_1249_Mng,LG_1000_1249_Pro,LG_1000_1249_TecTW,LG_1000_1249_CoPSW,LG_1000_1249_ClAW,LG_1000_1249_SWks,LG_1000_1249_MaOpDv,LG_1000_1249_Lab,LG_1000_1249_IDNS,LG_1000_1249_Tot,LG_1250_1499_Mng,LG_1250_1499_Pro,LG_1250_1499_TecTW,LG_1250_1499_CoPSW,LG_1250_1499_ClAW,LG_1250_1499_SWks,LG_1250_1499_MaOpDv,LG_1250_1499_Lab,LG_1250_1499_IDNS,LG_1250_1499_Tot,LG_1500_1749_Mng,LG_1500_1749_Pro,LG_1500_1749_TecTW,LG_1500_1749_CoPSW,LG_1500_1749_ClAW,LG_1500_1749_SWks,LG_1500_1749_MaOpDv,LG_1500_1749_Lab,LG_1500_1749_IDNS,LG_1500_1749_Tot,LG_1750_1999_Mng,LG_1750_1999_Pro,LG_1750_1999_TecTW,LG_1750_1999_CoPSW,LG_1750_1999_ClAW,LG_1750_1999_SWks,LG_1750_1999_MaOpDv,LG_1750_1999_Lab,LG_1750_1999_IDNS,LG_1750_1999_Tot,LG_2000_2999_Mng,LG_2000_2999_Pro,LG_2000_2999_TecTW,LG_2000_2999_CoPSW,LG_2000_2999_ClAW,LG_2000_2999_SWks,LG_2000_2999_MaOpDv,LG_2000_2999_Lab,LG_2000_2999_IDNS,LG_2000_2999_Tot,LG_3000_3499_Mng,LG_3000_3499_Pro,LG_3000_3499_TecTW,LG_3000_3499_CoPSW,LG_3000_3499_ClAW,LG_3000_3499_SWks,LG_3000_3499_MaOpDv,LG_3000_3499_Lab,LG_3000_3499_IDNS,LG_3000_3499_Tot,LG_3500mo_Mng,LG_3500mo_Pro,LG_3500mo_TecTW,LG_3500mo_CoPSW,LG_3500mo_ClAW,LG_3500mo_SWks,LG_3500mo_MaOpDv,LG_3500mo_Lab,LG_3500mo_IDNS,LG_3500mo_Tot,LG_PINS_Mng,LG_PINS_Pro,LG_PINS_TecTW,LG_PINS_CoPSW,LG_PINS_ClAW,LG_PINS_SWks,LG_PINS_MaOpDv,LG_PINS_Lab,LG_PINS_IDNS,LG_PINS_Tot,LG_Tot_Mng,LG_Tot_Pro,LG_Tot_TecTW,LG_Tot_CoPSW,LG_Tot_ClAW,LG_Tot_SWks,LG_Tot_MaOpDv,LG_Tot_Lab,LG_Tot_IDNS,LG_Tot_Tot,Pvte_NNI_Mng,Pvte_NNI_Pro,Pvte_NNI_TecTW,Pvte_NNI_CoPSW,Pvte_NNI_ClAW,Pvte_NNI_SWks,Pvte_NNI_MaOpDv,Pvte_NNI_Lab,Pvte_NNI_IDNS,Pvte_NNI_Tot,Pvte_1_149_Mng,Pvte_1_149_Pro,Pvte_1_149_TecTW,Pvte_1_149_CoPSW,Pvte_1_149_ClAW,Pvte_1_149_SWks,Pvte_1_149_MaOpDv,Pvte_1_149_Lab,Pvte_1_149_IDNS,Pvte_1_149_Tot,Pvte_150_299_Mng,Pvte_150_299_Pro,Pvte_150_299_TecTW,Pvte_150_299_CoPSW,Pvte_150_299_ClAW,Pvte_150_299_SWks,Pvte_150_299_MaOpDv,Pvte_150_299_Lab,Pvte_150_299_IDNS,Pvte_150_299_Tot,Pvte_300_399_Mng,Pvte_300_399_Pro,Pvte_300_399_TecTW,Pvte_300_399_CoPSW,Pvte_300_399_ClAW,Pvte_300_399_SWks,Pvte_300_399_MaOpDv,Pvte_300_399_Lab,Pvte_300_399_IDNS,Pvte_300_399_Tot,Pvte_400_499_Mng,Pvte_400_499_Pro,Pvte_400_499_TecTW,Pvte_400_499_CoPSW,Pvte_400_499_ClAW,Pvte_400_499_SWks,Pvte_400_499_MaOpDv,Pvte_400_499_Lab,Pvte_400_499_IDNS,Pvte_400_499_Tot,Pvte_500_649_Mng,Pvte_500_649_Pro,Pvte_500_649_TecTW,Pvte_500_649_CoPSW,Pvte_500_649_ClAW,Pvte_500_649_SWks,Pvte_500_649_MaOpDv,Pvte_500_649_Lab,Pvte_500_649_IDNS,Pvte_500_649_Tot,Pvte_650_799_Mng,Pvte_650_799_Pro,Pvte_650_799_TecTW,Pvte_650_799_CoPSW,Pvte_650_799_ClAW,Pvte_650_799_SWks,Pvte_650_799_MaOpDv,Pvte_650_799_Lab,Pvte_650_799_IDNS,Pvte_650_799_Tot,Pvte_800_999_Mng,Pvte_800_999_Pro,Pvte_800_999_TecTW,Pvte_800_999_CoPSW,Pvte_800_999_ClAW,Pvte_800_999_SWks,Pvte_800_999_MaOpDv,Pvte_800_999_Lab,Pvte_800_999_IDNS,Pvte_800_999_Tot,Pvte_1000_1249_Mng,Pvte_1000_1249_Pro,Pvte_1000_1249_TecTW,Pvte_1000_1249_CoPSW,Pvte_1000_1249_ClAW,Pvte_1000_1249_SWks,Pvte_1000_1249_MaOpDv,Pvte_1000_1249_Lab,Pvte_1000_1249_IDNS,Pvte_1000_1249_Tot
LGA21270,0,0,0,7,0,0,3,3,0,15,0,0,5,0,3,0,3,7,0,22,3,0,3,0,4,0,9,8,0,31,0,8,0,0,3,0,0,0,0,20,4,3,0,0,3,0,0,0,0,17,0,5,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,11,18,23,0,19,24,0,122,15,0,9,3,3,4,4,6,0,40,16,0,0,5,3,21,0,30,0,70,14,4,5,8,5,14,0,13,0,63,25,4,11,9,5,8,5,20,0,92,42,0,12,16,13,18,10,14,0,132,51,8,18,23,23,20,3,35,0,178,73,18,33,15,16,23,12,50,0,236,112,22,34,16,20,10,28,49,4,300,114,33,53,8,28,17,34,47,0,336
LGA21370,0,3,0,7,5,0,0,0,0,18,3,7,6,8,5,0,4,3,0,34,4,6,9,3,13,0,9,8,0,55,5,12,5,4,10,0,6,3,0,49,4,15,7,0,14,0,7,4,0,52,5,13,4,4,8,0,0,0,0,26,16,16,3,3,0,0,0,0,0,31,4,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,43,71,36,42,72,4,21,42,3,334,63,4,15,10,11,15,3,17,3,144,50,11,22,88,24,265,7,159,5,630,73,10,36,57,36,141,13,126,3,503,94,26,52,70,49,98,23,99,4,514,100,40,118,116,61,105,17,130,6,691,192,51,187,222,123,164,58,250,16,1256,231,98,237,268,193,238,81,263,7,1625,282,161,351,237,238,205,157,353,19,2008,372,230,403,251,234,114,241,310,22,2168
LGA21450,0,6,4,8,3,0,0,9,0,32,0,19,8,5,15,0,4,6,0,54,0,32,7,9,30,0,5,13,3,92,3,38,7,0,25,0,7,4,4,92,6,46,0,0,23,0,4,0,0,89,8,35,4,0,9,0,4,0,3,69,21,50,0,0,8,0,4,0,0,90,9,3,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,9,0,3,0,0,4,0,0,0,0,3,64,226,44,41,136,0,31,101,11,639,73,25,33,20,28,30,13,30,13,252,41,53,54,202,71,567,30,429,16,1457,65,75,74,246,98,366,28,253,10,1221,81,84,130,221,142,226,51,187,9,1131,125,80,234,300,201,280,76,247,16,1555,163,135,425,487,301,372,119,338,18,2371,255,196,497,601,337,352,205,515,30,2987,381,322,766,570,430,347,322,679,50,3875,467,443,876,371,510,258,446,587,37,3997
LGA21610,0,27,4,58,20,0,0,16,0,133,4,36,5,72,32,0,3,15,3,176,3,48,16,28,54,0,4,24,3,173,13,70,18,33,74,0,4,12,5,221,19,104,11,16,69,0,0,7,3,240,31,118,7,16,37,0,0,12,5,215,65,81,8,11,26,0,0,5,6,198,8,3,4,0,5,0,0,0,0,17,19,8,0,0,4,0,0,0,0,30,0,0,5,4,0,0,0,4,0,14,156,496,80,285,350,3,15,239,34,1672,96,53,79,84,75,97,17,87,26,607,56,171,110,491,170,1419,74,759,33,3276,100,216,170,599,226,1306,121,677,30,3438,147,211,260,619,348,950,157,535,40,3273,206,252,453,712,424,925,223,620,34,3851,354,439,863,1287,737,1123,378,847,63,6093,522,625,1145,1628,939,1065,596,1128,91,7741,826,950,1707,1725,1323,1078,1074,1433,115,10234,1151,1510,1860,1278,1374,770,1074,984,131,10136
LGA21670,0,0,4,5,0,0,0,0,0,12,0,4,0,7,3,0,0,3,0,19,0,5,5,5,7,0,6,6,0,30,0,0,3,0,8,0,3,0,0,21,5,9,0,0,3,0,0,0,0,15,3,9,0,0,0,0,0,0,0,12,9,6,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,34,14,25,25,0,5,26,0,151,18,0,0,3,0,4,0,7,0,40,16,3,7,19,8,67,3,49,0,168,9,7,15,18,11,42,4,31,0,146,31,9,29,34,17,39,8,38,0,202,20,5,44,38,32,34,6,48,5,217,42,21,46,69,47,77,11,69,7,388,53,31,77,88,49,72,34,110,4,509,66,39,111,81,55,68,55,123,4,598,62,75,99,80,57,27,59,61,3,533
LGA21750,0,3,0,13,10,0,0,3,0,31,3,0,0,11,6,0,4,3,0,35,5,6,9,8,9,0,8,7,5,48,0,11,0,3,9,0,7,3,0,37,10,16,0,3,9,0,0,4,0,45,5,7,5,0,5,0,0,0,0,23,5,8,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,43,54,18,50,61,4,24,37,5,288,47,4,6,5,8,9,3,22,0,100,21,14,25,45,7,134,4,96,0,359,53,21,13,42,26,82,8,92,6,348,61,15,27,52,35,80,6,96,4,379,70,28,61,71,44,63,18,97,3,461,109,50,117,141,79,105,28,165,0,802,147,67,140,156,99,119,51,212,4,987,187,91,204,188,141,100,127,455,7,1508,206,170,260,161,128,71,174,447,12,1625
LGA21830,0,4,0,8,3,0,0,0,0,23,0,5,0,7,6,0,3,0,0,26,0,7,9,4,10,0,16,5,0,54,3,11,0,3,10,0,3,0,0,35,3,12,0,0,6,0,0,0,0,24,0,6,3,0,0,0,0,0,5,10,10,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,52,17,37,39,0,22,16,3,209,59,3,0,7,4,0,0,15,3,97,23,5,6,29,8,74,8,69,0,227,57,12,29,22,3,57,11,54,7,248,54,8,23,31,17,27,6,48,0,215,99,17,37,38,28,37,11,71,8,350,110,18,67,62,51,50,19,114,5,495,153,34,88,95,40,63,39,125,0,636,217,36,111,77,63,53,92,146,6,808,264,71,136,69,67,33,114,150,10,910
LGA21890,0,11,4,18,13,0,0,17,0,58,4,11,3,22,19,0,5,11,6,79,7,27,10,20,17,5,4,11,0,107,8,24,19,8,45,0,6,7,0,126,16,62,11,18,40,0,8,3,0,171,14,56,10,16,19,0,0,4,0,112,36,66,3,10,20,0,0,3,0,138,10,3,0,0,0,0,0,0,0,20,12,0,0,0,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,7,117,272,67,157,199,3,27,107,12,967,50,43,33,28,27,35,10,38,10,281,29,128,46,257,77,598,33,290,10,1461,53,162,118,346,135,570,59,244,15,1698,97,206,157,478,172,509,88,227,14,1947,128,227,225,505,225,477,119,332,29,2258,204,375,500,801,413,595,246,466,33,3631,300,494,656,970,516,603,379,540,46,4504,487,728,937,1035,776,574,717,605,63,5933,755,1122,1043,941,915,491,534,428,80,6315
LGA22110,0,5,0,11,9,0,4,5,0,32,3,5,4,5,20,0,0,4,0,45,11,7,9,4,25,0,4,20,0,77,3,23,0,5,29,0,0,4,0,69,9,20,3,5,22,0,0,0,0,54,9,15,3,0,9,0,0,0,4,40,15,8,3,0,3,0,0,0,0,26,5,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,64,77,28,35,127,6,18,57,8,424,60,8,10,6,12,11,3,15,0,128,46,17,26,90,14,211,13,148,0,570,54,29,40,72,40,127,9,109,3,493,100,28,67,112,68,114,25,149,9,670,128,36,120,145,95,125,29,150,3,833,168,80,227,284,171,231,62,275,15,1508,218,117,250,349,218,229,110,339,23,1845,264,151,351,268,247,239,210,380,26,2129,316,240,389,235,267,154,211,290,20,2126
LGA22170,0,0,4,28,7,0,0,7,0,56,4,6,3,22,15,0,0,10,0,69,5,27,15,13,46,5,0,18,0,129,7,28,21,14,42,0,5,9,0,121,10,52,3,13,31,0,3,6,3,120,18,36,12,8,19,0,0,0,0,94,28,49,4,9,19,0,0,0,0,113,5,4,0,0,0,0,0,0,0,9,12,6,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,4,86,219,78,123,207,4,13,99,9,837,49,22,44,35,49,51,14,36,20,321,33,62,53,262,78,697,42,449,24,1692,58,94,104,293,157,646,50,331,18,1737,92,113,155,338,192,443,67,319,16,1716,113,153,255,426,255,474,80,326,19,2101,182,233,520,693,464,680,122,510,29,3427,299,336,697,816,636,589,288,650,44,4345,473,574,1052,977,848,587,570,788,57,5926,705,800,1206,794,971,433,481,535,85,6014
