POW_LGA_CODE_2021,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
LGA21270,0,13,7,17,4,0,4,25,3,31,99,23,117,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,3,18,19,0,4,0,0,0,0,0,20,21,0,0,0,0,0,0,5,0,5,5,4,5,0,0,0,18,27,47,0,3,3,18,34,49,0,0,0,0,5,4,4,7,14,7,14,19,0,0,0,72,57,127,0,0,0,8,0,7,81,56,136,0,3,3,62,173,236,0,0,0,0,6,9,63,184,247,0,5,7,21,140,159,12,39,50,4,55,61,5,31,31,38,267,310,0,0,0,0,3,3,3,0,5,10,16,28,0,0,0,10,23,32,0,0,0,46,7,53,4,14,20,0,0,0,49,28,77,37,21,55,23,14,39,1432,1153,2590
LGA21370,15,40,40,79,9,9,18,39,13,52,434,126,555,0,0,3,6,12,14,7,3,13,0,0,0,0,0,0,0,0,5,6,11,8,3,4,5,21,29,53,0,4,5,26,77,102,17,38,59,26,33,58,68,155,224,0,0,0,22,7,34,41,79,120,72,90,157,0,0,5,195,301,499,38,8,49,240,307,551,0,0,0,38,90,123,94,100,198,133,188,324,0,0,0,168,233,399,3,4,3,91,37,124,257,273,532,3,8,15,243,864,1107,10,17,27,16,53,61,271,941,1210,0,22,29,118,952,1066,126,421,544,55,451,514,112,541,657,419,2389,2809,0,0,3,9,10,23,5,5,9,48,52,99,0,5,9,67,78,143,0,0,0,304,61,363,73,297,366,0,0,0,377,352,729,250,131,377,176,116,291,8098,8268,16371
LGA21450,21,188,115,303,34,16,45,39,23,60,1057,312,1369,0,0,3,22,29,49,18,6,26,6,0,4,0,0,0,49,18,67,17,6,18,12,25,34,121,89,213,7,4,15,45,113,163,21,40,65,95,72,166,173,236,409,0,0,0,39,30,68,111,219,334,151,255,398,5,0,9,518,663,1181,138,43,187,659,708,1372,0,0,0,58,136,195,321,262,579,377,392,775,0,0,0,264,416,676,15,9,20,216,126,342,502,543,1048,14,37,51,663,2714,3379,19,27,48,87,215,304,781,2996,3775,11,55,61,33,206,242,223,835,1055,70,564,631,153,1187,1333,496,2833,3326,5,5,11,32,15,44,28,36,67,203,302,508,4,9,10,274,365,637,0,0,0,608,120,729,130,522,651,0,3,3,734,647,1379,646,368,1015,305,212,516,15729,15752,31486
LGA21610,6,569,169,741,159,27,182,207,96,301,3085,585,3673,6,4,6,14,15,31,64,49,110,9,0,12,6,3,14,255,78,334,189,82,267,17,102,114,553,330,886,21,12,36,226,319,543,99,209,310,249,143,391,590,688,1280,0,0,0,129,55,182,451,516,972,584,570,1155,5,7,9,1049,1308,2360,544,188,730,1597,1502,3100,0,4,4,348,474,823,811,641,1449,1154,1120,2274,0,0,4,602,1372,1979,18,8,22,563,237,797,1184,1617,2806,50,117,171,1729,7365,9096,181,317,497,290,571,855,2244,8371,10615,32,150,177,613,2786,3405,782,2760,3542,273,1615,1887,579,3108,3690,2282,10421,12700,10,8,21,69,79,146,42,64,112,493,646,1139,23,36,58,636,835,1468,0,0,0,1283,285,1568,418,1319,1734,0,12,12,1708,1611,3317,1720,1045,2765,769,499,1271,38718,43535,82257
LGA21670,0,13,21,40,6,8,12,5,9,11,145,59,205,0,0,0,13,13,28,3,0,5,0,0,0,0,0,0,0,0,7,3,0,3,0,0,3,21,23,41,0,0,0,3,15,15,0,3,6,6,8,19,7,26,36,0,0,0,0,0,0,4,14,18,5,11,18,0,0,0,24,63,93,7,8,16,33,70,104,0,0,0,7,19,23,24,29,47,32,44,76,0,0,0,80,115,194,0,0,0,46,17,60,123,130,252,0,4,6,98,281,382,5,5,9,11,0,16,115,294,411,5,17,23,39,251,290,38,123,156,22,146,165,66,171,238,169,709,876,0,0,0,4,0,3,6,3,6,25,29,46,0,6,6,25,38,64,0,0,0,75,11,89,18,59,80,0,0,0,95,65,164,71,49,123,51,34,82,2058,2378,4438
LGA21750,4,30,14,43,11,13,20,0,0,4,256,67,328,0,0,0,11,17,31,7,0,9,11,3,10,0,0,0,15,10,25,0,0,0,3,13,20,50,51,95,0,5,4,24,31,62,3,0,8,26,10,37,58,52,109,0,0,0,0,3,3,22,54,76,27,52,83,0,0,0,101,159,266,20,0,20,120,161,285,0,0,0,49,85,134,112,72,184,167,156,319,0,0,0,180,215,394,3,0,3,75,29,109,259,247,509,0,10,9,150,529,676,0,15,19,10,24,36,165,578,736,0,17,19,52,419,474,68,238,314,27,176,200,79,339,419,229,1189,1424,0,0,3,16,12,27,7,10,16,28,29,58,0,5,4,56,54,112,0,0,0,169,27,196,32,105,136,0,0,0,200,132,334,148,81,227,107,74,185,5480,5022,10496
LGA21830,5,23,29,50,0,0,0,9,3,11,236,74,310,0,0,0,6,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,7,15,0,0,3,3,24,31,0,0,0,8,4,14,11,31,42,0,0,0,5,0,0,14,12,26,18,13,29,0,0,0,57,103,162,8,0,11,67,110,173,0,0,0,8,3,11,36,59,98,50,56,112,3,0,3,93,130,223,0,0,0,24,11,40,116,143,260,4,9,8,108,389,498,19,16,37,0,13,12,128,425,552,0,11,12,28,289,320,39,140,173,29,168,198,34,125,159,134,725,861,0,0,0,7,14,16,5,6,10,15,12,34,0,0,0,30,32,61,0,0,0,86,17,107,20,49,66,0,0,0,106,67,176,101,50,156,84,61,151,4010,3340,7344
LGA21890,4,337,98,430,43,17,55,163,62,232,1352,315,1665,14,4,15,28,47,74,129,91,215,26,11,32,3,4,8,114,49,159,91,23,113,21,55,77,415,280,693,19,16,33,194,228,421,49,62,115,115,80,199,379,394,773,0,4,0,64,36,104,281,339,620,341,382,722,19,12,33,1212,1386,2597,476,124,602,1710,1526,3237,0,3,3,222,377,607,438,353,790,666,736,1400,0,9,7,607,1133,1740,16,0,14,815,539,1355,1431,1683,3111,48,127,173,769,2590,3359,1298,2028,3331,204,472,674,2317,5208,7531,34,81,112,127,670,799,630,1886,2516,377,1298,1679,659,2290,2951,1830,6226,8050,8,11,26,22,21,36,242,236,483,245,260,501,17,17,25,537,535,1074,0,0,0,773,172,938,379,818,1202,0,27,27,1152,1022,2177,1138,732,1874,424,302,735,26082,27883,53965
LGA22110,26,62,49,107,63,22,87,11,5,12,473,139,605,0,0,0,12,16,29,12,4,15,3,0,5,0,0,0,26,4,27,6,0,10,0,0,0,51,28,79,0,0,4,23,65,87,12,18,32,15,30,48,51,105,162,0,0,0,18,10,23,48,114,162,65,117,186,0,0,5,225,309,536,31,7,41,259,325,583,0,0,0,50,82,131,134,146,279,178,231,410,0,5,6,353,415,765,5,3,5,186,90,281,547,511,1058,13,19,34,303,1142,1443,51,79,135,26,51,74,389,1292,1685,16,51,66,176,741,912,202,713,916,80,445,522,102,534,640,567,2487,3057,0,3,3,55,39,88,9,13,31,53,51,100,4,9,7,118,116,232,0,0,0,311,59,366,83,240,326,0,0,0,395,300,693,218,135,356,200,171,375,8572,9185,17762
LGA22170,4,269,194,461,50,26,75,106,38,148,1017,414,1429,3,0,6,17,16,29,61,60,122,7,0,11,3,0,3,117,55,168,21,11,34,0,24,30,229,169,398,13,10,18,83,144,228,63,76,142,156,124,273,310,349,660,0,0,0,76,39,115,195,338,527,270,375,644,12,3,13,736,1021,1759,297,113,405,1040,1140,2174,5,5,11,175,399,577,545,419,968,725,833,1560,0,5,5,422,832,1256,13,5,18,510,202,717,947,1050,1992,27,55,81,763,2953,3720,116,217,335,132,242,371,1047,3467,4513,23,112,136,1097,4375,5473,616,1851,2461,218,1163,1380,349,2073,2424,2299,9570,11875,10,14,25,19,23,45,34,64,97,296,256,550,8,13,23,368,376,744,0,0,0,779,164,945,253,803,1055,0,9,9,1036,974,2007,1233,667,1896,373,308,683,23800,28247,52045
LGA22250,0,10,18,28,3,0,3,3,0,3,76,35,104,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,19,23,0,3,8,11,4,12,8,31,43,0,0,0,0,0,3,13,8,19,9,12,23,0,0,0,43,67,111,0,0,3,45,68,114,0,0,0,5,9,13,20,26,41,20,35,54,0,0,0,87,154,238,0,0,0,24,6,26,109,158,264,0,0,0,49,178,225,0,6,13,0,0,4,56,188,241,0,0,4,18,196,216,25,70,87,16,95,113,13,50,64,64,418,482,0,0,0,3,0,5,0,0,0,7,0,7,0,0,0,12,3,14,0,0,0,77,17,92,4,44,49,0,0,0,82,60,141,74,29,100,45,38,86,2049,1835,3880
