POW_LGA_CODE_2021,FTS_None_Mng,FTS_None_Pro,FTS_None_TecTW,FTS_None_CoPSW,FTS_None_ClAW,FTS_None_SWks,FTS_None_MaOpDv,FTS_None_Lab,FTS_None_IDNS,FTS_None_Tot,FTS_1_15_Mng,FTS_1_15_Pro,FTS_1_15_TecTW,FTS_1_15_CoPSW,FTS_1_15_ClAW,FTS_1_15_SWks,FTS_1_15_MaOpDv,FTS_1_15_Lab,FTS_1_15_IDNS,FTS_1_15_Tot,FTS_16_24_Mng,FTS_16_24_Pro,FTS_16_24_TecTW,FTS_16_24_CoPSW,FTS_16_24_ClAW,FTS_16_24_SWks,FTS_16_24_MaOpDv,FTS_16_24_Lab,FTS_16_24_IDNS,FTS_16_24_Tot,FTS_25_34_Mng,FTS_25_34_Pro,FTS_25_34_TecTW,FTS_25_34_CoPSW,FTS_25_34_ClAW,FTS_25_34_SWks,FTS_25_34_MaOpDv,FTS_25_34_Lab,FTS_25_34_IDNS,FTS_25_34_Tot,FTS_35_39_Mng,FTS_35_39_Pro,FTS_35_39_TecTW,FTS_35_39_CoPSW,FTS_35_39_ClAW,FTS_35_39_SWks,FTS_35_39_MaOpDv,FTS_35_39_Lab,FTS_35_39_IDNS,FTS_35_39_Tot,FTS_40_Mng,FTS_40_Pro,FTS_40_TecTW,FTS_40_CoPSW,FTS_40_ClAW,FTS_40_SWks,FTS_40_MaOpDv,FTS_40_Lab,FTS_40_IDNS,FTS_40_Tot,FTS_41_48_Mng,FTS_41_48_Pro,FTS_41_48_TecTW,FTS_41_48_CoPSW,FTS_41_48_ClAW,FTS_41_48_SWks,FTS_41_48_MaOpDv,FTS_41_48_Lab,FTS_41_48_IDNS,FTS_41_48_Tot,FTS_49ov_Mng,FTS_49ov_Pro,FTS_49ov_TecTW,FTS_49ov_CoPSW,FTS_49ov_ClAW,FTS_49ov_SWks,FTS_49ov_MaOpDv,FTS_49ov_Lab,FTS_49ov_IDNS,FTS_49ov_Tot,FTS_NS_Mng,FTS_NS_Pro,FTS_NS_TecTW,FTS_NS_CoPSW,FTS_NS_ClAW,FTS_NS_SWks,FTS_NS_MaOpDv,FTS_NS_Lab,FTS_NS_IDNS,FTS_NS_Tot,FTS_Tot_Mng,FTS_Tot_Pro,FTS_Tot_TecTW,FTS_Tot_CoPSW,FTS_Tot_ClAW,FTS_Tot_SWks,FTS_Tot_MaOpDv,FTS_Tot_Lab,FTS_Tot_Inad_des_Tot,FTS_Tot_Tot,PTS_None_Mng,PTS_None_Pro,PTS_None_TecTW,PTS_None_CoPSW,PTS_None_ClAW,PTS_None_SWks,PTS_None_MaOpDv,PTS_None_Lab,PTS_None_IDNS,PTS_None_Tot,PTS_1_15_Mng,PTS_1_15_Pro,PTS_1_15_TecTW,PTS_1_15_CoPSW,PTS_1_15_ClAW,PTS_1_15_SWks,PTS_1_15_MaOpDv,PTS_1_15_Lab,PTS_1_15_IDNS,PTS_1_15_Tot,PTS_16_24_Mng,PTS_16_24_Pro,PTS_16_24_TecTW,PTS_16_24_CoPSW,PTS_16_24_ClAW,PTS_16_24_SWks,PTS_16_24_MaOpDv,PTS_16_24_Lab,PTS_16_24_IDNS,PTS_16_24_Tot,PTS_25_34_Mng,PTS_25_34_Pro,PTS_25_34_TecTW,PTS_25_34_CoPSW,PTS_25_34_ClAW,PTS_25_34_SWks,PTS_25_34_MaOpDv,PTS_25_34_Lab,PTS_25_34_IDNS,PTS_25_34_Tot,PTS_35_39_Mng,PTS_35_39_Pro,PTS_35_39_TecTW,PTS_35_39_CoPSW,PTS_35_39_ClAW,PTS_35_39_SWks,PTS_35_39_MaOpDv,PTS_35_39_Lab,PTS_35_39_IDNS,PTS_35_39_Tot,PTS_40_Mng,PTS_40_Pro,PTS_40_TecTW,PTS_40_CoPSW,PTS_40_ClAW,PTS_40_SWks,PTS_40_MaOpDv,PTS_40_Lab,PTS_40_IDNS,PTS_40_Tot,PTS_41_48_Mng,PTS_41_48_Pro,PTS_41_48_TecTW,PTS_41_48_CoPSW,PTS_41_48_ClAW,PTS_41_48_SWks,PTS_41_48_MaOpDv,PTS_41_48_Lab,PTS_41_48_IDNS,PTS_41_48_Tot,PTS_49ov_Mng,PTS_49ov_Pro,PTS_49ov_TecTW,PTS_49ov_CoPSW,PTS_49ov_ClAW,PTS_49ov_SWks,PTS_49ov_MaOpDv,PTS_49ov_Lab,PTS_49ov_IDNS,PTS_49ov_Tot,PTS_NS_Mng,PTS_NS_Pro,PTS_NS_TecTW,PTS_NS_CoPSW,PTS_NS_ClAW,PTS_NS_SWks,PTS_NS_MaOpDv,PTS_NS_Lab,PTS_NS_IDNS,PTS_NS_Tot,PTS_Tot_Mng,PTS_Tot_Pro,PTS_Tot_TecTW,PTS_Tot_CoPSW,PTS_Tot_ClAW,PTS_Tot_SWks,PTS_Tot_MaOpDv,PTS_Tot_Lab,PTS_Tot_Inad_des_Tot,PTS_Tot_Tot
LGA21270,0,0,0,0,0,0,3,0,0,4,5,0,0,5,0,18,0,36,0,74,0,0,0,3,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,8,0,4,12,3,26,5,44,4,107,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,5,0,3,0,0,0,0,0,0,8,8,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,4,3,0,0,6,0,35
LGA21370,4,0,6,41,0,50,4,29,8,143,3,7,15,72,19,278,8,155,8,559,4,0,4,5,0,38,0,17,0,70,0,3,0,6,0,4,0,3,0,20,0,0,9,9,0,0,0,0,0,20,5,0,7,0,0,5,0,3,0,20,0,0,8,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,7,0,0,0,3,0,6,0,3,4,27,18,23,45,136,21,380,12,214,20,876,0,0,4,5,0,4,0,0,0,19,0,0,0,5,0,11,4,0,0,21,0,7,3,8,3,9,0,3,0,35,0,0,3,13,6,4,0,4,0,32,6,4,54,17,8,9,0,4,0,91,4,4,39,0,0,0,3,3,0,51,0,4,11,0,0,0,0,4,0,26,0,0,8,5,0,0,0,0,0,16,0,0,6,0,0,0,0,4,0,6,12,14,133,62,17,39,8,18,3,300
LGA21450,3,5,9,87,3,68,4,81,4,265,22,47,33,240,55,750,25,458,14,1634,4,16,25,57,16,128,17,90,0,366,3,8,6,31,13,44,3,33,0,142,5,6,13,18,4,17,0,6,0,69,3,0,11,3,0,5,0,8,0,30,0,0,6,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,3,3,7,0,16,0,4,15,48,48,77,107,461,93,1027,46,679,34,2582,0,0,6,7,4,0,0,3,0,23,3,8,13,22,0,26,8,11,0,86,7,4,23,16,5,18,9,12,4,96,4,3,13,12,5,9,5,14,0,71,5,0,102,34,14,9,3,14,0,178,4,4,103,7,3,0,4,8,0,133,0,0,47,0,0,3,0,0,0,54,0,0,26,3,3,0,4,4,0,43,0,0,3,0,0,0,0,0,3,11,19,20,339,104,42,66,27,79,12,702
LGA21610,9,17,19,209,24,310,5,90,5,684,44,184,86,668,206,2254,105,1029,27,4613,39,54,79,218,86,598,78,323,13,1488,24,32,17,77,42,171,14,76,7,458,12,20,47,32,16,38,6,16,3,188,4,14,24,14,7,8,0,9,0,80,0,0,12,3,4,5,0,5,4,36,5,0,5,10,7,3,7,3,0,34,4,0,0,9,7,32,4,9,23,86,138,330,296,1247,391,3405,214,1563,83,7671,5,6,14,17,0,14,0,12,0,60,4,15,24,60,18,96,4,51,9,284,3,8,43,59,20,73,7,51,5,279,10,13,47,44,22,35,9,28,6,222,16,29,162,54,21,25,3,17,7,331,8,13,160,13,9,7,0,10,4,214,0,6,79,4,4,0,0,3,0,93,5,4,43,0,0,4,0,0,0,59,0,0,3,4,0,0,0,0,7,22,55,91,568,267,95,265,35,168,36,1569
LGA21670,0,0,0,7,0,5,0,9,0,22,0,0,5,22,4,75,0,34,0,145,0,0,0,3,0,18,0,6,0,27,0,0,0,4,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,6,10,36,9,98,0,51,0,221,0,0,5,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,9,0,0,0,4,0,5,0,0,0,7,0,0,3,3,0,0,0,0,0,6,0,3,13,4,3,0,0,0,0,18,4,0,8,0,0,3,0,0,0,17,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,25,17,5,11,0,4,4,69
LGA21750,0,0,0,23,5,19,3,18,0,69,3,7,20,47,7,149,0,114,3,350,4,3,6,7,5,21,0,15,0,58,0,0,0,7,0,6,0,3,0,11,0,0,3,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,16,10,34,76,13,199,5,160,10,522,0,0,3,4,0,0,0,0,0,4,0,0,4,4,0,4,0,0,0,20,0,0,0,7,0,5,0,5,0,21,0,0,3,8,0,4,0,0,0,22,0,3,18,9,3,0,4,4,0,42,5,4,28,0,0,0,0,0,0,38,0,0,14,0,0,0,0,0,0,17,0,0,6,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,11,9,81,33,6,19,5,23,0,182
LGA21830,0,0,0,5,0,10,0,10,0,28,15,5,3,28,0,96,11,65,0,219,0,5,9,7,0,7,0,12,0,31,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,4,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,4,0,0,0,7,5,32,18,6,15,60,6,118,7,84,9,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,11,0,0,0,5,0,3,0,0,0,10,0,0,8,4,0,0,0,0,0,16,0,0,14,8,0,0,5,0,0,28,0,0,12,0,0,0,0,6,0,13,4,0,8,0,0,0,0,9,0,16,0,0,0,0,0,0,0,0,0,0,10,0,48,13,0,8,0,22,0,107
LGA21890,8,15,3,182,16,183,6,47,5,467,28,130,54,461,141,969,68,408,17,2278,16,26,45,159,73,241,42,143,10,753,16,12,19,58,21,71,12,30,7,243,0,11,22,15,12,11,9,11,4,90,4,3,30,14,7,13,6,0,0,84,0,5,7,4,0,5,0,0,0,23,3,0,6,0,0,0,0,0,0,11,0,0,3,4,0,21,3,7,21,67,87,201,196,903,272,1507,133,646,62,4008,0,0,15,13,4,15,0,0,0,50,3,5,15,46,11,65,10,23,0,172,5,10,20,33,15,32,3,24,0,141,6,7,28,23,14,23,0,6,0,116,8,15,55,18,20,7,0,3,0,123,3,7,83,3,8,0,0,0,0,108,5,0,34,0,0,0,0,0,0,39,0,3,4,5,0,0,0,0,0,17,0,0,5,5,0,0,0,0,4,19,26,51,273,144,66,144,19,63,12,796
LGA22110,0,0,0,30,0,39,0,23,0,99,8,4,9,91,4,226,3,124,0,474,0,0,3,5,0,29,0,14,0,57,0,0,0,7,0,5,0,3,0,20,0,6,13,4,0,0,0,0,0,22,0,0,10,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,4,15,25,9,13,36,151,15,301,6,173,16,724,0,3,0,4,0,0,0,0,0,8,0,0,11,12,0,9,0,4,0,33,0,3,4,19,0,6,0,4,0,40,3,6,6,19,0,13,0,0,0,51,3,3,33,14,6,0,3,0,0,74,5,0,44,5,0,0,0,0,0,51,0,0,9,0,0,0,0,0,0,14,0,0,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,10,15,120,76,16,24,5,15,0,290
LGA22170,9,12,6,140,17,138,6,63,10,402,12,42,31,370,81,1012,52,519,24,2149,11,29,31,110,61,257,28,148,3,693,21,11,7,46,19,76,4,40,6,223,7,4,29,20,14,12,3,11,0,96,4,4,17,8,0,9,0,6,0,48,0,4,12,5,4,0,0,0,0,22,0,0,0,0,0,4,0,0,0,13,0,3,0,8,6,22,0,3,15,58,67,112,138,705,196,1530,98,796,62,3700,0,3,9,8,6,15,0,4,0,49,4,7,7,21,3,64,0,24,0,138,6,7,17,29,20,41,8,32,0,155,5,11,17,36,15,22,8,9,0,122,7,17,118,39,21,10,3,0,3,206,3,3,169,7,5,5,4,4,0,207,6,6,59,5,0,3,0,0,0,79,3,0,20,0,0,0,0,0,0,28,0,0,0,4,0,0,0,0,3,22,29,56,422,160,67,157,17,85,15,1001
LGA22250,0,0,3,3,0,3,0,3,0,12,3,5,4,19,0,32,0,29,0,92,3,0,0,3,0,5,0,4,0,15,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,8,25,6,44,0,33,3,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,9,0,5,0,10,0,38
LGA22310,5,23,16,162,13,74,7,47,9,357,29,204,47,649,184,726,37,363,21,2258,20,45,54,192,101,164,22,111,0,718,9,10,17,63,28,48,7,18,0,212,3,5,22,24,6,0,0,5,5,76,0,4,11,15,5,3,3,0,0,48,4,4,9,3,0,0,0,0,0,18,4,5,6,11,0,0,5,0,0,22,0,0,0,6,6,0,0,3,10,32,74,305,175,1131,347,1026,76,550,47,3733,0,0,3,7,0,4,0,4,0,25,3,17,4,40,17,23,0,18,0,135,3,8,26,28,17,23,0,26,0,129,5,12,17,30,13,15,3,4,3,91,4,10,44,14,15,3,0,5,0,101,0,6,67,3,4,0,0,3,0,83,0,3,13,8,0,0,0,0,0,27,0,5,7,7,4,4,0,0,0,22,0,0,7,3,0,0,0,0,5,11,16,54,184,139,64,78,6,70,9,623
