POW_LGA_CODE_2021,AgFF_AgFF_nfd_M,AgFF_AgFF_nfd_F,AgFF_AgFF_nfd_P,AgFF_Agriculture_M,AgFF_Agriculture_F,AgFF_Agriculture_P,AgFF_Aquaculture_M,AgFF_Aquaculture_F,AgFF_Aquaculture_P,AgFF_Forestry_logging_M,AgFF_Forestry_logging_F,AgFF_Forestry_logging_P,AgFF_Fishing_hunt_trap_M,AgFF_Fishing_hunt_trap_F,AgFF_Fishing_hunt_trap_P,AgFF_AgFF_support_Svs_M,AgFF_AgFF_support_Svs_F,AgFF_AgFF_support_Svs_P,AgFF_Tot_M,AgFF_Tot_F,AgFF_Tot_P,Min_Min_nfd_M,Min_Min_nfd_F,Min_Min_nfd_P,Min_Coal_min_M,Min_Coal_min_F,Min_Coal_min_P,Min_Oil_gas_extrac_M,Min_Oil_gas_extrac_F,Min_Oil_gas_extrac_P,Min_Metal_ore_min_M,Min_Metal_ore_min_F,Min_Metal_ore_min_P,Min_NonMet_minral_min_quar_M,Min_NonMet_minral_min_quar_F,Min_NonMet_minral_min_quar_P,Min_Expl_oth_min_supt_Svs_M,Min_Expl_oth_min_supt_Svs_F,Min_Expl_oth_min_supt_Svs_P,Min_Tot_M,Min_Tot_F,Min_Tot_P,Mnf_Mnf_nfd_M,Mnf_Mnf_nfd_F,Mnf_Mnf_nfd_P,Mnf_Food_pdt_mnf_M,Mnf_Food_pdt_mnf_F,Mnf_Food_pdt_mnf_P,Mnf_Beverag_tobac_pdt_mnf_M,Mnf_Beverag_tobac_pdt_mnf_F,Mnf_Beverag_tobac_pdt_mnf_P,Mnf_Tex_leath_clo_footw_mnf_M,Mnf_Tex_leath_clo_footw_mnf_F,Mnf_Tex_leath_clo_footw_mnf_P,Mnf_Wood_pdt_mnf_M,Mnf_Wood_pdt_mnf_F,Mnf_Wood_pdt_mnf_P,Mnf_Pul_pap_cvertd_pap_mnf_M,Mnf_Pul_pap_cvertd_pap_mnf_F,Mnf_Pul_pap_cvertd_pap_mnf_P,Mnf_Print_inc_repdtn_RM_mnf_M,Mnf_Print_inc_repdtn_RM_mnf_F,Mnf_Print_inc_repdtn_RM_mnf_P,Mnf_Petroleum_coal_pdt_mnf_M,Mnf_Petroleum_coal_pdt_mnf_F,Mnf_Petroleum_coal_pdt_mnf_P,Mnf_Bas_che_and_chem_pr_mnf_M,Mnf_Bas_che_and_chem_pr_mnf_F,Mnf_Bas_che_and_chem_pr_mnf_P,Mnf_Polym_pd_rubber_pd_mnf_M,Mnf_Polym_pd_rubber_pd_mnf_F,Mnf_Polym_pd_rubber_pd_mnf_P,Mnf_NonMet_mineral_pdt_mnf_M,Mnf_NonMet_mineral_pdt_mnf_F,Mnf_NonMet_mineral_pdt_mnf_P,Mnf_Pri_met_and_met_pr_mnf_M,Mnf_Pri_met_and_met_pr_mnf_F,Mnf_Pri_met_and_met_pr_mnf_P,Mnf_Fab_metal_pdt_mnf_M,Mnf_Fab_metal_pdt_mnf_F,Mnf_Fab_metal_pdt_mnf_P,Mnf_Transpt_equip_mnf_M,Mnf_Transpt_equip_mnf_F,Mnf_Transpt_equip_mnf_P,Mnf_Machin_and_equip_mnf_M,Mnf_Machin_and_equip_mnf_F,Mnf_Machin_and_equip_mnf_P,Mnf_Furnitur_and_oth_mnf_M,Mnf_Furnitur_and_oth_mnf_F,Mnf_Furnitur_and_oth_mnf_P,Mnf_Tot_M,Mnf_Tot_F,Mnf_Tot_P,EGWWS_EGWWS_nfd_M,EGWWS_EGWWS_nfd_F,EGWWS_EGWWS_nfd_P,EGWWS_ElecSup_M,EGWWS_ElecSup_F,EGWWS_ElecSup_P,EGWWS_GasSup_M,EGWWS_GasSup_F,EGWWS_GasSup_P,EGWWS_WatSup_SDS_M,EGWWS_WatSup_SDS_F,EGWWS_WatSup_SDS_P,EGWWS_WasteCTDS_M,EGWWS_WasteCTDS_F,EGWWS_WasteCTDS_P,EGWWS_Tot_M,EGWWS_Tot_F,EGWWS_Tot_P,Const_Const_nfd_M,Const_Const_nfd_F,Const_Const_nfd_P,Const_Blding_Const_M,Const_Blding_Const_F,Const_Blding_Const_P,Const_HeavyCivl_eng_Const_M,Const_HeavyCivl_eng_Const_F,Const_HeavyCivl_eng_Const_P,Const_Const_Svs_M,Const_Const_Svs_F,Const_Const_Svs_P,Const_Tot_M,Const_Tot_F,Const_Tot_P,WST_WST_nfd_M,WST_WST_nfd_F,WST_WST_nfd_P,WST_Basic_matl_W_M,WST_Basic_matl_W_F,WST_Basic_matl_W_P,WST_Machin_and_equip_W_M,WST_Machin_and_equip_W_F,WST_Machin_and_equip_W_P,WST_MotV_and_motV_partsW_M,WST_MotV_and_motV_partsW_F,WST_MotV_and_motV_partsW_P,WST_GrocLiq_and_tob_pdtW_M,WST_GrocLiq_and_tob_pdtW_F,WST_GrocLiq_and_tob_pdtW_P,WST_Oth_gds_W_M,WST_Oth_gds_W_F,WST_Oth_gds_W_P,WST_Comm_based_W_M,WST_Comm_based_W_F,WST_Comm_based_W_P,WST_Tot_M,WST_Tot_F,WST_Tot_P,RetT_RetT_nfd_M,RetT_RetT_nfd_F,RetT_RetT_nfd_P,RetT_MotV_and_motV_partsR_M,RetT_MotV_and_motV_partsR_F,RetT_MotV_and_motV_partsR_P,RetT_Fuel_ret_M,RetT_Fuel_ret_F,RetT_Fuel_ret_P,RetT_Food_ret_M,RetT_Food_ret_F,RetT_Food_ret_P,RetT_Oth_store_based_ret_M,RetT_Oth_store_based_ret_F,RetT_Oth_store_based_ret_P,RetT_NonSR_and_RCB_buy_sell_M,RetT_NonSR_and_RCB_buy_sell_F,RetT_NonSR_and_RCB_buy_sell_P,RetT_Tot_M,RetT_Tot_F,RetT_Tot_P,AcFd_AcFd_nfd_M,AcFd_AcFd_nfd_F,AcFd_AcFd_nfd_P,AcFd_Accomm_M,AcFd_Accomm_F,AcFd_Accomm_P,AcFd_FoodBev_Svs_M,AcFd_FoodBev_Svs_F,AcFd_FoodBev_Svs_P,AcFd_Tot_M,AcFd_Tot_F,AcFd_Tot_P,TPW_TPW_nfd_M,TPW_TPW_nfd_F,TPW_TPW_nfd_P,TPW_RoadTspt_M,TPW_RoadTspt_F,TPW_RoadTspt_P,TPW_RailTspt_M,TPW_RailTspt_F,TPW_RailTspt_P,TPW_WaterTspt_M,TPW_WaterTspt_F,TPW_WaterTspt_P,TPW_Air_space_tspt_M,TPW_Air_space_tspt_F,TPW_Air_space_tspt_P,TPW_Oth_tspt_M,TPW_Oth_tspt_F
LGA21270,15,3,18,594,176,776,0,0,0,0,0,0,0,0,0,19,5,23,627,184,817,0,0,0,0,0,0,0,0,0,0,0,0,7,4,10,0,0,0,5,4,10,0,0,0,46,47,88,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,3,0,3,0,0,0,56,50,107,0,0,0,0,0,0,0,0,0,4,0,6,5,0,5,9,0,14,4,0,8,25,0,28,6,0,5,73,7,84,112,14,123,0,0,5,28,11,45,6,7,15,0,0,0,3,0,5,0,0,0,8,5,12,46,27,74,0,0,3,3,0,8,15,6,28,34,79,119,18,33,49,0,0,0,73,123,197,0,0,0,9,16,30,55,52,103,60,71,135,5,0,5,50,6,55,4,0,7,0,0,0,0,0,0,0,0
LGA21370,6,0,10,1312,650,1962,0,0,0,3,0,3,3,0,3,70,27,98,1394,684,2076,0,0,0,0,0,0,0,0,0,7,0,3,15,5,20,0,0,0,17,4,23,71,20,87,807,350,1159,41,17,56,3,6,14,15,3,15,0,0,0,0,8,11,0,0,0,13,8,22,6,0,7,67,8,72,35,5,45,65,12,74,27,6,31,104,15,118,20,9,30,1287,470,1755,6,0,6,24,3,21,0,0,0,38,10,43,64,9,75,128,20,150,83,10,96,185,27,217,187,24,208,657,97,753,1111,159,1273,7,0,7,92,33,129,62,14,84,16,7,21,49,25,70,10,9,10,10,3,6,238,91,331,25,27,47,119,38,152,21,51,78,252,361,614,272,572,838,3,0,0,685,1046,1732,0,0,3,82,115,196,371,506,879,456,620,1079,20,12,27,295,40,337,8,4,14,0,0,0,3,0,0,12,0
LGA21450,4,5,9,748,478,1227,6,0,8,4,4,8,0,0,0,57,30,83,824,510,1334,12,0,14,4,0,4,32,10,44,25,0,24,77,8,88,9,6,11,157,26,185,137,66,203,536,357,895,16,18,39,13,25,41,63,11,77,4,0,4,20,21,40,0,0,3,27,16,43,60,26,91,86,30,109,85,13,101,72,16,91,419,88,507,75,15,92,106,28,139,1727,746,2467,5,6,6,72,23,98,9,5,14,27,8,32,49,10,67,163,47,212,171,50,217,762,222,978,340,92,435,2442,439,2883,3710,797,4510,10,15,30,183,82,267,62,26,94,47,10,54,29,26,59,41,29,71,8,4,15,386,200,589,49,47,92,215,55,273,66,81,147,632,950,1581,521,895,1413,0,6,10,1484,2031,3515,0,3,3,41,58,92,956,1380,2337,1003,1433,2438,49,26,71,664,118,779,62,15,76,0,0,7,3,3,10,9,10
LGA21610,4,5,4,724,659,1377,0,0,0,3,0,3,4,0,8,59,35,90,793,689,1481,18,3,17,0,0,0,10,0,10,11,0,8,26,12,34,7,0,8,64,14,83,377,141,515,684,575,1256,20,11,32,36,69,105,121,26,139,18,12,31,123,49,172,18,6,22,89,86,169,173,91,263,115,20,134,190,36,222,228,52,286,340,115,453,315,86,402,255,78,332,3083,1450,4538,9,3,13,99,34,136,18,0,21,43,24,70,191,90,276,366,153,522,388,83,478,1676,449,2129,560,145,707,5284,908,6191,7915,1582,9496,79,63,143,436,189,624,198,81,279,185,66,255,150,106,253,128,145,265,6,3,7,1184,645,1825,141,139,273,672,207,874,162,99,265,1731,2233,3964,1970,3808,5777,32,36,63,4712,6514,11224,5,0,12,75,84,164,2409,3199,5611,2498,3293,5786,146,58,205,1834,198,2034,53,17,71,4,0,5,112,10,125,3,5
LGA21670,0,0,0,190,62,246,0,0,0,0,0,0,0,0,0,24,7,36,215,72,286,0,0,0,0,0,0,0,0,0,6,0,6,14,3,18,0,0,0,25,3,25,6,11,10,122,95,223,20,3,21,0,6,6,12,4,15,0,0,0,111,57,167,0,0,0,3,0,7,0,0,0,6,0,8,0,0,4,4,0,3,28,0,28,29,4,40,3,0,3,347,188,536,0,0,0,26,0,26,0,0,0,4,0,4,13,0,16,38,0,43,3,0,9,24,3,31,16,4,18,121,14,141,173,18,192,0,0,0,28,9,38,3,0,10,9,0,8,0,5,5,0,0,0,0,0,0,38,16,54,8,9,15,26,3,32,8,4,16,95,146,244,74,157,229,0,0,0,211,325,535,0,0,0,14,24,39,99,186,288,119,205,323,12,4,13,90,16,107,17,3,21,0,0,0,0,0,0,0,0
LGA21750,8,4,10,701,336,1037,0,0,0,62,10,74,7,3,14,37,17,57,822,366,1193,0,0,0,0,0,0,0,0,0,0,0,0,24,3,31,5,0,5,30,3,33,20,0,22,683,407,1087,18,9,30,0,4,4,321,59,380,0,0,0,3,0,0,0,0,0,0,3,8,0,8,5,35,8,44,19,4,27,18,4,16,6,0,9,11,0,11,11,3,13,1144,509,1651,0,0,0,36,6,36,0,0,0,25,4,30,30,5,33,80,14,100,38,3,46,180,28,214,61,4,65,400,44,448,679,84,768,0,0,0,53,17,72,46,12,59,9,3,13,16,10,28,8,3,9,7,0,7,132,49,185,8,14,22,53,21,77,16,21,33,154,257,416,144,278,425,0,0,0,378,594,977,0,0,0,117,162,278,236,337,576,358,497,857,20,11,23,191,34,226,6,0,6,0,0,0,0,0,0,4,0
LGA21830,14,7,21,1398,678,2079,0,0,0,9,4,5,0,0,0,113,29,140,1535,711,2247,0,0,0,0,0,0,41,3,47,0,0,0,17,0,16,0,0,0,65,4,67,21,5,25,320,108,425,4,6,11,0,0,4,5,4,10,0,0,0,10,4,16,0,0,0,20,0,22,3,0,0,3,0,3,11,0,11,0,0,0,9,5,14,10,0,9,8,0,11,428,140,567,5,0,5,8,0,8,59,9,66,20,0,20,4,0,9,88,13,104,35,0,36,55,0,52,48,7,53,254,28,281,387,39,424,0,0,0,64,31,94,20,4,19,6,0,9,16,4,21,0,5,7,3,0,3,119,44,159,12,21,31,14,3,20,11,23,37,88,208,297,47,110,153,0,0,0,174,360,534,0,4,5,34,66,100,85,167,249,118,233,356,19,13,25,176,31,209,6,4,7,0,0,0,4,0,4,5,0
LGA21890,4,0,0,98,91,191,0,0,0,0,0,5,4,4,4,19,12,36,131,113,241,10,0,15,0,0,0,3,0,3,36,14,50,3,0,8,16,13,24,63,31,99,218,78,301,367,345,717,112,38,153,144,233,377,63,17,80,188,46,234,123,71,195,0,0,0,117,47,165,378,70,447,71,28,95,96,12,109,164,57,227,163,29,188,214,59,275,209,68,283,2620,1207,3827,4,0,4,44,10,58,11,0,14,32,11,42,48,15,64,143,34,184,149,47,190,911,181,1089,197,53,251,1956,290,2251,3210,570,3780,46,29,74,179,65,244,134,67,202,125,30,156,328,146,468,224,228,453,6,6,9,1038,570,1602,81,113,190,269,68,339,61,17,80,1023,915,1936,1753,2862,4614,16,39,54,3191,4024,7218,0,3,10,111,111,220,1878,1876,3748,1987,1993,3978,43,17,53,714,106,814,49,7,58,0,3,8,4,0,3,4,0
LGA22110,6,4,9,814,424,1238,3,5,10,72,14,85,81,27,104,58,20,74,1031,492,1519,0,4,5,0,0,0,0,0,0,15,0,17,32,5,31,7,0,9,54,11,59,51,10,58,427,305,735,19,10,25,5,10,14,81,12,93,0,4,4,15,13,27,29,10,38,3,5,9,3,0,10,28,0,32,26,4,36,32,4,38,123,23,145,19,8,24,28,3,29,889,433,1322,0,0,3,23,4,28,0,0,0,78,36,119,57,7,63,162,51,208,71,11,79,231,47,272,220,25,246,703,101,804,1218,185,1398,0,3,7,160,61,222,18,7,24,36,17,52,37,26,60,13,8,21,7,5,10,269,123,389,28,34,63,105,35,142,35,36,67,337,449,784,286,494,783,0,3,3,787,1053,1842,6,0,3,171,277,441,466,618,1088,638,891,1531,28,4,31,266,57,321,11,0,11,9,0,9,5,0,3,25,8
LGA22170,0,3,3,138,171,308,0,0,0,8,0,8,7,0,4,19,0,26,172,171,345,6,5,7,0,0,0,4,0,4,12,5,11,26,3,32,14,4,17,55,17,70,389,189,573,319,334,657,41,17,58,44,69,116,129,36,169,22,14,38,148,83,232,0,0,0,30,23,57,229,101,327,89,29,115,177,34,213,257,67,326,243,49,292,255,79,333,200,75,275,2576,1205,3781,8,0,13,40,10,52,18,3,22,401,335,738,139,34,170,615,380,992,293,80,374,986,260,1254,276,60,338,3312,579,3895,4873,979,5852,41,28,63,284,138,423,120,66,185,109,36,147,65,58,122,147,123,270,0,8,6,771,453,1223,85,88,169,295,116,409,90,66,155,857,1122,1982,1092,2217,3307,16,18,27,2430,3619,6047,7,4,11,42,87,129,1375,1640,3012,1429,1725,3156,50,16,67,467,104,572,60,28,87,4,6,5,8,5,11,5,0
LGA22250,6,0,10,654,247,901,0,0,0,7,0,7,0,0,0,32,15,49,701,272,966,3,0,3,0,0,0,0,0,0,0,0,0,23,13,43,0,0,0,25,13,41,44,15,62,32,29,66,0,0,4,3,0,5,15,0,15,0,0,0,4,5,4,3,0,3,0,3,5,0,0,3,27,12,38,5,0,6,12,0,12,5,0,5,26,5,36,8,0,10,199,70,266,0,0,0,4,0,0,0,0,0,39,9,45,19,10,31,61,21,80,9,0,13,30,4,33,48,13,60,131,25,156,220,43,264,3,0,0,54,12,62,12,8,18,0,0,0,9,0,9,0,0,4,0,0,0,67,19,95,3,7,8,18,11,24,17,11,29,60,118,174,28,87,110,0,0,0,122,229,352,0,0,0,7,25,36,22,80,107,34,102,137,4,4,10,48,10,58,3,0,3,0,0,0,0,0,0,0,0
LGA22310,0,6,3,23,16,35,0,0,0,0,0,0,0,0,0,0,0,0,29,19,44,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,0,0,12,0,19,33,22,54,142,211,358,8,4,10,16,44,59,6,11,14,9,8,10,43,30,74,3,0,3,10,13,27,9,3,11,5,3,10,10,0,10,12,3,12,23,8,34,110,102,212,44,30,75,470,485,961,4,5,8,31,9,40,0,0,0,4,4,9,12,8,26,53,25,73,76,20,93,914,189,1104,43,12,55,1571,237,1810,2599,457,3055,16,23,33,92,31,128,67,33,99,40,8,52,28,23,49,65,78,147,9,5,16,316,212,518,81,75,155,283,87,363,53,18,72,813,688,1501,936,1253,2187,126,123,247,2287,2243,4532,0,0,0,45,44,83,1581,1606,3182,1623,1646,3275,15,3,22,277,54,330,83,32,113,0,0,0,5,0,7,0,0
LGA22410,3,0,4,634,324,955,17,4,19,76,19,94,22,3,22,58,17,77,812,368,1179,3,0,3,0,0,0,0,0,0,4,0,3,0,0,5,0,0,0,13,0,11,22,3,25,41,47,85,7,6,15,0,6,7,83,18,102,0,3,3,5,9,8,0,0,0,8,5,7,9,5,7,0,0,0,459,66,525,173,9,178,19,5,18,16,6,21,4,0,3,833,170,1005,0,0,0,15,6,15,0,0,0,12,4,17,43,12,49,69,14,88,20,3,19,72,3,77,57,7,63,314,46,358,459,55,517,17,3,14,66,47,119,20,4,24,3,0,4,3,0,3,16,4,24,0,0,5,125,67,191,0,10,8,13,9,20,14,42,55,139,185,323,74,179,258,0,0,0,245,419,662,0,0,0,46,63,108,115,254,372,161,312,479,18,9,27,261,36,295,0,0,0,11,0,11,0,0,0,3,0
LGA22490,5,5,6,520,260,778,0,0,0,0,0,3,0,0,0,21,16,37,550,282,832,4,0,3,0,0,0,0,0,0,12,4,16,36,5,43,3,0,3,52,7,66,5,6,10,82,91,174,28,19,44,0,3,6,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,3,4,5,4,0,4,16,6,20,4,0,3,4,0,12,4,4,8,10,0,10,180,124,297,0,0,0,24,4,26,5,0,5,3,3,4,8,4,13,40,12,54,25,7,34,93,19,112,31,8,36,349,58,410,496,88,587,3,0,3,30,18,48,5,7,9,0,5,0,4,4,7,0,0,0,0,0,0,44,33,80,0,3,4,6,0,4,14,26,39,59,102,159,21,77,100,0,0,0,99,211,309,0,0,0,0,6,8,61,129,189,61,131,193,9,6,11,87,25,108,0,0,0,0,0,0,0,0,0,0,0
LGA22620,8,0,6,645,265,917,0,0,0,11,0,11,0,0,0,71,24,100,742,295,1032,32,12,41,5,0,5,0,0,0,735,114,847,80,8,85,204,24,229,1051,157,1206,191,61,252,1043,622,1669,70,39,112,96,98,196,105,16,122,0,0,4,44,18,61,6,0,4,48,43,93,65,6,75,113,17,137,215,39,259,166,27,192,481,58,546,201,30,234,76,22,104,2930,1116,4042,7,0,3,168,66,234,17,0,22,177,100,280,126,16,144,486,191,680,171,17,187,894,250,1142,214,33,246,2257,331,2583,3525,631,4160,18,10,34,308,96,410,126,41,172,58,19,73,100,43,144,24,27,56,22,7,32,666,246,909,80,69,154,342,99,442,84,125,209,848,1039,1885,963,1808,2767,7,4,11,2314,3152,5468,4,0,3,128,312,438,1463,1831,3298,1595,2143,3743,58,26,87,681,101,785,159,32,187,0,0,0,10,3,15,8,5
LGA22670,8,0,10,259,166,427,0,0,0,19,0,20,13,9,21,32,26,58,329,206,535,35,8,41,0,0,0,7,0,13,11,0,9,13,0,13,10,9,16,77,12,92,1781,600,2386,2082,1388,3474,99,39,139,400,438,839,594,128,724,406,149,556,524,312,832,80,25,102,1034,737,1774,1125,504,1627,936,147,1084,1424,269,1698,1568,425,1998,2869,512,3381,1431,432,1864,804,210,1007,17165,6318,23486,18,8,24,211,32,246,43,7,43,192,58,252,1139,344,1484,1601,443,2046,684,149,832,2135,408,2543,1174,214,1392,4970,729,5703,8970,1493,10468,279,123,399,2137,740,2880,1147,352,1495,723,140,864,651,334,982,990,866,1852,37,18,50,5961,2569,8530,303,162,462,800,225,1025,99,54,153,1608,1277,2880,2664,2609,5279,140,86,228,5610,4426,10033,4,3,8,77,79,152,1581,1754,3339,1665,1841,3502,433,125,552,3293,601,3900,202,59,258,10,6,22,35,4,38,51,13
LGA22750,13,9,21,571,325,899,32,11,45,16,3,16,18,12,29,61,18,81,706,380,1086,11,0,11,0,0,0,14,0,14,30,0,30,94,9,100,10,4,15,158,16,176,412,150,562,949,838,1784,212,117,334,329,272,597,227,57,283,23,7,33,128,77,209,162,28,190,190,80,269,84,22,102,381,57,439,257,40,303,542,74,610,930,151,1080,314,87,400,292,59,349,5424,2115,7542,13,14,25,280,150,433,40,71,108,310,161,473,346,58,399,983,453,1443,511,84,594,2471,488,2964,884,141,1026,5999,746,6741,9875,1456,11329,62,24,86,1251,390,1642,190,73,260,332,47,378,228,94,323,193,227,421,16,7,20,2273,857,3124,138,193,328,604,137,744,257,237,490,1917,2273,4187,2670,5256,7923,22,29,53,5606,8125,13730,7,11,22,288,421,711,3482,4429,7910,3778,4864,8636,106,51,154,1486,205,1687,195,46,240,37,9,48,55,26,82,13,5
LGA22830,9,0,13,1484,673,2161,0,5,4,6,0,6,3,0,10,133,70,199,1635,750,2383,0,0,0,0,0,0,0,0,0,4,0,4,25,3,30,0,0,0,32,6,32,129,23,146,940,446,1385,20,10,35,3,11,14,49,13,61,42,9,46,33,19,53,0,0,0,217,53,268,44,17,55,61,15,83,88,13,103,250,37,286,74,9,85,78,23,96,85,14,107,2115,710,2820,5,0,5,52,10,57,0,0,0,401,224,624,100,20,116,562,254,816,110,26,132,405,135,544,240,34,274,1365,201,1566,2122,398,2520,10,14,27,196,63,261,122,30,151,72,22,91,81,48,126,16,11,24,7,0,8,504,180,686,38,45,86,218,62,286,43,63,107,433,596,1025,553,1014,1572,0,0,4,1293,1777,3073,4,3,7,59,121,189,643,858,1503,708,988,1698,75,19,95,647,131,771,23,0,21,0,0,0,16,0,17,4,3
LGA22910,5,0,9,329,154,477,0,0,0,4,0,9,0,0,0,26,8,33,374,159,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,9,0,7,11,5,14,66,64,135,26,15,42,4,8,10,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,7,0,0,0,0,0,7,0,0,0,12,0,15,138,104,238,0,0,0,0,0,3,0,0,0,4,0,3,0,0,3,6,4,13,12,0,15,105,15,124,20,0,23,178,27,203,318,53,367,0,0,0,22,6,28,0,3,3,0,0,0,4,15,23,9,0,6,0,0,0,35,24,62,10,30,41,5,5,5,5,5,12,101,158,249,69,148,221,4,6,5,193,341,532,0,0,0,119,185,305,224,270,502,354,454,805,7,0,8,49,14,60,0,0,0,0,0,0,3,4,10,0,0
LGA22980,5,0,9,458,158,619,0,0,0,0,0,0,0,0,0,18,5,21,480,167,644,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,4,0,5,8,0,6,87,40,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,5,0,0,0,112,44,155,0,0,0,0,6,6,0,0,0,0,0,0,12,0,15,15,4,15,5,0,5,49,5,57,4,0,4,45,5,52,104,13,116,0,0,0,15,6,26,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,26,12,34,3,0,3,0,0,0,3,13,16,22,38,68,8,28,36,0,0,0,37,83,121,0,0,0,6,15,19,8,13,27,17,31,52,0,0,5,25,5,25,45,0,43,0,0,0,0,0,0,0,0
LGA23110,0,0,0,33,20,52,0,0,0,3,0,3,3,4,8,10,4,16,51,31,85,13,3,13,0,0,0,11,0,12,6,0,8,28,3,29,6,3,8,61,10,71,175,56,233,465,378,837,19,7,25,45,63,107,52,4,53,27,10,43,32,20,53,185,27,213,407,96,501,82,22,108,326,33,360,101,16,117,143,38,178,464,74,544,140,34,180,83,20,99,2746,907,3648,3,0,6,68,15,87,13,4,12,104,29,139,204,42,246,396,94,487,205,41,247,1079,260,1336,1083,167,1253,1966,253,2213,4325,724,5048,60,38,93,226,66,296,116,35,150,280,65,346,158,120,280,115,128,243,97,58,154,1055,511,1567,49,41,89,413,149,566,123,33,154,574,608,1184,716,1048,1759,69,66,133,1944,1944,3885,0,0,0,52,65,113,1027,1070,2093,1075,1133,2209,197,61,261,1353,201,1554,320,85,403,21,5,25,19,5,24,7,9
LGA23190,16,6,15,552,197,746,0,0,0,0,0,0,0,0,0,38,11,48,608,211,812,0,0,4,0,0,0,0,0,0,15,7,15,9,0,9,0,0,0,22,0,27,30,11,46,52,32,80,22,0,25,0,3,3,3,0,9,0,0,0,9,12,20,0,0,0,5,0,4,3,3,10,10,3,13,20,3,20,21,0,17,29,3,29,34,4,43,38,14,51,259,103,368,0,0,0,43,5,48,3,0,3,95,62,149,18,4,21,152,71,220,24,4,24,147,20,170,87,7,88,466,59,527,724,95,816,0,0,0,102,55,154,87,22,111,11,4,17,20,8,26,0,5,9,14,10,21,232,103,331,15,18,31,92,25,119,30,33,65,139,163,302,204,380,584,0,0,0,483,622,1100,0,0,0,34,67,97,204,278,488,239,347,589,10,3,9,174,24,195,11,0,13,0,0,0,6,0,6,0,0
LGA23270,3,0,8,215,134,351,0,0,0,37,5,45,8,0,8,29,21,46,294,169,460,20,6,30,10,0,10,4,3,4,16,3,25,65,11,76,3,0,3,115,25,141,1026,366,1395,1680,1184,2864,39,23,63,142,134,276,418,137,553,763,167,931,484,176,663,11,5,11,885,586,1472,511,163,680,511,108,612,601,103,703,927,165,1098,2949,583,3532,548,165,714,679,183,856,12167,4258,16426,15,5,19,175,40,211,14,10,18,218,153,368,666,157,820,1087,357,1442,657,139,795,2024,363,2389,1202,197,1396,6086,764,6850,9969,1470,11437,206,129,332,527,213,739,545,185,731,612,176,792,410,216,632,363,211,572,22,15,36,2683,1151,3833,160,132,295,567,150,717,161,117,284,1354,1478,2830,1544,2689,4234,24,27,47,3816,4599,8414,4,3,6,187,213,401,2176,2506,4684,2367,2721,5088,447,185,630,4287,808,5090,228,58,285,44,34,75,2822,1536,4361,15,8
LGA23350,0,0,0,403,205,607,3,0,3,3,0,3,0,0,0,14,13,30,426,222,646,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,8,0,8,10,0,10,22,3,24,445,227,679,150,119,269,4,6,10,20,4,29,0,0,3,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,5,0,3,8,0,8,5,3,6,0,0,3,10,0,15,688,369,1055,0,0,0,5,0,6,4,0,4,0,0,4,9,5,4,17,3,22,15,4,17,81,11,92,26,4,29,177,27,204,289,51,339,0,0,0,25,13,35,0,0,0,0,0,0,7,4,12,0,5,4,4,0,4,36,18,54,4,8,14,4,3,4,18,5,27,134,157,297,38,86,123,0,0,4,197,265,463,5,3,9,56,95,154,133,189,315,193,282,479,11,6,16,74,18,94,0,0,0,0,0,0,0,0,0,0,0
LGA23430,0,4,9,259,191,448,0,0,0,3,0,9,6,3,5,28,11,38,297,210,506,25,11,34,3,0,3,3,0,3,8,6,12,18,3,21,5,0,9,70,16,87,1049,438,1486,1914,1448,3363,393,118,507,234,264,495,263,66,327,322,127,450,600,276,876,17,0,17,451,364,815,692,256,949,485,94,577,404,99,501,679,133,808,707,113,822,860,255,1115,562,214,772,9617,4269,13886,5,6,17,97,32,130,22,5,28,102,42,152,324,61,384,559,149,706,355,91,449,1708,445,2151,790,218,1011,4651,710,5363,7510,1471,8979,221,141,362,594,298,889,711,406,1112,171,48,214,452,274,731,788,671,1462,9,5,12,2936,1840,4783,223,222,446,528,128,653,73,35,108,1379,1278,2652,2420,3572,5993,73,58,135,4696,5293,9986,3,5,9,72,61,137,2110,2388,4492,2185,2458,4642,162,62,222,1073,193,1269,96,42,143,5,9,17,156,49,203,9,4
