POW_LGA_CODE_2021,CoPSW_1250_1499_H_0,CoPSW_1250_1499_H_1_19,CoPSW_1250_1499_H_20_29,CoPSW_1250_1499_H_30_34,CoPSW_1250_1499_H_35_39,CoPSW_1250_1499_H_40_44,CoPSW_1250_1499_H_45_49,CoPSW_1250_1499_H_50ov,CoPSW_1250_1499_H_NS,CoPSW_1250_1499_H_Tot,CoPSW_1500_1749_H_0,CoPSW_1500_1749_H_1_19,CoPSW_1500_1749_H_20_29,CoPSW_1500_1749_H_30_34,CoPSW_1500_1749_H_35_39,CoPSW_1500_1749_H_40_44,CoPSW_1500_1749_H_45_49,CoPSW_1500_1749_H_50ov,CoPSW_1500_1749_H_NS,CoPSW_1500_1749_H_Tot,CoPSW_1750_1999_H_0,CoPSW_1750_1999_H_1_19,CoPSW_1750_1999_H_20_29,CoPSW_1750_1999_H_30_34,CoPSW_1750_1999_H_35_39,CoPSW_1750_1999_H_40_44,CoPSW_1750_1999_H_45_49,CoPSW_1750_1999_H_50ov,CoPSW_1750_1999_H_NS,CoPSW_1750_1999_H_Tot,CoPSW_2000_2999_H_0,CoPSW_2000_2999_H_1_19,CoPSW_2000_2999_H_20_29,CoPSW_2000_2999_H_30_34,CoPSW_2000_2999_H_35_39,CoPSW_2000_2999_H_40_44,CoPSW_2000_2999_H_45_49,CoPSW_2000_2999_H_50ov,CoPSW_2000_2999_H_NS,CoPSW_2000_2999_H_Tot,CoPSW_3000_3499_H_0,CoPSW_3000_3499_H_1_19,CoPSW_3000_3499_H_20_29,CoPSW_3000_3499_H_30_34,CoPSW_3000_3499_H_35_39,CoPSW_3000_3499_H_40_44,CoPSW_3000_3499_H_45_49,CoPSW_3000_3499_H_50ov,CoPSW_3000_3499_H_NS,CoPSW_3000_3499_H_Tot,CoPSW_3500mo_H_0,CoPSW_3500mo_H_1_19,CoPSW_3500mo_H_20_29,CoPSW_3500mo_H_30_34,CoPSW_3500mo_H_35_39,CoPSW_3500mo_H_40_44,CoPSW_3500mo_H_45_49,CoPSW_3500mo_H_50ov,CoPSW_3500mo_H_NS,CoPSW_3500mo_H_Tot,CoPSW_PINS_H_0,CoPSW_PINS_H_1_19,CoPSW_PINS_H_20_29,CoPSW_PINS_H_30_34,CoPSW_PINS_H_35_39,CoPSW_PINS_H_40_44,CoPSW_PINS_H_45_49,CoPSW_PINS_H_50ov,CoPSW_PINS_H_NS,CoPSW_PINS_H_Tot,CoPSW_Tot_H_0,CoPSW_Tot_H_1_19,CoPSW_Tot_H_20_29,CoPSW_Tot_H_30_34,CoPSW_Tot_H_35_39,CoPSW_Tot_H_40_44,CoPSW_Tot_H_45_49,CoPSW_Tot_H_50ov,CoPSW_Tot_H_NS,CoPSW_Tot_H_Tot,ClAW_NNI_H_0,ClAW_NNI_H_1_19,ClAW_NNI_H_20_29,ClAW_NNI_H_30_34,ClAW_NNI_H_35_39,ClAW_NNI_H_40_44,ClAW_NNI_H_45_49,ClAW_NNI_H_50ov,ClAW_NNI_H_NS,ClAW_NNI_H_Tot,ClAW_1_149_H_0,ClAW_1_149_H_1_19,ClAW_1_149_H_20_29,ClAW_1_149_H_30_34,ClAW_1_149_H_35_39,ClAW_1_149_H_40_44,ClAW_1_149_H_45_49,ClAW_1_149_H_50ov,ClAW_1_149_H_NS,ClAW_1_149_H_Tot,ClAW_150_299_H_0,ClAW_150_299_H_1_19,ClAW_150_299_H_20_29,ClAW_150_299_H_30_34,ClAW_150_299_H_35_39,ClAW_150_299_H_40_44,ClAW_150_299_H_45_49,ClAW_150_299_H_50ov,ClAW_150_299_H_NS,ClAW_150_299_H_Tot,ClAW_300_399_H_0,ClAW_300_399_H_1_19,ClAW_300_399_H_20_29,ClAW_300_399_H_30_34,ClAW_300_399_H_35_39,ClAW_300_399_H_40_44,ClAW_300_399_H_45_49,ClAW_300_399_H_50ov,ClAW_300_399_H_NS,ClAW_300_399_H_Tot,ClAW_400_499_H_0,ClAW_400_499_H_1_19,ClAW_400_499_H_20_29,ClAW_400_499_H_30_34,ClAW_400_499_H_35_39,ClAW_400_499_H_40_44,ClAW_400_499_H_45_49,ClAW_400_499_H_50ov,ClAW_400_499_H_NS,ClAW_400_499_H_Tot,ClAW_500_649_H_0,ClAW_500_649_H_1_19,ClAW_500_649_H_20_29,ClAW_500_649_H_30_34,ClAW_500_649_H_35_39,ClAW_500_649_H_40_44,ClAW_500_649_H_45_49,ClAW_500_649_H_50ov,ClAW_500_649_H_NS,ClAW_500_649_H_Tot,ClAW_650_799_H_0,ClAW_650_799_H_1_19,ClAW_650_799_H_20_29,ClAW_650_799_H_30_34,ClAW_650_799_H_35_39,ClAW_650_799_H_40_44,ClAW_650_799_H_45_49,ClAW_650_799_H_50ov,ClAW_650_799_H_NS,ClAW_650_799_H_Tot,ClAW_800_999_H_0,ClAW_800_999_H_1_19,ClAW_800_999_H_20_29,ClAW_800_999_H_30_34,ClAW_800_999_H_35_39,ClAW_800_999_H_40_44,ClAW_800_999_H_45_49,ClAW_800_999_H_50ov,ClAW_800_999_H_NS,ClAW_800_999_H_Tot,ClAW_1000_1249_H_0,ClAW_1000_1249_H_1_19,ClAW_1000_1249_H_20_29,ClAW_1000_1249_H_30_34,ClAW_1000_1249_H_35_39,ClAW_1000_1249_H_40_44,ClAW_1000_1249_H_45_49,ClAW_1000_1249_H_50ov,ClAW_1000_1249_H_NS,ClAW_1000_1249_H_Tot,ClAW_1250_1499_H_0,ClAW_1250_1499_H_1_19,ClAW_1250_1499_H_20_29,ClAW_1250_1499_H_30_34,ClAW_1250_1499_H_35_39,ClAW_1250_1499_H_40_44,ClAW_1250_1499_H_45_49,ClAW_1250_1499_H_50ov,ClAW_1250_1499_H_NS,ClAW_1250_1499_H_Tot,ClAW_1500_1749_H_0,ClAW_1500_1749_H_1_19,ClAW_1500_1749_H_20_29,ClAW_1500_1749_H_30_34,ClAW_1500_1749_H_35_39,ClAW_1500_1749_H_40_44,ClAW_1500_1749_H_45_49,ClAW_1500_1749_H_50ov,ClAW_1500_1749_H_NS,ClAW_1500_1749_H_Tot,ClAW_1750_1999_H_0,ClAW_1750_1999_H_1_19,ClAW_1750_1999_H_20_29,ClAW_1750_1999_H_30_34,ClAW_1750_1999_H_35_39,ClAW_1750_1999_H_40_44,ClAW_1750_1999_H_45_49,ClAW_1750_1999_H_50ov,ClAW_1750_1999_H_NS,ClAW_1750_1999_H_Tot
LGA21270,0,0,3,0,0,3,0,0,0,10,0,0,0,0,0,0,0,3,0,5,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,6,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,56,56,27,20,20,4,12,5,206,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,10,0,3,7,0,0,0,0,0,0,15,3,10,11,5,5,0,0,0,0,22,0,3,7,8,0,5,0,0,0,25,0,0,10,0,4,5,3,0,0,28,0,4,0,7,11,9,0,0,0,35,0,0,0,0,10,5,0,5,0,27,0,3,0,4,10,8,0,0,0,20,0,0,0,0,0,0,0,0,0,9
LGA21370,6,9,18,32,37,22,8,12,0,148,7,0,7,6,24,28,7,9,0,95,0,4,0,10,15,12,9,6,0,61,13,0,4,0,3,44,8,23,0,102,0,0,0,0,0,3,0,5,0,7,0,6,0,0,0,0,0,4,0,11,5,3,0,4,0,0,0,0,0,15,199,400,408,294,286,218,47,97,33,1985,0,9,3,0,0,0,0,0,0,13,3,17,0,0,0,0,0,0,0,25,3,28,6,0,0,0,0,0,0,43,6,35,9,4,0,6,0,0,0,53,0,36,25,0,6,4,0,6,0,76,5,43,46,16,15,7,0,0,5,145,10,24,67,48,35,21,5,4,5,212,8,20,53,59,95,50,3,3,0,286,12,13,24,32,114,63,12,8,3,287,5,3,5,14,57,54,15,11,5,165,0,7,3,9,33,36,6,14,0,117,3,0,3,5,16,9,0,10,0,48
LGA21450,9,15,22,31,60,38,6,16,5,208,9,15,8,14,41,23,7,11,0,126,7,3,4,12,17,23,11,18,0,102,11,7,10,4,15,59,24,30,0,146,4,0,0,0,0,3,4,4,0,20,0,0,0,0,0,0,0,10,0,14,3,0,4,0,0,5,0,0,10,26,356,1042,790,532,657,321,87,141,75,4004,0,20,0,7,0,0,0,0,0,28,6,63,8,0,0,0,0,0,0,76,3,80,11,0,0,8,0,5,0,104,9,104,26,0,5,4,0,0,0,156,6,113,63,7,3,3,3,0,5,209,7,117,134,37,21,4,0,0,0,325,10,61,150,57,61,34,3,0,7,375,13,40,96,76,150,75,12,10,5,487,15,49,58,76,221,136,25,27,4,614,15,26,28,33,153,96,18,17,0,391,10,21,21,23,72,65,20,16,0,245,3,8,8,8,41,28,15,16,0,130
LGA21610,22,38,85,91,182,123,26,59,11,632,18,24,43,43,113,86,27,57,6,422,9,11,14,12,43,70,29,34,0,231,37,14,14,16,41,91,47,76,5,332,0,4,5,0,7,7,6,3,0,27,5,3,4,6,4,12,4,14,0,42,7,22,10,10,19,8,3,0,26,100,901,2665,2382,1537,2075,907,238,455,188,11343,12,44,12,4,9,7,3,0,0,86,9,154,6,0,0,4,0,4,4,181,19,190,18,7,4,3,0,0,9,238,13,238,81,5,3,4,0,4,6,361,17,222,154,20,21,8,3,0,9,454,52,208,367,82,49,12,7,4,9,786,52,169,386,168,173,74,9,10,3,1049,35,130,281,224,468,253,31,40,8,1480,39,67,145,184,632,405,70,68,9,1611,30,44,88,90,417,329,69,75,5,1145,20,25,44,56,221,200,59,88,3,715,4,18,20,17,100,113,13,42,0,332
LGA21670,4,5,4,3,13,12,6,0,0,46,0,0,3,3,8,17,0,5,0,42,5,0,5,0,0,3,0,0,0,17,3,3,0,0,7,11,3,4,0,39,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,67,140,111,110,95,84,18,26,19,672,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,11,3,7,3,0,0,0,0,0,0,20,0,15,7,3,0,0,0,0,0,30,4,17,22,8,0,0,0,0,0,48,0,10,16,19,8,0,0,0,0,60,0,8,14,20,20,18,0,0,3,76,4,6,7,9,35,9,7,6,0,78,0,0,6,3,14,13,3,0,0,49,0,0,0,0,9,3,0,9,0,23,0,0,0,0,5,4,0,3,0,10
LGA21750,3,10,14,20,27,20,9,4,0,98,3,4,5,3,21,9,4,9,0,63,7,0,3,0,13,13,0,3,0,35,5,4,0,4,4,26,4,11,0,70,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,5,0,0,0,10,0,0,0,6,4,0,0,0,0,9,117,284,262,187,199,142,24,56,25,1291,0,4,0,0,0,5,0,0,0,8,0,10,0,0,0,0,0,0,0,10,5,19,0,0,0,0,0,0,0,31,0,28,0,0,0,0,0,0,0,34,0,26,19,4,0,0,0,0,0,57,4,29,33,8,0,5,0,3,0,89,4,19,37,19,9,12,4,3,0,114,5,17,29,31,40,25,6,3,0,159,8,3,12,27,57,31,4,10,0,161,3,11,5,11,34,26,6,3,0,96,6,5,0,5,17,26,3,6,0,74,0,0,0,5,7,10,0,0,0,27
LGA21830,6,3,4,7,5,7,0,5,0,42,0,0,3,5,4,10,0,3,0,29,0,0,0,0,3,3,4,3,0,18,4,0,5,0,4,10,0,4,0,37,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,9,50,169,140,91,85,77,11,50,18,694,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,8,0,7,3,0,0,0,0,0,0,14,4,9,10,0,0,0,0,0,0,22,0,18,4,3,0,0,0,0,0,34,4,9,25,12,8,4,0,0,0,56,0,8,20,14,12,3,0,0,0,47,4,10,14,14,25,20,0,0,0,82,4,3,12,15,30,21,9,0,0,100,5,4,4,4,22,24,0,6,3,58,4,0,3,6,4,8,0,3,0,39,0,0,0,0,0,0,0,3,0,12
LGA21890,27,32,43,88,194,143,24,45,10,607,24,19,41,39,134,112,46,28,0,443,21,9,13,13,64,86,29,33,0,268,33,10,7,21,37,141,55,70,4,373,4,0,5,4,3,4,3,15,0,33,0,3,6,0,0,0,0,7,0,17,3,7,11,3,5,8,0,3,15,53,662,1876,1482,853,1330,838,203,321,112,7662,3,5,11,0,8,0,0,0,4,27,8,62,7,0,0,0,0,0,0,84,15,119,10,0,0,6,0,0,0,147,12,121,37,4,3,0,0,0,5,180,11,146,64,11,5,6,0,0,0,246,20,167,189,44,26,15,0,8,3,471,27,105,198,95,105,42,4,18,3,608,33,80,158,156,316,144,13,18,10,933,41,71,96,107,480,297,54,47,8,1200,22,21,65,69,332,204,40,44,10,809,9,18,34,26,248,144,38,37,4,557,6,13,19,9,99,96,21,41,3,304
LGA22110,8,15,20,26,54,30,4,15,0,162,9,4,0,12,26,39,13,13,0,123,15,0,7,0,14,28,9,10,0,80,18,4,0,4,12,37,7,24,0,107,0,0,0,0,3,0,0,0,0,11,3,5,4,0,0,0,0,3,0,15,0,0,3,0,4,0,0,0,0,14,240,594,503,343,361,250,68,120,54,2535,0,9,0,0,0,0,0,0,0,14,0,11,0,0,0,0,0,0,0,14,3,35,8,0,0,0,0,0,0,48,5,58,16,0,0,0,0,0,0,84,15,54,25,11,5,3,0,0,0,112,11,62,90,19,7,9,0,7,3,209,16,56,92,48,41,19,8,8,0,281,12,36,46,76,88,47,11,10,4,330,26,21,40,49,124,82,9,12,9,370,8,5,13,26,60,58,8,9,0,187,5,9,9,15,52,42,7,11,0,147,3,7,4,0,22,13,0,9,0,60
LGA22170,35,28,55,87,156,116,24,40,3,545,12,6,27,43,99,102,19,39,7,344,11,8,13,14,39,70,20,27,5,207,32,8,5,17,32,109,42,54,0,285,3,0,0,0,5,14,3,15,0,34,4,5,0,0,3,0,0,4,0,21,9,11,11,3,5,6,0,0,18,64,602,1566,1427,969,1143,742,162,282,111,6994,9,25,3,6,6,5,0,0,0,49,12,56,10,0,0,0,0,0,0,78,17,129,11,7,8,0,0,0,0,175,14,143,37,4,3,3,0,0,3,213,19,162,74,16,7,7,0,0,5,286,26,157,249,42,37,12,0,10,9,539,28,132,282,139,109,55,0,10,3,755,46,71,198,212,350,159,19,23,9,1085,63,59,141,164,465,303,54,48,8,1294,34,34,49,55,281,229,38,51,0,767,11,22,31,48,150,142,38,38,3,478,7,15,27,24,69,89,23,28,0,289
LGA22250,0,3,0,4,3,0,0,3,0,20,0,4,5,0,3,7,0,3,0,17,0,0,0,0,4,3,0,5,0,8,0,0,0,0,0,3,3,3,0,12,0,0,0,0,0,4,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,76,82,54,50,45,10,30,7,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,8,0,0,0,0,0,0,0,7,0,13,5,0,3,0,0,0,0,21,0,9,4,0,3,0,0,0,0,24,0,14,19,5,8,0,0,0,0,43,0,12,21,5,5,5,0,0,0,53,0,8,23,17,9,5,5,5,0,70,0,4,4,17,21,19,0,0,0,77,0,6,4,0,11,12,4,3,0,43,0,0,0,5,3,3,0,0,0,20,0,0,0,0,5,0,3,3,0,14
LGA22310,6,34,46,55,143,81,19,36,3,423,15,23,19,28,62,87,11,18,3,262,6,10,4,25,30,26,15,18,6,135,10,9,14,8,31,35,7,28,0,138,4,3,4,0,0,0,0,5,0,23,3,5,3,0,6,0,0,3,0,26,8,6,9,0,3,0,0,0,3,41,490,1865,1306,758,1025,523,97,209,71,6330,4,10,11,0,4,4,0,0,0,34,10,64,3,0,0,0,3,0,0,86,3,129,25,0,0,0,0,0,0,159,20,148,19,4,5,3,0,0,3,202,11,138,84,9,8,5,0,0,4,256,14,126,150,21,13,17,0,3,4,344,21,109,178,74,71,30,5,0,5,497,25,82,146,100,189,91,9,23,5,657,21,76,110,104,274,203,38,29,3,868,18,31,49,65,238,185,35,24,0,649,11,29,36,32,159,111,28,38,0,452,9,16,18,22,73,68,9,26,0,244
LGA22410,11,4,10,15,23,17,3,5,0,85,5,3,6,8,10,14,0,3,0,50,4,0,0,0,6,15,5,0,0,31,6,4,0,5,11,26,8,10,0,66,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,4,6,101,242,184,134,146,121,30,42,13,1011,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,12,4,14,0,3,0,0,0,0,0,22,0,10,3,0,0,0,0,0,0,21,8,13,17,0,0,4,0,0,0,35,0,17,28,5,3,0,0,3,0,65,3,10,46,11,12,14,3,4,0,103,5,15,21,20,39,28,4,0,0,138,3,4,12,13,46,34,4,10,0,122,5,0,6,8,19,20,15,8,6,85,0,7,6,7,12,16,8,5,0,51,0,3,0,3,11,0,5,0,0,18
LGA22490,0,0,0,3,7,8,0,0,0,18,0,0,0,3,4,4,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,8,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32,149,95,57,60,40,4,9,8,447,0,3,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,9,3,20,0,0,0,0,0,0,0,18,0,20,4,0,3,0,0,0,0,26,0,17,8,0,0,0,0,0,0,21,0,17,14,0,4,0,0,0,0,42,0,7,9,7,6,6,0,0,0,45,0,3,9,11,9,11,0,0,0,37,0,11,6,13,20,14,0,9,0,76,0,6,5,3,14,14,3,0,0,53,0,8,4,0,16,12,5,4,0,42,0,4,0,4,4,8,0,3,0,23
LGA22620,29,27,57,98,169,88,13,26,3,515,18,13,30,37,118,69,14,36,0,333,9,3,20,31,49,63,15,28,0,216,31,7,10,15,35,122,28,62,0,312,3,0,0,0,4,8,6,15,0,33,0,3,0,3,0,4,5,7,0,30,0,6,10,4,8,6,3,0,15,46,607,1571,1374,946,1159,657,154,294,97,6849,8,17,3,0,0,0,0,0,0,37,4,59,0,0,0,0,0,0,5,66,8,78,8,3,0,4,0,0,0,107,16,109,20,4,4,3,0,0,0,158,21,170,69,4,11,3,0,0,0,279,33,169,244,36,31,11,0,0,5,541,31,89,247,136,116,50,9,12,3,690,31,84,207,184,353,165,19,30,5,1086,42,54,138,146,500,265,43,36,9,1222,41,31,65,101,375,226,41,47,6,926,22,22,29,39,241,135,36,63,0,594,11,12,10,14,110,97,33,31,0,323
LGA22670,33,29,66,105,228,173,31,57,12,733,44,9,22,42,133,162,30,55,5,512,26,10,11,17,86,96,28,49,4,322,43,6,11,5,43,168,63,89,3,442,6,0,3,7,4,14,0,16,0,57,0,0,3,0,3,0,3,9,0,26,10,10,11,6,7,11,0,3,21,88,569,1410,1382,982,1390,1028,235,449,153,7597,16,23,3,9,18,10,0,0,6,81,14,70,12,3,3,4,0,0,0,110,12,203,26,7,11,4,0,0,3,259,15,206,73,7,6,5,0,4,5,327,18,201,169,21,25,7,4,4,0,452,34,258,404,66,55,36,0,8,8,868,47,171,467,221,340,134,20,25,17,1447,70,131,361,324,964,548,71,73,16,2558,101,107,246,297,1552,994,171,147,25,3629,66,75,106,111,1100,766,207,185,13,2634,40,31,56,60,563,482,163,212,5,1623,21,21,23,18,262,222,85,120,4,775
LGA22750,66,67,125,174,316,291,59,85,15,1199,61,27,59,103,219,334,68,91,7,977,64,16,28,39,125,206,64,85,5,629,69,14,23,29,75,310,100,132,3,761,8,9,0,3,8,23,7,25,0,78,6,8,10,7,11,23,14,21,0,105,13,12,22,5,10,13,0,4,29,111,1479,4068,3245,1961,2299,1909,423,660,191,16244,9,33,4,3,3,7,0,7,0,76,21,115,9,3,0,0,0,0,0,146,26,229,18,3,3,4,0,0,6,297,22,308,56,16,8,6,0,0,4,425,37,319,172,24,22,12,0,4,0,595,58,354,427,86,64,34,5,15,3,1050,77,263,576,225,181,80,12,16,13,1436,94,202,435,357,582,319,43,42,17,2095,105,146,259,348,1015,598,89,111,24,2684,76,63,111,187,842,497,96,96,8,1971,73,54,67,117,508,344,67,100,3,1340,22,33,41,43,246,195,55,74,0,712
LGA22830,22,7,39,49,100,92,16,25,0,348,19,6,21,26,62,63,19,25,3,249,16,6,6,16,37,35,12,16,0,136,18,4,6,6,10,61,33,34,0,166,4,0,0,0,0,9,0,4,0,24,5,0,3,0,0,6,0,4,0,22,0,3,3,4,0,4,0,4,8,27,291,667,697,508,681,493,116,199,47,3701,4,3,3,0,0,0,0,0,0,10,3,26,0,0,0,0,0,0,0,31,0,48,8,0,4,0,0,3,0,69,6,70,11,7,0,0,0,0,5,103,14,87,37,0,9,7,0,0,0,161,14,72,132,32,20,7,0,4,5,294,24,71,127,77,87,30,4,6,4,429,18,33,106,107,215,110,12,25,8,629,20,28,57,70,277,210,34,25,5,728,20,20,21,37,158,135,30,34,0,448,14,13,13,23,120,86,29,29,0,314,0,3,4,9,56,43,5,17,0,135
LGA22910,3,10,12,7,12,3,0,0,0,50,5,0,3,0,3,3,0,0,0,22,3,0,0,0,0,9,0,4,0,16,0,0,0,0,0,6,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,104,223,160,97,79,61,14,18,3,762,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,3,16,4,0,0,0,0,0,0,24,0,18,4,3,0,0,0,0,0,23,0,19,7,0,0,0,0,0,4,36,0,20,20,11,4,4,0,0,0,61,8,11,24,10,9,5,0,3,3,68,0,5,15,23,21,7,0,4,0,72,4,3,6,18,23,12,0,3,0,73,0,0,4,3,13,12,0,3,0,44,0,0,4,3,9,11,3,3,0,35,0,5,0,0,3,3,0,0,0,15
LGA22980,0,0,4,6,3,7,0,0,0,18,0,0,0,3,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,42,51,54,17,31,0,9,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,10,0,10,5,5,0,0,0,0,0,23,4,0,3,3,5,0,0,0,0,18,0,0,3,3,4,5,0,4,0,24,0,7,4,7,22,12,0,4,0,48,0,0,3,0,5,5,0,0,0,20,0,0,0,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,3
LGA23110,18,15,21,23,53,50,15,13,3,213,7,10,15,14,28,60,6,12,3,153,9,8,8,11,21,34,10,25,0,118,23,8,10,5,21,74,33,30,3,206,0,0,0,0,3,0,3,4,0,21,0,3,7,0,0,3,0,4,0,19,0,0,5,0,0,4,0,0,9,24,336,970,729,471,509,409,102,152,68,3739,0,16,5,0,0,4,0,0,0,27,11,32,0,0,0,0,0,0,0,42,8,69,6,0,0,0,0,0,0,85,10,87,26,3,0,0,0,3,0,135,6,84,38,9,8,3,0,0,0,155,7,87,110,8,17,8,0,0,0,248,6,46,129,52,59,27,5,4,8,332,15,34,103,81,188,130,6,11,5,584,25,32,62,74,277,214,34,33,11,758,20,25,32,43,216,182,41,46,6,602,11,13,19,18,146,129,36,55,3,427,3,3,7,4,51,82,21,36,4,212
LGA23190,4,0,12,16,32,19,6,5,0,100,14,5,10,7,20,24,10,10,0,94,8,0,4,0,14,26,5,0,0,52,8,4,0,0,13,40,7,11,0,84,0,0,0,0,6,3,5,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,106,244,234,156,228,171,35,52,18,1243,0,4,0,0,0,0,0,0,0,11,0,9,0,0,0,0,0,0,0,19,4,13,0,0,0,0,0,0,0,24,4,17,0,4,0,0,0,0,0,28,3,33,18,3,0,3,0,0,0,58,7,26,44,17,8,0,0,0,0,104,9,12,47,27,28,13,0,0,0,129,5,14,24,43,68,34,9,4,0,198,8,13,18,29,88,60,10,15,3,243,4,5,15,10,47,37,9,4,0,134,5,6,6,10,23,29,7,4,0,77,0,0,0,3,11,13,5,0,0,38
LGA23270,68,55,71,92,249,202,57,75,22,892,55,30,44,62,199,197,63,68,9,734,44,21,24,37,104,117,68,53,3,470,69,15,15,14,115,245,102,107,10,686,0,0,0,3,10,14,6,16,0,52,4,0,5,7,8,15,8,14,0,67,12,11,9,3,11,4,0,5,30,81,1076,2105,1849,1199,2020,1394,440,523,217,10817,19,30,10,4,4,12,0,6,3,89,16,65,5,0,0,0,0,0,0,95,21,202,28,7,6,3,0,0,5,269,25,227,65,3,7,0,0,0,11,344,23,240,140,12,17,11,0,0,6,460,42,236,398,83,61,34,6,11,9,879,61,156,389,191,249,125,19,16,14,1224,63,129,321,261,773,491,57,69,23,2192,79,95,182,242,1188,811,150,155,29,2929,61,53,99,110,819,626,126,198,17,2095,55,46,60,69,534,458,115,189,15,1540,21,28,29,31,240,239,76,124,0,797
LGA23350,4,4,3,3,11,19,4,8,0,55,0,4,0,3,8,13,0,0,0,32,0,0,0,0,4,13,0,4,0,31,7,0,0,0,6,14,6,9,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,88,188,125,81,78,100,11,37,13,730,0,3,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,10,0,9,3,0,0,0,0,0,0,10,3,4,0,0,0,0,0,0,0,11,0,15,4,0,0,0,0,0,0,18,6,11,10,3,0,0,3,0,0,35,0,7,20,9,4,5,0,0,0,42,3,7,12,10,13,3,0,5,0,61,0,11,8,17,25,23,3,0,0,91,0,8,4,3,13,18,7,0,4,58,3,0,3,3,8,7,0,0,0,34,0,4,0,0,4,6,0,0,0,20
LGA23430,39,27,56,81,152,124,22,41,7,545,18,22,27,47,82,95,28,40,6,370,12,11,15,14,32,64,28,29,5,212,42,17,8,21,42,148,41,58,0,370,6,0,0,5,0,4,3,7,0,30,0,5,9,15,8,16,0,12,0,56,6,12,12,8,6,7,0,0,17,62,766,2115,1554,949,1175,822,182,299,113,7980,12,24,7,4,5,4,0,4,3,61,17,98,8,0,0,0,0,0,0,126,8,189,23,4,3,7,0,0,0,237,15,195,56,8,8,9,0,4,6,283,27,186,114,17,14,11,0,0,4,380,37,220,315,69,40,32,0,4,3,709,35,177,378,146,169,78,15,12,11,1023,40,119,283,236,529,278,21,35,8,1537,36,86,152,226,845,561,98,67,10,2074,43,55,81,115,572,439,79,94,6,1475,21,37,55,60,275,286,60,96,4,899,9,24,22,29,138,124,36,51,0,437
LGA23670,25,27,48,53,128,97,17,31,11,437,7,16,20,32,92,71,17,25,0,284,16,6,8,13,37,58,15,34,0,201,35,10,13,20,32,92,30,51,3,283,3,0,4,0,0,5,0,11,0,25,5,0,7,0,0,3,0,6,0,22,5,4,8,5,0,3,0,7,16,52,637,1776,1379,794,1086,613,119,257,85,6747,4,18,3,4,0,4,0,3,0,37,16,88,7,0,3,0,0,0,0,117,16,151,15,0,8,3,0,0,0,200,23,194,45,7,8,4,0,0,0,286,13,206,93,13,7,9,0,0,6,357,32,202,341,57,48,19,3,6,13,721,31,141,343,151,142,83,10,15,5,916,44,115,267,273,525,245,28,35,8,1551,55,89,167,209,856,498,84,75,11,2047,39,42,77,88,550,415,90,76,14,1378,25,32,40,68,346,280,77,80,3,947,12,16,22,25,121,138,48,61,5,437
