POW_LGA_CODE_2021,P_EWFT_35_39_ES_NS,P_EWFT_35_39_Tot,P_EWFT_40_44_E,P_EWFT_40_44_OM_IE,P_EWFT_40_44_OM_UIE,P_EWFT_40_44_CFW,P_EWFT_40_44_ES_NS,P_EWFT_40_44_Tot,P_EWFT_45_49_E,P_EWFT_45_49_OM_IE,P_EWFT_45_49_OM_UIE,P_EWFT_45_49_CFW,P_EWFT_45_49_ES_NS,P_EWFT_45_49_Tot,P_EWFT_50_54_E,P_EWFT_50_54_OM_IE,P_EWFT_50_54_OM_UIE,P_EWFT_50_54_CFW,P_EWFT_50_54_ES_NS,P_EWFT_50_54_Tot,P_EWFT_55_59_E,P_EWFT_55_59_OM_IE,P_EWFT_55_59_OM_UIE,P_EWFT_55_59_CFW,P_EWFT_55_59_ES_NS,P_EWFT_55_59_Tot,P_EWFT_60_64_E,P_EWFT_60_64_OM_IE,P_EWFT_60_64_OM_UIE,P_EWFT_60_64_CFW,P_EWFT_60_64_ES_NS,P_EWFT_60_64_Tot,P_EWFT_65_69_E,P_EWFT_65_69_OM_IE,P_EWFT_65_69_OM_UIE,P_EWFT_65_69_CFW,P_EWFT_65_69_ES_NS,P_EWFT_65_69_Tot,P_EWFT_70_74_E,P_EWFT_70_74_OM_IE,P_EWFT_70_74_OM_UIE,P_EWFT_70_74_CFW,P_EWFT_70_74_ES_NS,P_EWFT_70_74_Tot,P_EWFT_75ov_E,P_EWFT_75ov_OM_IE,P_EWFT_75ov_OM_UIE,P_EWFT_75ov_CFW,P_EWFT_75ov_ES_NS,P_EWFT_75ov_Tot,P_EWFT_Tot_E,P_EWFT_Tot_OM_IE,P_EWFT_Tot_OM_UIE,P_EWFT_Tot_CFW,P_EWFT_Tot_ES_NS,P_EWFT_Tot_Tot,P_EWPT_15_19_E,P_EWPT_15_19_OM_IE,P_EWPT_15_19_OM_UIE,P_EWPT_15_19_CFW,P_EWPT_15_19_ES_NS,P_EWPT_15_19_Tot,P_EWPT_20_24_E,P_EWPT_20_24_OM_IE,P_EWPT_20_24_OM_UIE,P_EWPT_20_24_CFW,P_EWPT_20_24_ES_NS,P_EWPT_20_24_Tot,P_EWPT_25_29_E,P_EWPT_25_29_OM_IE,P_EWPT_25_29_OM_UIE,P_EWPT_25_29_CFW,P_EWPT_25_29_ES_NS,P_EWPT_25_29_Tot,P_EWPT_30_34_E,P_EWPT_30_34_OM_IE,P_EWPT_30_34_OM_UIE,P_EWPT_30_34_CFW,P_EWPT_30_34_ES_NS,P_EWPT_30_34_Tot,P_EWPT_35_39_E,P_EWPT_35_39_OM_IE,P_EWPT_35_39_OM_UIE,P_EWPT_35_39_CFW,P_EWPT_35_39_ES_NS,P_EWPT_35_39_Tot,P_EWPT_40_44_E,P_EWPT_40_44_OM_IE,P_EWPT_40_44_OM_UIE,P_EWPT_40_44_CFW,P_EWPT_40_44_ES_NS,P_EWPT_40_44_Tot,P_EWPT_45_49_E,P_EWPT_45_49_OM_IE,P_EWPT_45_49_OM_UIE,P_EWPT_45_49_CFW,P_EWPT_45_49_ES_NS,P_EWPT_45_49_Tot,P_EWPT_50_54_E,P_EWPT_50_54_OM_IE,P_EWPT_50_54_OM_UIE,P_EWPT_50_54_CFW,P_EWPT_50_54_ES_NS,P_EWPT_50_54_Tot,P_EWPT_55_59_E,P_EWPT_55_59_OM_IE,P_EWPT_55_59_OM_UIE,P_EWPT_55_59_CFW,P_EWPT_55_59_ES_NS,P_EWPT_55_59_Tot,P_EWPT_60_64_E,P_EWPT_60_64_OM_IE,P_EWPT_60_64_OM_UIE,P_EWPT_60_64_CFW,P_EWPT_60_64_ES_NS,P_EWPT_60_64_Tot,P_EWPT_65_69_E,P_EWPT_65_69_OM_IE,P_EWPT_65_69_OM_UIE,P_EWPT_65_69_CFW,P_EWPT_65_69_ES_NS,P_EWPT_65_69_Tot,P_EWPT_70_74_E,P_EWPT_70_74_OM_IE,P_EWPT_70_74_OM_UIE,P_EWPT_70_74_CFW,P_EWPT_70_74_ES_NS,P_EWPT_70_74_Tot,P_EWPT_75ov_E,P_EWPT_75ov_OM_IE,P_EWPT_75ov_OM_UIE,P_EWPT_75ov_CFW,P_EWPT_75ov_ES_NS,P_EWPT_75ov_Tot,P_EWPT_Tot_E,P_EWPT_Tot_OM_IE,P_EWPT_Tot_OM_UIE,P_EWPT_Tot_CFW,P_EWPT_Tot_ES_NS,P_EWPT_Tot_Tot,P_EAFW_E,P_EAFW_OM_IE,P_EAFW_OM_UIE,P_EAFW_CFW,P_EAFW_ES_NS,P_EAFW_Tot,P_H_NS_E,P_H_NS_OM_IE,P_H_NS_OM_UIE,P_H_NS_CFW,P_H_NS_ES_NS,P_H_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA21270,0,110,87,21,18,3,0,133,96,24,14,17,0,148,105,40,29,22,5,199,106,48,28,16,0,200,82,39,33,31,3,198,40,14,30,18,0,100,6,12,11,7,0,35,0,0,7,9,0,17,944,237,202,148,21,1548,77,0,0,12,0,89,43,0,0,8,0,46,41,0,8,3,0,45,45,4,4,0,3,59,41,0,10,0,0,49,47,0,0,0,0,58,69,7,11,4,0,85,75,6,6,10,0,101,88,9,8,3,0,108,78,8,17,0,3,107,42,4,10,8,0,70,15,5,9,9,5,37,3,8,3,10,6,27,673,48,78,67,19,883,63,4,8,5,10,92,32,8,3,18,8,62,1707,292,290,238,54,2590
LGA21370,8,845,686,108,67,24,12,894,834,137,118,26,8,1121,829,145,116,27,14,1133,773,144,119,39,11,1090,513,134,126,34,17,818,168,46,86,30,14,347,34,14,49,21,0,113,10,15,28,12,0,61,7068,923,879,243,111,9220,702,3,5,10,5,715,392,4,8,3,0,406,354,0,21,12,0,391,376,19,30,10,12,445,434,28,44,22,6,535,360,18,54,7,4,441,438,19,41,12,7,515,406,36,58,20,3,519,466,36,49,16,3,571,494,38,81,34,7,652,229,29,56,34,3,352,85,15,39,23,3,163,28,10,27,27,6,101,4760,262,504,216,63,5814,776,34,57,31,13,915,257,16,49,29,65,423,12870,1239,1492,520,253,16371
LGA21450,10,2100,1397,307,177,24,25,1925,1363,341,135,32,9,1879,1293,300,164,28,10,1794,1014,250,107,39,18,1419,636,173,111,31,9,960,199,73,62,23,5,362,36,28,25,13,3,100,12,14,23,9,4,69,13277,2134,1309,229,120,17075,1918,8,17,16,4,1966,1279,9,43,16,0,1344,841,32,107,10,8,1007,881,76,143,33,11,1137,923,96,170,41,7,1230,734,98,134,33,4,1008,784,101,149,28,14,1081,730,98,127,26,8,993,645,99,97,33,9,887,522,91,117,29,7,767,248,66,100,36,4,456,99,41,39,34,8,223,42,21,36,30,0,130,9633,844,1276,380,88,12223,1209,85,218,31,27,1571,461,44,44,26,51,619,24579,3104,2848,665,286,31486
LGA21610,19,5765,3846,697,440,45,21,5049,3719,659,386,42,18,4825,3604,649,355,50,15,4682,2698,532,280,39,23,3568,1768,377,203,24,9,2388,610,148,72,18,3,861,94,54,20,7,0,183,28,24,12,8,0,64,34607,4788,2916,358,164,42830,4877,8,29,24,3,4947,4541,41,156,24,8,4765,2499,83,268,25,12,2897,2553,221,328,89,18,3206,2801,342,490,102,19,3758,2327,325,433,76,8,3168,2127,261,374,91,17,2864,1954,251,347,69,13,2629,1678,209,278,74,14,2248,1330,206,270,53,11,1868,678,126,137,45,3,981,222,62,66,26,0,383,93,32,42,25,6,193,27675,2168,3213,719,138,33909,3260,187,407,87,38,3983,1137,126,112,44,119,1532,66680,7267,6650,1206,456,82257
LGA21670,0,190,162,27,13,3,4,204,206,24,27,6,0,257,216,37,17,6,0,279,243,26,19,7,4,303,118,30,26,7,5,191,47,13,26,10,4,100,7,11,14,3,0,29,0,10,4,8,0,22,1766,201,182,56,29,2232,200,0,0,0,0,205,146,0,7,0,0,152,119,0,9,0,0,132,122,3,14,0,4,144,133,8,7,0,3,147,99,8,8,0,0,123,147,8,10,4,5,179,140,8,14,5,0,172,165,9,20,7,3,208,141,6,23,0,4,181,78,5,14,6,5,112,30,8,13,3,0,54,11,0,6,8,0,22,1544,64,143,37,30,1825,233,8,22,7,4,276,73,4,12,7,10,104,3622,282,353,110,77,4438
LGA21750,7,592,417,66,46,14,0,537,438,89,67,14,11,616,493,59,87,11,4,661,441,77,74,19,10,622,280,49,75,22,5,426,96,24,45,19,0,194,26,18,33,15,4,92,11,0,19,11,5,44,4565,501,567,142,57,5829,439,0,0,0,4,446,248,0,10,0,0,258,278,3,17,6,3,307,284,7,22,7,0,323,294,10,24,16,0,344,241,15,36,9,0,310,267,20,44,7,0,334,298,18,35,5,9,363,296,21,39,11,3,370,259,25,52,11,4,352,149,17,35,21,5,226,67,8,38,15,0,131,17,11,17,30,3,78,3128,150,372,158,36,3842,510,31,58,16,12,621,139,3,19,11,34,205,8347,685,1002,324,142,10496
LGA21830,3,392,275,52,50,16,3,403,285,65,97,18,3,473,321,87,114,21,11,547,314,58,101,29,23,529,208,50,97,24,11,391,86,36,64,15,5,213,17,17,23,28,3,92,7,6,39,14,3,71,2850,481,715,190,95,4332,259,0,0,11,3,273,139,0,7,0,7,141,134,3,8,0,0,146,144,7,12,10,4,176,157,7,24,7,0,201,137,5,17,10,0,173,179,10,14,10,7,221,171,11,31,9,0,215,205,11,42,14,4,277,190,18,45,10,10,267,97,24,26,17,0,169,29,9,24,29,6,97,20,8,23,16,4,73,1847,120,270,154,42,2422,277,15,26,13,11,343,129,13,26,28,39,242,5102,631,1048,380,183,7344
LGA21890,8,3715,2780,397,255,30,13,3473,2825,400,226,26,13,3492,2742,450,248,21,8,3470,2272,329,180,22,14,2807,1469,219,125,21,10,1841,519,106,83,6,6,717,110,48,20,3,3,187,31,28,11,7,0,77,24560,2742,1865,192,91,29442,1729,8,22,15,3,1777,2891,23,115,6,5,3041,1968,49,216,19,9,2264,1776,84,276,28,16,2171,1605,134,292,29,8,2068,1432,134,268,39,3,1877,1376,146,269,34,11,1830,1263,137,279,45,11,1735,1167,133,186,31,6,1518,1047,95,180,36,11,1369,528,76,123,17,5,751,198,49,62,20,8,334,64,29,23,13,0,131,17041,1095,2321,332,95,20884,2304,96,230,49,29,2706,706,49,54,23,98,928,44612,3977,4466,593,312,53965
LGA22110,16,846,683,85,73,18,12,870,774,101,98,18,12,1002,859,138,107,22,15,1136,797,104,118,36,10,1067,530,120,124,47,18,836,183,60,88,49,21,395,29,40,48,34,6,158,9,24,33,30,5,103,6956,831,904,271,128,9091,683,0,0,8,9,698,431,0,14,3,3,450,376,5,29,7,3,419,496,16,45,15,5,579,505,15,47,11,6,586,476,21,48,13,7,566,529,23,50,19,5,626,564,41,72,14,8,708,626,42,83,21,4,784,668,51,104,28,15,870,349,35,65,47,13,511,127,32,53,28,7,246,32,15,39,51,12,155,5847,307,659,270,105,7193,894,30,86,23,21,1054,271,22,39,29,64,426,13969,1190,1688,595,319,17762
LGA22170,14,3303,2461,427,211,21,12,3131,2595,429,196,20,10,3244,2579,493,217,35,15,3329,2036,381,166,25,16,2618,1325,259,128,11,8,1730,435,129,72,14,6,659,86,59,24,4,5,173,11,29,11,4,0,54,22945,2908,1539,175,103,27675,2474,0,14,14,4,2505,2329,7,62,4,3,2404,1498,14,114,13,0,1641,1614,69,173,22,7,1892,1708,107,199,47,8,2069,1547,127,209,50,9,1934,1490,126,187,32,5,1845,1425,134,208,45,14,1820,1286,116,215,26,3,1654,1203,134,161,30,11,1540,548,83,128,31,3,798,193,61,69,16,6,349,93,38,18,28,8,181,17415,1033,1753,352,82,20635,2473,107,222,47,40,2889,631,64,56,27,71,846,43468,4110,3571,610,299,52045
LGA22250,3,222,139,29,32,4,9,216,155,32,29,8,9,239,199,50,37,20,4,312,178,52,44,18,5,301,135,39,51,33,4,255,49,21,37,9,6,119,7,12,10,8,0,36,0,7,9,13,7,36,1537,285,297,139,50,2307,116,0,0,10,0,124,70,0,0,0,0,67,77,5,6,4,0,86,74,0,9,3,0,92,92,6,8,9,0,111,81,5,11,5,0,96,78,3,7,0,0,97,93,17,13,7,5,127,118,11,17,3,0,157,97,6,30,12,4,142,76,11,18,9,0,116,36,4,11,10,0,57,4,6,6,16,3,35,1007,79,136,81,14,1318,131,6,18,10,3,171,44,8,9,13,14,85,2715,376,466,242,83,3880
LGA22310,5,2616,1741,406,181,38,11,2370,1836,458,251,32,8,2586,1677,494,222,26,3,2427,1333,362,227,29,7,1961,883,278,164,18,4,1339,336,147,111,14,0,603,88,85,48,0,0,225,20,32,16,5,0,80,15929,2891,1671,234,55,20780,1669,0,25,3,5,1702,2394,14,115,18,5,2542,1444,32,148,14,3,1637,1155,80,171,34,3,1448,1217,152,243,36,11,1647,998,156,269,50,0,1474,1044,194,257,29,7,1537,1025,172,284,57,3,1538,942,139,249,47,3,1383,813,163,228,38,0,1251,552,132,174,46,5,912,240,108,123,35,8,504,104,49,60,32,4,246,13586,1395,2340,440,68,17828,1469,94,222,42,21,1854,434,62,51,18,51,613,31416,4439,4284,738,197,41076
LGA22410,6,410,353,31,29,13,4,429,469,42,38,8,9,574,424,48,59,17,5,554,443,45,66,14,3,568,279,45,82,18,5,435,90,28,72,31,9,228,23,10,27,30,0,92,5,7,24,24,9,66,3578,305,469,174,64,4590,340,0,0,5,0,348,168,0,0,3,0,176,173,0,18,3,0,196,191,6,23,0,0,212,221,8,28,12,3,266,195,8,30,3,0,239,233,8,27,8,3,277,228,10,22,10,4,275,261,21,35,7,3,335,208,22,54,13,6,303,124,6,35,9,0,175,49,5,23,13,0,93,10,16,26,9,0,57,2403,116,317,99,25,2968,368,12,37,18,14,454,112,6,24,22,21,183,6460,450,837,315,135,8193
LGA22490,4,258,181,60,44,9,3,297,174,70,33,8,0,288,189,58,53,14,4,311,116,42,34,16,3,207,87,20,31,6,4,148,26,17,27,8,0,76,9,10,19,12,0,50,0,4,11,14,5,34,1632,386,339,97,27,2488,177,0,0,5,0,182,154,0,10,3,0,166,103,0,8,3,0,122,104,15,21,6,0,142,126,19,25,7,0,184,117,16,25,16,0,169,90,14,33,5,0,143,103,15,39,10,4,171,88,18,22,9,0,143,72,15,21,8,0,114,30,16,30,8,0,92,16,12,11,16,0,59,5,7,17,17,0,40,1186,146,259,123,15,1732,124,14,35,21,3,190,63,8,10,0,12,90,3007,554,642,241,54,4492
LGA22620,20,3199,2691,280,192,17,11,3190,2932,353,179,31,12,3512,2713,318,198,30,21,3283,2333,276,186,24,21,2840,1498,183,145,28,8,1860,470,105,80,23,7,684,66,39,33,16,7,158,9,19,22,12,8,69,24839,2058,1434,220,140,28693,2521,7,9,19,0,2553,2105,3,41,9,3,2159,1498,21,71,10,6,1606,1572,53,118,18,4,1766,1736,61,145,31,5,1978,1518,94,128,24,11,1768,1360,81,125,25,5,1592,1335,99,136,25,10,1606,1407,77,166,32,17,1704,1311,82,181,40,16,1628,627,65,117,43,7,860,180,37,65,41,5,330,58,24,32,41,8,157,17220,703,1333,350,102,19709,2596,68,131,51,35,2882,600,37,37,38,81,794,45254,2864,2940,660,362,52077
LGA22670,32,9450,8006,679,212,57,45,8996,8528,699,281,38,39,9589,8311,764,229,34,25,9362,7359,645,254,30,22,8315,4734,451,202,24,28,5441,1668,242,90,10,15,2030,294,110,44,6,8,465,61,48,18,14,0,136,69435,4978,2031,312,304,77058,2339,6,19,25,3,2401,3812,26,94,29,9,3972,2910,67,150,27,17,3173,2636,124,217,62,14,3039,2629,210,195,67,20,3129,2314,172,189,67,14,2757,2261,221,167,43,26,2716,2154,171,174,46,11,2556,1926,179,185,46,11,2351,1773,149,144,39,16,2123,957,124,101,27,5,1215,375,87,56,28,4,546,141,63,31,18,3,245,26219,1593,1721,523,151,30212,3311,149,203,73,40,3786,1685,108,102,50,170,2122,100655,6836,4056,959,668,113178
