POW_LGA_CODE_2021,Tot_65_69_HW_0,Tot_65_69_HW_1_19,Tot_65_69_HW_20_29,Tot_65_69_HW_30_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40_44,Tot_65_69_HW_45_49,Tot_65_69_HW_50mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_19,Tot_70_74_HW_20_29,Tot_70_74_HW_30_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40_44,Tot_70_74_HW_45_49,Tot_70_74_HW_50mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_19,Tot_75ov_HW_20_29,Tot_75ov_HW_30_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40_44,Tot_75ov_HW_45_49,Tot_75ov_HW_50mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_19,Tot_Tot_HW_20_29,Tot_Tot_HW_30_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40_44,Tot_Tot_HW_45_49,Tot_Tot_HW_50mor,Tot_Tot_HW_NS,Tot_Tot_Tot
LGA26700,46,160,84,65,75,81,16,77,15,630,16,79,55,25,19,30,4,31,7,266,8,34,25,14,17,22,4,33,9,170,771,2002,1741,1391,2681,2508,721,1498,248,13560
LGA26730,44,167,103,59,63,67,11,58,10,577,16,80,24,13,18,11,7,29,6,210,8,36,16,8,3,3,0,5,7,85,998,3017,2289,1625,3515,3239,895,1616,297,17487
LGA26810,59,181,114,82,87,105,42,113,20,796,18,97,45,29,20,42,14,65,15,341,9,41,30,22,11,31,4,45,22,224,1031,2595,2059,1459,2922,3525,1036,2766,359,17756
LGA26890,8,14,7,17,10,24,6,31,4,137,0,13,10,8,8,17,6,17,5,78,0,14,12,9,5,7,0,13,3,64,68,219,164,140,153,376,106,479,48,1754
LGA26980,159,547,425,248,320,347,96,177,23,2337,56,354,155,97,84,77,30,58,16,938,37,211,80,30,23,27,10,22,23,464,3509,12527,10090,6596,15869,14925,3657,6451,1032,74657
LGA27070,95,344,271,152,347,274,81,170,26,1758,36,156,86,30,58,78,23,39,13,513,19,92,31,20,21,26,10,20,19,255,3128,10948,8997,5834,15311,14251,3587,6483,1380,69926
LGA27170,64,144,105,67,105,83,15,72,6,663,9,74,26,13,23,26,3,27,4,201,7,42,18,7,13,7,0,13,12,119,987,2533,2172,1853,4436,4889,1407,2526,369,21166
LGA27260,91,313,218,133,350,275,99,185,34,1689,19,159,79,27,71,55,15,50,9,474,17,67,23,15,20,18,3,8,23,188,3850,12493,10739,6729,20165,17946,4899,8833,1882,87535
LGA27350,121,403,345,197,343,332,87,204,25,2055,60,231,152,85,91,117,21,64,13,844,27,156,84,43,28,35,4,28,17,419,4577,10966,10056,7626,21352,22258,5861,10623,1257,94588
LGA27450,112,449,295,169,209,198,59,166,20,1675,56,277,119,74,57,82,18,69,16,773,25,141,55,29,17,28,5,27,15,348,2795,9108,6304,3925,7940,7793,2182,4542,743,45331
LGA27630,11,29,30,18,11,22,6,22,0,156,8,8,11,0,0,13,0,17,0,61,3,16,11,9,4,9,3,8,4,76,136,375,324,210,343,533,125,459,65,2576
LGA29399,3,19,17,0,12,6,3,12,0,75,0,10,9,3,4,0,0,3,0,32,0,8,0,0,0,5,0,4,0,14,180,519,490,210,352,279,92,247,53,2422
LGA29499,554,1741,806,469,410,551,119,342,79,5077,270,911,340,145,87,168,38,126,62,2149,215,539,165,80,36,73,11,88,83,1298,9454,25035,16766,10677,19053,31147,7014,14943,3389,137478
LGA29799,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,3,3,12,22,9,114,0,194
