POW_LGA_CODE_2021,Ag_For_Fish_ATSI,Ag_For_Fish_Non_Indig,Ag_For_Fish_Indig_Status_NS,Ag_For_Fish_Tot,Min_ATSI,Min_Non_Indig,Min_Indig_Status_NS,Min_Total,Mnf_ATSI,Mnf_Non_Indig,Mnf_Indig_Status_NS,Mnf_Tot,EGWWS_ATSI,EGWWS_Non_Indig,EGWWS_Indig_Status_NS,EGWWS_Tot,Const_ATSI,Const_Non_Indig,Const_Indig_Status_NS,Const_Tot,WST_ATSI,WST_Non_Indig,WST_Indig_Status_NS,WST_Tot,RetT_ATSI,RetT_Non_Indig,RetT_Indig_Status_NS,RetT_Tot,AcFd_ATSI,AcFd_Non_Indig,AcFd_Indig_Status_NS,AcFd_Tot,TPW_ATSI,TPW_Non_Indig,TPW_Indig_Status_NS,TPW_Tot,IMT_ATSI,IMT_Non_Indig,IMT_Indig_Status_NS,IMT_Tot,FinIns_ATSI,FinIns_Non_Indig,FinIns_Indig_Status_NS,FinIns_Tot,RHRE_ATSI,RHRE_Non_Indig,RHRE_Indig_Status_NS,RHRE_Tot,ProSTS_ATSI,ProSTS_Non_Indig,ProSTS_Indig_Status_NS,ProSTS_Tot,AdSup_ATSI,AdSup_Non_Indig,AdSup_Indig_Status_NS,AdSup_Tot,PubAS_ATSI,PubAS_Non_Indig,PubAS_Indig_Status_NS,PubAS_Tot,EdTrn_ATSI,EdTrn_Non_Indig,EdTrn_Indig_Status_NS,EdTrn_Tot,HltHC_SA_ATSI,HltHC_SA_Non_Indig,HltHC_SA_Indig_Status_NS,HltHC_SA_Tot,ArtsR_ATSI,ArtsR_Non_Indig,ArtsR_Indig_Status_NS,ArtsR_Tot,OthSvs_ATSI,OthSvs_Non_Indig,OthSvs_Indig_Status_NS,OthSvs_Tot,IDNS_ATSI,IDNS_Non_Indig,IDNS_Indig_Status_NS,IDNS_Tot,Tot_ATSI,Tot_Non_Indig,Tot_Indig_Status_NS,Tot_Tot
LGA21270,6,808,0,817,0,12,0,10,5,105,0,107,0,14,0,14,0,118,0,123,0,70,0,74,6,189,0,197,0,134,4,135,5,113,0,117,0,8,0,8,0,21,0,21,0,5,0,5,0,49,0,49,0,19,0,19,0,139,0,136,0,246,0,247,0,307,3,310,0,32,0,32,0,77,0,77,4,90,4,94,30,2548,14,2590
LGA21370,23,2031,19,2076,0,27,0,23,20,1730,12,1755,3,146,0,150,23,1243,4,1273,3,326,0,331,31,1692,16,1732,29,1039,8,1079,11,547,0,555,0,53,0,53,4,215,0,224,0,151,0,157,5,545,3,551,11,307,8,324,23,510,0,532,23,1183,0,1210,82,2711,12,2809,3,138,0,143,18,707,5,729,18,627,18,667,335,15930,104,16371
LGA21450,3,1322,7,1334,0,183,0,185,27,2440,7,2467,0,209,0,212,44,4462,5,4510,4,586,0,589,19,3479,19,3515,19,2411,8,2438,6,1358,4,1369,3,213,0,213,0,406,0,409,0,398,0,398,5,1364,0,1372,6,767,0,775,13,1032,0,1048,18,3750,9,3775,28,3293,9,3326,3,633,0,637,5,1374,3,1379,14,1498,14,1530,229,31164,95,31486
LGA21610,0,1472,6,1481,0,77,0,83,16,4510,8,4538,7,519,0,522,59,9419,21,9496,6,1813,5,1825,81,11131,20,11224,48,5723,10,5786,8,3657,9,3673,5,880,0,886,7,1272,0,1280,4,1141,0,1155,14,3082,4,3100,11,2255,5,2274,22,2774,10,2806,46,10552,14,10615,64,12603,28,12700,17,1451,4,1468,18,3286,5,3317,34,3965,35,4034,475,81589,188,82257
LGA21670,0,286,0,286,0,25,0,25,8,530,0,536,0,43,0,43,3,188,0,192,0,54,0,54,9,520,3,535,11,307,4,323,0,201,0,205,0,41,0,41,0,36,3,36,0,18,0,18,0,99,0,104,0,77,0,76,7,248,0,252,5,408,0,411,8,861,9,876,0,59,0,64,0,161,0,164,3,191,9,204,52,4349,36,4438
LGA21750,12,1168,13,1193,0,33,0,33,11,1624,16,1651,0,97,0,100,6,753,6,768,0,180,0,185,22,960,4,977,11,847,0,857,0,323,4,328,0,95,0,95,0,109,0,109,0,83,0,83,0,284,0,285,4,311,3,319,7,496,4,509,4,733,0,736,16,1403,8,1424,0,105,3,112,5,331,0,334,13,393,7,413,124,10314,63,10496
LGA21830,16,2220,16,2247,0,66,0,67,11,558,0,567,0,101,0,104,3,420,4,424,3,158,0,159,3,521,4,534,6,350,4,356,0,311,3,310,0,14,0,15,0,42,0,42,0,29,0,29,0,173,0,173,0,106,0,112,0,262,0,260,0,546,0,552,8,850,4,861,3,55,0,61,5,171,0,176,0,295,6,300,61,7240,45,7344
LGA21890,0,239,0,241,0,99,0,99,14,3796,14,3827,0,181,3,184,26,3745,8,3780,10,1597,0,1602,35,7169,14,7218,27,3947,8,3978,5,1654,4,1665,14,678,0,693,0,766,0,773,3,717,0,722,38,3187,6,3237,11,1392,4,1400,68,3042,5,3111,66,7454,10,7531,180,7864,11,8050,13,1064,4,1074,23,2143,6,2177,27,2562,23,2608,543,53292,126,53965
LGA22110,31,1475,18,1519,3,63,0,59,28,1287,5,1322,0,205,0,208,31,1368,5,1398,5,387,0,389,47,1789,7,1842,41,1474,11,1531,14,589,10,605,0,78,0,79,0,162,0,162,0,185,0,186,14,570,4,583,12,393,0,410,43,1011,3,1058,46,1634,4,1685,96,2942,21,3057,9,223,0,232,24,660,7,693,38,680,20,735,476,17168,114,17762
LGA22170,0,339,0,345,0,70,0,70,15,3757,6,3781,4,992,0,992,54,5783,16,5852,10,1210,4,1223,45,5989,12,6047,35,3113,9,3156,8,1413,6,1429,3,395,0,398,5,652,0,660,3,643,0,644,23,2151,3,2174,18,1537,10,1560,27,1958,5,1992,48,4464,4,4513,84,11756,27,11875,8,738,0,744,19,1980,6,2007,35,2514,28,2582,446,51457,141,52045
LGA22250,3,952,0,966,0,41,0,41,3,261,0,266,0,77,0,80,0,257,3,264,0,92,0,95,10,341,8,352,7,130,5,137,0,107,0,104,0,8,0,8,0,43,0,43,0,23,0,23,0,108,0,114,9,53,0,54,3,263,0,264,0,239,0,241,14,472,0,482,0,14,0,14,0,137,3,141,0,182,6,188,57,3799,24,3880
LGA22310,0,44,0,44,0,19,0,19,5,955,0,961,0,73,0,73,14,3041,4,3055,3,521,0,518,9,4516,6,4532,15,3256,0,3275,5,830,9,841,0,488,0,488,3,1038,0,1038,0,802,0,807,9,3759,12,3773,3,1041,0,1042,9,1530,3,1536,20,6534,11,6569,11,8213,18,8245,9,821,5,839,5,1777,0,1783,6,1621,7,1634,120,40881,73,41076
LGA22410,18,1147,8,1179,0,11,0,11,13,989,5,1005,3,89,0,88,11,511,0,517,0,185,0,191,11,647,0,662,16,464,0,479,6,497,0,502,0,31,0,31,4,60,0,57,0,70,0,73,4,169,0,177,0,163,0,167,20,470,0,491,10,564,6,581,45,1210,7,1265,3,108,0,110,14,281,0,289,13,304,3,327,192,7960,44,8193
LGA22490,5,818,10,832,0,67,0,66,4,298,0,297,0,54,0,54,0,588,0,587,3,77,0,80,5,310,0,309,3,192,0,193,0,169,0,167,0,31,0,30,0,39,0,39,0,72,0,74,0,215,0,219,0,118,0,117,0,264,0,262,7,464,0,474,0,307,0,311,0,63,0,63,0,177,0,174,0,145,0,146,41,4432,21,4492
LGA22620,14,1005,7,1032,26,1182,3,1206,69,3962,14,4042,8,671,0,680,75,4061,20,4160,16,891,5,909,89,5362,18,5468,71,3656,16,3743,37,1601,6,1645,4,491,0,493,20,1898,0,1924,9,511,0,518,24,2167,5,2197,30,1282,6,1316,61,2795,10,2868,59,4630,14,4701,157,10479,29,10667,21,723,0,749,40,1953,5,1995,43,1690,30,1767,874,51000,200,52077
LGA22670,0,533,0,535,0,92,0,92,85,23357,43,23486,17,2029,4,2046,71,10374,27,10468,29,8487,12,8530,39,9980,10,10033,15,3490,7,3502,39,8945,12,8997,5,666,0,673,13,1311,0,1324,5,1411,4,1417,10,3819,13,3840,7,2616,3,2626,57,4583,6,4643,28,5876,7,5910,79,10874,25,10979,3,624,3,635,26,4370,8,4399,40,8952,44,9037,564,112387,222,113178
LGA22750,3,1075,5,1086,0,177,0,176,68,7445,28,7542,10,1428,0,1443,140,11152,34,11329,28,3099,0,3124,124,13571,38,13730,88,8532,21,8636,47,3793,17,3850,6,794,3,803,26,3126,3,3158,0,1375,3,1382,40,6564,15,6619,26,2727,6,2760,89,6865,5,6960,111,12275,24,12404,228,22552,46,22818,10,1616,6,1638,41,4159,10,4208,62,4122,48,4226,1146,116456,302,117909
LGA22830,16,2356,13,2383,0,32,0,32,52,2765,4,2820,13,795,4,816,53,2462,10,2520,12,672,6,686,83,2975,16,3073,55,1636,5,1698,20,1223,3,1250,8,223,3,232,10,403,0,411,6,271,0,285,20,1213,5,1241,23,790,0,818,63,1382,6,1453,67,2584,0,2653,158,5578,23,5752,18,259,0,281,34,1376,6,1420,53,1344,23,1424,788,30336,125,31250
LGA22910,5,527,5,529,0,7,0,7,0,238,0,238,0,13,0,13,5,363,5,367,0,62,0,62,5,528,0,532,9,795,0,805,4,121,0,122,0,38,0,43,0,54,0,60,0,55,0,54,0,320,0,322,0,158,0,156,0,268,0,273,4,395,0,398,3,735,0,740,0,139,0,139,0,234,0,236,0,203,3,214,38,5254,21,5311
LGA22980,0,641,4,644,0,5,0,5,0,155,0,155,0,18,0,15,0,112,0,116,0,34,0,34,0,121,0,121,0,52,0,52,0,125,0,122,0,10,0,10,0,14,0,14,0,8,0,8,0,28,0,28,0,34,0,33,0,116,0,120,3,194,0,193,0,430,0,434,0,10,0,10,0,42,0,42,0,73,3,78,20,2205,6,2233
LGA23110,0,83,0,85,0,71,0,71,15,3628,8,3648,5,480,0,487,47,4990,16,5048,8,1557,0,1567,24,3852,8,3885,13,2191,5,2209,32,4030,10,4071,0,262,0,262,10,474,0,484,11,667,4,672,6,1547,0,1561,9,1003,0,1010,9,1467,0,1484,14,2793,0,2805,18,3191,7,3214,7,534,0,544,7,1466,7,1480,18,2093,11,2124,254,36380,81,36710
LGA23190,0,808,0,812,0,25,0,27,4,360,0,368,0,220,0,220,8,805,6,816,0,330,3,331,19,1073,10,1100,8,578,0,589,8,353,6,362,0,90,0,86,3,164,0,166,0,73,0,72,0,380,0,380,0,242,0,243,23,586,5,614,9,775,0,787,24,1836,4,1869,4,134,0,142,8,437,0,443,6,312,7,323,125,9577,45,9749
LGA23270,5,453,0,460,0,139,0,141,65,16332,27,16426,14,1418,3,1442,98,11312,29,11437,20,3809,8,3833,39,8359,20,8414,23,5056,10,5088,112,18426,36,18574,5,616,0,628,4,941,4,944,6,1006,0,1012,8,2558,4,2572,10,3104,11,3121,69,5925,13,6009,57,7933,19,8004,34,6942,17,6991,19,769,0,786,16,3296,4,3321,50,6710,45,6801,651,105094,247,105989
LGA23350,6,635,5,646,0,11,0,10,13,1038,7,1055,0,22,0,22,10,331,0,339,0,54,0,54,9,451,4,463,7,471,0,479,5,164,0,170,0,10,0,13,0,45,0,45,0,22,0,22,0,223,0,229,0,94,0,93,3,342,10,350,7,422,3,430,0,605,0,605,0,62,0,62,0,135,0,136,8,187,3,198,69,5324,31,5420
LGA23430,3,504,0,506,0,88,0,87,40,13827,22,13886,3,698,0,706,53,8895,27,8979,16,4753,8,4783,39,9930,15,9986,24,4606,15,4642,14,3566,16,3602,3,724,0,727,9,1276,0,1287,6,1037,3,1043,13,4014,3,4024,13,2394,10,2411,6,2606,5,2619,16,5078,5,5098,37,8557,12,8606,10,1234,0,1247,15,3558,3,3573,24,5867,42,5936,354,83212,193,83752
LGA23670,0,163,0,167,0,147,0,146,41,10730,24,10793,4,454,4,457,51,7047,19,7119,16,6301,11,6332,48,7611,6,7664,25,3709,0,3732,11,2285,11,2306,7,827,0,835,3,1837,0,1847,4,746,0,747,17,3675,0,3694,18,1829,0,1843,14,1983,3,2000,19,4266,5,4292,29,9046,22,9099,3,1074,3,1080,19,3096,9,3120,42,4736,23,4804,366,71566,147,72079
LGA23810,5,633,9,651,11,411,0,425,17,2111,9,2141,25,2299,15,2337,26,2724,18,2762,7,552,0,561,47,3279,9,3343,38,2055,13,2105,12,1050,10,1074,5,461,0,471,4,516,4,526,5,390,0,394,5,1067,9,1077,10,748,6,760,60,2889,9,2957,33,2712,5,2745,102,6187,22,6308,3,344,0,352,14,1269,4,1289,29,1281,16,1324,445,32986,152,33579
LGA23940,18,1091,9,1121,0,39,0,39,0,190,6,195,0,19,0,19,0,85,3,89,0,56,0,56,6,175,3,177,6,78,0,83,0,89,0,92,0,0,0,0,0,16,0,16,0,3,0,3,0,34,0,35,0,30,0,30,3,135,0,142,5,187,0,194,5,208,0,211,0,19,0,19,0,36,0,36,0,125,12,141,40,2630,31,2701
LGA24130,5,639,3,646,0,8,0,8,8,1097,8,1116,4,117,0,115,17,1713,7,1738,0,239,0,240,15,1584,9,1602,12,1230,5,1244,3,450,4,452,0,177,0,180,0,379,3,378,0,193,0,197,9,955,3,960,6,395,0,403,17,1060,6,1080,13,1696,5,1710,15,2056,0,2078,5,354,0,352,4,638,6,651,7,531,9,552,138,15519,60,15711
LGA24210,0,148,0,153,0,23,0,23,0,743,0,748,0,53,0,51,10,2559,6,2578,3,607,0,618,21,5277,6,5305,9,2808,3,2814,4,855,0,857,0,340,0,340,0,869,0,869,0,768,0,768,5,2545,8,2553,0,723,0,727,10,912,3,926,5,3844,7,3857,15,5652,7,5672,10,558,0,568,6,1285,0,1291,9,1100,9,1114,103,31657,58,31820
LGA24250,0,341,0,346,4,77,0,87,4,133,0,136,0,19,0,22,3,375,5,385,0,73,4,75,6,479,0,484,5,440,0,443,4,143,0,142,0,18,0,18,0,41,0,41,0,79,0,81,0,176,0,181,0,86,0,92,0,206,0,210,6,443,4,451,3,408,4,408,0,37,0,34,0,147,0,151,4,143,4,146,44,3857,22,3929
LGA24330,0,84,0,84,0,21,0,21,10,2789,10,2808,3,564,0,567,30,2864,5,2893,3,1068,0,1073,38,6341,8,6385,23,3094,3,3122,11,2499,8,2516,0,499,0,503,4,748,0,754,3,500,0,508,6,2037,3,2048,3,1000,3,1008,18,1601,0,1616,40,4138,3,4179,38,7686,13,7731,12,811,0,823,14,1832,4,1843,11,2148,21,2186,277,42319,74,42663
LGA24410,0,123,4,123,0,51,0,51,26,5987,14,6023,0,313,0,313,35,4585,9,4629,11,1066,0,1081,35,6041,11,6089,16,3110,5,3136,4,1180,5,1189,0,393,0,396,0,669,3,674,0,586,0,589,8,2603,7,2618,12,1303,4,1321,13,1583,5,1595,20,4105,11,4128,50,7558,11,7616,3,473,0,479,18,2237,3,2260,16,2281,21,2321,280,46253,101,46629
LGA24600,5,622,0,624,3,948,0,954,24,11109,12,11147,46,9826,9,9876,125,18986,48,19153,13,6557,10,6585,78,17763,28,17868,99,24062,28,24195,78,18169,21,18270,83,19645,17,19743,210,77488,62,77762,27,8159,11,8194,275,99710,89,100077,73,18169,26,18272,574,55309,75,55954,222,30241,38,30493,215,43266,62,43539,168,14998,21,15193,61,9739,9,9807,123,15130,108,15352,2493,499892,667,503044
LGA24650,0,332,0,332,6,101,0,108,9,1494,7,1506,0,237,0,243,55,5219,12,5289,0,988,6,989,26,4869,11,4901,33,2664,3,2703,9,2271,6,2282,3,275,0,276,5,506,0,511,6,971,4,979,5,1097,0,1099,7,943,0,948,49,3122,6,3171,30,4985,8,5025,41,3526,16,3585,5,466,0,465,15,1428,0,1445,18,1794,11,1825,313,37288,91,37682
LGA24780,26,2603,18,2648,3,77,0,82,28,1259,15,1295,5,309,0,317,39,1536,12,1591,6,606,0,612,101,2626,19,2744,45,1550,10,1600,24,942,4,970,0,155,0,155,7,329,4,332,5,250,0,257,11,849,5,863,34,875,5,910,58,1204,3,1269,59,2015,8,2079,131,3722,17,3873,7,195,4,211,31,892,3,929,51,1073,29,1153,667,23074,157,23895
LGA24850,10,502,4,514,0,63,0,63,7,622,4,631,0,83,0,86,21,1626,0,1650,7,224,0,232,22,1336,0,1362,22,1187,0,1206,7,551,6,563,0,69,0,63,5,154,0,156,0,111,0,111,6,418,0,422,0,282,0,283,56,1702,8,1762,20,1525,0,1549,26,1805,5,1841,3,175,0,183,4,483,0,487,8,518,13,537,237,13427,45,13705
LGA24900,24,1957,16,1996,0,26,0,31,29,1258,14,1299,0,93,0,99,22,954,0,973,0,179,0,182,17,1120,5,1142,15,632,6,644,9,507,3,519,4,42,0,48,0,136,0,135,0,98,0,99,7,306,3,313,0,217,0,222,3,289,0,295,17,927,5,947,27,1504,0,1530,5,59,0,69,15,422,3,437,15,394,13,424,215,11125,68,11409
LGA24970,0,141,0,146,0,92,0,96,33,10445,6,10487,3,840,0,845,51,9094,16,9161,20,6777,4,6797,44,10655,14,10712,19,5292,13,5324,14,4063,6,4086,0,1488,5,1492,5,2752,5,2762,3,1657,0,1665,27,9483,7,9518,10,3866,9,3885,24,3478,3,3503,66,15664,24,15756,54,19637,25,19714,8,1187,0,1198,21,3397,8,3426,36,6047,37,6120,441,116062,188,116697
LGA25060,0,73,0,73,0,58,0,58,10,1581,0,1592,0,127,0,127,14,3024,5,3047,0,639,0,640,21,5337,8,5363,15,3355,10,3377,7,1926,9,1940,0,333,0,336,4,1225,3,1227,5,661,0,663,11,2913,3,2923,8,1275,3,1280,17,3934,7,3955,10,4331,5,4353,20,5310,7,5329,4,778,0,781,4,1903,4,1912,8,1527,15,1547,155,40305,84,40540
LGA25150,0,813,6,816,0,113,0,118,3,398,4,406,3,104,0,103,12,1186,3,1200,0,94,0,95,8,878,0,886,4,756,0,766,4,495,5,506,0,43,0,43,3,121,0,124,0,116,0,116,4,434,0,439,0,210,0,212,5,463,0,472,16,1161,0,1178,13,1148,9,1163,0,179,0,178,6,468,0,478,12,423,8,439,101,9610,36,9746
LGA25250,0,85,0,85,0,14,0,14,15,2935,7,2960,0,160,0,163,22,3300,7,3331,7,1049,4,1051,35,4661,10,4708,18,3840,6,3870,0,1335,0,1333,3,620,4,626,0,662,0,657,0,599,3,609,11,3284,4,3295,9,1088,3,1104,35,2376,0,2407,32,5120,7,5157,44,7308,15,7374,15,1076,0,1090,11,2194,5,2213,14,2190,12,2219,283,43895,90,44261
LGA25340,8,1428,3,1444,0,135,0,143,22,3835,12,3869,10,334,0,346,76,6798,25,6897,5,873,0,875,49,7148,26,7226,69,5900,15,5989,3,1009,0,1017,0,308,0,311,0,819,3,820,0,1064,5,1068,20,3511,5,3535,12,1574,7,1597,94,3360,8,3466,35,4905,15,4960,74,8709,24,8801,12,1413,5,1431,26,2352,10,2382,21,2229,43,2293,550,57721,206,58473
LGA25430,6,324,0,329,0,50,0,54,23,1411,7,1442,0,24,0,25,8,544,0,551,0,85,0,85,5,717,3,723,3,446,0,452,0,190,5,191,0,73,0,73,0,61,0,64,3,56,0,56,6,347,3,357,3,147,0,146,13,721,7,741,3,533,3,540,8,1103,7,1117,5,184,0,187,0,222,0,228,4,296,9,309,90,7533,47,7670
LGA25490,14,2119,14,2144,0,34,0,34,11,974,3,991,0,42,0,45,10,491,0,503,0,126,0,126,9,337,0,344,6,425,0,436,0,228,0,229,0,11,0,11,0,21,0,21,0,30,0,30,0,126,0,132,3,110,0,118,6,284,0,288,0,308,0,308,14,413,0,420,3,75,0,76,0,161,0,161,5,221,7,231,78,6533,27,6639
LGA25620,16,784,5,798,0,15,0,15,0,232,0,234,0,37,0,37,9,448,0,454,0,88,0,85,5,381,0,386,9,454,0,464,4,110,0,113,0,19,0,18,5,47,0,45,0,52,0,52,0,149,0,152,0,106,0,108,8,295,0,302,7,545,0,548,10,469,5,483,4,80,0,84,5,156,0,164,10,198,0,203,77,4661,17,4757
LGA25710,0,183,0,186,0,18,0,21,5,512,0,520,0,86,0,86,14,1841,0,1855,0,299,4,301,7,1309,6,1320,4,1318,6,1328,0,339,0,343,0,121,0,126,0,263,0,264,0,249,0,251,5,1346,0,1347,0,416,0,414,0,790,0,796,13,2141,0,2156,3,1966,4,1975,3,426,0,429,4,745,0,756,5,532,4,539,68,14902,29,15013
LGA25810,5,666,0,668,0,249,0,250,8,580,3,593,0,34,0,34,4,242,0,239,0,89,0,89,4,413,0,419,0,415,7,421,0,151,4,156,0,13,0,13,0,31,0,30,0,32,0,32,0,104,0,107,3,91,0,93,0,287,0,285,0,304,0,302,7,927,6,940,5,126,0,125,0,119,0,119,0,140,0,146,53,5004,23,5082
LGA25900,4,194,0,197,0,470,0,471,3,2428,4,2436,5,263,0,261,42,6392,13,6448,11,2429,6,2447,20,6101,9,6130,22,5610,12,5643,13,3610,9,3634,12,2757,3,2777,10,3986,7,4006,10,2354,6,2367,42,15199,22,15263,0,3734,7,3741,23,2250,7,2277,16,4408,7,4429,36,6840,3,6884,16,1956,3,1972,19,3207,4,3228,28,3849,22,3897,331,78047,141,78518
LGA25990,4,584,5,589,0,12,0,14,0,151,0,152,0,18,0,18,0,124,0,122,0,16,0,16,3,120,0,124,0,98,0,96,0,70,0,68,0,3,0,3,0,17,0,17,0,8,0,8,0,40,0,40,0,24,0,24,6,327,3,336,0,146,0,147,4,200,0,202,0,34,0,34,0,47,0,53,0,78,9,79,23,2120,10,2158
LGA26080,0,23,0,23,0,0,0,0,0,35,0,35,0,0,0,0,0,107,0,107,0,8,0,8,0,156,0,156,0,257,0,257,0,129,0,129,0,9,0,9,0,12,0,12,0,27,0,27,0,98,0,98,0,44,0,44,8,220,0,226,0,115,0,115,0,181,0,182,0,67,0,67,0,41,0,45,0,54,0,50,6,1576,4,1590
LGA26170,12,1993,22,2028,0,95,0,96,3,951,6,954,5,188,0,186,9,919,3,927,4,305,0,313,10,1004,3,1018,6,705,3,712,5,487,0,494,0,56,0,56,0,158,0,158,0,98,0,99,3,416,0,424,0,223,0,231,0,375,0,374,13,1006,0,1017,19,1449,7,1477,3,199,0,203,0,432,0,435,4,419,11,432,96,11484,63,11645
