POW_LGA_CODE_2021,IE_Mng_OMEs_Nil_e,IE_Mng_OMEs_1_19_e,IE_Mng_OMEs_20mo_e,IE_Mng_OMEs_NE_NS,IE_Mng_Tot,IE_Pro_OMEs_Nil_e,IE_Pro_OMEs_1_19_e,IE_Pro_OMEs_20mo_e,IE_Pro_OMEs_NE_NS,IE_Pro_Tot,IE_TecTW_OMEs_Nil_e,IE_TecTW_OMEs_1_19_e,IE_TecTW_OMEs_20mo_e,IE_TecTW_OMEs_NE_NS,IE_TecTW_Tot,IE_CoPSW_OMEs_Nil_e,IE_CoPSW_OMEs_1_19_e,IE_CoPSW_OMEs_20mo_e,IE_CoPSW_OMEs_NE_NS,IE_CoPSW_Tot,IE_ClAW_OMEs_Nil_e,IE_ClAW_OMEs_1_19_e,IE_ClAW_OMEs_20mo_e,IE_ClAW_OMEs_NE_NS,IE_ClAW_Tot,IE_SWs_OMEs_Nil_e,IE_SWs_OMEs_1_19_e,IE_SWs_OMEs_20mo_e,IE_SWs_OMEs_NE_NS,IE_SWs_Tot,IE_MaOpD_OMEs_Nil_e,IE_MaOpD_OMEs_1_19_e,IE_MaOpD_OMEs_20mo_e,IE_MaOpD_OMEs_NE_NS,IE_MaOpD_Tot,IE_Lab_OMEs_Nil_e,IE_Lab_OMEs_1_19_e,IE_Lab_OMEs_20mo_e,IE_Lab_OMEs_NE_NS,IE_Lab_Tot,IE_IDNS_OMEs_Nil_e,IE_IDNS_OMEs_1_19_e,IE_IDNS_OMEs_20mo_e,IE_IDNS_OMEs_NE_NS,IE_IDNS_Tot,IE_Tot_OMEs_Nil_e,IE_Tot_OMEs_1_19_e,IE_Tot_OMEs_20mo_e,IE_Tot_OMEs_NE_NS,IE_Tot_Tot,UIE_Mng_OMEs_Nil_e,UIE_Mng_OMEs_1_19_e,UIE_Mng_OMEs_20mo_e,UIE_Mng_OMEs_NE_NS,UIE_Mng_Tot,UIE_Pro_OMEs_Nil_e,UIE_Pro_OMEs_1_19_e,UIE_Pro_OMEs_20mo_e,UIE_Pro_OMEs_NE_NS,UIE_Pro_Tot,UIE_TecTW_OMEs_Nil_e,UIE_TecTW_OMEs_1_19_e,UIE_TecTW_OMEs_20mo_e,UIE_TecTW_OMEs_NE_NS,UIE_TecTW_Tot,UIE_CoPSW_OMEs_Nil_e,UIE_CoPSW_OMEs_1_19_e,UIE_CoPSW_OMEs_20mo_e,UIE_CoPSW_OMEs_NE_NS,UIE_CoPSW_Tot,UIE_ClAW_OMEs_Nil_e,UIE_ClAW_OMEs_1_19_e,UIE_ClAW_OMEs_20mo_e,UIE_ClAW_OMEs_NE_NS,UIE_ClAW_Tot,UIE_SWs_OMEs_Nil_e,UIE_SWs_OMEs_1_19_e,UIE_SWs_OMEs_20mo_e,UIE_SWs_OMEs_NE_NS,UIE_SWs_Tot,UIE_MaOpD_OMEs_Nil_e,UIE_MaOpD_OMEs_1_19_e,UIE_MaOpD_OMEs_20mo_e,UIE_MaOpD_OMEs_NE_NS,UIE_MaOpD_Tot,UIE_Lab_OMEs_Nil_e,UIE_Lab_OMEs_1_19_e,UIE_Lab_OMEs_20mo_e,UIE_Lab_OMEs_NE_NS,UIE_Lab_Tot,UIE_IDNS_OMEs_Nil_e,UIE_IDNS_OMEs_1_19_e,UIE_IDNS_OMEs_20mo_e,UIE_IDNS_OMEs_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMEs_Nil_e,UIE_Tot_OMEs_1_19_e,UIE_Tot_OMEs_20mo_e,UIE_Tot_OMEs_NE_NS,UIE_Tot_Tot,Tot_Mng_OMEs_Nil_e,Tot_Mng_OMEs_1_19_e,Tot_Mng_OMEs_20mo_e,Tot_Mng_OMEs_NE_NS,Tot_Mng_Tot,Tot_Pro_OMEs_Nil_e,Tot_Pro_OMEs_1_19_e,Tot_Pro_OMEs_20mo_e,Tot_Pro_OMEs_NE_NS,Tot_Pro_Tot,Tot_TecTW_OMEs_Nil_e,Tot_TecTW_OMEs_1_19_e,Tot_TecTW_OMEs_20mo_e,Tot_TecTW_OMEs_NE_NS,Tot_TecTW_Tot,Tot_CoPSW_OMEs_Nil_e,Tot_CoPSW_OMEs_1_19_e,Tot_CoPSW_OMEs_20mo_e,Tot_CoPSW_OMEs_NE_NS,Tot_CoPSW_Tot,Tot_ClAW_OMEs_Nil_e,Tot_ClAW_OMEs_1_19_e,Tot_ClAW_OMEs_20mo_e,Tot_ClAW_OMEs_NE_NS,Tot_ClAW_Tot,Tot_SWs_OMEs_Nil_e,Tot_SWs_OMEs_1_19_e,Tot_SWs_OMEs_20mo_e,Tot_SWs_OMEs_NE_NS,Tot_SWs_Tot,Tot_MaOpD_OMEs_Nil_e,Tot_MaOpD_OMEs_1_19_e,Tot_MaOpD_OMEs_20mo_e,Tot_MaOpD_OMEs_NE_NS,Tot_MaOpD_Tot,Tot_Lab_OMEs_Nil_e,Tot_Lab_OMEs_1_19_e,Tot_Lab_OMEs_20mo_e,Tot_Lab_OMEs_NE_NS,Tot_Lab_Tot,Tot_IDNS_OMEs_Nil_e,Tot_IDNS_OMEs_1_19_e,Tot_IDNS_OMEs_20mo_e,Tot_IDNS_OMEs_NE_NS,Tot_IDNS_Tot,Tot_Tot_OMEs_Nil_e,Tot_Tot_OMEs_1_19_e,Tot_Tot_OMEs_20mo_e,Tot_Tot_OMEs_NE_NS,Tot_Tot_Tot
LGA21270,75,124,6,0,203,3,12,0,0,14,8,16,0,0,25,0,0,0,0,0,5,11,0,0,22,3,5,0,0,7,5,3,0,0,11,4,5,0,0,6,4,0,0,0,4,101,182,5,0,292,122,67,0,3,194,13,0,0,0,13,28,17,0,0,43,12,0,0,0,11,3,5,0,0,8,0,3,0,0,3,0,0,0,0,3,5,5,0,0,13,0,0,0,0,3,188,97,0,6,290,194,194,6,11,398,14,12,0,0,28,36,32,0,0,69,12,3,0,0,19,13,15,0,0,30,7,3,0,0,18,4,4,0,0,11,8,8,0,0,16,5,0,0,0,3,290,275,5,10,584
LGA21370,94,371,57,6,529,47,82,19,0,143,58,133,4,0,197,14,15,0,0,26,27,101,13,0,142,8,48,6,0,63,20,31,0,0,54,14,40,7,0,57,7,11,3,0,18,296,831,109,9,1239,388,221,6,11,632,109,30,3,0,145,226,96,0,0,330,96,17,0,0,120,36,15,3,0,48,24,16,0,0,38,42,17,0,0,55,78,26,0,0,108,11,6,0,0,17,1008,444,17,22,1492,483,593,63,23,1162,155,108,27,0,290,288,229,5,0,523,112,33,0,0,146,61,115,14,0,190,33,66,6,0,100,61,42,0,0,110,90,70,7,0,169,22,15,3,0,40,1305,1278,124,27,2733
LGA21450,197,639,128,5,971,174,211,27,0,413,230,401,10,0,639,43,44,3,0,87,148,245,17,4,414,40,92,5,0,137,135,71,0,0,213,66,112,9,0,187,20,22,0,0,45,1044,1839,204,14,3104,307,136,5,3,454,417,54,10,0,481,618,164,0,6,789,310,27,0,0,337,133,37,3,0,174,71,14,0,0,91,188,16,0,0,198,233,36,0,0,277,37,10,0,0,50,2317,503,23,9,2848,508,770,134,8,1423,590,269,39,0,895,847,566,10,4,1425,350,76,3,0,425,280,277,21,7,583,116,107,11,0,228,328,85,0,0,413,299,155,9,0,459,50,36,0,0,96,3366,2341,226,23,5952
LGA21610,469,1351,284,4,2111,534,570,45,3,1150,594,810,20,0,1425,85,108,18,0,212,300,437,38,5,783,130,222,15,0,370,425,190,3,3,619,199,240,12,0,455,63,68,7,5,144,2797,4000,449,19,7267,372,183,21,0,578,1152,169,20,3,1340,1338,331,0,9,1679,859,47,0,3,909,322,51,0,0,382,190,37,0,0,235,736,21,0,0,758,576,91,0,9,672,91,15,0,0,103,5633,949,39,22,6650,841,1535,304,4,2683,1686,739,67,3,2493,1937,1139,18,12,3104,945,163,18,3,1116,628,494,38,6,1160,319,257,17,0,601,1155,211,3,3,1374,773,329,12,4,1122,156,83,8,6,251,8434,4947,487,45,13915
LGA21670,21,81,15,0,118,4,17,0,0,26,19,35,4,0,58,0,3,0,0,3,4,26,0,0,32,3,10,0,0,18,8,3,0,0,11,3,0,0,0,10,0,6,0,0,5,67,184,22,0,282,47,54,0,0,99,34,8,0,0,52,69,24,0,7,95,25,3,0,0,30,17,4,0,0,18,9,10,0,0,11,10,4,0,0,12,23,8,0,0,32,7,0,0,0,7,242,110,0,4,353,66,132,15,3,212,41,30,0,0,76,90,61,4,7,154,28,9,0,0,36,18,29,0,0,51,8,22,0,0,25,19,7,0,0,22,30,13,0,0,41,7,6,0,0,10,312,295,27,5,632
LGA21750,62,190,39,4,294,29,52,8,0,86,44,76,6,3,123,5,8,0,0,16,13,42,7,0,58,11,13,3,0,30,16,22,0,0,37,19,10,4,3,39,0,3,0,0,4,201,413,65,8,685,257,168,4,10,432,94,26,5,0,120,139,50,0,0,192,54,3,0,0,61,19,13,0,0,32,25,11,0,0,39,22,8,0,0,31,63,26,0,0,88,9,0,0,0,10,676,305,5,19,1002,316,365,37,13,728,125,71,10,0,205,180,119,3,6,311,57,12,0,0,73,30,58,7,4,91,37,28,3,0,66,43,28,0,0,71,86,36,4,3,124,10,7,0,0,19,879,720,68,27,1694
LGA21830,101,264,22,0,387,12,29,4,0,42,25,46,0,0,65,5,6,0,0,13,13,25,0,0,39,7,9,0,0,12,13,18,3,0,33,8,9,0,0,17,3,10,0,0,15,190,407,36,4,631,428,252,0,19,694,50,7,0,0,62,105,28,0,0,137,22,3,0,0,24,10,11,0,0,18,18,6,0,0,22,12,3,0,0,16,42,14,0,0,55,11,4,0,0,15,689,334,0,23,1048,532,514,25,16,1083,61,35,5,0,103,127,75,0,0,202,23,6,0,0,38,25,32,6,0,57,21,15,0,0,34,25,22,3,0,48,45,28,0,0,75,16,14,0,0,29,874,740,39,25,1676
LGA21890,289,953,217,5,1455,441,456,27,0,922,268,376,16,3,655,44,71,6,0,121,89,139,17,0,250,70,131,21,0,220,79,35,6,0,123,70,91,3,0,167,29,29,10,0,63,1376,2281,323,13,3977,259,149,14,0,428,1748,183,7,0,1934,692,132,4,4,831,364,37,3,0,402,129,24,4,0,153,113,36,0,0,145,237,14,0,0,245,220,34,0,0,252,69,8,0,4,76,3818,610,30,9,4466,542,1101,230,5,1881,2181,640,35,0,2862,959,513,14,5,1489,407,104,14,0,527,223,161,21,0,401,180,164,21,0,366,311,50,6,0,372,283,123,3,0,419,92,35,10,5,144,5189,2889,351,20,8450
LGA22110,113,295,53,5,472,43,94,11,3,157,61,126,3,3,189,17,18,3,0,39,40,97,10,0,139,14,48,4,0,62,23,29,0,0,51,20,39,0,0,69,0,9,0,0,12,330,760,85,14,1190,344,182,3,8,540,180,32,9,0,214,316,96,0,8,421,114,14,0,3,136,57,33,0,4,93,37,14,0,4,54,45,9,0,0,57,108,32,0,3,143,19,6,0,0,27,1223,432,8,28,1688,456,481,60,20,1015,222,128,14,4,372,378,224,3,10,613,131,37,3,3,173,98,127,10,3,235,54,56,4,4,118,67,37,0,0,107,127,75,3,4,211,21,20,0,5,43,1547,1186,99,42,2877
LGA22170,278,974,191,5,1438,274,363,40,0,678,294,522,24,0,846,43,38,3,0,88,136,262,30,5,427,95,118,20,0,227,85,60,0,0,155,75,107,3,0,186,28,31,0,0,66,1308,2474,312,16,4110,223,156,16,0,389,717,136,10,0,863,842,172,0,0,1019,406,31,0,0,439,193,37,0,0,228,68,20,0,0,86,139,11,0,0,147,305,40,0,0,346,42,7,0,3,58,2931,609,25,3,3571,491,1131,202,5,1827,992,495,48,0,1538,1137,698,24,3,1864,452,75,3,0,531,330,292,30,5,654,161,136,20,0,315,225,70,0,0,296,375,147,5,0,528,71,47,0,3,121,4233,3086,334,20,7676
LGA22250,54,141,17,0,210,5,25,0,0,31,19,22,4,0,41,3,0,0,0,8,5,26,6,0,28,5,12,3,0,22,13,7,0,0,22,6,7,0,0,18,0,0,0,0,0,107,242,28,3,376,165,77,0,3,251,27,9,0,0,33,54,18,0,0,73,19,4,0,0,27,12,4,0,0,19,12,9,0,0,14,8,0,0,0,16,22,9,0,0,31,4,0,0,0,8,321,129,0,8,466,219,219,21,4,462,29,34,0,0,63,64,43,4,0,113,24,5,0,0,34,22,29,6,0,49,15,17,3,0,33,19,15,0,0,36,25,16,0,0,46,4,6,0,0,6,429,372,33,15,842
LGA22310,460,872,142,3,1476,758,680,36,0,1478,224,292,10,0,534,59,68,11,0,136,126,148,13,0,281,126,103,23,0,255,49,12,0,0,58,56,58,4,0,122,61,32,0,0,101,1917,2276,240,7,4439,274,129,3,0,416,1627,227,20,0,1875,598,107,0,5,711,454,24,0,0,480,198,18,0,0,212,124,8,0,0,132,161,3,3,0,171,193,23,0,3,215,55,10,0,0,63,3689,555,30,9,4284,736,1002,148,5,1890,2384,908,56,0,3354,831,398,10,5,1245,512,98,11,0,615,325,167,13,0,501,251,110,26,0,390,209,18,3,0,232,248,79,4,3,335,115,44,0,3,169,5605,2832,268,18,8724
LGA22410,55,142,22,0,223,16,33,0,0,47,13,45,8,0,62,6,3,0,0,4,8,37,0,0,48,3,9,0,0,19,3,10,0,0,16,10,14,0,0,24,0,4,0,0,3,114,297,37,0,450,231,155,0,9,396,63,13,0,0,80,109,39,0,3,149,42,5,0,0,52,19,12,0,0,31,10,11,0,0,28,30,10,0,0,39,54,13,0,0,60,4,6,0,0,10,553,269,0,12,837,287,299,27,15,615,73,47,0,0,123,123,89,8,3,215,48,11,0,0,58,28,45,0,0,78,14,24,0,0,39,29,22,0,0,53,57,27,0,0,81,9,7,0,0,14,671,562,38,15,1285
LGA22490,58,125,11,0,194,35,26,3,0,69,40,66,0,0,116,4,4,0,0,10,23,45,4,0,71,0,6,0,0,8,22,16,0,0,38,14,25,0,0,39,6,9,0,0,12,210,320,22,5,554,118,68,0,7,187,94,8,0,0,100,158,23,0,3,178,36,0,0,0,38,30,0,0,0,31,11,3,0,0,12,22,0,0,0,24,40,15,0,0,53,9,3,0,0,12,512,118,4,11,642,172,186,11,8,382,131,33,3,0,168,197,88,0,6,293,44,3,0,0,53,46,46,4,0,99,10,11,0,0,25,47,13,0,0,62,54,35,0,0,95,12,12,0,0,24,721,438,24,11,1197
LGA22620,135,666,174,3,976,179,347,73,0,595,149,303,14,0,473,14,45,3,0,66,63,226,40,5,335,26,72,28,0,129,63,66,3,0,132,52,62,11,0,117,24,16,10,0,46,694,1804,359,11,2864,288,207,10,5,516,523,128,8,0,654,574,195,0,0,779,259,14,7,0,285,103,46,0,0,146,73,19,3,0,93,138,16,0,0,152,216,64,0,0,278,28,12,0,0,40,2197,695,30,13,2940,421,876,189,9,1492,698,470,83,0,1251,719,502,22,4,1250,275,63,6,0,346,160,273,42,5,484,100,94,33,0,215,197,82,7,0,284,268,122,11,0,395,55,26,10,0,88,2885,2506,388,27,5805
LGA22670,381,1802,599,5,2790,252,448,64,0,769,384,697,40,3,1134,44,64,9,0,108,177,372,65,0,620,123,211,38,0,377,388,164,17,5,578,154,155,25,0,329,65,60,12,0,135,1970,3971,871,18,6836,283,199,23,0,512,512,150,10,0,673,810,220,0,3,1033,288,31,0,0,325,212,37,0,0,250,143,49,4,3,200,524,23,0,3,552,371,53,0,6,431,80,13,0,5,93,3224,773,44,22,4056,667,2000,626,3,3298,763,597,75,6,1438,1197,916,44,11,2167,327,96,6,4,426,386,410,68,0,869,265,263,44,3,570,918,182,17,12,1126,526,211,25,6,759,141,67,12,3,229,5192,4745,913,39,10895
LGA22750,404,1562,386,5,2366,591,838,99,4,1528,453,827,43,3,1322,78,119,18,0,217,225,415,37,9,685,100,191,34,0,327,152,106,22,0,276,130,181,9,0,320,41,73,14,0,133,2177,4313,671,20,7176,505,298,30,4,840,1652,335,21,3,2007,1498,393,0,8,1896,731,84,5,4,821,276,68,3,4,345,135,50,5,0,188,346,22,0,0,370,473,99,0,4,575,102,14,0,0,118,5709,1355,62,31,7154,912,1867,416,7,3202,2247,1164,122,5,3536,1955,1215,43,13,3220,808,202,21,7,1038,501,485,36,7,1030,229,245,38,3,515,496,125,21,0,653,594,278,17,4,895,142,91,14,4,252,7883,5675,731,49,14333
