POW_LGA_CODE_2021,CoPSW_PINS_A_65_74,CoPSW_PINS_A_75ov,CoPSW_PINS_Tot,CoPSW_Tot_A_15_19,CoPSW_Tot_A_20_24,CoPSW_Tot_A_25_34,CoPSW_Tot_A_35_44,CoPSW_Tot_A_45_54,CoPSW_Tot_A_55_64,CoPSW_Tot_A_65_74,CoPSW_Tot_A_75ov,CoPSW_Tot_Tot,ClAW_NNI_A_15_19,ClAW_NNI_A_20_24,ClAW_NNI_A_25_34,ClAW_NNI_A_35_44,ClAW_NNI_A_45_54,ClAW_NNI_A_55_64,ClAW_NNI_A_65_74,ClAW_NNI_A_75ov,ClAW_NNI_Tot,ClAW_1_149_A_15_19,ClAW_1_149_A_20_24,ClAW_1_149_A_25_34,ClAW_1_149_A_35_44,ClAW_1_149_A_45_54,ClAW_1_149_A_55_64,ClAW_1_149_A_65_74,ClAW_1_149_A_75ov,ClAW_1_149_Tot,ClAW_150_299_A_15_19,ClAW_150_299_A_20_24,ClAW_150_299_A_25_34,ClAW_150_299_A_35_44,ClAW_150_299_A_45_54,ClAW_150_299_A_55_64,ClAW_150_299_A_65_74,ClAW_150_299_A_75ov,ClAW_150_299_Tot,ClAW_300_399_A_15_19,ClAW_300_399_A_20_24,ClAW_300_399_A_25_34,ClAW_300_399_A_35_44,ClAW_300_399_A_45_54,ClAW_300_399_A_55_64,ClAW_300_399_A_65_74,ClAW_300_399_A_75ov,ClAW_300_399_Tot,ClAW_400_499_A_15_19,ClAW_400_499_A_20_24,ClAW_400_499_A_25_34,ClAW_400_499_A_35_44,ClAW_400_499_A_45_54,ClAW_400_499_A_55_64,ClAW_400_499_A_65_74,ClAW_400_499_A_75ov,ClAW_400_499_Tot,ClAW_500_649_A_15_19,ClAW_500_649_A_20_24,ClAW_500_649_A_25_34,ClAW_500_649_A_35_44,ClAW_500_649_A_45_54,ClAW_500_649_A_55_64,ClAW_500_649_A_65_74,ClAW_500_649_A_75ov,ClAW_500_649_Tot,ClAW_650_799_A_15_19,ClAW_650_799_A_20_24,ClAW_650_799_A_25_34,ClAW_650_799_A_35_44,ClAW_650_799_A_45_54,ClAW_650_799_A_55_64,ClAW_650_799_A_65_74,ClAW_650_799_A_75ov,ClAW_650_799_Tot,ClAW_800_999_A_15_19,ClAW_800_999_A_20_24,ClAW_800_999_A_25_34,ClAW_800_999_A_35_44,ClAW_800_999_A_45_54,ClAW_800_999_A_55_64,ClAW_800_999_A_65_74,ClAW_800_999_A_75ov,ClAW_800_999_Tot,ClAW_1000_1249_A_15_19,ClAW_1000_1249_A_20_24,ClAW_1000_1249_A_25_34,ClAW_1000_1249_A_35_44,ClAW_1000_1249_A_45_54,ClAW_1000_1249_A_55_64,ClAW_1000_1249_A_65_74,ClAW_1000_1249_A_75ov,ClAW_1000_1249_Tot,ClAW_1250_1499_A_15_19,ClAW_1250_1499_A_20_24,ClAW_1250_1499_A_25_34,ClAW_1250_1499_A_35_44,ClAW_1250_1499_A_45_54,ClAW_1250_1499_A_55_64,ClAW_1250_1499_A_65_74,ClAW_1250_1499_A_75ov,ClAW_1250_1499_Tot,ClAW_1500_1749_A_15_19,ClAW_1500_1749_A_20_24,ClAW_1500_1749_A_25_34,ClAW_1500_1749_A_35_44,ClAW_1500_1749_A_45_54,ClAW_1500_1749_A_55_64,ClAW_1500_1749_A_65_74,ClAW_1500_1749_A_75ov,ClAW_1500_1749_Tot,ClAW_1750_1999_A_15_19,ClAW_1750_1999_A_20_24,ClAW_1750_1999_A_25_34,ClAW_1750_1999_A_35_44,ClAW_1750_1999_A_45_54,ClAW_1750_1999_A_55_64,ClAW_1750_1999_A_65_74,ClAW_1750_1999_A_75ov,ClAW_1750_1999_Tot,ClAW_2000_2999_A_15_19,ClAW_2000_2999_A_20_24,ClAW_2000_2999_A_25_34,ClAW_2000_2999_A_35_44,ClAW_2000_2999_A_45_54,ClAW_2000_2999_A_55_64,ClAW_2000_2999_A_65_74,ClAW_2000_2999_A_75ov,ClAW_2000_2999_Tot,ClAW_3000_3499_A_15_19,ClAW_3000_3499_A_20_24,ClAW_3000_3499_A_25_34,ClAW_3000_3499_A_35_44,ClAW_3000_3499_A_45_54,ClAW_3000_3499_A_55_64,ClAW_3000_3499_A_65_74,ClAW_3000_3499_A_75ov,ClAW_3000_3499_Tot,ClAW_3500mo_A_15_19,ClAW_3500mo_A_20_24,ClAW_3500mo_A_25_34,ClAW_3500mo_A_35_44,ClAW_3500mo_A_45_54,ClAW_3500mo_A_55_64,ClAW_3500mo_A_65_74,ClAW_3500mo_A_75ov,ClAW_3500mo_Tot,ClAW_PINS_A_15_19,ClAW_PINS_A_20_24,ClAW_PINS_A_25_34,ClAW_PINS_A_35_44,ClAW_PINS_A_45_54,ClAW_PINS_A_55_64,ClAW_PINS_A_65_74,ClAW_PINS_A_75ov,ClAW_PINS_Tot,ClAW_Tot_A_15_19,ClAW_Tot_A_20_24,ClAW_Tot_A_25_34,ClAW_Tot_A_35_44,ClAW_Tot_A_45_54,ClAW_Tot_A_55_64,ClAW_Tot_A_65_74,ClAW_Tot_A_75ov,ClAW_Tot_Tot,SW_NNI_A_15_19,SW_NNI_A_20_24,SW_NNI_A_25_34,SW_NNI_A_35_44,SW_NNI_A_45_54,SW_NNI_A_55_64,SW_NNI_A_65_74,SW_NNI_A_75ov,SW_NNI_Tot,SW_1_149_A_15_19,SW_1_149_A_20_24,SW_1_149_A_25_34,SW_1_149_A_35_44,SW_1_149_A_45_54,SW_1_149_A_55_64,SW_1_149_A_65_74,SW_1_149_A_75ov,SW_1_149_Tot,SW_150_299_A_15_19,SW_150_299_A_20_24,SW_150_299_A_25_34,SW_150_299_A_35_44,SW_150_299_A_45_54,SW_150_299_A_55_64,SW_150_299_A_65_74,SW_150_299_A_75ov,SW_150_299_Tot,SW_300_399_A_15_19,SW_300_399_A_20_24,SW_300_399_A_25_34,SW_300_399_A_35_44,SW_300_399_A_45_54,SW_300_399_A_55_64,SW_300_399_A_65_74,SW_300_399_A_75ov
LGA21270,0,0,0,7,21,32,34,51,50,10,0,206,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,10,0,0,3,0,0,0,3,0,10,0,0,0,0,6,5,0,0,15,0,0,0,9,8,8,0,0,22,0,0,3,3,3,5,4,0,25,0,5,3,4,9,9,0,0,28,0,0,4,3,9,10,3,0,35,0,0,0,4,9,8,3,0,27,0,0,4,0,6,7,0,0,20,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,23,27,63,67,19,4,212,0,0,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,21,6,3,0,3,0,0,0,0,14,0,0,3,0,0,0,0,0
LGA21370,0,0,15,158,206,362,317,435,406,91,0,1985,0,0,3,3,3,3,0,0,13,11,0,3,0,7,10,0,0,25,3,3,11,7,9,3,4,0,43,5,0,4,3,6,15,5,0,53,3,0,7,18,18,18,4,0,76,3,10,24,28,33,32,13,0,145,4,19,31,44,43,56,16,6,212,0,28,50,43,65,72,26,0,286,4,10,38,50,85,85,15,0,287,0,7,18,25,64,45,8,0,165,0,6,12,20,35,39,7,5,117,0,0,5,17,14,7,3,0,48,0,0,3,5,20,26,0,0,54,0,0,0,0,0,0,0,0,3,0,0,0,0,5,4,0,0,11,0,0,0,5,7,0,0,0,14,33,87,217,281,398,414,107,14,1552,8,0,0,0,0,3,0,0,15,245,5,0,0,5,4,0,0,265,101,14,11,5,8,8,3,0,146,27,21,7,10,19,16,3,0
LGA21450,0,0,26,348,601,883,869,763,457,80,5,4004,0,0,7,8,12,3,3,0,28,31,5,8,11,4,3,5,0,76,16,15,8,18,22,15,8,0,104,7,16,35,32,35,17,11,0,156,4,14,45,43,48,46,13,3,209,6,29,51,58,66,78,31,0,325,5,28,68,92,86,83,22,5,375,0,55,102,113,115,73,27,0,487,0,36,133,120,165,135,23,6,614,0,13,61,93,125,85,6,0,391,0,4,27,70,69,64,10,0,245,0,0,15,34,40,35,10,0,130,0,0,20,48,41,34,3,0,149,0,0,0,7,13,6,0,0,32,0,0,0,9,12,8,4,0,33,0,5,0,4,15,8,0,0,28,71,223,593,755,851,693,176,25,3382,17,4,0,0,4,0,0,0,30,536,17,3,0,5,5,0,0,570,248,63,16,15,14,13,5,0,372,76,59,34,19,26,15,5,0
LGA21610,5,0,100,864,1505,2548,2737,2209,1256,217,15,11343,9,5,15,19,18,10,7,0,86,73,15,21,26,10,22,6,0,181,33,45,40,48,37,32,15,0,238,28,50,72,85,52,49,26,0,361,27,64,68,112,89,68,22,9,454,24,95,128,172,171,137,48,8,786,19,114,190,243,242,173,54,9,1049,13,150,352,316,342,267,51,8,1480,9,104,365,362,422,306,53,0,1611,7,43,216,273,329,219,60,0,1145,0,20,99,185,205,170,33,0,715,0,5,49,95,98,62,16,0,332,0,6,66,97,134,83,19,0,406,0,0,6,13,21,9,3,0,56,0,0,3,18,21,17,7,0,74,0,5,7,13,16,21,4,0,69,227,715,1713,2067,2216,1659,408,36,9041,45,14,9,13,12,3,0,0,98,1247,115,22,18,6,4,5,0,1418,789,335,54,47,34,37,5,5,1308,270,357,90,76,85,66,19,0
LGA21670,0,0,12,41,67,132,107,154,137,29,0,672,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,0,0,0,0,0,5,0,0,11,0,0,4,3,3,5,0,0,20,0,4,5,7,0,7,0,3,30,0,0,7,10,10,11,3,0,48,0,3,10,12,13,13,7,0,60,0,4,10,20,21,11,0,0,76,0,3,0,17,23,19,4,0,78,0,0,8,8,20,13,0,0,49,0,0,3,3,6,7,0,0,23,0,0,0,0,5,3,0,0,10,0,0,0,0,0,3,0,0,6,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,28,47,78,104,112,34,3,418,3,0,0,0,3,5,0,0,4,63,0,0,0,0,0,0,0,67,27,5,4,0,0,3,0,0,42,15,15,0,4,0,5,3,0
LGA21750,0,0,9,87,126,254,225,305,242,56,0,1291,0,0,0,7,0,0,0,0,8,0,0,0,0,0,6,3,0,10,6,0,5,7,3,4,3,0,31,0,0,11,3,3,9,8,0,34,3,0,8,13,9,14,7,0,57,0,0,16,20,25,15,6,0,89,0,12,14,23,24,29,5,0,114,0,11,31,30,45,30,6,0,159,0,11,30,34,36,45,8,0,161,0,0,21,17,29,18,8,5,96,0,0,9,11,27,16,8,0,74,0,0,6,9,7,9,0,0,27,0,0,4,8,13,15,0,0,38,0,0,0,0,0,0,0,0,6,0,0,0,3,0,3,0,0,12,0,0,3,0,7,0,0,0,7,17,46,153,180,227,216,59,12,908,4,0,0,0,0,0,0,0,9,120,6,0,3,0,0,4,0,132,49,7,4,8,3,9,7,0,83,13,15,12,4,14,10,6,0
LGA21830,0,0,9,68,73,105,120,145,148,32,0,694,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,8,0,0,0,9,0,0,5,0,14,0,6,3,0,4,0,3,0,22,0,0,5,3,5,10,3,0,34,0,0,9,13,12,14,8,3,56,0,0,6,9,12,17,5,0,47,0,7,16,15,24,20,5,0,82,0,4,11,11,33,36,9,3,100,0,4,7,18,7,20,3,0,58,0,0,3,8,10,7,3,0,39,0,0,0,0,3,0,0,0,12,0,0,0,5,3,9,9,0,16,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,5,0,0,0,0,4,0,0,3,12,5,17,59,87,134,136,48,11,501,0,0,0,0,0,0,0,0,0,67,3,0,0,0,5,0,0,77,37,5,4,0,8,3,0,0,54,7,0,4,5,5,4,0,0
LGA21890,3,0,53,409,1126,2096,1606,1267,949,196,16,7662,0,3,8,11,3,6,0,0,27,32,21,6,9,7,9,0,0,84,18,36,22,18,24,20,6,0,147,14,44,24,24,32,24,17,0,180,3,53,37,42,55,38,14,4,246,16,75,71,89,94,99,23,0,471,3,58,129,111,142,101,54,6,608,3,109,233,180,200,166,42,5,933,0,98,285,257,244,259,51,4,1200,0,22,171,197,206,179,27,0,809,0,3,104,125,174,129,23,0,557,0,0,44,79,92,73,13,0,304,0,0,50,89,90,62,12,0,302,0,0,12,22,16,16,0,0,73,0,0,3,17,27,13,9,0,69,0,6,6,6,19,10,6,0,45,93,532,1213,1275,1421,1204,293,19,6050,11,5,3,5,3,0,0,0,37,484,73,15,11,3,4,4,0,594,268,197,40,21,19,24,4,0,573,107,176,69,33,52,45,14,0
LGA22110,0,0,14,190,274,447,465,541,506,120,0,2535,0,0,0,3,0,3,0,0,14,0,0,0,3,5,0,5,0,14,0,0,12,9,10,9,8,0,48,3,0,7,19,11,24,13,11,84,3,8,14,10,21,27,25,0,112,3,0,29,30,58,58,33,3,209,3,10,44,52,67,63,29,0,281,0,28,42,65,73,83,27,6,330,3,23,42,59,115,87,29,0,370,0,4,28,36,62,48,6,0,187,0,0,21,30,39,47,19,0,147,0,0,9,8,22,17,6,0,60,0,0,4,10,14,14,3,0,56,0,0,3,4,4,0,6,0,15,0,0,0,0,0,5,0,0,6,0,0,0,3,3,6,0,0,19,27,84,260,345,506,504,196,23,1949,10,3,0,0,0,0,0,0,11,197,5,0,0,0,0,0,0,211,76,7,6,10,5,12,7,0,126,33,13,11,12,14,27,4,0
LGA22170,4,0,64,474,944,1532,1400,1432,1003,192,18,6994,0,3,11,14,8,7,3,0,49,24,8,7,18,7,9,6,0,78,26,30,19,39,19,33,12,0,175,12,29,27,43,37,37,17,3,213,18,32,47,73,39,42,31,5,286,17,62,93,113,105,101,45,5,539,10,52,139,158,173,171,47,3,755,8,88,226,208,263,230,49,3,1085,7,80,253,260,366,273,47,3,1294,0,22,144,153,220,191,37,0,767,0,12,65,112,135,127,24,0,478,0,8,34,70,94,73,10,0,289,0,0,36,62,95,56,17,0,270,0,0,0,6,28,16,0,0,49,0,0,0,18,25,11,4,4,66,3,7,9,8,16,22,0,0,59,117,439,1102,1349,1641,1409,368,39,6464,32,4,0,0,9,3,0,0,51,641,37,6,0,3,12,0,0,700,398,134,28,22,29,27,10,0,651,126,136,59,44,40,37,10,0
LGA22250,0,0,0,33,29,72,60,80,79,17,0,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,4,0,0,7,0,0,0,0,3,9,0,0,21,0,0,3,5,0,8,3,0,24,0,0,5,11,9,10,5,0,43,0,0,8,10,7,10,5,0,53,0,5,8,14,18,21,4,0,70,0,4,10,18,27,17,0,0,77,0,0,0,10,11,14,0,3,43,0,0,0,4,3,9,5,0,20,0,0,0,0,3,0,0,0,14,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,10,15,49,75,97,104,34,5,390,0,0,0,0,0,0,0,0,3,26,0,0,0,0,0,0,0,26,15,3,0,0,0,0,6,0,25,0,4,0,0,6,7,3,0
LGA22310,0,0,41,548,1077,1518,1114,1036,792,237,27,6330,0,0,9,12,9,7,0,0,34,24,25,6,8,6,5,4,3,86,19,59,19,19,15,22,13,0,159,17,69,17,17,24,26,22,0,202,12,55,27,36,53,43,25,4,256,6,49,52,53,62,72,34,6,344,6,66,86,71,103,105,42,13,497,6,96,137,113,143,107,49,3,657,6,58,185,165,206,180,72,8,868,0,26,140,128,164,142,48,6,649,0,7,63,101,135,98,36,3,452,0,0,42,50,69,65,20,0,244,0,0,28,73,74,65,19,4,263,0,0,5,14,23,7,4,0,52,0,0,3,11,32,21,9,0,83,0,0,5,7,3,13,5,0,31,98,519,829,871,1131,977,398,52,4874,14,4,0,7,8,0,4,0,44,400,38,4,3,3,4,3,0,453,161,107,16,9,15,14,9,0,339,45,105,22,25,18,19,3,0
LGA22410,0,0,6,72,105,213,175,211,185,46,0,1011,0,0,0,0,3,0,0,0,3,0,0,0,3,0,6,0,0,12,0,0,0,7,9,10,4,0,22,0,0,4,0,4,7,3,0,21,0,0,4,8,3,13,3,0,35,0,0,14,6,15,15,8,0,65,0,7,14,22,26,19,8,0,103,4,13,15,23,36,33,10,0,138,0,4,15,18,42,37,8,0,122,0,3,13,12,22,27,9,0,85,0,0,8,10,17,11,3,0,51,0,0,0,7,5,6,4,0,18,0,0,3,3,8,9,0,0,26,0,0,0,4,0,3,4,0,7,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,9,30,98,128,198,192,68,3,722,0,0,0,0,0,0,0,0,4,118,0,0,0,0,4,0,0,118,45,4,4,10,4,3,0,0,66,7,5,3,11,12,4,0,0
LGA22490,0,0,5,44,71,96,82,93,62,13,3,447,0,0,0,4,0,0,0,0,7,0,0,0,0,0,3,0,0,9,0,4,6,3,4,3,0,0,18,0,4,7,3,10,0,0,0,26,0,0,3,12,5,6,0,0,21,0,0,9,4,8,9,7,5,42,0,0,11,13,8,8,5,0,45,0,3,5,10,20,0,0,0,37,0,4,15,13,20,15,0,0,76,0,3,8,13,14,8,0,0,53,0,0,10,18,6,7,0,0,42,0,0,0,3,12,3,0,0,23,0,0,10,5,7,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,5,4,0,0,0,5,0,15,84,121,114,67,31,5,442,0,0,0,0,0,0,0,0,3,41,0,0,0,7,0,0,0,51,22,11,4,5,4,0,0,0,38,5,3,0,5,10,3,3,0
LGA22620,3,0,46,510,1006,1517,1245,1248,1092,223,9,6849,3,0,3,9,6,8,6,0,37,31,6,10,7,7,6,5,0,66,11,15,9,22,15,26,12,0,107,10,21,23,25,25,33,21,0,158,13,24,48,48,49,72,21,4,279,12,55,82,104,88,141,47,4,541,22,76,126,135,158,133,35,5,690,18,124,232,215,242,212,48,0,1086,7,96,237,246,310,269,50,6,1222,5,50,171,210,264,194,32,5,926,0,20,87,160,171,131,27,0,594,0,3,51,80,105,78,7,0,323,0,0,40,66,105,70,17,0,293,0,0,4,17,21,14,3,0,57,0,0,3,17,17,12,0,4,55,0,0,6,3,11,5,0,0,33,134,490,1130,1355,1595,1411,322,21,6466,19,0,5,0,0,0,0,0,27,648,21,3,6,4,5,0,0,683,350,70,30,22,20,17,7,0,519,91,88,46,26,33,38,9,7
LGA22670,9,0,88,333,724,1818,1712,1629,1117,253,12,7597,10,8,22,19,14,17,0,0,81,27,22,11,15,15,15,6,0,110,40,59,30,39,36,43,13,0,259,20,57,63,69,50,43,17,3,327,19,73,63,88,80,83,41,5,452,18,107,170,188,185,134,66,3,868,26,186,320,298,294,234,71,13,1447,22,267,674,549,533,397,105,8,2558,8,257,880,816,830,701,131,4,3629,0,66,572,646,645,588,106,8,2634,0,13,251,396,461,409,78,9,1623,0,10,99,206,234,191,42,0,775,0,9,106,205,231,167,27,0,744,0,0,14,22,41,28,12,0,116,0,0,13,30,45,27,10,0,133,0,7,14,13,25,26,7,3,108,196,1147,3284,3604,3724,3100,734,60,15855,32,8,10,7,12,9,0,0,73,474,57,5,5,10,11,3,0,571,296,157,33,40,27,21,16,4,588,114,160,67,48,45,43,15,0
LGA22750,0,0,111,1317,2465,3654,2924,3041,2366,448,25,16244,7,8,21,15,9,11,3,0,76,54,18,14,19,13,16,11,0,146,33,50,46,52,42,43,21,3,297,28,63,70,77,64,84,37,4,425,24,78,86,109,111,133,61,6,595,17,131,148,218,197,230,89,13,1050,23,135,243,304,311,314,102,4,1436,12,213,413,444,477,403,123,7,2095,14,183,625,562,625,561,120,4,2684,3,62,431,450,533,426,61,3,1971,0,23,235,349,398,281,50,0,1340,0,10,113,175,233,145,32,3,712,0,0,147,262,244,171,34,0,857,0,0,8,29,43,28,4,5,109,0,0,4,44,53,39,13,0,153,4,3,6,15,31,24,4,0,92,226,980,2597,3119,3391,2900,772,54,14041,43,12,9,8,8,3,0,0,79,1483,81,19,13,12,17,3,0,1633,719,244,50,49,36,51,26,0,1182,232,297,126,65,66,75,26,0
LGA22830,0,0,27,217,455,857,712,753,586,118,0,3701,3,0,4,0,0,0,0,0,10,21,0,6,0,0,4,0,0,31,9,6,13,4,14,9,8,6,69,6,15,17,18,9,28,5,0,103,3,12,32,30,30,29,15,3,161,20,19,61,48,56,65,20,3,294,5,41,91,84,82,86,34,3,429,4,73,137,104,143,125,37,4,629,6,58,120,135,210,169,32,4,728,0,18,78,81,118,124,27,0,448,0,4,42,70,86,87,20,3,314,0,0,15,36,41,35,8,0,135,0,0,20,35,54,36,11,0,155,0,0,3,6,12,13,0,0,29,0,0,0,3,12,8,3,4,36,0,3,7,3,8,7,7,0,28,79,259,635,670,873,822,237,28,3605,19,0,0,0,3,0,0,0,23,402,11,0,6,5,0,0,0,424,187,35,14,19,12,11,0,0,275,49,31,17,17,10,30,7,0
LGA22910,0,0,4,67,103,165,108,150,141,23,0,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,5,0,3,5,11,0,24,0,5,0,5,0,3,4,0,23,3,5,6,7,11,11,0,0,36,0,4,14,12,13,20,7,0,61,0,5,4,9,20,23,3,0,68,0,0,13,11,26,22,0,3,72,0,0,8,16,27,16,6,0,73,0,0,7,7,11,13,5,0,44,0,0,3,10,11,8,3,0,35,0,0,0,0,5,7,0,0,15,0,0,0,4,0,6,4,0,10,0,0,0,0,4,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,3,19,59,83,141,131,48,3,491,0,0,0,0,0,5,0,0,0,33,0,0,0,0,0,0,0,39,21,0,3,0,6,4,3,0,41,4,9,4,3,3,7,0,0
LGA22980,0,0,0,9,22,40,31,46,65,12,3,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,5,3,0,0,5,0,0,4,0,0,0,0,0,10,0,0,4,0,6,10,0,0,23,0,0,5,7,3,0,4,0,18,0,4,0,0,3,7,0,0,24,0,3,10,8,5,13,0,0,48,0,0,0,6,4,4,0,0,20,0,0,0,4,6,3,0,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,5,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,3,11,30,33,48,41,10,6,180,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,9,4,0,5,0,0,0,0,0
LGA23110,0,0,24,288,554,864,807,680,442,98,5,3739,0,0,7,0,6,10,5,0,27,14,7,3,9,10,0,5,0,42,16,21,9,13,7,15,4,0,85,7,25,23,14,20,32,10,0,135,8,25,17,39,28,31,14,0,155,3,19,35,59,59,46,20,3,248,4,32,55,63,76,70,26,4,332,3,55,147,109,117,126,21,0,584,5,37,186,171,187,149,25,3,758,0,20,133,157,158,117,20,0,602,0,8,85,110,129,85,17,0,427,0,0,29,57,68,51,4,5,212,0,3,47,79,92,62,15,0,294,0,0,3,12,16,19,0,0,53,0,0,3,21,19,15,0,0,59,0,4,3,3,8,10,0,0,25,70,260,774,921,996,825,180,20,4042,13,5,0,4,6,0,0,0,30,287,34,4,0,4,0,0,0,330,177,72,20,21,9,9,6,0,318,59,75,42,11,17,28,0,0
LGA23190,0,0,10,86,139,273,212,263,228,43,6,1243,0,0,0,0,4,0,0,0,11,3,0,0,5,0,4,0,0,19,4,4,0,10,0,3,3,0,24,0,6,11,6,7,6,0,0,28,0,6,12,8,8,17,3,0,58,0,9,24,26,15,17,6,0,104,6,14,21,26,32,25,8,0,129,0,24,36,33,56,37,12,4,198,3,21,45,50,62,46,8,0,243,0,5,21,27,36,35,7,0,134,0,0,9,12,14,32,5,0,77,0,0,4,9,5,13,0,0,38,0,0,0,9,12,13,3,0,40,0,0,0,0,0,7,0,0,9,0,0,0,4,6,0,0,0,10,0,0,0,0,0,8,0,0,5,17,92,189,222,271,253,67,6,1119,3,0,0,0,0,0,0,0,9,107,9,0,0,0,7,0,0,118,51,6,9,7,3,5,0,0,76,19,12,5,4,10,9,0,0
LGA23270,7,0,81,462,1311,2827,2505,2176,1304,217,9,10817,0,3,17,20,26,13,8,0,89,28,18,12,14,12,6,5,0,95,49,64,36,48,20,32,8,5,269,25,55,73,83,34,57,19,0,344,12,68,87,98,83,83,22,0,460,21,108,191,201,180,123,44,7,879,19,148,257,267,264,220,39,4,1224,16,235,564,497,466,331,83,6,2192,7,177,756,695,687,502,91,4,2929,3,73,471,546,509,423,63,0,2095,0,15,277,414,436,340,49,5,1540,0,9,136,218,239,155,32,0,797,0,5,105,246,269,201,29,5,860,0,0,15,41,43,32,7,0,139,0,0,19,31,41,36,5,0,130,0,7,18,13,32,26,4,0,107,199,992,3031,3438,3347,2590,504,42,14149,49,10,5,9,4,6,0,0,86,809,67,15,18,10,4,3,0,927,539,214,52,35,35,28,3,0,919,179,192,96,68,57,63,9,0
LGA23350,0,0,8,94,58,104,135,143,134,52,6,730,0,0,0,0,0,0,0,0,7,4,0,0,0,0,3,0,0,10,0,0,0,0,0,3,0,0,10,0,0,3,0,0,5,0,0,11,0,0,0,4,0,4,3,0,18,0,0,0,3,6,15,9,0,35,0,0,6,12,3,8,3,0,42,0,4,0,5,15,22,3,0,61,0,3,10,7,34,29,0,0,91,0,0,11,10,18,20,0,0,58,0,0,5,4,11,13,3,0,34,0,0,0,4,9,8,0,0,20,0,0,0,0,7,9,3,0,18,0,0,3,0,4,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,12,45,57,113,145,36,4,416,3,0,0,0,0,0,0,0,5,66,0,0,0,6,0,0,0,73,26,0,0,0,3,5,7,0,37,3,0,0,3,0,3,3,0
LGA23430,0,0,62,833,1211,1687,1451,1505,1051,225,16,7980,4,3,8,15,9,10,0,0,61,47,18,10,13,9,17,12,0,126,31,54,28,45,30,33,17,4,237,20,46,37,46,55,50,32,3,283,10,67,47,68,64,81,40,7,380,15,99,94,129,150,147,68,7,709,21,108,193,191,213,214,85,11,1023,5,166,327,271,383,297,81,7,1537,0,126,505,403,501,434,89,10,2074,0,35,280,326,424,325,77,5,1475,0,11,123,211,268,229,47,7,899,0,4,50,114,134,108,28,0,437,0,0,48,140,191,117,27,0,523,0,0,12,36,42,24,5,0,111,0,0,3,26,49,28,7,0,118,6,4,10,9,18,16,7,0,72,156,736,1775,2031,2551,2125,610,67,10059,35,7,4,5,10,0,0,0,76,820,93,20,0,10,11,5,0,957,499,262,32,20,42,30,3,3,892,174,239,58,48,34,41,17,5
LGA23670,3,0,52,633,994,1416,1230,1285,964,215,14,6747,4,4,9,10,5,8,8,0,37,29,21,12,15,10,13,10,0,117,26,33,26,33,37,37,12,3,200,11,34,37,75,34,63,22,11,286,19,40,51,65,79,73,29,3,357,21,58,85,148,163,175,61,13,721,3,84,149,171,217,211,70,8,916,15,163,322,290,351,314,78,8,1551,5,145,461,413,481,450,87,9,2047,0,38,290,304,380,313,52,0,1378,0,14,145,211,306,220,48,3,947,0,6,83,114,132,86,13,0,437,0,5,69,124,158,98,27,0,482,0,0,9,17,30,27,7,0,92,0,0,0,26,40,34,7,4,110,0,4,9,7,24,19,5,0,66,136,653,1757,2039,2452,2126,517,59,9743,26,5,3,5,3,4,0,0,54,742,70,15,13,10,5,3,0,851,455,201,41,31,29,30,11,0,794,155,171,42,36,46,56,19,3
