POW_LGA_CODE_2021,M_M1_Train_15_24,M_M1_Train_25_34,M_M1_Train_35_44,M_M1_Train_45_54,M_M1_Train_55_64,M_M1_Train_65_74,M_M1_Train_75ov,M_M1_Train_Tot,M_M1_Bus_15_24,M_M1_Bus_25_34,M_M1_Bus_35_44,M_M1_Bus_45_54,M_M1_Bus_55_64,M_M1_Bus_65_74,M_M1_Bus_75ov,M_M1_Bus_Tot,M_M1_Ferry_15_24,M_M1_Ferry_25_34,M_M1_Ferry_35_44,M_M1_Ferry_45_54,M_M1_Ferry_55_64,M_M1_Ferry_65_74,M_M1_Ferry_75ov,M_M1_Ferry_Tot,M_M1_Tram_or_LR_15_24,M_M1_Tram_or_LR_25_34,M_M1_Tram_or_LR_35_44,M_M1_Tram_or_LR_45_54,M_M1_Tram_or_LR_55_64,M_M1_Tram_or_LR_65_74,M_M1_Tram_or_LR_75ov,M_M1_Tram_or_LR_Tot,M_M1_Taxi_or_RSS_15_24,M_M1_Taxi_or_RSS_25_34,M_M1_Taxi_or_RSS_35_44,M_M1_Taxi_or_RSS_45_54,M_M1_Taxi_or_RSS_55_64,M_M1_Taxi_or_RSS_65_74,M_M1_Taxi_or_RSS_75ov,M_M1_Taxi_or_RSS_Tot,M_M1_CarAsDriv_15_24,M_M1_CarAsDriv_25_34,M_M1_CarAsDriv_35_44,M_M1_CarAsDriv_45_54,M_M1_CarAsDriv_55_64,M_M1_CarAsDriv_65_74,M_M1_CarAsDriv_75ov,M_M1_CarAsDriv_Tot,M_M1_CarAsPas_15_24,M_M1_CarAsPas_25_34,M_M1_CarAsPas_35_44,M_M1_CarAsPas_45_54,M_M1_CarAsPas_55_64,M_M1_CarAsPas_65_74,M_M1_CarAsPas_75ov,M_M1_CarAsPas_Tot,M_M1_Truck_15_24,M_M1_Truck_25_34,M_M1_Truck_35_44,M_M1_Truck_45_54,M_M1_Truck_55_64,M_M1_Truck_65_74,M_M1_Truck_75ov,M_M1_Truck_Tot,M_M1_MBikeScoot_15_24,M_M1_MBikeScoot_25_34,M_M1_MBikeScoot_35_44,M_M1_MBikeScoot_45_54,M_M1_MBikeScoot_55_64,M_M1_MBikeScoot_65_74,M_M1_MBikeScoot_75ov,M_M1_MBikeScoot_Tot,M_M1_Bicycle_15_24,M_M1_Bicycle_25_34,M_M1_Bicycle_35_44,M_M1_Bicycle_45_54,M_M1_Bicycle_55_64,M_M1_Bicycle_65_74,M_M1_Bicycle_75ov,M_M1_Bicycle_Tot,M_M1_Other_15_24,M_M1_Other_25_34,M_M1_Other_35_44,M_M1_Other_45_54,M_M1_Other_55_64,M_M1_Other_65_74,M_M1_Other_75ov,M_M1_Other_Tot,M_M1_WlkOnly_15_24,M_M1_WlkOnly_25_34,M_M1_WlkOnly_35_44,M_M1_WlkOnly_45_54,M_M1_WlkOnly_55_64,M_M1_WlkOnly_65_74,M_M1_WlkOnly_75ov,M_M1_WlkOnly_Tot,M_M1_Tot_M1_15_24,M_M1_Tot_M1_25_34,M_M1_Tot_M1_35_44,M_M1_Tot_M1_45_54,M_M1_Tot_M1_55_64,M_M1_Tot_M1_65_74,M_M1_Tot_M1_75ov,M_M1_Tot_M1_Tot,M_M2_TrnBus_15_24,M_M2_TrnBus_25_34,M_M2_TrnBus_35_44,M_M2_TrnBus_45_54,M_M2_TrnBus_55_64,M_M2_TrnBus_65_74,M_M2_TrnBus_75ov,M_M2_TrnBus_Tot,M_M2_TrnFer_15_24,M_M2_TrnFer_25_34,M_M2_TrnFer_35_44,M_M2_TrnFer_45_54,M_M2_TrnFer_55_64,M_M2_TrnFer_65_74,M_M2_TrnFer_75ov,M_M2_TrnFer_Tot,M_M2_TrnTrm_or_LR_15_24,M_M2_TrnTrm_or_LR_25_34,M_M2_TrnTrm_or_LR_35_44,M_M2_TrnTrm_or_LR_45_54,M_M2_TrnTrm_or_LR_55_64,M_M2_TrnTrm_or_LR_65_74,M_M2_TrnTrm_or_LR_75ov,M_M2_TrnTrm_or_LR_Tot,M_M2_TrnCarAsDriv_15_24,M_M2_TrnCarAsDriv_25_34,M_M2_TrnCarAsDriv_35_44,M_M2_TrnCarAsDriv_45_54,M_M2_TrnCarAsDriv_55_64,M_M2_TrnCarAsDriv_65_74,M_M2_TrnCarAsDriv_75ov,M_M2_TrnCarAsDriv_Tot,M_M2_TrnCarAsPas_15_24,M_M2_TrnCarAsPas_25_34,M_M2_TrnCarAsPas_35_44,M_M2_TrnCarAsPas_45_54,M_M2_TrnCarAsPas_55_64,M_M2_TrnCarAsPas_65_74,M_M2_TrnCarAsPas_75ov,M_M2_TrnCarAsPas_Tot,M_M2_TrnOth_15_24,M_M2_TrnOth_25_34,M_M2_TrnOth_35_44,M_M2_TrnOth_45_54,M_M2_TrnOth_55_64,M_M2_TrnOth_65_74,M_M2_TrnOth_75ov,M_M2_TrnOth_Tot,M_M2_Train_and_Tot_15_24,M_M2_Train_and_Tot_25_34,M_M2_Train_and_Tot_35_44,M_M2_Train_and_Tot_45_54,M_M2_Train_and_Tot_55_64,M_M2_Train_and_Tot_65_74,M_M2_Train_and_Tot_75ov,M_M2_Train_and_Tot_Tot,M_M2_BusFer_15_24,M_M2_BusFer_25_34,M_M2_BusFer_35_44,M_M2_BusFer_45_54,M_M2_BusFer_55_64,M_M2_BusFer_65_74,M_M2_BusFer_75ov,M_M2_BusFer_Tot,M_M2_BusTrm_or_LR_15_24,M_M2_BusTrm_or_LR_25_34,M_M2_BusTrm_or_LR_35_44,M_M2_BusTrm_or_LR_45_54,M_M2_BusTrm_or_LR_55_64,M_M2_BusTrm_or_LR_65_74,M_M2_BusTrm_or_LR_75ov,M_M2_BusTrm_or_LR_Tot,M_M2_BusCarAsDriv_15_24,M_M2_BusCarAsDriv_25_34,M_M2_BusCarAsDriv_35_44,M_M2_BusCarAsDriv_45_54,M_M2_BusCarAsDriv_55_64,M_M2_BusCarAsDriv_65_74,M_M2_BusCarAsDriv_75ov,M_M2_BusCarAsDriv_Tot,M_M2_BusCarAsPas_15_24,M_M2_BusCarAsPas_25_34,M_M2_BusCarAsPas_35_44,M_M2_BusCarAsPas_45_54,M_M2_BusCarAsPas_55_64,M_M2_BusCarAsPas_65_74,M_M2_BusCarAsPas_75ov,M_M2_BusCarAsPas_Tot,M_M2_BusOth_15_24,M_M2_BusOth_25_34,M_M2_BusOth_35_44,M_M2_BusOth_45_54,M_M2_BusOth_55_64,M_M2_BusOth_65_74,M_M2_BusOth_75ov,M_M2_BusOth_Tot
LGA21270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,138,154,180,188,108,7,882,16,10,3,0,0,0,0,38,0,0,4,5,5,5,0,17,0,0,0,0,4,0,0,3,7,0,0,5,0,0,0,7,3,0,4,10,5,7,0,28,13,20,13,23,48,17,4,140,146,171,182,224,254,132,17,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA21370,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,7,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,647,1076,1008,1221,1164,315,37,5470,226,62,36,24,19,3,0,380,11,21,22,23,21,6,3,97,10,10,18,15,28,8,0,86,24,16,18,20,18,6,0,111,5,9,3,10,12,8,0,52,70,56,56,66,83,39,11,374,1001,1240,1161,1380,1354,393,54,6589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
LGA21450,28,20,11,13,11,0,0,83,14,0,6,0,3,0,0,19,0,3,5,3,0,0,0,12,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,21,1499,2780,2367,1979,1429,403,63,10516,545,121,53,37,30,9,0,794,17,65,67,64,50,19,3,284,4,3,0,17,3,4,0,39,13,8,3,3,9,0,0,49,6,17,20,14,7,8,0,75,84,44,38,41,53,23,4,296,2229,3075,2576,2172,1597,462,72,12189,4,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,15,4,0,0,3,0,0,0,8,4,3,3,0,0,0,0,9,14,17,7,7,0,0,0,46,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7
LGA21610,52,70,46,23,16,5,0,212,97,39,25,17,14,4,0,196,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,41,31,48,17,9,3,0,146,3674,6847,6164,4790,3539,905,92,26021,1224,243,147,95,78,20,4,1803,41,147,206,160,127,38,6,722,22,24,15,26,18,0,0,110,42,22,12,12,14,3,0,106,19,68,84,40,48,10,4,268,126,43,44,58,51,20,9,342,5339,7541,6791,5237,3917,1002,113,29938,42,19,19,9,9,3,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,8,3,0,0,0,29,4,0,4,0,0,0,0,7,3,10,5,4,0,0,0,20,50,40,28,18,10,5,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,5,0,0,18,27,3,0,0,0,0,0,30,4,0,0,0,0,0,0,12
LGA21670,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,162,267,236,331,301,104,17,1424,71,21,9,0,5,0,0,116,3,3,5,8,8,3,0,28,0,0,0,0,3,0,0,3,5,0,0,4,8,0,0,17,0,0,3,0,0,0,0,10,11,12,8,21,17,14,0,92,257,316,269,365,343,125,20,1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA21750,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,4,0,0,0,0,20,457,836,736,726,668,212,32,3657,154,59,21,19,13,0,0,268,0,3,9,15,4,10,3,43,0,8,9,3,3,0,0,28,13,10,3,5,10,0,0,46,0,5,5,3,7,10,3,36,38,57,46,71,65,39,13,325,680,987,833,847,769,266,49,4437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA21830,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,474,453,474,469,155,31,2354,68,16,10,13,14,3,0,124,0,6,15,17,20,5,5,69,7,10,11,16,18,5,3,73,10,0,0,0,8,5,0,23,0,4,7,10,9,6,3,45,44,37,38,67,73,41,12,316,421,559,541,601,616,224,46,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA21890,66,98,54,30,23,7,0,276,91,63,38,21,21,7,0,241,0,4,0,0,0,0,0,8,33,54,16,13,9,0,0,124,10,24,8,8,8,3,0,61,1577,3762,3226,3092,2447,674,86,14860,338,117,47,54,32,6,5,603,9,31,35,49,42,15,3,184,12,60,24,13,14,6,0,133,76,156,106,83,52,10,0,482,15,19,26,25,23,13,0,125,115,139,100,86,67,17,8,530,2351,4520,3687,3467,2730,759,104,17632,32,39,10,7,15,5,0,113,0,0,0,0,0,0,0,0,12,21,5,0,0,0,0,36,8,5,16,3,3,0,0,34,0,0,0,0,3,0,0,4,6,10,5,0,5,0,0,24,52,79,36,15,26,8,0,217,0,0,0,0,0,0,0,0,19,9,4,10,0,0,0,45,3,4,0,0,0,0,0,8,5,0,0,0,0,0,0,11,4,3,0,0,0,0,0,5
LGA22110,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,18,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,612,1122,1078,1185,1230,426,54,5707,229,53,40,25,21,4,0,372,0,8,13,31,29,15,3,108,0,3,8,14,11,4,4,41,15,8,16,15,16,0,0,68,7,13,10,14,5,13,0,70,59,52,46,55,90,41,16,355,940,1261,1210,1345,1409,508,87,6758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
LGA22170,22,37,19,6,10,0,0,91,67,23,16,15,12,4,0,140,0,0,8,3,0,0,0,9,0,0,0,0,0,0,0,0,15,12,14,6,4,0,0,49,2045,3956,3559,3262,2493,693,98,16103,650,165,75,58,33,7,9,994,13,37,61,72,61,31,0,279,16,11,14,30,15,3,0,94,47,17,36,31,21,0,0,151,10,12,20,17,10,0,0,77,108,71,45,49,36,17,11,333,2996,4345,3846,3558,2705,755,117,18326,15,14,10,5,11,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,7,0,0,15,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,30,17,21,7,12,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,10,26,5,0,0,0,0,0,27,0,4,0,0,0,0,0,0
LGA22250,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,225,252,285,318,114,20,1360,36,8,5,0,4,0,0,57,0,4,3,12,5,4,0,28,0,4,4,7,8,0,0,21,14,0,3,4,5,5,0,24,0,0,0,5,6,0,0,13,18,13,20,23,41,13,10,141,211,249,292,338,386,139,36,1649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA22310,108,144,65,38,30,0,0,389,33,24,3,7,3,0,0,76,0,0,5,4,0,0,0,4,29,20,13,4,10,4,0,84,11,12,9,4,6,0,0,34,1107,2254,1887,1729,1264,525,76,8843,230,56,30,21,19,12,0,372,6,17,11,13,25,17,3,90,13,28,12,6,13,0,0,84,61,45,21,39,36,4,0,203,11,27,15,33,13,4,0,96,179,103,68,53,78,34,13,527,1784,2729,2143,1956,1497,602,95,10803,25,16,8,9,3,0,0,69,0,0,0,0,0,0,0,0,19,16,4,3,3,0,0,54,3,6,14,9,3,0,0,33,6,0,0,0,0,0,0,10,0,5,3,3,0,0,0,11,57,49,27,17,21,3,0,174,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
LGA22410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,329,524,545,648,666,178,36,2929,95,29,23,19,14,4,0,189,3,10,10,11,11,8,5,58,4,0,3,3,7,10,0,29,5,0,3,4,11,0,0,27,0,9,0,4,6,4,0,22,31,19,28,29,35,22,10,171,470,593,621,712,741,229,49,3434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA22490,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,327,330,311,192,66,18,1434,54,21,10,5,3,0,0,91,3,6,14,21,13,5,5,78,3,0,0,0,0,0,0,4,5,0,0,0,0,0,0,8,0,0,4,4,0,5,0,9,15,10,6,13,27,19,6,97,277,368,364,356,238,99,27,1730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA22620,4,0,3,8,6,0,0,22,57,31,26,15,4,5,0,143,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,3,4,8,8,11,4,0,0,33,2266,4043,3670,3462,2851,733,69,17091,688,187,85,92,45,15,0,1119,7,41,49,56,71,21,9,256,28,22,18,23,20,5,0,126,42,43,43,47,45,4,0,228,9,10,13,11,14,8,0,75,135,128,79,114,114,45,13,629,3252,4523,4001,3853,3175,838,89,19728,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,8,0,6,10,3,4,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,13,6,0,0,0,0,0,19,3,3,0,0,0,0,0,8
LGA22670,100,132,72,53,31,3,0,386,141,107,74,72,43,19,0,460,0,6,0,6,0,0,0,12,0,3,0,0,0,0,0,12,41,48,25,22,22,0,0,157,4628,12288,12378,12267,9709,2253,192,53710,1129,480,244,222,145,59,6,2283,40,143,188,170,156,35,5,742,41,81,48,77,56,8,0,313,21,50,44,51,34,11,0,207,42,112,82,54,49,16,0,361,71,78,42,42,38,23,3,299,6243,13523,13193,13043,10301,2421,208,58927,79,88,46,34,17,8,0,273,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,6,22,25,14,6,6,0,82,6,14,3,0,0,0,0,21,14,13,6,4,7,0,0,40,107,138,75,60,34,13,0,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,7,5,4,5,0,0,34,38,11,0,0,0,0,0,55,7,6,6,5,7,0,0,23
LGA22750,23,42,28,16,12,6,0,131,141,102,45,38,43,15,0,376,0,0,4,5,0,0,0,14,0,0,0,0,0,0,0,3,35,42,40,13,7,4,0,148,4980,9319,8055,7484,5819,1505,191,37360,1413,352,197,117,105,32,5,2222,18,74,83,108,96,42,5,425,47,50,37,47,50,10,0,237,109,114,105,135,99,15,3,574,20,51,39,41,40,16,0,205,252,219,163,179,159,76,16,1065,7046,10356,8795,8181,6432,1724,217,42752,0,8,7,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,11,4,3,0,0,31,7,4,0,0,0,0,0,5,6,7,8,4,0,0,0,25,10,29,22,15,8,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,6,3,0,24,24,5,4,0,0,0,0,33,7,15,3,0,0,0,0,22
LGA22830,0,0,0,0,0,0,0,0,9,0,7,3,5,0,0,25,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,3,3,3,9,0,0,0,23,1368,2589,2334,2358,2056,571,81,11354,432,131,64,48,45,8,4,734,6,22,26,47,42,18,3,165,4,6,7,20,30,8,0,76,20,25,22,36,25,10,0,143,0,5,15,17,15,11,0,66,69,88,70,95,107,45,14,481,1922,2889,2548,2638,2317,673,102,13082,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4
LGA22910,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,266,276,310,256,90,14,1339,54,8,7,0,0,4,0,79,0,5,5,15,9,5,0,41,0,0,0,3,0,0,0,4,0,4,3,0,3,0,0,8,0,3,4,0,0,0,4,14,13,18,11,31,30,27,8,142,195,306,316,360,309,128,30,1640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA22980,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,185,144,119,170,46,15,750,13,8,3,3,0,0,5,29,0,0,0,0,5,0,4,12,0,4,0,4,0,0,0,3,9,0,0,0,3,0,0,10,0,0,0,4,13,0,0,19,16,9,13,16,36,11,8,111,108,210,167,145,224,65,27,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA23110,68,103,64,37,15,0,0,294,38,36,13,13,7,0,0,106,0,3,0,0,3,0,0,11,0,0,3,0,0,0,0,5,9,16,8,0,3,0,0,40,1296,3679,3579,3246,2473,546,50,14874,382,130,66,55,22,5,0,668,15,43,45,53,43,12,0,211,4,23,21,18,15,0,0,77,38,31,37,34,23,5,3,170,9,24,16,18,13,7,0,91,67,37,30,31,52,11,0,221,1917,4132,3877,3504,2665,599,61,16762,26,24,6,4,3,4,0,78,0,0,0,0,0,0,0,0,4,9,3,0,0,0,0,19,0,7,14,10,5,0,0,40,7,3,0,0,0,0,0,13,7,8,4,0,5,0,0,22,41,47,28,18,19,9,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,5,0,0,13,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3
LGA23190,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,396,749,641,693,680,185,30,3373,128,27,16,12,14,3,0,206,0,0,6,10,7,5,0,30,6,0,6,5,6,0,0,18,30,19,13,10,9,3,0,84,3,4,5,8,4,3,0,28,38,37,11,31,46,18,3,190,606,844,707,768,762,222,42,3947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA23270,74,115,50,36,24,7,0,297,96,80,45,40,33,8,0,305,0,3,7,7,0,0,0,16,10,8,3,0,0,0,0,27,43,56,51,25,20,3,0,200,4677,11820,11388,10028,7542,1581,130,47162,1244,475,197,150,100,39,4,2209,48,225,228,187,156,46,9,898,33,71,37,29,36,0,3,213,13,43,50,47,22,3,0,182,42,106,94,71,48,12,0,373,92,58,45,48,54,20,3,315,6370,13059,12185,10672,8044,1718,153,52193,44,44,30,22,24,5,0,169,0,0,0,0,0,0,0,0,0,5,7,3,0,0,0,13,4,23,8,7,3,4,0,50,7,3,4,4,0,0,0,22,4,16,10,0,3,0,0,30,62,94,57,38,37,4,0,291,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,12,8,22,3,13,11,0,0,55,25,0,5,4,0,0,0,36,3,3,5,0,0,0,0,12
LGA23350,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,284,311,410,350,102,19,1648,47,7,5,5,5,3,0,73,0,6,6,3,8,3,4,37,0,0,0,0,6,5,0,14,0,6,7,0,6,5,0,24,0,0,0,5,4,4,4,14,23,11,23,26,43,31,8,170,240,318,354,457,423,160,36,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA23430,105,143,57,40,25,9,0,381,94,79,31,41,22,5,0,271,0,0,0,0,0,0,0,5,0,7,4,0,0,0,0,12,26,41,18,15,8,0,0,111,3322,7531,7019,7009,5688,1593,204,32360,695,262,136,114,87,25,6,1330,13,71,80,79,89,34,3,373,25,54,33,42,32,3,0,202,92,51,47,75,52,14,0,326,21,40,31,41,42,7,0,192,190,86,69,71,70,19,8,512,4583,8365,7536,7535,6128,1709,221,36084,76,58,24,38,17,8,0,218,0,0,0,0,0,0,0,0,6,14,6,0,0,0,0,33,5,27,13,12,11,0,0,65,15,0,5,4,3,0,0,28,9,8,6,7,8,0,0,43,115,113,54,60,33,6,0,377,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,6,0,3,9,0,0,0,20,15,3,0,0,0,0,0,18,3,3,0,5,0,0,0,13
