POW_LGA_CODE_2021,NG_NNI_Mng,NG_NNI_Pro,NG_NNI_TecTW,NG_NNI_CoPSW,NG_NNI_ClAW,NG_NNI_SWks,NG_NNI_MaOpDv,NG_NNI_Lab,NG_NNI_IDNS,NG_NNI_Tot,NG_1_149_Mng,NG_1_149_Pro,NG_1_149_TecTW,NG_1_149_CoPSW,NG_1_149_ClAW,NG_1_149_SWks,NG_1_149_MaOpDv,NG_1_149_Lab,NG_1_149_IDNS,NG_1_149_Tot,NG_150_299_Mng,NG_150_299_Pro,NG_150_299_TecTW,NG_150_299_CoPSW,NG_150_299_ClAW,NG_150_299_SWks,NG_150_299_MaOpDv,NG_150_299_Lab,NG_150_299_IDNS,NG_150_299_Tot,NG_300_399_Mng,NG_300_399_Pro,NG_300_399_TecTW,NG_300_399_CoPSW,NG_300_399_ClAW,NG_300_399_SWks,NG_300_399_MaOpDv,NG_300_399_Lab,NG_300_399_IDNS,NG_300_399_Tot,NG_400_499_Mng,NG_400_499_Pro,NG_400_499_TecTW,NG_400_499_CoPSW,NG_400_499_ClAW,NG_400_499_SWks,NG_400_499_MaOpDv,NG_400_499_Lab,NG_400_499_IDNS,NG_400_499_Tot,NG_500_649_Mng,NG_500_649_Pro,NG_500_649_TecTW,NG_500_649_CoPSW,NG_500_649_ClAW,NG_500_649_SWks,NG_500_649_MaOpDv,NG_500_649_Lab,NG_500_649_IDNS,NG_500_649_Tot,NG_650_799_Mng,NG_650_799_Pro,NG_650_799_TecTW,NG_650_799_CoPSW,NG_650_799_ClAW,NG_650_799_SWks,NG_650_799_MaOpDv,NG_650_799_Lab,NG_650_799_IDNS,NG_650_799_Tot,NG_800_999_Mng,NG_800_999_Pro,NG_800_999_TecTW,NG_800_999_CoPSW,NG_800_999_ClAW,NG_800_999_SWks,NG_800_999_MaOpDv,NG_800_999_Lab,NG_800_999_IDNS,NG_800_999_Tot,NG_1000_1249_Mng,NG_1000_1249_Pro,NG_1000_1249_TecTW,NG_1000_1249_CoPSW,NG_1000_1249_ClAW,NG_1000_1249_SWks,NG_1000_1249_MaOpDv,NG_1000_1249_Lab,NG_1000_1249_IDNS,NG_1000_1249_Tot,NG_1250_1499_Mng,NG_1250_1499_Pro,NG_1250_1499_TecTW,NG_1250_1499_CoPSW,NG_1250_1499_ClAW,NG_1250_1499_SWks,NG_1250_1499_MaOpDv,NG_1250_1499_Lab,NG_1250_1499_IDNS,NG_1250_1499_Tot,NG_1500_1749_Mng,NG_1500_1749_Pro,NG_1500_1749_TecTW,NG_1500_1749_CoPSW,NG_1500_1749_ClAW,NG_1500_1749_SWks,NG_1500_1749_MaOpDv,NG_1500_1749_Lab,NG_1500_1749_IDNS,NG_1500_1749_Tot,NG_1750_1999_Mng,NG_1750_1999_Pro,NG_1750_1999_TecTW,NG_1750_1999_CoPSW,NG_1750_1999_ClAW,NG_1750_1999_SWks,NG_1750_1999_MaOpDv,NG_1750_1999_Lab,NG_1750_1999_IDNS,NG_1750_1999_Tot,NG_2000_2999_Mng,NG_2000_2999_Pro,NG_2000_2999_TecTW,NG_2000_2999_CoPSW,NG_2000_2999_ClAW,NG_2000_2999_SWks,NG_2000_2999_MaOpDv,NG_2000_2999_Lab,NG_2000_2999_IDNS,NG_2000_2999_Tot,NG_3000_3499_Mng,NG_3000_3499_Pro,NG_3000_3499_TecTW,NG_3000_3499_CoPSW,NG_3000_3499_ClAW,NG_3000_3499_SWks,NG_3000_3499_MaOpDv,NG_3000_3499_Lab,NG_3000_3499_IDNS,NG_3000_3499_Tot,NG_3500mo_Mng,NG_3500mo_Pro,NG_3500mo_TecTW,NG_3500mo_CoPSW,NG_3500mo_ClAW,NG_3500mo_SWks,NG_3500mo_MaOpDv,NG_3500mo_Lab,NG_3500mo_IDNS,NG_3500mo_Tot,NG_PINS_Mng,NG_PINS_Pro,NG_PINS_TecTW,NG_PINS_CoPSW,NG_PINS_ClAW,NG_PINS_SWks,NG_PINS_MaOpDv,NG_PINS_Lab,NG_PINS_IDNS,NG_PINS_Tot,NG_Tot_Mng,NG_Tot_Pro,NG_Tot_TecTW,NG_Tot_CoPSW,NG_Tot_ClAW,NG_Tot_SWks,NG_Tot_MaOpDv,NG_Tot_Lab,NG_Tot_IDNS,NG_Tot_Tot,SG_NNI_Mng,SG_NNI_Pro,SG_NNI_TecTW,SG_NNI_CoPSW,SG_NNI_ClAW,SG_NNI_SWks,SG_NNI_MaOpDv,SG_NNI_Lab,SG_NNI_IDNS,SG_NNI_Tot,SG_1_149_Mng,SG_1_149_Pro,SG_1_149_TecTW,SG_1_149_CoPSW,SG_1_149_ClAW,SG_1_149_SWks,SG_1_149_MaOpDv,SG_1_149_Lab,SG_1_149_IDNS,SG_1_149_Tot,SG_150_299_Mng,SG_150_299_Pro,SG_150_299_TecTW,SG_150_299_CoPSW,SG_150_299_ClAW,SG_150_299_SWks,SG_150_299_MaOpDv,SG_150_299_Lab,SG_150_299_IDNS,SG_150_299_Tot
LGA22410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,7,0,0,0,0,8,0,0,0,0,3,3,0,0,0,8,0,0,0,4,7,0,0,0,0,9,0,3,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,3,24,5,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,9,0,3,4,6,0,0,0,0,0,13
LGA22490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,10,0,3,0,0,31,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3
LGA22620,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,0,16,0,7,0,5,0,0,0,0,0,15,0,4,0,0,11,0,0,0,0,18,0,14,4,5,18,4,0,0,0,52,0,8,0,8,15,0,13,0,0,59,6,15,0,9,47,0,21,0,0,95,3,35,4,8,77,0,7,0,0,134,3,53,9,8,124,4,3,0,6,213,8,55,7,6,65,0,6,0,3,154,18,75,3,0,34,0,0,0,3,144,46,104,8,0,13,0,0,0,4,173,8,7,0,0,0,0,0,0,0,18,8,10,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,97,406,36,50,422,15,56,7,19,1118,0,3,0,4,0,0,0,0,0,7,0,7,0,6,4,0,0,0,0,22,0,22,0,28,5,0,0,0,0,51
LGA22670,0,0,0,0,4,0,0,0,0,9,0,5,0,0,8,0,4,0,0,15,0,5,0,3,17,0,5,0,0,29,4,4,0,0,18,0,10,0,0,37,0,0,0,0,19,0,9,0,0,30,0,6,0,3,33,0,18,0,0,58,4,9,0,3,72,6,19,4,0,117,0,18,5,10,144,10,54,7,0,247,3,36,4,3,339,16,57,5,4,475,7,74,3,17,339,6,41,0,0,492,25,67,8,9,230,3,26,0,10,385,37,75,10,0,99,3,9,0,11,235,90,96,20,0,49,5,4,0,0,267,8,7,6,0,4,0,0,0,0,28,5,0,0,0,6,0,0,0,0,14,0,7,0,0,10,0,3,0,0,15,196,416,58,63,1393,53,245,16,34,2473,0,0,0,6,5,0,0,0,0,11,0,5,0,0,0,0,0,0,0,8,0,20,0,7,4,0,0,0,0,32
LGA22750,0,8,0,0,11,0,0,0,0,13,3,3,0,0,11,0,0,0,0,19,5,23,0,7,18,0,0,0,0,57,0,31,0,4,22,4,0,0,0,64,5,32,5,8,40,0,0,0,0,91,3,82,5,9,81,5,3,0,0,192,9,58,4,14,142,7,0,9,3,248,5,96,4,4,206,7,4,7,9,346,27,160,18,23,354,12,13,5,9,620,40,239,34,32,430,0,4,0,13,796,72,341,66,34,308,0,10,6,27,851,110,401,34,23,174,0,3,0,11,749,368,649,26,15,139,0,5,0,10,1215,60,97,0,0,4,0,0,0,0,163,72,111,0,3,12,0,0,0,0,203,3,8,0,0,8,0,0,0,0,24,783,2336,203,172,1955,56,39,31,83,5648,0,17,0,4,0,0,0,0,0,24,0,13,6,18,4,0,0,8,0,48,8,31,3,41,18,0,0,11,7,117
LGA22830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,3,0,9,0,0,0,4,8,4,0,0,0,11,0,7,0,0,3,0,0,3,0,12,0,3,0,5,10,4,0,0,0,24,0,7,0,0,13,0,0,0,0,24,0,19,0,5,25,0,3,0,0,54,3,7,0,0,18,0,0,3,0,36,4,21,0,3,20,0,0,0,3,55,6,20,0,0,5,0,0,0,0,38,10,19,0,0,3,0,0,0,0,37,0,5,0,0,3,0,0,0,0,5,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,30,124,4,20,113,7,4,13,3,319,0,0,0,5,0,0,0,0,0,10,0,3,0,3,3,0,0,0,0,12,0,0,0,3,4,0,0,0,0,16
LGA22910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,6,0,0,3,0,0,0,0,6,0,5,0,0,0,0,0,0,0,6,0,3,0,0,5,0,0,0,0,7,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,35,0,3,18,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,0,0,4,0,10
LGA22980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,3,0,0,0,0,0,10
LGA23110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,3,7,4,0,0,0,15,0,6,0,6,4,0,0,0,0,11,0,0,0,7,0,5,0,0,0,15,3,3,3,6,6,3,6,0,0,29,8,5,4,5,19,0,0,0,0,44,7,27,3,0,11,0,0,0,0,53,14,9,4,6,6,0,0,0,0,44,25,17,8,0,11,0,0,0,0,63,7,4,0,0,3,0,0,0,0,13,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,75,80,18,38,66,17,4,0,9,300,0,0,0,4,3,0,0,0,0,3,0,5,0,0,0,0,0,0,0,8,0,5,0,7,0,0,0,0,0,15
LGA23190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,8,0,3,0,0,6,0,0,0,0,10,0,7,0,0,0,0,0,0,0,5,0,7,0,3,10,0,0,0,0,21,0,3,0,0,8,0,0,0,0,18,4,5,0,0,5,0,0,0,0,15,3,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,11,41,4,3,43,3,3,0,6,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,3,4,0,0,9,0,20
LGA23270,0,3,0,0,7,0,0,0,0,12,0,3,0,0,7,0,3,0,0,11,0,0,0,0,8,0,3,0,0,21,0,0,0,4,17,7,0,0,0,35,0,0,0,3,20,5,7,0,0,38,0,0,7,8,52,6,14,7,0,90,0,3,8,11,67,11,23,4,0,129,0,27,17,10,174,4,40,8,5,295,13,75,31,10,239,12,50,12,3,456,23,35,84,26,258,3,34,9,20,492,43,83,67,32,225,4,27,10,10,494,37,81,55,45,119,4,6,6,9,367,133,187,72,76,83,4,8,5,8,574,27,88,7,3,9,0,0,0,0,130,67,265,0,0,15,0,0,0,0,351,5,0,0,0,9,0,0,0,0,25,342,858,345,232,1316,63,215,67,72,3521,0,3,0,4,0,0,0,0,0,10,0,0,0,5,3,0,0,0,0,16,0,10,4,9,5,0,0,0,0,23
LGA23350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,3,13,3,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6
LGA23430,0,0,0,0,0,3,0,0,0,4,0,0,0,0,4,0,0,0,0,9,0,0,0,0,4,0,0,0,0,8,0,3,0,5,3,0,0,0,0,15,0,9,0,0,12,0,9,0,0,21,0,0,0,6,5,6,12,0,0,27,4,3,0,3,22,11,16,0,0,61,0,3,4,7,47,0,23,4,0,88,4,19,0,4,76,3,19,0,0,122,5,14,3,0,98,3,9,0,0,142,8,20,8,0,36,3,0,0,3,80,5,30,0,0,23,0,0,0,4,63,24,57,0,4,13,4,0,0,0,105,0,4,0,0,0,0,0,0,0,10,7,19,0,0,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,4,53,181,13,34,348,33,94,11,13,778,0,5,0,0,5,0,0,0,0,10,0,11,0,3,0,0,0,0,0,14,0,14,3,5,5,0,0,0,0,27
LGA23670,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,5,0,6,0,0,6,0,4,0,0,14,0,6,3,3,13,5,4,0,0,31,0,10,0,4,17,11,10,0,0,52,4,14,0,0,30,13,21,3,0,81,9,20,6,3,55,5,23,3,0,116,3,11,4,0,46,4,5,0,0,81,11,22,0,3,50,0,4,0,7,93,13,30,0,0,5,0,6,0,4,55,12,22,0,0,3,0,0,0,0,47,3,6,0,0,0,0,0,0,0,6,5,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,59,147,16,24,229,35,72,13,10,608,0,3,0,4,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,16,0,12,0,14,6,0,0,0,0,27
LGA23810,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,12,0,4,0,4,11,0,0,0,0,18,0,8,5,4,45,5,0,0,0,75,0,15,3,6,77,4,0,0,0,102,0,3,0,11,117,5,0,0,0,135,7,28,0,3,161,9,0,0,0,217,9,42,4,5,171,0,3,0,7,241,20,53,9,0,86,3,0,0,4,179,11,49,0,3,43,0,0,0,5,119,47,65,0,0,22,0,0,0,0,140,4,4,0,0,0,0,0,0,0,8,8,3,0,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,109,283,26,42,747,31,16,4,25,1283,0,0,0,0,6,0,0,0,0,3,0,4,0,3,5,0,0,0,0,13,0,4,0,11,9,0,0,0,0,30
LGA23940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4
LGA24130,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,10,0,0,0,3,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,8,0,0,0,0,0,6,0,0,0,11,0,0,0,0,0,4,5,0,0,8,0,0,0,0,3,0,3,0,0,13,0,4,3,0,13,5,0,0,0,23,0,7,0,0,3,0,0,0,0,12,4,10,0,0,6,0,0,0,0,21,5,4,10,0,3,0,0,0,0,19,12,13,0,0,0,0,0,0,0,24,5,3,0,0,0,0,0,0,0,7,3,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,22,48,20,14,37,15,8,11,6,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,5,0,0,0,0,0,16
LGA24210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,3,0,0,4,0,0,0,0,7,0,5,0,0,0,3,3,0,0,9,0,9,0,8,0,0,0,0,0,21,0,0,0,0,25,6,0,0,0,33,0,9,0,0,22,0,0,0,0,33,5,11,0,0,5,0,0,0,0,23,0,10,0,0,7,0,0,0,0,16,6,17,0,0,6,0,0,0,0,25,3,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,72,5,11,80,10,6,0,0,199,0,0,0,0,0,0,0,3,0,6,0,6,0,11,0,0,0,0,0,17,0,9,0,9,3,0,0,0,0,25
LGA24250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,13,7,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA24330,0,0,0,0,0,0,0,0,0,4,0,7,0,0,6,0,0,0,0,18,0,9,0,3,4,0,0,0,0,18,0,12,0,9,4,0,0,0,0,22,3,19,0,9,0,0,0,0,0,33,0,26,0,3,8,0,0,0,0,43,4,25,0,4,23,3,0,0,0,62,5,50,6,9,29,0,0,0,0,95,8,79,0,3,30,4,0,0,4,124,13,82,9,3,61,5,0,0,0,167,17,159,11,6,87,0,0,0,6,279,23,158,4,4,29,0,0,0,5,226,90,228,6,0,22,0,0,0,4,352,10,47,0,0,0,0,0,0,0,60,41,39,0,0,0,0,0,0,0,87,0,0,0,0,3,0,0,0,0,7,216,936,39,57,314,18,0,0,17,1601,0,6,0,0,0,0,0,0,0,8,0,12,0,4,0,0,0,0,0,18,0,13,0,4,5,0,0,0,0,25
LGA24410,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,3,0,0,3,0,0,0,0,6,3,3,0,3,3,0,0,0,0,10,0,4,0,4,4,0,0,0,0,21,0,3,0,4,5,4,0,0,0,13,0,5,0,3,11,0,0,0,0,23,0,19,0,3,30,3,0,0,0,58,3,19,0,0,30,0,0,0,0,61,7,10,0,0,19,0,0,0,0,40,10,26,0,0,10,0,0,0,0,43,9,20,0,0,6,0,0,0,0,39,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,39,124,7,27,118,13,4,0,8,338,0,3,0,0,3,0,0,0,0,5,0,3,0,0,0,0,0,0,0,13,0,8,0,15,7,0,0,0,0,37
LGA24600,9,32,0,4,18,0,0,0,6,76,4,108,12,18,42,0,0,3,0,186,7,221,13,27,58,3,0,0,3,333,7,238,28,20,91,6,0,6,6,402,16,207,24,29,97,4,0,7,8,392,10,556,30,53,189,33,0,10,8,896,30,629,29,36,280,23,9,13,11,1069,62,785,60,43,535,54,10,0,24,1575,145,1179,116,80,1164,81,4,12,43,2823,280,1750,188,88,1774,51,12,11,92,4249,559,2868,280,127,1910,43,0,3,93,5875,822,3349,203,135,1237,23,0,0,85,5853,3225,6816,293,276,1267,54,4,9,136,12070,954,1396,35,29,174,21,0,4,28,2638,1530,1833,14,15,167,9,0,0,24,3595,12,53,0,3,37,0,0,0,18,136,7681,22017,1314,992,9028,409,43,75,599,42158,9,42,0,11,18,0,0,0,3,91,0,39,7,20,23,0,0,6,0,91,7,54,18,33,43,5,0,8,7,173
LGA24650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,6,0,0,0,0,5,0,3,0,0,12,0,0,0,3,18,4,0,0,0,26,0,6,0,6,25,0,0,0,0,41,0,11,0,0,15,0,0,0,6,37,4,10,0,0,13,0,0,0,0,24,4,8,0,0,9,0,0,0,0,22,6,5,0,0,4,0,0,0,0,14,0,3,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,17,43,4,18,91,10,7,4,7,207,0,5,0,0,3,0,0,0,0,7,0,0,0,7,0,0,0,0,0,6,0,5,3,12,0,0,0,5,0,29
LGA24780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,6,0,0,0,0,3,4,0,0,0,16,0,7,0,0,4,0,0,0,0,12,0,9,0,0,6,0,0,0,0,14,0,3,0,0,13,4,0,0,0,21,0,6,0,5,17,0,0,0,0,33,5,22,0,6,10,0,0,0,0,36,6,15,0,0,5,0,0,0,0,22,9,10,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,69,0,10,72,14,0,3,0,190,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,10,0,0,3,5,5,0,0,0,0,12
LGA24850,0,0,0,0,0,0,0,4,0,3,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,3,3,0,0,0,0,8,0,0,3,0,4,0,0,0,0,12,0,0,0,5,7,6,3,0,0,15,0,0,0,29,9,0,11,7,0,57,0,4,0,51,11,0,16,0,0,90,0,9,6,74,32,0,39,0,4,171,14,17,9,83,40,0,21,0,0,178,30,41,8,64,22,0,22,0,6,186,77,24,7,35,10,0,4,0,0,157,104,17,7,27,6,0,0,0,3,171,20,0,0,0,0,0,0,0,0,21,6,6,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,259,124,40,375,148,7,118,12,13,1094,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,16
LGA24900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,0,3,0,20,0,0,0,5,0,0,0,0,0,7,0,4,0,0,3,4,0,0,0,13,4,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,14,20,8,0,4,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5
LGA24970,6,7,0,8,10,0,0,0,0,25,0,50,11,12,23,0,0,0,0,98,4,99,9,37,23,10,0,0,5,194,0,99,7,24,35,3,0,0,0,173,0,115,18,30,32,3,7,5,0,203,11,322,33,51,62,6,3,0,3,492,9,240,35,24,59,13,4,8,4,398,18,241,34,22,111,6,5,4,3,457,33,333,56,20,183,16,9,6,7,667,54,437,78,15,281,6,3,0,7,884,102,710,89,19,344,4,7,4,14,1287,151,871,43,9,157,3,0,0,13,1252,432,1637,51,5,117,5,0,0,18,2260,89,281,5,4,11,6,0,0,0,395,171,381,4,0,10,0,0,0,3,572,0,17,3,4,4,0,0,0,9,30,1087,5845,472,285,1463,73,42,38,82,9381,0,3,0,6,3,0,0,0,0,17,0,17,3,9,5,0,0,0,0,36,0,26,0,27,8,0,0,0,0,63
LGA25060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,5,0,0,0,0,11,0,0,0,0,14,0,0,0,5,9,0,0,0,0,17,3,9,0,5,32,5,0,0,0,50,0,8,0,4,35,6,0,0,0,52,0,9,0,3,97,7,0,0,0,119,3,23,3,5,131,6,0,0,0,178,12,63,0,5,188,0,3,0,10,278,23,102,4,0,134,0,0,0,7,271,28,69,3,0,91,0,0,0,0,194,113,106,5,0,82,0,0,0,7,313,15,17,0,0,10,0,0,0,0,43,22,18,0,0,3,0,0,0,0,48,0,5,0,4,4,0,0,0,0,8,229,434,15,27,821,19,4,10,27,1590,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,10,0,11,0,5,0,0,0,0,0,17
