POW_LGA_CODE_2021,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Taiwan_E,P_Taiwan_OM_IE,P_Taiwan_OM_UIE,P_Taiwan_CFW,P_Taiwan_ES_NS,P_Taiwan_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA21270,0,0,0,0,0,0,23,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,7,5,0,0,0,0,5,3,0,0,0,0,3,3,0,0,0,0,3,22,0,5,0,0,24,5,0,0,0,0,5,0,0,0,0,0,0,11,5,0,0,0,11,25,0,13,9,3,38,1707,292,290,238,54,2590
LGA21370,6,0,0,0,0,10,174,0,0,0,3,180,4,0,0,0,0,5,5,0,0,0,0,4,36,0,0,0,0,35,32,0,4,0,0,32,13,0,0,0,0,16,19,0,5,0,3,25,201,16,20,19,3,254,22,0,0,0,0,24,19,0,7,0,0,23,114,14,11,3,3,148,182,20,22,11,22,254,12870,1239,1492,520,253,16371
LGA21450,95,14,20,0,0,142,263,5,14,0,0,286,34,6,3,0,0,45,43,0,11,0,0,57,156,25,19,6,0,200,567,81,49,16,4,717,101,0,3,0,13,122,63,9,18,0,0,88,932,135,121,34,11,1230,72,5,11,0,0,92,112,16,15,4,0,144,997,123,136,19,17,1284,131,18,19,8,10,185,24579,3104,2848,665,286,31486
LGA21610,441,89,101,15,11,657,1266,51,63,13,0,1392,142,38,28,5,3,225,189,22,29,5,0,238,525,61,51,14,0,652,2519,470,404,91,20,3506,86,12,9,3,0,103,258,16,26,5,4,308,2276,254,243,32,18,2823,182,10,17,0,0,211,597,49,80,16,7,757,4318,578,504,106,39,5545,239,23,27,8,17,320,66680,7267,6650,1206,456,82257
LGA21670,4,0,0,0,0,6,41,0,0,0,5,46,0,0,0,0,0,0,4,0,0,0,0,3,6,0,4,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,71,7,13,6,3,101,9,0,0,0,0,10,7,0,0,0,0,11,34,5,3,0,0,38,48,0,10,3,10,69,3622,282,353,110,77,4438
LGA21750,7,0,0,0,0,7,70,0,0,0,0,69,3,0,0,0,0,4,0,0,4,0,0,5,13,0,0,0,0,11,26,0,4,0,0,31,132,0,0,0,4,136,10,0,0,0,0,14,162,18,22,15,0,211,19,0,3,0,0,23,5,0,0,4,0,8,145,12,13,9,3,184,105,9,17,9,14,157,8347,685,1002,324,142,10496
LGA21830,0,0,0,0,0,0,57,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,13,8,0,0,0,0,11,4,0,0,0,0,4,4,0,0,0,0,3,82,21,22,6,3,129,4,0,0,0,0,4,3,0,0,0,0,4,64,8,8,0,0,80,93,9,31,10,9,151,5102,631,1048,380,183,7344
LGA21890,241,18,36,0,3,294,664,7,16,0,3,692,83,6,10,0,0,105,129,17,9,0,0,149,190,17,12,4,0,218,590,24,25,0,4,644,101,10,3,6,3,122,156,12,14,5,0,195,1209,122,180,13,0,1525,232,18,40,4,0,298,1030,99,93,23,9,1253,2939,214,285,37,32,3508,156,14,13,0,7,198,44612,3977,4466,593,312,53965
LGA22110,10,0,0,0,0,14,186,0,3,0,0,186,3,0,5,0,0,5,7,0,0,0,0,9,63,0,8,0,0,72,27,0,0,0,0,27,16,0,0,0,0,16,47,0,3,3,0,52,443,40,65,26,8,577,27,0,6,0,0,33,64,0,10,3,0,79,204,19,25,7,10,269,207,18,31,16,24,297,13969,1190,1688,595,319,17762
LGA22170,113,0,3,0,0,119,717,13,23,0,6,755,75,17,19,0,7,106,75,6,9,0,0,89,384,47,25,4,0,462,661,38,15,5,0,721,42,11,7,0,0,57,148,14,13,6,0,179,2376,286,245,42,22,2965,142,15,22,3,6,187,349,28,39,13,0,425,1903,193,200,35,27,2352,161,14,13,0,15,204,43468,4110,3571,610,299,52045
LGA22250,0,0,0,0,0,0,49,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,32,6,6,0,0,45,3,6,0,0,0,3,0,0,3,0,0,3,25,0,0,0,0,34,45,4,4,7,10,70,2715,376,466,242,83,3880
LGA22310,102,8,8,3,0,117,553,11,19,8,0,588,105,35,33,14,0,188,122,9,19,4,0,152,699,214,192,13,4,1118,528,41,20,9,7,599,76,21,3,3,0,103,181,9,16,0,0,210,1120,152,168,29,0,1477,294,27,40,4,0,363,393,58,61,17,11,538,2479,530,526,95,29,3655,90,12,9,0,12,124,31416,4439,4284,738,197,41076
LGA22410,0,0,0,0,0,0,66,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,22,4,9,5,0,41,6,0,0,0,0,6,3,0,0,0,0,3,14,0,5,0,0,13,135,9,16,5,0,167,12,0,0,0,0,11,4,0,7,5,0,15,66,6,7,0,3,83,79,7,17,8,14,122,6460,450,837,315,135,8193
LGA22490,3,0,0,0,0,3,32,0,0,0,0,33,0,0,0,0,0,0,3,0,0,0,0,4,11,0,3,0,0,20,12,0,0,0,0,17,0,0,0,0,0,0,3,0,0,0,0,4,77,29,25,13,0,142,3,0,0,0,0,4,13,0,0,3,0,13,71,8,10,4,3,91,25,6,9,0,0,40,3007,554,642,241,54,4492
LGA22620,63,14,0,0,0,81,423,8,11,0,3,449,9,0,7,0,0,14,28,0,3,0,0,32,171,9,14,5,0,197,151,15,11,0,0,175,38,3,0,0,0,42,253,7,8,0,5,273,840,65,88,17,3,1014,89,5,6,5,0,107,107,10,9,3,0,127,852,32,40,4,6,937,326,37,27,12,24,422,45254,2864,2940,660,362,52077
LGA22670,786,74,82,12,12,965,2084,23,31,11,4,2157,304,28,23,5,0,365,284,11,12,3,0,313,748,50,17,4,7,826,3754,317,210,60,26,4368,220,24,7,5,0,255,460,18,22,9,6,513,3227,183,65,17,13,3509,249,11,9,0,0,266,3678,407,411,80,39,4616,9701,631,565,135,73,11109,425,22,20,12,45,522,100655,6836,4056,959,668,113178
LGA22750,354,30,68,3,7,461,1204,13,19,6,8,1249,103,16,7,0,4,134,133,3,6,0,0,154,468,32,41,3,0,548,467,21,17,3,9,512,67,3,0,0,0,75,355,20,20,0,8,403,3639,296,310,48,29,4333,326,25,35,11,0,396,427,35,62,20,9,551,2878,194,193,47,30,3344,593,50,36,15,39,733,101577,7176,7154,1230,767,117909
LGA22830,80,15,5,0,0,90,450,7,10,0,4,469,11,3,0,0,0,16,24,0,0,0,0,23,72,6,0,0,0,72,114,14,3,0,0,132,95,4,0,4,3,103,72,7,9,0,0,93,427,39,36,5,4,510,43,3,3,0,0,48,42,3,9,0,0,51,760,46,37,17,17,875,235,24,21,13,17,309,26445,2142,1723,605,332,31250
LGA22910,4,0,0,0,0,0,45,0,0,0,0,47,4,3,0,0,0,8,4,4,0,0,0,5,7,3,9,0,0,21,13,0,0,0,0,12,4,0,0,0,0,4,15,0,0,0,0,12,135,25,40,16,5,219,23,7,4,0,0,29,3,3,0,0,0,14,93,15,29,10,0,144,41,3,21,0,6,73,3518,547,903,245,96,5311
LGA22980,0,0,0,0,0,0,25,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,5,0,0,0,0,5,0,0,0,0,0,0,41,0,0,0,0,41,19,0,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,10,83,0,0,6,0,87,22,0,0,6,0,28,1590,148,324,142,29,2233
LGA23110,154,9,13,8,3,186,838,13,15,4,4,876,72,8,6,0,0,91,63,5,8,0,0,74,171,17,12,0,0,201,248,5,10,0,0,269,42,0,0,0,0,46,162,9,12,8,0,185,1000,125,107,18,3,1259,105,9,10,3,0,134,832,69,73,21,6,1006,2415,206,184,30,26,2861,129,10,11,5,14,165,31184,2703,2229,405,194,36710
LGA23190,11,0,0,0,0,12,82,0,0,0,0,83,0,5,0,0,0,12,0,0,0,0,0,3,23,0,4,3,0,34,17,0,0,0,0,21,4,0,0,0,0,5,26,4,0,0,0,29,104,3,12,3,0,129,16,0,4,0,0,16,12,0,5,0,0,12,121,3,7,0,0,133,92,16,9,9,6,130,8015,647,688,277,120,9749
LGA23270,854,117,260,21,14,1275,1814,36,39,12,5,1912,151,11,5,0,0,166,231,17,13,4,0,265,314,21,11,3,0,351,1731,127,90,14,6,1969,103,6,5,3,0,116,318,14,16,3,6,352,2045,117,91,15,9,2276,220,3,13,0,0,238,2209,76,79,27,12,2404,8065,816,669,111,86,9741,393,42,15,6,39,492,91905,7254,5169,972,688,105989
LGA23350,0,0,0,0,0,0,23,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,4,18,0,0,0,0,17,98,22,19,9,0,153,12,6,6,0,0,14,0,0,0,0,0,0,52,10,15,4,0,74,53,5,16,0,3,75,3882,492,693,280,69,5420
LGA23430,305,14,15,0,6,341,1331,18,23,3,3,1381,186,48,29,10,3,271,188,10,12,0,0,208,659,117,61,12,0,856,1588,82,78,17,14,1777,184,10,12,3,6,210,370,14,19,3,3,410,2921,276,248,39,17,3509,264,31,16,6,0,315,1837,113,93,29,21,2097,5266,515,458,93,47,6375,211,25,13,0,37,278,70378,7136,4770,991,480,83752
LGA23670,270,7,15,7,0,304,935,15,24,4,0,975,150,21,20,4,0,200,287,32,28,0,0,356,515,59,35,5,0,619,1511,127,88,16,4,1752,134,18,9,3,0,161,267,5,24,3,0,299,2330,233,171,34,8,2776,199,12,20,0,0,234,853,42,60,19,6,977,3509,230,205,37,21,4016,176,18,12,5,12,224,61337,5440,4220,801,283,72079
LGA23810,32,0,7,0,0,44,315,5,3,3,0,330,21,3,0,0,0,18,19,0,0,0,0,24,94,8,8,0,0,115,133,14,5,3,0,158,16,0,0,0,0,16,56,0,4,5,0,66,720,41,43,10,10,823,51,4,3,0,0,57,36,7,13,0,0,61,542,33,35,9,3,614,295,15,17,3,26,361,29943,1384,1586,366,292,33579
LGA23940,0,0,0,0,0,0,45,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,7,36,7,3,0,3,50,3,0,0,0,0,6,0,0,0,0,0,0,18,7,4,0,0,20,19,3,13,10,0,41,1624,276,475,266,61,2701
LGA24130,9,0,3,0,0,19,77,0,7,0,0,91,10,0,5,0,0,15,12,3,0,0,0,24,45,15,15,4,5,76,40,9,4,0,0,52,64,0,4,0,0,66,23,4,0,3,0,31,475,88,121,19,0,710,39,15,13,0,0,73,41,6,10,4,0,58,269,38,43,10,3,363,101,14,14,11,12,155,11664,1660,1773,451,166,15711
LGA24210,141,26,21,4,0,188,304,15,7,3,0,335,28,8,8,0,0,40,154,17,21,3,0,193,224,35,42,5,0,301,363,25,20,4,0,413,135,29,27,0,4,185,113,7,13,0,0,139,605,90,82,21,0,798,75,9,19,3,0,102,254,35,26,14,0,332,957,147,141,28,12,1281,86,11,11,0,6,115,24732,3435,2770,730,149,31820
LGA24250,9,0,0,0,0,7,8,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,4,9,0,3,0,0,12,0,0,0,0,0,0,11,0,0,0,0,11,3,0,0,0,0,6,103,12,20,8,4,144,8,3,0,0,0,14,3,0,0,0,0,8,35,13,8,0,0,50,36,3,15,4,7,59,2855,363,469,180,62,3929
LGA24330,215,16,34,4,4,266,985,13,19,0,0,1028,132,10,3,0,0,154,97,13,12,0,3,125,177,9,15,0,0,205,383,18,7,0,4,414,99,12,4,0,0,117,156,12,16,0,4,185,965,80,73,4,4,1126,147,6,11,0,0,175,2455,333,306,88,33,3208,3171,216,265,41,33,3718,127,7,5,3,9,152,36885,2657,2520,379,225,42663
LGA24410,147,9,3,0,0,161,427,12,8,3,4,442,63,5,3,0,0,81,110,10,8,0,0,130,288,29,22,4,0,342,544,38,25,0,0,602,71,4,4,0,0,81,172,19,12,3,0,207,1512,186,133,22,7,1855,147,19,17,0,0,181,325,31,26,4,3,394,1911,122,105,32,34,2204,128,7,12,3,8,166,39095,3828,2957,522,232,46629
LGA24600,2997,62,43,9,13,3128,9186,58,51,9,19,9322,1107,39,46,7,3,1201,2877,59,46,7,0,2999,4406,109,88,10,9,4624,7962,125,63,10,22,8185,1483,39,39,7,9,1580,1966,66,51,11,3,2100,20187,553,468,44,42,21292,3542,90,84,12,6,3723,6912,219,148,71,49,7402,29912,733,764,125,160,31688,918,47,36,21,80,1103,476458,13491,9846,1730,1524,503044
LGA24650,255,55,68,5,4,383,846,36,53,19,3,950,58,12,5,0,4,75,60,4,4,0,0,70,134,9,12,0,0,150,319,54,57,3,0,433,21,0,0,0,0,17,109,10,9,0,0,134,708,54,54,13,10,821,75,4,8,4,0,87,580,97,100,18,16,803,2380,342,273,70,47,3098,108,23,8,4,12,162,30969,3291,2603,553,265,37682
LGA24780,15,0,0,0,0,19,230,0,3,0,0,240,5,0,0,0,0,3,12,0,0,0,0,13,76,5,8,0,0,88,46,0,0,0,0,47,67,3,0,0,0,77,86,8,3,4,3,101,309,17,22,9,6,362,26,4,4,0,0,30,113,9,7,14,0,134,456,30,23,14,10,532,210,19,28,19,32,308,19860,1543,1544,630,321,23895
LGA24850,27,5,0,0,0,38,94,3,9,0,0,108,0,0,0,0,0,7,13,0,0,0,0,16,47,3,7,0,0,59,57,5,0,0,0,64,8,0,0,0,0,11,24,0,8,0,0,32,322,20,32,14,0,384,29,3,5,0,0,39,23,0,9,0,0,27,224,31,35,16,0,305,108,7,13,6,12,139,11162,1018,1086,319,121,13705
LGA24900,10,5,0,0,0,11,123,4,0,0,3,126,6,0,0,0,0,6,0,0,0,0,0,3,22,3,0,0,0,31,23,3,0,0,0,30,46,0,0,0,0,46,35,0,4,3,0,42,150,18,22,10,4,198,7,4,0,0,0,9,11,0,8,0,0,17,101,15,9,3,0,121,110,15,26,12,6,169,8777,994,1022,445,173,11409
LGA24970,559,43,68,9,3,677,1752,22,18,5,3,1804,310,29,34,5,0,382,617,27,37,6,0,692,934,64,42,10,0,1057,3366,274,193,37,23,3896,317,23,31,9,0,392,394,14,13,4,0,428,3703,163,122,27,9,4027,502,13,27,5,0,545,1805,136,115,24,17,2096,6546,374,307,58,42,7319,298,16,13,7,28,355,103315,6922,4821,1136,497,116697
LGA25060,185,9,14,0,0,209,552,16,14,3,0,592,62,6,5,5,0,78,79,10,12,0,6,101,132,6,10,0,0,144,334,34,21,4,4,398,49,3,7,0,0,58,183,14,29,3,0,220,708,94,78,13,4,910,113,16,19,0,4,148,795,79,100,25,8,1016,1960,214,205,35,32,2447,119,12,3,0,7,143,33081,3647,3027,548,238,40540
LGA25150,9,3,0,0,0,16,74,0,0,0,5,82,8,0,0,0,0,8,8,0,0,0,0,9,22,9,4,4,4,33,46,3,4,0,0,54,0,0,0,0,0,0,24,0,0,0,0,28,244,34,47,14,0,332,18,0,3,4,0,29,95,11,8,3,0,114,296,29,28,7,4,369,53,5,12,7,8,82,7474,986,874,319,99,9746
LGA25250,346,95,172,29,4,644,580,12,23,0,3,628,67,11,10,0,0,82,105,4,6,3,0,117,113,18,24,0,0,151,415,25,21,11,5,478,70,11,4,0,0,91,174,19,17,0,6,213,840,129,178,14,7,1170,203,31,41,0,0,274,629,69,90,21,5,818,2324,287,341,65,23,3044,130,13,9,0,9,167,34407,4086,4851,648,268,44261
LGA25340,54,3,3,0,0,60,544,7,7,3,9,572,42,9,14,0,0,64,44,8,6,6,0,58,234,39,37,12,4,321,257,20,16,4,0,293,52,0,0,0,3,59,182,17,20,0,3,225,2813,511,488,76,33,3922,170,37,27,7,0,241,158,17,21,9,4,203,1433,163,166,40,27,1830,332,52,56,23,33,490,44901,6236,5607,1103,629,58473
LGA25430,0,0,0,0,0,0,51,0,0,0,0,51,5,0,0,0,0,6,0,0,0,0,0,8,19,3,5,0,0,30,19,0,0,0,0,18,0,0,0,0,0,0,19,0,3,0,0,21,158,26,69,11,5,271,13,0,10,0,0,20,8,0,0,3,0,13,160,8,14,4,3,193,70,3,20,5,11,114,5797,525,1064,182,108,7670
LGA25490,0,0,0,0,0,0,63,0,0,0,0,69,0,0,0,0,0,0,3,0,0,0,0,3,13,3,5,0,0,25,18,0,0,0,0,18,4,0,0,0,0,4,13,0,0,0,0,11,79,12,20,7,0,123,11,0,0,0,0,14,9,0,0,0,0,9,58,0,3,8,4,74,58,11,24,14,5,109,4329,591,1166,390,165,6639
LGA25620,0,0,0,0,0,0,23,0,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8,3,0,23,10,0,0,0,0,9,3,0,0,0,0,8,6,0,0,0,0,8,108,15,32,17,6,183,8,0,0,0,0,14,5,0,3,0,0,12,54,11,13,3,6,89,52,0,14,3,3,72,3301,477,653,249,71,4757
LGA25710,24,4,0,0,0,23,64,3,3,0,0,69,11,0,11,0,0,25,16,8,7,0,0,29,65,13,12,0,0,89,80,11,7,0,0,100,7,0,0,0,0,14,30,3,5,0,0,34,387,104,98,17,3,615,46,10,10,0,0,65,48,6,12,0,0,69,310,55,55,13,0,440,32,3,6,7,5,57,10671,2079,1842,315,99,15013
LGA25810,6,0,0,0,0,3,87,0,0,0,0,87,0,0,0,0,0,0,3,4,0,0,0,4,10,3,0,0,0,14,12,0,0,0,0,14,74,3,0,0,10,88,11,0,4,0,0,16,58,8,13,6,0,88,5,0,0,0,0,6,0,0,0,3,0,5,81,5,13,4,0,104,57,0,4,0,3,67,3995,341,477,180,86,5082
LGA25900,412,29,66,7,6,514,1123,7,14,7,4,1162,183,24,26,0,0,240,302,18,21,0,0,337,693,79,49,0,3,815,963,48,33,11,4,1057,168,11,16,0,4,201,394,27,26,3,0,453,2943,371,245,27,16,3602,512,60,62,8,0,640,843,61,52,18,11,989,5046,441,442,44,42,6019,164,15,17,6,19,227,66550,6483,4464,678,345,78518
LGA25990,0,0,0,0,0,0,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,3,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,49,8,5,4,4,65,4,0,0,0,0,3,6,0,0,0,0,4,17,4,5,0,0,26,24,4,3,5,3,36,1462,203,268,188,34,2158
LGA26080,3,0,0,0,0,3,8,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,7,3,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,54,7,3,0,0,64,3,0,0,0,0,6,0,0,0,0,0,0,24,3,0,4,0,34,11,4,0,0,5,18,1222,152,157,39,20,1590
LGA26170,3,0,0,0,0,7,60,0,0,0,0,66,9,0,0,0,0,11,4,0,5,0,0,6,18,3,7,3,3,29,23,0,8,0,0,28,24,0,0,0,0,24,11,0,5,3,0,17,250,36,61,18,6,375,19,3,5,0,0,35,13,0,5,0,0,20,114,15,24,9,6,164,126,30,34,12,18,220,8217,940,1740,511,242,11645
LGA26260,3,0,0,0,0,3,22,0,0,0,0,29,4,0,0,0,0,4,5,0,0,0,0,5,35,5,0,0,0,37,8,0,0,0,0,7,3,0,0,0,0,3,4,0,9,0,0,11,124,11,17,8,5,157,16,3,4,0,0,24,4,3,0,0,0,7,59,6,6,0,0,80,66,0,5,10,15,100,5704,474,964,389,148,7685
LGA26350,184,11,11,3,0,208,902,6,15,0,0,928,134,29,19,3,0,188,252,18,18,0,0,293,505,88,60,10,0,667,874,43,31,7,3,957,185,15,11,0,0,216,358,22,15,7,0,398,1835,238,208,28,9,2309,359,40,35,10,3,441,734,72,43,13,4,863,3290,332,300,49,26,3992,114,20,12,10,9,158,50037,5659,4029,812,253,60787
LGA26430,10,0,0,0,0,5,30,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,11,0,0,0,0,11,4,0,0,0,0,4,7,0,0,0,0,3,78,16,14,7,0,114,0,3,0,0,0,7,9,0,0,0,0,7,62,4,13,5,0,75,58,0,9,7,11,87,2842,348,516,277,68,4045
LGA26490,8,0,0,0,0,10,81,0,5,0,0,86,4,0,0,0,0,6,11,0,0,0,0,15,41,12,13,4,0,71,30,5,4,0,0,41,7,0,0,0,0,7,30,0,0,0,0,31,302,81,81,19,4,481,34,16,5,4,0,61,19,0,0,0,0,24,229,26,24,11,6,291,49,13,10,5,4,87,8340,1440,1551,360,90,11779
