POW_LGA_CODE_2021,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_NegNilInc_E,P_NegNilInc_OM_IE,P_NegNilInc_OM_UIE,P_NegNilInc_CFW,P_NegNilInc_ES_NS,P_NegNilInc_Tot,P_1_149_E,P_1_149_OM_IE,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000_3499_E,P_3000_3499_OM_IE,P_3000_3499_OM_UIE,P_3000_3499_CFW,P_3000_3499_ES_NS,P_3000_3499_Tot,P_3500mo_E,P_3500mo_OM_IE,P_3500mo_OM_UIE,P_3500mo_CFW,P_3500mo_ES_NS,P_3500mo_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA22490,249,126,22,2155,9,0,11,43,0,62,126,4,28,18,0,174,131,8,32,18,0,182,135,23,42,14,5,224,149,31,37,24,3,240,263,38,58,16,8,386,330,35,65,30,7,463,391,43,75,16,10,529,463,65,76,11,11,627,312,54,67,11,4,452,227,59,35,11,4,343,152,49,28,6,0,232,211,67,39,13,4,336,38,32,9,0,0,78,36,46,22,0,0,104,34,9,17,7,4,68,3007,554,642,241,54,4492
LGA22620,1203,349,147,27091,138,12,19,94,6,273,1599,13,66,41,10,1723,1429,30,125,55,10,1648,1279,38,168,62,23,1578,1816,77,211,56,30,2186,3438,140,303,71,47,3998,4555,160,320,52,41,5125,6360,262,362,48,40,7073,6663,349,329,41,29,7409,4840,307,266,22,29,5469,4284,303,217,28,27,4861,2964,223,159,15,14,3370,4187,409,199,25,12,4833,626,169,57,10,4,870,720,345,110,16,6,1195,354,24,28,19,42,466,45254,2864,2940,660,362,52077
LGA22670,1202,436,212,43283,390,49,30,190,14,671,1518,37,65,49,8,1678,1907,60,162,80,15,2220,2222,152,223,74,24,2699,2872,183,286,67,21,3430,4930,295,396,97,56,5769,8702,500,424,87,85,9797,15781,731,559,79,106,17258,18270,832,580,75,90,19843,12980,642,374,34,48,14084,10008,783,288,36,39,11147,6704,531,192,21,25,7473,9623,861,218,31,25,10761,1599,306,58,9,3,1975,2185,766,145,19,15,3127,975,98,61,22,91,1245,100655,6836,4056,959,668,113178
LGA22750,3127,692,316,61711,291,31,77,199,15,616,3746,36,170,68,22,4051,3407,66,315,103,23,3913,3372,119,375,104,43,4008,4498,175,430,100,60,5259,7270,300,621,103,76,8368,9312,418,703,84,61,10586,12609,587,796,79,76,14145,14458,832,931,91,79,16386,10903,718,681,63,60,12435,9260,818,572,57,49,10757,6789,580,352,34,31,7782,10827,1088,515,55,39,12531,1662,367,137,19,19,2203,2274,966,428,41,25,3734,889,88,55,24,99,1149,101577,7176,7154,1230,767,117909
LGA22830,669,270,122,15571,108,14,30,91,10,253,844,7,28,31,7,920,708,18,80,44,13,864,699,53,107,47,31,938,1074,73,113,50,11,1322,1883,115,166,49,37,2244,2853,184,180,41,37,3307,3943,213,211,56,46,4476,4311,276,216,45,39,4886,3058,201,140,20,29,3455,2403,228,119,28,15,2789,1558,151,103,9,7,1829,2083,264,105,19,12,2484,289,95,22,6,0,411,384,217,60,21,4,691,251,29,32,32,34,377,26445,2142,1723,605,332,31250
LGA22910,401,121,39,2843,12,3,12,23,0,56,126,5,19,17,0,168,148,16,34,22,6,234,147,14,69,32,5,263,206,25,67,21,15,333,355,46,108,22,17,550,438,44,102,22,3,606,542,52,113,21,7,737,524,62,106,14,6,720,317,53,70,5,4,453,277,54,59,8,4,408,125,36,44,9,4,216,185,69,41,4,3,304,39,17,17,5,0,77,43,46,31,3,0,132,25,6,12,9,11,62,3518,547,903,245,96,5311
LGA22980,92,55,3,1036,8,5,0,14,0,24,37,0,0,3,0,48,34,0,3,14,0,55,44,7,12,12,0,67,57,5,17,9,0,88,126,8,24,14,0,173,186,4,32,11,4,240,292,12,45,12,0,359,289,11,44,11,5,358,168,17,26,8,0,227,127,21,30,8,6,192,52,12,19,0,0,92,104,29,39,3,5,176,21,4,8,0,0,32,20,15,14,11,0,57,18,0,5,8,4,36,1590,148,324,142,29,2233
LGA23110,986,226,68,14949,126,25,17,63,3,227,874,7,58,12,5,955,925,16,83,25,3,1048,930,70,104,37,7,1149,1132,59,110,28,13,1339,1825,136,204,37,9,2215,2484,168,242,32,19,2947,3998,217,248,41,32,4538,4401,303,298,28,24,5055,3357,233,215,21,20,3851,2924,318,165,17,12,3436,2127,242,120,11,0,2497,3901,387,193,14,12,4508,870,139,58,4,5,1076,1026,341,113,22,0,1500,282,41,12,8,27,367,31184,2703,2229,405,194,36710
LGA23190,244,133,46,4934,23,0,9,23,0,54,276,0,13,17,3,315,240,8,31,15,5,288,243,8,35,25,9,318,358,6,46,10,3,422,619,20,47,16,10,724,829,45,61,24,17,970,1199,73,84,26,14,1389,1333,90,103,30,13,1567,886,55,63,36,6,1050,758,70,65,14,11,915,432,49,28,15,3,525,595,91,51,9,7,754,75,36,11,5,0,126,95,68,40,14,3,224,59,11,9,14,14,108,8015,647,688,277,120,9749
LGA23270,1612,491,223,41493,416,40,62,170,14,705,2016,28,121,52,19,2231,2453,72,208,81,26,2841,2501,140,280,93,33,3043,3208,223,369,90,33,3913,5422,355,518,99,52,6454,8238,540,586,83,76,9512,12997,782,725,82,97,14680,14678,942,731,63,97,16512,10816,736,448,41,45,12083,8978,891,315,41,32,10252,5885,588,249,8,18,6757,9383,892,291,32,21,10623,1657,292,67,8,6,2038,2304,613,132,18,8,3071,963,121,56,21,114,1268,91905,7254,5169,972,688,105989
LGA23350,288,123,22,2681,16,6,13,41,3,78,198,0,22,20,4,244,146,7,36,20,3,211,108,20,44,19,3,198,175,24,58,22,5,284,275,30,68,32,17,419,377,29,64,29,4,506,462,52,73,17,10,620,600,59,91,18,3,781,455,52,57,18,5,590,360,51,44,4,4,463,270,35,29,5,5,347,319,69,52,8,3,444,53,21,12,0,0,87,24,27,15,4,7,79,35,4,3,10,4,59,3882,492,693,280,69,5420
LGA23430,1933,482,177,36736,266,56,39,167,11,543,2369,27,107,45,7,2554,2296,73,188,72,19,2641,2192,137,253,72,32,2690,2675,154,271,79,33,3214,4462,306,461,82,40,5351,6275,454,473,85,36,7333,9937,627,573,74,71,11283,10943,776,604,77,50,12448,8233,684,453,46,28,9442,6233,817,401,43,20,7520,4093,587,258,31,13,4983,6630,1113,352,40,24,8159,1261,405,89,19,9,1776,1890,834,181,23,9,2930,636,73,66,18,85,874,70378,7136,4770,991,480,83752
LGA23670,1664,417,110,33148,226,41,36,108,6,420,2002,24,131,49,5,2224,2128,60,187,70,5,2450,1905,126,265,100,11,2405,2135,151,272,70,15,2641,3788,269,391,78,25,4554,5330,345,406,74,21,6173,8197,493,509,69,43,9304,9483,630,506,60,40,10719,7057,533,383,33,20,8020,5765,638,329,26,22,6773,3778,444,230,13,12,4465,6112,770,291,18,12,7194,1227,281,84,8,0,1601,1655,564,152,8,3,2385,557,80,46,14,42,740,61337,5440,4220,801,283,72079
LGA23810,681,195,129,17003,113,6,15,65,3,208,955,14,41,32,12,1052,863,20,72,26,8,992,879,33,109,31,23,1072,1219,30,117,29,23,1413,2120,66,152,45,25,2411,2822,94,172,18,23,3126,3692,132,179,27,27,4063,4007,198,169,31,29,4434,3040,134,146,15,20,3345,2793,167,121,8,23,3114,2096,96,50,6,13,2269,3308,190,107,3,11,3612,717,57,31,3,7,810,1008,132,62,7,6,1215,324,22,40,13,35,433,29943,1384,1586,366,292,33579
LGA23940,149,122,24,1117,5,0,17,41,0,67,58,0,8,12,5,81,38,3,22,25,3,95,57,8,24,24,0,110,82,16,32,15,3,147,130,31,53,16,3,232,179,23,57,23,4,282,261,40,57,21,13,393,270,39,70,15,9,411,185,27,31,8,4,258,117,28,26,16,3,199,75,16,22,10,0,125,107,22,30,11,0,173,13,5,6,0,0,24,19,8,7,4,0,35,29,10,12,17,6,71,1624,276,475,266,61,2701
LGA24130,880,252,69,8474,27,14,19,71,0,133,732,6,41,34,9,826,567,13,88,45,7,725,488,34,96,39,13,666,589,34,107,37,18,785,1051,89,149,45,15,1349,1215,122,188,26,15,1564,1462,131,207,24,13,1838,1498,205,226,40,20,1987,1078,184,174,27,8,1466,935,196,120,7,0,1260,654,125,95,10,7,893,893,216,127,19,11,1260,164,101,40,4,5,313,181,178,75,12,6,456,132,13,22,10,11,191,11664,1660,1773,451,166,15711
LGA24210,1227,418,78,17656,105,31,25,107,5,269,1476,23,94,47,4,1643,1485,52,119,56,8,1720,1327,116,178,66,7,1697,1420,127,181,53,14,1783,2098,195,237,78,7,2609,2343,291,261,53,13,2971,2674,280,323,49,7,3343,2997,365,348,59,19,3791,2204,305,218,29,6,2763,1869,313,206,27,10,2432,1216,252,150,22,0,1645,2234,452,206,29,7,2920,424,168,62,15,0,668,620,456,147,18,6,1247,230,26,24,14,27,321,24732,3435,2770,730,149,31820
LGA24250,179,79,27,2040,7,0,3,27,0,38,123,0,8,6,0,136,109,8,17,8,5,143,115,4,21,14,4,162,140,15,24,11,3,198,247,28,35,12,7,333,351,26,53,12,3,449,397,47,62,11,3,519,453,44,58,21,6,585,274,33,54,12,0,383,215,24,35,8,3,284,139,24,27,6,3,198,211,37,35,7,5,294,24,17,10,5,0,52,32,40,14,7,4,91,24,10,6,7,8,52,2855,363,469,180,62,3929
LGA24330,1048,181,88,21881,174,13,29,66,6,286,1141,10,43,18,0,1220,1357,18,71,29,9,1487,1470,64,151,31,14,1725,1637,90,163,32,9,1929,2681,126,227,32,20,3077,3328,178,260,38,17,3824,4582,234,297,28,38,5176,5049,317,350,28,18,5766,3919,241,240,15,14,4427,3332,269,181,16,17,3822,2464,227,122,11,8,2828,3649,374,198,16,7,4250,718,139,58,6,4,921,1066,315,111,7,0,1501,331,27,13,6,40,422,36885,2657,2520,379,225,42663
LGA24410,1305,280,89,23485,128,31,20,103,7,288,1672,17,96,35,10,1822,1654,36,132,38,6,1863,1420,70,154,48,14,1699,1784,121,191,43,11,2150,2811,204,239,43,22,3318,3680,246,312,43,24,4306,5016,325,317,36,16,5707,5943,418,371,38,20,6801,4295,380,296,22,18,5008,3465,470,223,16,12,4184,2296,303,144,12,9,2766,3344,576,227,13,18,4175,503,198,80,0,0,791,712,397,121,12,4,1240,369,42,41,10,40,503,39095,3828,2957,522,232,46629
LGA24600,3672,848,655,241241,1182,109,102,310,47,1748,3133,65,175,76,31,3480,5152,100,268,92,53,5662,6332,219,313,132,65,7058,8079,249,342,125,75,8874,13762,404,548,132,92,14931,18059,578,617,123,112,19490,28544,771,724,128,137,30300,47780,1049,802,160,138,49927,49696,881,644,77,96,51384,53379,1046,514,95,109,55137,46607,887,406,48,69,48022,106849,1861,895,74,104,109773,30517,937,386,26,38,31913,54302,4157,2987,87,102,61632,3082,176,133,48,265,3703,476458,13491,9846,1730,1524,503044
LGA24650,946,290,111,18364,170,23,34,94,4,327,1375,24,78,47,4,1523,1370,36,125,40,9,1575,1133,68,156,56,16,1431,1446,104,188,37,9,1784,2239,183,272,47,22,2763,2973,312,295,52,34,3667,4045,408,301,53,38,4845,4488,490,367,44,28,5416,3525,350,244,25,11,4154,2768,346,166,20,18,3317,1870,243,124,7,4,2241,2462,334,136,16,9,2958,365,126,38,0,5,531,408,207,63,4,8,692,325,34,27,15,43,449,30969,3291,2603,553,265,37682
LGA24780,591,279,132,12125,67,11,22,84,8,190,657,10,24,19,11,720,577,12,63,45,13,709,591,31,71,49,19,771,847,37,106,45,20,1059,1559,81,151,61,40,1892,2251,135,154,57,29,2629,3107,142,185,56,35,3528,3258,213,212,55,29,3765,2086,173,133,25,21,2433,1739,159,137,31,20,2088,1050,130,82,14,7,1291,1437,174,93,22,10,1741,171,65,28,4,3,278,235,144,55,22,10,467,220,20,28,31,37,338,19860,1543,1544,630,321,23895
LGA24850,465,173,48,7088,55,5,9,66,0,139,502,7,22,19,9,558,458,25,59,31,6,575,391,27,65,30,11,521,531,27,64,21,4,648,925,69,114,29,14,1151,1125,77,97,21,10,1322,1397,95,142,19,11,1667,1565,148,156,18,14,1902,1193,103,95,13,14,1414,1025,120,82,15,0,1241,651,72,51,11,0,786,976,101,74,0,5,1157,130,48,9,6,0,189,116,86,37,12,0,250,132,13,11,15,18,190,11162,1018,1086,319,121,13705
