POW_LGA_CODE_2021,M_NegNilInc_E,M_NegNilInc_OM_IE,M_NegNilInc_OM_UIE,M_NegNilInc_CFW,M_NegNilInc_ES_NS,M_NegNilInc_Tot,M_1_149_E,M_1_149_OM_IE,M_1_149_OM_UIE,M_1_149_CFW,M_1_149_ES_NS,M_1_149_Tot,M_150_299_E,M_150_299_OM_IE,M_150_299_OM_UIE,M_150_299_CFW,M_150_299_ES_NS,M_150_299_Tot,M_300_399_E,M_300_399_OM_IE,M_300_399_OM_UIE,M_300_399_CFW,M_300_399_ES_NS,M_300_399_Tot,M_400_499_E,M_400_499_OM_IE,M_400_499_OM_UIE,M_400_499_CFW,M_400_499_ES_NS,M_400_499_Tot,M_500_649_E,M_500_649_OM_IE,M_500_649_OM_UIE,M_500_649_CFW,M_500_649_ES_NS,M_500_649_Tot,M_650_799_E,M_650_799_OM_IE,M_650_799_OM_UIE,M_650_799_CFW,M_650_799_ES_NS,M_650_799_Tot,M_800_999_E,M_800_999_OM_IE,M_800_999_OM_UIE,M_800_999_CFW,M_800_999_ES_NS,M_800_999_Tot,M_1000_1249_E,M_1000_1249_OM_IE,M_1000_1249_OM_UIE,M_1000_1249_CFW,M_1000_1249_ES_NS,M_1000_1249_Tot,M_1250_1499_E,M_1250_1499_OM_IE,M_1250_1499_OM_UIE,M_1250_1499_CFW,M_1250_1499_ES_NS,M_1250_1499_Tot,M_1500_1749_E,M_1500_1749_OM_IE,M_1500_1749_OM_UIE,M_1500_1749_CFW,M_1500_1749_ES_NS,M_1500_1749_Tot,M_1750_1999_E,M_1750_1999_OM_IE,M_1750_1999_OM_UIE,M_1750_1999_CFW,M_1750_1999_ES_NS,M_1750_1999_Tot,M_2000_2999_E,M_2000_2999_OM_IE,M_2000_2999_OM_UIE,M_2000_2999_CFW,M_2000_2999_ES_NS,M_2000_2999_Tot,M_3000_3499_E,M_3000_3499_OM_IE,M_3000_3499_OM_UIE,M_3000_3499_CFW,M_3000_3499_ES_NS,M_3000_3499_Tot,M_3500mo_E,M_3500mo_OM_IE,M_3500mo_OM_UIE,M_3500mo_CFW,M_3500mo_ES_NS,M_3500mo_Tot,M_PersInc_NS_E,M_PersInc_NS_OM_IE,M_PersInc_NS_OM_UIE,M_PersInc_NS_CFW,M_PersInc_NS_ES_NS,M_PersInc_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_NegNilInc_E,F_NegNilInc_OM_IE,F_NegNilInc_OM_UIE,F_NegNilInc_CFW,F_NegNilInc_ES_NS,F_NegNilInc_Tot,F_1_149_E,F_1_149_OM_IE,F_1_149_OM_UIE,F_1_149_CFW,F_1_149_ES_NS,F_1_149_Tot,F_150_299_E,F_150_299_OM_IE,F_150_299_OM_UIE,F_150_299_CFW,F_150_299_ES_NS,F_150_299_Tot,F_300_399_E,F_300_399_OM_IE,F_300_399_OM_UIE,F_300_399_CFW,F_300_399_ES_NS,F_300_399_Tot,F_400_499_E,F_400_499_OM_IE,F_400_499_OM_UIE,F_400_499_CFW,F_400_499_ES_NS,F_400_499_Tot,F_500_649_E,F_500_649_OM_IE,F_500_649_OM_UIE,F_500_649_CFW,F_500_649_ES_NS,F_500_649_Tot,F_650_799_E,F_650_799_OM_IE,F_650_799_OM_UIE,F_650_799_CFW,F_650_799_ES_NS,F_650_799_Tot,F_800_999_E,F_800_999_OM_IE,F_800_999_OM_UIE,F_800_999_CFW,F_800_999_ES_NS,F_800_999_Tot,F_1000_1249_E,F_1000_1249_OM_IE,F_1000_1249_OM_UIE,F_1000_1249_CFW,F_1000_1249_ES_NS,F_1000_1249_Tot,F_1250_1499_E,F_1250_1499_OM_IE,F_1250_1499_OM_UIE,F_1250_1499_CFW,F_1250_1499_ES_NS,F_1250_1499_Tot,F_1500_1749_E,F_1500_1749_OM_IE,F_1500_1749_OM_UIE,F_1500_1749_CFW,F_1500_1749_ES_NS,F_1500_1749_Tot,F_1750_1999_E,F_1750_1999_OM_IE,F_1750_1999_OM_UIE,F_1750_1999_CFW,F_1750_1999_ES_NS,F_1750_1999_Tot,F_2000_2999_E,F_2000_2999_OM_IE,F_2000_2999_OM_UIE,F_2000_2999_CFW,F_2000_2999_ES_NS,F_2000_2999_Tot,F_3000_3499_E,F_3000_3499_OM_IE,F_3000_3499_OM_UIE,F_3000_3499_CFW,F_3000_3499_ES_NS,F_3000_3499_Tot,F_3500mo_E,F_3500mo_OM_IE,F_3500mo_OM_UIE,F_3500mo_CFW,F_3500mo_ES_NS,F_3500mo_Tot,F_PersInc_NS_E,F_PersInc_NS_OM_IE,F_PersInc_NS_OM_UIE,F_PersInc_NS_CFW,F_PersInc_NS_ES_NS,F_PersInc_NS_Tot,F_Tot_E,F_Tot_OM_IE
LGA21270,4,0,4,19,0,29,23,0,3,5,0,42,18,5,0,4,0,31,27,0,3,13,3,42,26,11,12,16,0,64,39,9,16,10,3,79,77,15,24,23,0,138,110,24,34,21,4,193,166,37,25,15,3,254,111,25,22,7,4,163,76,26,11,3,0,112,47,14,9,8,3,79,71,19,17,9,3,115,12,3,3,3,0,20,6,23,8,5,0,39,19,4,3,10,5,31,829,219,197,154,34,1432,4,0,0,14,0,14,38,0,4,0,5,47,31,5,8,5,0,42,41,3,4,13,0,55,63,7,12,5,3,95,108,4,11,15,0,136,132,5,5,6,0,154,115,15,8,9,0,149,124,10,19,10,3,169,84,8,3,0,0,96,54,12,4,0,0,67,35,7,0,0,0,48,43,5,6,0,0,48,4,0,0,0,0,9,6,4,0,0,0,12,7,0,0,3,0,18,882,78
LGA21370,17,13,17,32,8,96,252,8,23,14,0,290,129,7,27,16,8,182,119,13,44,26,9,207,178,18,63,18,14,280,329,46,83,27,8,496,447,68,87,23,18,647,843,82,109,20,9,1066,1095,110,118,31,14,1375,692,83,78,9,9,871,592,101,85,6,11,796,397,48,57,6,9,511,608,105,49,10,3,777,81,38,18,4,0,147,99,84,35,10,6,233,71,10,26,3,20,128,5942,834,914,259,145,8098,24,0,11,39,4,79,323,4,19,16,6,365,267,14,32,27,9,352,275,13,35,32,7,365,383,17,43,20,14,476,724,44,73,25,12,888,998,54,64,23,15,1150,1044,53,73,21,7,1197,979,57,79,20,8,1137,649,27,49,6,4,729,489,42,29,3,5,577,298,16,12,3,0,332,327,42,27,4,3,405,34,14,0,3,0,47,40,16,23,9,3,86,64,0,12,10,10,95,6924,409
LGA21450,45,20,12,61,4,132,541,0,20,9,4,569,355,19,34,18,9,438,250,37,62,25,6,383,386,49,80,27,6,549,626,89,136,25,8,881,864,131,137,19,13,1164,1547,199,200,31,19,1996,1914,270,250,39,19,2486,1345,226,206,20,14,1811,1080,289,175,8,15,1569,803,202,82,4,3,1102,1138,310,119,16,12,1595,186,104,35,4,3,334,224,196,51,8,6,487,157,35,10,4,26,238,11458,2171,1619,317,168,15729,61,10,15,61,0,150,811,13,67,32,3,924,697,19,106,33,10,857,626,44,106,33,9,826,880,61,117,38,3,1100,1410,71,135,32,18,1661,1804,95,144,35,19,2093,1871,110,145,28,10,2169,1675,120,114,17,17,1946,1143,88,72,7,3,1313,795,80,65,16,0,955,490,51,41,5,0,594,591,82,61,6,0,747,77,23,12,3,0,120,71,63,22,5,0,162,119,5,7,10,10,150,13121,937
LGA21610,143,26,38,77,3,284,1142,13,42,25,4,1221,1066,31,81,36,7,1221,837,67,173,34,12,1127,964,116,193,56,16,1335,1595,255,328,45,17,2236,2188,419,413,51,23,3097,3723,626,561,46,29,4992,4398,743,610,48,27,5817,3440,660,428,36,25,4585,2761,625,331,19,23,3755,1887,426,214,19,11,2561,2941,656,297,31,10,3934,513,218,85,0,0,818,627,427,145,8,4,1212,361,61,37,9,49,518,28572,5375,3968,536,267,38718,192,17,44,125,0,385,1883,16,150,70,7,2130,2059,35,212,62,16,2383,1923,68,234,50,19,2297,2364,84,253,68,19,2783,3789,150,318,68,19,4343,4812,183,327,56,31,5418,5558,232,319,54,17,6187,4940,223,239,22,11,5435,3407,181,160,33,11,3792,2726,155,103,11,10,3009,1696,111,72,10,0,1890,1982,198,101,18,4,2311,208,70,41,10,0,324,210,146,76,4,0,440,361,15,21,5,26,425,38111,1893
LGA21670,7,0,0,11,0,19,61,3,3,3,5,76,42,8,6,8,5,60,44,4,23,7,6,78,68,6,10,0,6,96,97,10,20,9,3,139,150,19,28,9,5,211,280,21,35,3,11,352,270,23,20,0,4,318,171,24,13,8,5,221,122,24,16,4,0,171,62,7,9,0,0,80,116,11,6,5,0,138,24,3,0,0,0,28,18,19,8,0,0,43,24,5,3,0,0,32,1547,192,216,62,49,2058,13,0,3,9,0,24,90,0,4,5,0,96,74,6,7,5,4,96,102,3,21,7,3,138,117,11,8,3,0,147,249,7,27,3,4,283,320,13,17,3,3,357,313,10,26,0,0,353,310,9,11,0,5,327,144,3,0,4,0,156,137,8,0,0,4,147,69,3,5,0,0,80,95,0,7,0,3,107,13,3,3,0,0,13,10,4,5,0,0,23,25,0,0,0,0,29,2076,85
LGA21750,21,0,14,23,6,63,144,0,8,9,4,163,90,4,20,11,8,133,72,11,28,16,3,130,123,12,38,23,5,199,209,23,56,16,3,303,324,41,67,19,3,453,672,42,75,20,11,815,870,64,72,8,11,1030,528,62,52,8,5,657,365,41,45,5,8,457,240,34,43,5,3,319,326,70,42,4,10,454,52,26,10,3,0,88,54,36,28,3,0,128,46,6,17,3,10,80,4139,471,612,169,87,5480,7,0,3,28,0,40,184,0,9,12,0,208,176,11,32,12,0,231,205,10,39,12,0,275,243,11,34,13,5,302,481,10,39,19,3,548,537,27,46,6,3,621,700,23,59,16,3,802,665,24,34,6,5,733,357,22,24,5,0,411,254,23,25,4,3,304,126,5,17,5,3,157,181,14,18,3,3,229,26,10,4,0,0,37,18,17,12,0,0,56,39,4,11,5,14,70,4201,216
LGA21830,4,3,12,35,8,64,71,5,3,9,4,93,54,8,22,17,4,105,38,6,22,12,0,83,69,27,31,15,9,156,124,20,47,14,13,225,176,32,77,14,8,302,328,36,79,13,14,474,487,51,89,9,13,655,310,45,55,15,0,436,260,44,51,9,8,362,184,40,27,9,0,258,278,45,52,6,0,384,54,23,11,4,7,98,98,44,47,13,9,210,49,4,25,12,14,106,2589,437,666,202,114,4010,3,0,4,22,4,39,126,4,9,10,0,149,117,5,20,20,0,166,106,4,27,12,5,152,182,15,25,5,0,230,274,14,37,14,8,344,336,21,43,12,4,423,351,22,47,14,6,441,316,31,48,9,6,414,229,6,33,11,0,285,187,18,28,5,4,241,92,16,12,5,0,121,119,12,19,9,0,156,15,10,4,0,0,29,20,18,18,9,3,75,37,7,9,9,9,66,2511,191
LGA21890,62,21,21,55,3,160,522,13,41,11,3,594,501,23,67,20,7,616,519,52,109,17,10,700,658,66,137,22,7,893,1109,129,222,30,18,1508,1504,157,255,28,10,1953,2391,273,314,19,17,3015,2996,310,328,33,29,3703,2334,278,241,12,9,2873,2086,313,184,13,16,2612,1602,209,160,14,6,1988,2658,425,194,15,6,3303,516,138,58,0,0,723,649,354,109,4,7,1125,206,38,22,8,36,315,20311,2825,2457,300,189,26082,81,5,23,54,5,161,826,12,79,26,0,938,1033,29,123,19,9,1207,1155,61,123,26,8,1371,1296,35,157,37,11,1541,2148,87,203,25,17,2481,2648,100,218,29,20,3010,3192,107,220,22,16,3566,3229,141,218,25,10,3617,2520,88,158,13,3,2785,2099,111,140,9,0,2359,1419,75,94,0,0,1598,1878,146,126,7,3,2157,268,61,47,5,0,386,298,99,68,0,0,464,210,12,22,5,10,259,24303,1157
LGA22110,16,3,16,37,4,78,221,0,19,19,3,271,139,8,22,18,6,197,144,21,49,37,9,252,222,30,83,23,15,367,450,51,102,26,18,649,618,63,109,28,25,847,950,100,119,30,10,1210,1117,122,147,17,25,1427,715,89,95,14,15,928,558,93,101,6,3,779,365,57,40,12,4,479,486,78,58,6,10,638,75,24,22,9,3,132,101,57,33,10,6,205,69,8,19,11,17,127,6249,803,1026,318,180,8572,25,3,12,34,4,82,282,0,19,22,12,336,264,13,32,29,13,353,384,13,52,42,13,503,454,20,61,25,7,569,939,32,81,21,21,1097,1139,36,82,24,21,1306,1145,45,81,12,14,1294,1040,47,74,27,12,1196,664,39,47,8,10,765,537,31,38,4,4,620,321,23,21,8,3,378,361,30,25,8,4,431,48,16,11,4,0,79,30,24,16,3,3,83,71,3,14,10,12,110,7717,376
LGA22170,82,19,27,53,4,177,674,14,23,17,6,735,538,15,54,23,3,643,464,40,76,21,13,611,522,57,91,23,9,697,923,97,142,29,8,1206,1364,153,182,20,14,1730,2355,259,216,18,25,2876,2780,375,287,19,21,3481,2191,328,218,14,4,2754,1900,351,187,8,12,2457,1396,259,152,9,12,1825,2069,483,169,12,14,2752,337,168,35,0,0,542,509,348,104,5,3,969,235,48,26,8,30,340,18336,3009,1991,279,185,23800,108,3,19,59,3,192,889,9,69,31,5,996,1045,24,91,28,4,1196,1030,31,121,35,7,1225,1352,47,129,34,12,1574,2312,61,176,43,16,2605,2938,106,195,18,15,3275,3709,117,185,10,13,4030,3556,145,166,15,8,3888,2576,94,115,13,5,2803,2075,115,97,13,5,2307,1356,73,48,10,3,1488,1521,126,70,11,3,1729,192,53,20,6,0,273,231,82,63,3,0,380,230,14,17,7,22,286,25130,1100
LGA22250,3,0,11,28,0,48,34,0,4,6,0,40,22,3,12,20,0,60,25,12,19,14,3,72,38,12,24,14,3,97,80,17,24,17,3,141,125,21,35,11,10,201,218,36,26,3,11,293,271,38,31,11,5,366,158,26,22,0,3,210,104,24,25,3,0,152,62,18,16,4,0,94,99,22,10,0,4,142,18,9,4,0,3,29,17,19,21,0,0,60,12,3,6,7,3,46,1302,261,291,141,51,2049,4,0,4,22,0,28,56,6,3,9,0,69,54,3,16,7,0,75,65,0,18,12,0,103,104,4,9,11,8,139,170,9,19,14,0,220,220,14,15,5,6,263,213,15,19,4,5,258,180,17,14,7,5,218,135,14,6,0,3,155,89,10,14,0,0,112,51,3,7,4,0,61,54,8,3,0,0,66,5,3,0,0,0,11,5,0,5,3,0,19,15,0,9,3,3,25,1422,112
