POW_LGA_CODE_2021,P_M1_Tram_or_LR_15_24,P_M1_Tram_or_LR_25_34,P_M1_Tram_or_LR_35_44,P_M1_Tram_or_LR_45_54,P_M1_Tram_or_LR_55_64,P_M1_Tram_or_LR_65_74,P_M1_Tram_or_LR_75ov,P_M1_Tram_or_LR_Tot,P_M1_Taxi_or_RSS_15_24,P_M1_Taxi_or_RSS_25_34,P_M1_Taxi_or_RSS_35_44,P_M1_Taxi_or_RSS_45_54,P_M1_Taxi_or_RSS_55_64,P_M1_Taxi_or_RSS_65_74,P_M1_Taxi_or_RSS_75ov,P_M1_Taxi_or_RSS_Tot,P_M1_CarAsDriv_15_24,P_M1_CarAsDriv_25_34,P_M1_CarAsDriv_35_44,P_M1_CarAsDriv_45_54,P_M1_CarAsDriv_55_64,P_M1_CarAsDriv_65_74,P_M1_CarAsDriv_75ov,P_M1_CarAsDriv_Tot,P_M1_CarAsPas_15_24,P_M1_CarAsPas_25_34,P_M1_CarAsPas_35_44,P_M1_CarAsPas_45_54,P_M1_CarAsPas_55_64,P_M1_CarAsPas_65_74,P_M1_CarAsPas_75ov,P_M1_CarAsPas_Tot,P_M1_Truck_15_24,P_M1_Truck_25_34,P_M1_Truck_35_44,P_M1_Truck_45_54,P_M1_Truck_55_64,P_M1_Truck_65_74,P_M1_Truck_75ov,P_M1_Truck_Tot,P_M1_MBikeScoot_15_24,P_M1_MBikeScoot_25_34,P_M1_MBikeScoot_35_44,P_M1_MBikeScoot_45_54,P_M1_MBikeScoot_55_64,P_M1_MBikeScoot_65_74,P_M1_MBikeScoot_75ov,P_M1_MBikeScoot_Tot,P_M1_Bicycle_15_24,P_M1_Bicycle_25_34,P_M1_Bicycle_35_44,P_M1_Bicycle_45_54,P_M1_Bicycle_55_64,P_M1_Bicycle_65_74,P_M1_Bicycle_75ov,P_M1_Bicycle_Tot,P_M1_Other_15_24,P_M1_Other_25_34,P_M1_Other_35_44,P_M1_Other_45_54,P_M1_Other_55_64,P_M1_Other_65_74,P_M1_Other_75ov,P_M1_Other_Tot,P_M1_WlkOnly_15_24,P_M1_WlkOnly_25_34,P_M1_WlkOnly_35_44,P_M1_WlkOnly_45_54,P_M1_WlkOnly_55_64,P_M1_WlkOnly_65_74,P_M1_WlkOnly_75ov,P_M1_WlkOnly_Tot,P_M1_Tot_M1_15_24,P_M1_Tot_M1_25_34,P_M1_Tot_M1_35_44,P_M1_Tot_M1_45_54,P_M1_Tot_M1_55_64,P_M1_Tot_M1_65_74,P_M1_Tot_M1_75ov,P_M1_Tot_M1_Tot,P_M2_TrnBus_15_24,P_M2_TrnBus_25_34,P_M2_TrnBus_35_44,P_M2_TrnBus_45_54,P_M2_TrnBus_55_64,P_M2_TrnBus_65_74,P_M2_TrnBus_75ov,P_M2_TrnBus_Tot,P_M2_TrnFer_15_24,P_M2_TrnFer_25_34,P_M2_TrnFer_35_44,P_M2_TrnFer_45_54,P_M2_TrnFer_55_64,P_M2_TrnFer_65_74,P_M2_TrnFer_75ov,P_M2_TrnFer_Tot,P_M2_TrnTrm_or_LR_15_24,P_M2_TrnTrm_or_LR_25_34,P_M2_TrnTrm_or_LR_35_44,P_M2_TrnTrm_or_LR_45_54,P_M2_TrnTrm_or_LR_55_64,P_M2_TrnTrm_or_LR_65_74,P_M2_TrnTrm_or_LR_75ov,P_M2_TrnTrm_or_LR_Tot,P_M2_TrnCarAsDriv_15_24,P_M2_TrnCarAsDriv_25_34,P_M2_TrnCarAsDriv_35_44,P_M2_TrnCarAsDriv_45_54,P_M2_TrnCarAsDriv_55_64,P_M2_TrnCarAsDriv_65_74,P_M2_TrnCarAsDriv_75ov,P_M2_TrnCarAsDriv_Tot,P_M2_TrnCarAsPas_15_24,P_M2_TrnCarAsPas_25_34,P_M2_TrnCarAsPas_35_44,P_M2_TrnCarAsPas_45_54,P_M2_TrnCarAsPas_55_64,P_M2_TrnCarAsPas_65_74,P_M2_TrnCarAsPas_75ov,P_M2_TrnCarAsPas_Tot,P_M2_TrnOth_15_24,P_M2_TrnOth_25_34,P_M2_TrnOth_35_44,P_M2_TrnOth_45_54,P_M2_TrnOth_55_64,P_M2_TrnOth_65_74,P_M2_TrnOth_75ov,P_M2_TrnOth_Tot,P_M2_Train_and_Tot_15_24,P_M2_Train_and_Tot_25_34,P_M2_Train_and_Tot_35_44,P_M2_Train_and_Tot_45_54,P_M2_Train_and_Tot_55_64,P_M2_Train_and_Tot_65_74,P_M2_Train_and_Tot_75ov,P_M2_Train_and_Tot_Tot,P_M2_BusFer_15_24,P_M2_BusFer_25_34,P_M2_BusFer_35_44,P_M2_BusFer_45_54,P_M2_BusFer_55_64,P_M2_BusFer_65_74,P_M2_BusFer_75ov,P_M2_BusFer_Tot,P_M2_BusTrm_or_LR_15_24,P_M2_BusTrm_or_LR_25_34,P_M2_BusTrm_or_LR_35_44,P_M2_BusTrm_or_LR_45_54,P_M2_BusTrm_or_LR_55_64,P_M2_BusTrm_or_LR_65_74,P_M2_BusTrm_or_LR_75ov,P_M2_BusTrm_or_LR_Tot,P_M2_BusCarAsDriv_15_24,P_M2_BusCarAsDriv_25_34,P_M2_BusCarAsDriv_35_44,P_M2_BusCarAsDriv_45_54,P_M2_BusCarAsDriv_55_64,P_M2_BusCarAsDriv_65_74,P_M2_BusCarAsDriv_75ov,P_M2_BusCarAsDriv_Tot,P_M2_BusCarAsPas_15_24,P_M2_BusCarAsPas_25_34,P_M2_BusCarAsPas_35_44,P_M2_BusCarAsPas_45_54,P_M2_BusCarAsPas_55_64,P_M2_BusCarAsPas_65_74,P_M2_BusCarAsPas_75ov,P_M2_BusCarAsPas_Tot,P_M2_BusOth_15_24,P_M2_BusOth_25_34,P_M2_BusOth_35_44,P_M2_BusOth_45_54,P_M2_BusOth_55_64,P_M2_BusOth_65_74,P_M2_BusOth_75ov,P_M2_BusOth_Tot,P_M2_BusTot_15_24,P_M2_BusTot_25_34,P_M2_BusTot_35_44,P_M2_BusTot_45_54,P_M2_BusTot_55_64,P_M2_BusTot_65_74,P_M2_BusTot_75ov,P_M2_BusTot_Tot,P_M2_Other_M2_15_24,P_M2_Other_M2_25_34,P_M2_Other_M2_35_44,P_M2_Other_M2_45_54,P_M2_Other_M2_55_64,P_M2_Other_M2_65_74,P_M2_Other_M2_75ov,P_M2_Other_M2_Tot,P_M2_Tot_M2_15_24,P_M2_Tot_M2_25_34,P_M2_Tot_M2_35_44,P_M2_Tot_M2_45_54,P_M2_Tot_M2_55_64,P_M2_Tot_M2_65_74,P_M2_Tot_M2_75ov,P_M2_Tot_M2_Tot
LGA21270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,250,257,330,366,145,10,1516,33,16,14,5,3,6,0,69,0,0,4,5,5,5,0,17,0,0,0,0,4,0,0,6,7,0,0,5,8,0,0,12,3,0,3,11,7,5,0,31,32,35,28,59,90,24,8,281,237,311,307,417,480,175,18,1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,6,0,25,4,0,4,4,4,6,0,25
LGA21370,0,0,0,0,0,0,0,0,5,8,0,3,0,0,0,13,1260,2050,2046,2500,2284,560,51,10751,430,111,62,63,56,16,3,745,11,19,18,21,22,6,0,103,10,7,23,18,26,8,0,101,32,19,20,36,32,6,0,146,12,14,7,16,17,9,0,66,132,118,104,140,166,77,16,754,1891,2339,2287,2797,2616,687,73,12699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,7,21,23,20,16,17,4,0,100,21,22,21,25,17,4,0,106
LGA21450,0,0,0,0,0,0,0,0,11,17,21,5,0,0,3,59,2781,4730,4157,3821,2589,601,83,18757,1125,254,147,121,95,20,9,1761,20,73,71,63,50,16,3,294,6,5,0,18,5,4,0,40,19,14,16,7,9,0,0,66,18,31,36,23,15,11,0,133,165,90,98,87,95,48,11,589,4234,5268,4567,4182,2874,699,107,21927,19,20,5,8,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,3,0,0,23,6,0,4,3,0,0,0,14,3,4,3,0,0,0,0,10,34,33,14,9,3,0,0,101,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,15,0,0,0,0,0,0,12,3,4,0,0,3,0,0,5,14,8,0,4,3,0,0,25,58,71,37,30,23,8,0,230,110,113,53,46,31,10,0,362
LGA21610,3,0,5,0,0,0,0,3,96,71,70,23,11,3,0,279,7055,12116,11650,9831,6754,1470,124,49004,2755,578,394,358,276,67,14,4431,42,153,209,164,129,36,6,735,21,29,21,22,21,0,0,118,54,22,19,22,21,6,0,134,41,113,130,73,71,15,4,450,267,138,139,165,121,30,11,876,10687,13486,12779,10755,7462,1638,166,56954,87,55,29,25,19,3,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,6,6,3,0,0,48,11,4,10,0,0,0,0,29,7,16,3,4,0,0,0,36,114,102,51,38,21,5,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,6,3,5,0,0,32,87,10,10,5,4,0,0,113,12,11,0,0,0,0,0,27,107,26,20,9,10,0,0,178,171,135,90,82,38,10,0,522,400,267,158,128,71,13,0,1040
LGA21670,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,10,335,543,512,703,663,203,27,2972,122,41,28,19,19,6,3,237,3,3,5,8,8,3,0,28,0,3,0,0,5,0,0,10,5,0,0,5,11,3,0,27,0,0,3,0,4,0,0,13,40,37,23,46,43,26,0,217,513,636,572,778,748,249,25,3519,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,0,0,0,0,14,7,6,9,6,0,0,0,19
LGA21750,0,0,0,0,0,0,0,0,4,13,9,0,0,0,0,28,828,1398,1323,1451,1242,353,39,6632,302,136,51,38,36,14,0,572,0,3,7,15,4,10,3,45,0,8,9,3,6,4,0,33,12,11,11,17,20,0,0,66,0,8,15,12,14,10,3,62,97,106,83,113,130,56,15,587,1250,1691,1496,1648,1453,446,61,8046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,8,21,9,6,10,0,0,52,17,24,10,6,7,0,0,63
LGA21830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,815,820,961,885,259,43,4295,139,33,19,25,35,9,0,263,0,6,15,20,20,5,5,68,7,13,19,18,16,5,4,88,5,0,3,8,9,9,0,38,3,12,12,17,16,9,3,67,69,66,67,122,141,56,18,538,746,947,961,1168,1128,355,73,5374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,3,0,3,6,3,0,29,8,3,0,5,10,3,0,34
LGA21890,95,121,36,24,15,3,0,306,23,49,21,12,6,6,0,115,3000,6638,5872,5862,4463,1102,110,27041,808,316,165,176,142,44,9,1659,10,31,35,49,48,15,3,188,22,72,26,13,17,6,0,150,135,251,163,144,72,10,0,776,23,49,51,44,40,18,0,224,307,327,200,187,159,38,10,1228,4784,8248,6775,6635,5045,1267,142,32880,69,90,40,26,31,8,0,274,0,0,0,0,0,0,0,0,15,37,4,0,7,0,0,64,8,17,18,10,3,0,0,62,13,14,3,0,4,0,0,26,3,12,10,5,5,5,0,44,117,171,81,48,52,13,0,477,0,0,0,0,0,0,0,0,37,28,14,16,10,0,0,105,6,7,7,5,0,0,0,16,28,10,0,4,0,0,0,45,9,12,5,0,0,4,0,25,74,52,31,25,10,4,0,197,66,83,60,53,34,10,3,300,255,307,169,119,95,27,3,972
LGA22110,0,0,0,0,0,0,0,0,6,4,3,9,4,0,0,19,1190,2108,2163,2574,2531,712,71,11354,449,109,85,73,68,25,8,816,0,8,13,31,29,14,4,109,0,3,8,15,10,4,4,49,19,13,19,21,25,0,0,91,14,18,19,31,24,18,0,120,112,99,89,113,168,73,21,668,1807,2380,2394,2870,2854,850,112,13275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,3,0,5,0,0,0,14,26,34,25,27,36,13,3,161,29,39,25,32,36,13,3,176
LGA22170,0,0,0,0,0,0,0,0,40,34,22,13,8,0,0,105,3993,7492,6980,6927,5197,1220,118,31921,1301,344,195,180,154,40,7,2231,15,37,61,78,62,31,0,289,21,15,14,29,15,11,0,101,53,19,41,49,30,3,0,189,20,31,43,26,28,7,0,160,198,129,112,109,105,31,13,699,5839,8261,7548,7480,5672,1351,143,36287,37,29,23,12,11,4,0,116,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,3,7,6,3,5,0,0,27,4,0,0,0,0,0,0,4,0,0,0,4,0,0,0,9,56,36,35,17,19,3,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,3,0,0,17,49,5,4,0,7,0,0,61,6,5,3,0,0,0,0,20,57,13,10,6,7,0,0,99,76,48,37,36,14,9,0,222,194,96,74,61,40,16,0,487
LGA22250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,410,477,553,594,178,26,2482,75,16,13,9,14,3,0,132,0,4,3,8,9,4,0,27,0,5,5,11,7,4,0,35,10,0,3,5,10,5,4,31,0,5,0,9,10,0,0,29,40,27,44,46,71,25,12,271,370,461,550,648,716,218,46,3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,3,0,0,0,28,5,6,4,3,0,0,0,28
LGA22310,77,93,45,15,23,5,0,252,23,26,13,4,7,0,0,73,2166,4285,3818,3819,2919,995,108,18112,578,236,127,108,108,50,0,1205,6,17,11,17,25,17,3,92,21,38,12,6,13,0,0,90,73,69,31,55,48,4,0,286,12,51,36,53,28,11,0,196,429,254,183,189,189,73,15,1322,3688,5470,4456,4388,3441,1167,138,22751,79,55,35,23,18,0,0,211,0,0,0,0,0,0,0,0,51,73,24,9,16,0,0,171,14,13,18,10,13,0,0,70,9,8,4,3,0,0,0,27,11,11,5,4,0,0,0,28,163,165,82,54,42,5,0,508,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,23,0,3,6,0,0,0,0,11,9,5,0,3,0,0,0,24,0,5,0,0,0,0,0,5,17,24,12,5,0,0,0,61,44,56,45,28,18,3,0,203,221,244,133,83,59,13,6,760
LGA22410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,581,931,1017,1303,1199,320,42,5393,200,41,34,39,33,10,6,357,5,10,10,11,11,8,5,58,4,3,9,4,5,10,0,32,6,3,3,4,14,0,0,36,0,7,5,4,3,3,0,28,56,49,51,55,70,40,15,335,846,1045,1138,1420,1334,399,67,6251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,4,8,0,0,40,6,9,8,4,8,3,0,46
LGA22490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,591,606,563,350,102,17,2585,109,31,17,15,4,8,3,190,3,6,14,29,13,8,5,78,3,4,0,0,0,0,0,9,6,0,0,0,0,0,0,8,0,0,4,3,0,5,0,15,26,20,21,31,46,28,13,174,518,647,668,634,420,142,34,3064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,9,3,4,0,4,3,0,16,9,3,4,0,3,3,0,25
LGA22620,3,0,0,0,0,0,0,3,7,20,17,15,5,3,0,66,4551,7502,7094,6911,5706,1240,96,33100,1387,394,226,234,175,52,12,2471,7,42,48,56,69,22,9,256,31,24,22,31,29,6,0,143,49,66,68,77,60,11,0,322,13,25,27,25,29,12,0,135,253,264,169,228,242,72,18,1246,6474,8422,7737,7614,6343,1426,129,38139,4,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,6,0,0,15,0,0,3,0,0,0,0,4,0,0,8,3,3,0,0,10,8,7,8,8,3,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,0,0,0,0,17,41,6,3,0,4,0,0,50,4,12,3,0,0,0,0,14,53,19,10,5,7,0,0,89,63,61,40,30,34,3,0,232,124,85,56,38,47,10,0,357
LGA22670,3,7,0,8,0,0,0,16,87,88,44,44,30,3,0,306,6873,17844,18081,18476,13943,3115,235,78571,2001,1006,581,592,513,152,18,4864,41,150,192,174,163,44,8,761,43,92,54,78,58,8,0,328,22,52,55,59,40,11,0,235,63,145,121,85,79,23,3,516,173,169,104,90,106,37,10,686,9786,20084,19504,19813,15067,3422,273,87950,144,201,84,56,48,13,0,548,0,0,0,0,0,0,0,0,4,10,3,4,0,0,0,27,16,34,27,20,12,6,0,119,17,27,11,4,5,0,0,61,18,15,17,4,7,0,0,54,196,290,142,87,66,18,0,804,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,12,18,9,12,8,0,0,49,65,18,12,9,6,0,0,113,14,17,6,6,7,0,0,45,90,47,25,22,17,5,0,209,142,190,137,101,70,22,0,657,436,532,302,208,154,43,4,1667
LGA22750,0,3,0,0,0,3,0,5,84,81,69,29,22,8,0,291,9779,17070,15116,15109,11516,2568,250,71407,2921,814,456,371,361,104,8,5036,24,74,87,119,96,42,5,430,57,56,42,54,54,10,0,272,128,158,140,184,140,28,3,775,30,75,74,68,55,26,0,338,549,483,349,432,407,136,22,2377,13996,19173,16540,16495,12773,2955,293,82217,17,37,12,6,4,0,0,80,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,6,11,20,11,6,4,0,57,9,6,5,0,0,0,0,16,6,7,10,10,0,0,0,32,39,70,46,27,8,7,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,5,13,14,3,0,54,55,23,12,4,8,0,0,96,19,20,10,5,0,0,0,56,83,59,22,23,19,5,0,212,145,148,88,105,60,15,0,557,269,274,157,152,84,23,3,965
LGA22830,3,0,0,0,0,0,0,8,14,17,9,9,6,0,0,56,2564,4781,4376,4642,3911,963,95,21330,891,323,185,158,136,31,6,1730,6,26,30,52,40,16,3,168,7,10,10,24,30,6,0,89,27,40,31,49,38,13,0,198,5,16,24,28,20,18,0,112,138,180,129,173,205,76,13,915,3675,5409,4808,5142,4396,1127,125,24690,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,4,0,0,13,0,0,0,0,0,0,0,5,9,0,4,5,4,0,0,24,42,42,30,29,15,6,5,166,56,42,40,32,15,6,3,201
LGA22910,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,265,527,551,708,597,135,12,2803,120,28,23,9,16,5,0,198,0,5,5,15,12,5,0,43,0,0,0,3,0,0,0,3,0,7,3,4,5,0,0,19,0,0,8,9,10,5,6,33,21,32,35,46,73,39,19,267,417,605,621,793,708,190,39,3374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,3,0,0,0,7,0,6,0,0,3,0,0,15,3,10,3,4,3,5,0,30
LGA22980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,310,242,250,319,74,20,1335,26,17,6,14,4,0,0,72,0,0,0,0,5,5,4,13,6,4,0,4,0,0,0,6,9,0,5,0,3,0,0,12,0,0,0,5,17,0,0,18,27,39,29,32,62,28,6,223,189,367,283,306,398,110,36,1684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,10
LGA23110,4,4,3,0,0,0,0,12,23,30,17,8,3,0,0,82,2075,5356,5262,4934,3714,777,67,22184,733,290,171,132,93,26,0,1432,15,42,51,53,43,12,0,213,4,28,22,18,14,0,0,87,53,46,60,49,34,8,3,247,14,34,28,31,13,11,0,130,154,78,74,92,102,21,4,531,3282,6172,5797,5388,4056,865,79,25637,57,73,28,17,17,6,0,200,0,0,0,0,0,0,0,0,13,12,7,0,3,0,0,37,4,16,16,14,6,0,0,56,12,7,3,0,0,0,0,30,5,13,6,0,5,0,0,38,85,125,60,34,36,10,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,8,0,0,19,13,14,0,0,0,0,0,27,0,3,0,0,0,0,0,11,20,23,6,3,8,0,0,59,45,61,36,44,17,7,0,212,154,203,101,88,56,18,0,624
LGA23190,0,0,0,0,0,0,0,0,5,10,0,5,4,0,0,13,771,1425,1225,1394,1318,316,36,6482,269,55,44,35,38,11,6,449,0,0,6,10,7,5,0,30,6,5,6,5,7,0,0,24,36,20,15,15,17,3,0,99,6,10,13,13,6,4,0,49,67,75,39,62,88,32,5,371,1151,1593,1352,1528,1489,369,51,7538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,10,4,11,9,4,4,63,15,16,9,11,11,8,4,72
LGA23270,11,16,10,0,0,0,0,41,59,90,78,48,31,12,0,312,7510,17229,16710,15346,10921,2091,157,69961,2368,890,479,405,347,76,6,4583,52,222,234,186,163,46,9,910,34,81,37,27,34,0,3,226,18,56,55,54,26,3,0,213,54,151,129,95,69,17,4,517,173,122,103,113,104,47,3,670,10610,19252,18010,16420,11794,2312,181,78585,91,100,51,32,31,8,0,314,0,0,0,0,0,0,0,0,4,12,5,5,0,0,0,29,8,36,8,10,7,0,0,76,22,16,5,4,5,0,0,51,7,20,11,3,3,0,0,45,129,180,84,57,46,12,0,518,0,0,0,0,0,0,0,0,0,9,6,6,0,0,0,19,19,32,12,18,17,0,0,102,54,16,11,4,4,0,0,86,12,4,5,0,6,0,0,23,87,61,32,29,29,0,0,231,148,160,103,94,62,14,0,590,363,404,223,180,134,34,0,1339
LGA23350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,514,580,797,666,188,30,3070,107,18,13,16,15,8,0,181,0,6,6,3,6,9,10,37,0,0,0,5,4,5,0,13,0,6,13,3,5,5,0,32,0,3,3,4,9,11,4,29,58,21,36,57,92,58,19,332,468,571,648,882,803,275,53,3698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,4,5,8,6,4,0,0,27,11,5,8,6,4,0,0,27
LGA23430,0,7,7,0,0,0,0,15,45,62,28,26,13,4,0,184,5665,11400,10918,11692,8948,2298,268,51188,1515,631,354,322,287,81,16,3205,13,70,81,82,93,34,3,382,28,61,37,49,34,3,0,224,110,61,63,98,81,14,0,412,32,70,53,78,48,17,0,295,383,188,160,205,179,45,10,1175,8254,12998,11892,12697,9808,2521,296,58466,153,143,57,67,34,15,0,471,0,0,0,0,0,0,0,0,13,24,6,3,3,0,0,48,11,30,15,18,11,0,0,85,30,7,8,8,3,0,0,51,11,17,9,10,8,3,0,51,215,222,95,102,56,19,0,709,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,5,0,9,10,0,0,0,33,41,17,6,5,0,4,0,68,13,6,3,3,6,0,0,28,57,30,11,27,11,4,0,141,97,103,65,49,56,14,0,391,372,356,178,177,114,37,3,1241
