POW_LGA_CODE_2021,Lab_3500mo_A_35_44,Lab_3500mo_A_45_54,Lab_3500mo_A_55_64,Lab_3500mo_A_65_74,Lab_3500mo_A_75ov,Lab_3500mo_Tot,Lab_PINS_A_15_19,Lab_PINS_A_20_24,Lab_PINS_A_25_34,Lab_PINS_A_35_44,Lab_PINS_A_45_54,Lab_PINS_A_55_64,Lab_PINS_A_65_74,Lab_PINS_A_75ov,Lab_PINS_Tot,Lab_Tot_A_15_19,Lab_Tot_A_20_24,Lab_Tot_A_25_34,Lab_Tot_A_35_44,Lab_Tot_A_45_54,Lab_Tot_A_55_64,Lab_Tot_A_65_74,Lab_Tot_A_75ov,Lab_Tot_Tot,OIDNS_NNI_A_15_19,OIDNS_NNI_A_20_24,OIDNS_NNI_A_25_34,OIDNS_NNI_A_35_44,OIDNS_NNI_A_45_54,OIDNS_NNI_A_55_64,OIDNS_NNI_A_65_74,OIDNS_NNI_A_75ov,OIDNS_NNI_T,OIDNS_1_149_A_15_19,OIDNS_1_149_A_20_24,OIDNS_1_149_A_25_34,OIDNS_1_149_A_35_44,OIDNS_1_149_A_45_54,OIDNS_1_149_A_55_64,OIDNS_1_149_A_65_74,OIDNS_1_149_A_75ov,OIDNS_1_149_T,OIDNS_150_299_A_15_19,OIDNS_150_299_A_20_24,OIDNS_150_299_A_25_34,OIDNS_150_299_A_35_44,OIDNS_150_299_A_45_54,OIDNS_150_299_A_55_64,OIDNS_150_299_A_65_74,OIDNS_150_299_A_75ov,OIDNS_150_299_T,OIDNS_300_399_A_15_19,OIDNS_300_399_A_20_24,OIDNS_300_399_A_25_34,OIDNS_300_399_A_35_44,OIDNS_300_399_A_45_54,OIDNS_300_399_A_55_64,OIDNS_300_399_A_65_74,OIDNS_300_399_A_75ov,OIDNS_300_399_T,OIDNS_400_499_A_15_19,OIDNS_400_499_A_20_24,OIDNS_400_499_A_25_34,OIDNS_400_499_A_35_44,OIDNS_400_499_A_45_54,OIDNS_400_499_A_55_64,OIDNS_400_499_A_65_74,OIDNS_400_499_A_75ov,OIDNS_400_499_T,OIDNS_500_649_A_15_19,OIDNS_500_649_A_20_24,OIDNS_500_649_A_25_34,OIDNS_500_649_A_35_44,OIDNS_500_649_A_45_54,OIDNS_500_649_A_55_64,OIDNS_500_649_A_65_74,OIDNS_500_649_A_75ov,OIDNS_500_649_T,OIDNS_650_799_A_15_19,OIDNS_650_799_A_20_24,OIDNS_650_799_A_25_34,OIDNS_650_799_A_35_44,OIDNS_650_799_A_45_54,OIDNS_650_799_A_55_64,OIDNS_650_799_A_65_74,OIDNS_650_799_A_75ov,OIDNS_650_799_T,OIDNS_800_999_A_15_19,OIDNS_800_999_A_20_24,OIDNS_800_999_A_25_34,OIDNS_800_999_A_35_44,OIDNS_800_999_A_45_54,OIDNS_800_999_A_55_64,OIDNS_800_999_A_65_74,OIDNS_800_999_A_75ov,OIDNS_800_999_T,OIDNS_1000_1249_A_15_19,OIDNS_1000_1249_A_20_24,OIDNS_1000_1249_A_25_34,OIDNS_1000_1249_A_35_44,OIDNS_1000_1249_A_45_54,OIDNS_1000_1249_A_55_64,OIDNS_1000_1249_A_65_74,OIDNS_1000_1249_A_75ov,OIDNS_1000_1249_T,OIDNS_1250_1499_A_15_19,OIDNS_1250_1499_A_20_24,OIDNS_1250_1499_A_25_34,OIDNS_1250_1499_A_35_44,OIDNS_1250_1499_A_45_54,OIDNS_1250_1499_A_55_64,OIDNS_1250_1499_A_65_74,OIDNS_1250_1499_A_75ov,OIDNS_1250_1499_T,OIDNS_1500_1749_A_15_19,OIDNS_1500_1749_A_20_24,OIDNS_1500_1749_A_25_34,OIDNS_1500_1749_A_35_44,OIDNS_1500_1749_A_45_54,OIDNS_1500_1749_A_55_64,OIDNS_1500_1749_A_65_74,OIDNS_1500_1749_A_75ov,OIDNS_1500_1749_T,OIDNS_1750_1999_A_15_19,OIDNS_1750_1999_A_20_24,OIDNS_1750_1999_A_25_34,OIDNS_1750_1999_A_35_44,OIDNS_1750_1999_A_45_54,OIDNS_1750_1999_A_55_64,OIDNS_1750_1999_A_65_74,OIDNS_1750_1999_A_75ov,OIDNS_1750_1999_T,OIDNS_2000_2999_A_15_19,OIDNS_2000_2999_A_20_24,OIDNS_2000_2999_A_25_34,OIDNS_2000_2999_A_35_44,OIDNS_2000_2999_A_45_54,OIDNS_2000_2999_A_55_64,OIDNS_2000_2999_A_65_74,OIDNS_2000_2999_A_75ov,OIDNS_2000_2999_T,OIDNS_3000_3499_A_15_19,OIDNS_3000_3499_A_20_24,OIDNS_3000_3499_A_25_34,OIDNS_3000_3499_A_35_44,OIDNS_3000_3499_A_45_54,OIDNS_3000_3499_A_55_64,OIDNS_3000_3499_A_65_74,OIDNS_3000_3499_A_75ov,OIDNS_3000_3499_T,OIDNS_3500mo_A_15_19,OIDNS_3500mo_A_20_24,OIDNS_3500mo_A_25_34,OIDNS_3500mo_A_35_44,OIDNS_3500mo_A_45_54,OIDNS_3500mo_A_55_64,OIDNS_3500mo_A_65_74,OIDNS_3500mo_A_75ov,OIDNS_3500mo_T,OIDNS_PINS_A_15_19,OIDNS_PINS_A_20_24,OIDNS_PINS_A_25_34,OIDNS_PINS_A_35_44,OIDNS_PINS_A_45_54,OIDNS_PINS_A_55_64,OIDNS_PINS_A_65_74,OIDNS_PINS_A_75ov,OIDNS_PINS_T,OIDNS_Tot_A_15_19,OIDNS_Tot_A_20_24,OIDNS_Tot_A_25_34,OIDNS_Tot_A_35_44,OIDNS_Tot_A_45_54,OIDNS_Tot_A_55_64,OIDNS_Tot_A_65_74,OIDNS_Tot_A_75ov,OIDNS_Tot_Tot,Tot_NNI_A_15_19,Tot_NNI_A_20_24,Tot_NNI_A_25_34,Tot_NNI_A_35_44,Tot_NNI_A_45_54,Tot_NNI_A_55_64,Tot_NNI_A_65_74,Tot_NNI_A_75ov,Tot_NNI_Tot,Tot_1_149_A_15_19,Tot_1_149_A_20_24,Tot_1_149_A_25_34,Tot_1_149_A_35_44,Tot_1_149_A_45_54,Tot_1_149_A_55_64,Tot_1_149_A_65_74,Tot_1_149_A_75ov,Tot_1_149_Tot,Tot_150_299_A_15_19,Tot_150_299_A_20_24,Tot_150_299_A_25_34,Tot_150_299_A_35_44,Tot_150_299_A_45_54
LGA21270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,57,42,56,42,70,78,24,7,373,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,11,6,4,4,4,10,3,3,8,49,7,0,0,5,3,14,5,0,43,60,3,4,3,7,8,0,0,86,20,7,4,8,15
LGA21370,5,3,3,0,0,12,0,3,0,0,10,9,6,0,36,273,220,376,377,462,449,136,22,2304,9,0,5,0,4,0,0,0,15,7,0,0,0,0,0,0,4,12,5,3,0,0,0,0,0,0,11,3,4,4,0,3,4,0,3,22,0,0,0,3,0,5,4,0,12,0,3,3,6,8,7,3,0,26,0,5,5,0,4,5,3,0,25,0,0,6,4,10,10,5,0,36,0,0,6,9,5,7,0,0,31,0,0,0,5,8,0,0,0,12,0,0,5,9,7,0,0,0,21,0,0,0,6,0,0,0,0,9,0,0,0,0,0,4,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,9,8,5,8,0,8,42,23,22,49,41,55,57,27,30,305,31,9,21,18,35,48,14,0,172,504,14,13,20,37,42,18,3,654,190,29,51,49,66
LGA21450,0,5,0,0,0,15,4,7,6,0,7,4,0,0,37,741,521,907,599,614,497,138,20,4034,5,0,3,3,3,8,5,0,24,13,0,5,0,5,0,0,0,23,4,5,6,0,0,0,0,0,19,3,7,3,4,7,0,0,0,17,0,3,5,3,8,3,5,0,28,5,9,7,0,10,0,0,0,38,4,9,17,4,13,6,0,0,50,0,5,21,22,12,14,7,0,82,0,3,18,20,12,13,0,0,76,0,3,10,9,12,3,0,0,44,0,5,7,12,3,6,5,3,41,0,0,7,11,6,7,0,0,31,0,0,8,9,6,0,0,0,25,0,0,4,0,4,0,0,0,5,0,0,0,3,0,5,0,0,12,3,11,22,25,11,11,0,4,83,42,57,141,137,112,67,30,17,606,49,22,38,38,72,43,18,8,288,1178,84,51,62,50,39,26,9,1497,535,220,121,115,113
LGA21610,3,5,4,0,0,24,14,11,11,11,17,11,5,0,78,1462,1181,1805,1482,1377,1142,297,50,8803,9,5,10,15,7,3,0,0,49,19,5,4,8,9,0,0,0,43,10,7,7,8,0,5,5,3,50,0,16,12,14,7,4,3,7,64,4,10,14,9,10,6,5,4,69,11,26,20,19,14,10,0,0,101,0,28,54,30,29,15,8,0,160,0,25,60,47,46,19,3,5,212,5,22,70,49,33,29,10,0,205,0,10,49,38,34,15,0,0,145,0,5,15,38,26,14,3,0,98,0,0,16,16,13,5,0,0,56,0,0,10,21,13,11,7,5,61,0,0,0,4,0,0,0,0,7,0,0,3,3,11,5,0,0,24,14,20,57,52,39,28,7,10,233,79,186,412,375,285,170,52,31,1581,139,63,110,152,109,75,20,5,667,2476,304,146,179,101,91,42,10,3351,1562,771,306,377,248
LGA21670,0,0,0,0,0,0,0,0,0,0,3,3,0,0,11,64,57,112,94,125,154,37,6,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,7,0,0,0,0,0,6,3,3,15,0,0,5,0,0,0,0,0,6,0,0,5,0,0,3,3,0,11,0,0,0,3,3,0,0,0,13,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,12,6,3,16,17,17,25,9,5,91,5,0,5,4,6,13,5,0,42,132,3,8,3,12,16,8,4,178,47,21,19,12,6
LGA21750,0,0,0,0,0,0,3,0,0,0,3,8,0,0,15,233,233,522,326,302,280,84,14,1990,0,0,0,0,0,0,0,0,8,7,0,3,0,0,0,0,0,11,4,0,0,0,0,0,0,0,7,3,0,0,0,0,3,0,0,9,0,0,0,0,0,3,0,3,12,0,0,0,0,0,0,6,0,4,5,0,3,0,4,4,0,0,15,0,3,4,5,3,5,0,0,17,0,0,3,5,10,5,0,0,29,0,0,3,5,0,0,0,0,18,0,0,0,0,8,3,0,0,17,0,0,0,0,0,0,0,0,4,0,0,0,4,4,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,3,0,0,5,11,3,4,3,33,13,5,37,28,42,33,18,14,188,8,5,12,19,22,24,10,8,105,290,7,8,21,7,20,18,10,374,112,25,42,43,47
LGA21830,0,0,0,5,0,9,4,0,4,4,4,5,0,0,24,133,122,209,171,184,196,76,11,1109,0,0,0,0,0,0,3,0,4,5,0,0,0,0,0,0,0,6,4,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,8,3,0,0,0,4,0,6,0,5,0,0,0,8,0,4,0,0,17,0,3,0,4,3,0,0,0,5,0,0,4,0,5,0,0,0,15,0,0,4,3,3,0,4,0,16,0,0,0,4,3,0,0,0,6,0,0,0,0,0,5,0,0,9,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,3,3,5,5,0,19,10,10,16,23,27,21,22,3,138,15,6,9,18,15,18,22,5,100,166,10,9,10,11,21,18,3,238,82,16,25,24,39
LGA21890,3,6,7,0,0,20,8,0,6,7,5,6,0,0,38,469,536,849,576,678,591,167,22,3890,3,0,7,8,11,0,0,0,38,5,6,0,0,4,0,0,0,19,0,5,11,4,0,9,6,0,30,3,10,7,0,0,8,4,0,40,3,4,9,7,7,4,0,0,43,0,14,21,9,12,9,0,4,64,3,10,11,15,12,19,6,0,82,0,6,36,14,20,15,5,0,103,5,9,36,24,25,16,6,0,128,0,4,35,31,19,16,0,0,102,0,0,16,17,14,12,0,0,56,0,0,5,14,9,0,5,0,38,0,0,12,15,14,14,0,0,57,0,0,5,0,0,3,0,0,9,0,0,0,15,4,4,0,0,24,5,23,34,24,21,11,0,8,119,35,95,249,188,169,138,45,15,935,48,28,54,55,66,41,14,10,323,995,224,78,86,75,47,30,0,1525,528,485,227,197,166
LGA22110,0,0,6,0,0,4,4,3,4,4,7,3,7,5,38,258,215,402,402,427,488,158,21,2366,4,5,4,4,0,0,0,0,15,7,0,9,0,0,0,0,0,15,4,0,0,0,4,3,0,0,17,0,0,4,3,3,3,3,0,24,0,0,4,3,0,6,3,0,19,3,3,11,10,4,6,6,0,36,0,5,11,7,4,6,6,3,37,0,4,11,10,18,4,4,0,56,0,6,4,7,6,11,5,0,49,0,0,9,8,9,5,0,0,30,0,0,6,0,0,6,0,0,11,0,0,4,5,4,3,0,0,16,0,0,3,8,3,3,0,0,12,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,0,5,8,3,3,4,5,4,9,6,8,33,28,24,69,65,60,83,37,25,386,26,10,19,16,18,32,26,5,156,432,26,32,21,24,36,23,10,604,163,30,57,59,74
LGA22170,9,6,4,0,0,17,8,7,6,8,5,11,3,0,54,803,611,931,802,839,758,201,42,4985,5,0,13,9,12,10,0,3,48,21,0,4,0,0,0,0,0,34,3,8,0,3,5,0,6,0,30,4,9,0,9,3,0,6,0,29,4,9,0,7,0,4,0,3,32,4,10,13,7,6,5,0,3,50,0,6,26,17,12,9,5,0,80,0,10,35,22,24,11,8,0,122,0,0,36,24,23,14,3,0,113,0,5,19,17,14,9,7,3,75,0,6,16,14,17,11,8,0,69,0,7,5,12,6,8,3,0,43,0,0,15,18,10,6,3,0,50,0,0,0,5,0,0,0,0,9,0,3,4,4,7,4,0,0,22,4,16,30,28,40,22,0,0,141,47,95,223,197,187,117,40,20,930,65,22,60,79,69,56,14,7,373,1311,123,62,78,73,58,26,9,1733,779,356,158,157,151
LGA22250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,46,57,74,77,98,122,38,10,524,0,0,0,0,0,4,0,0,3,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,0,3,0,3,5,3,0,0,13,0,0,0,3,3,0,0,0,10,0,0,3,0,4,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,9,6,4,13,4,19,17,11,5,83,9,0,6,10,20,18,5,0,67,68,7,14,0,15,8,6,0,115,37,9,14,14,8
LGA22310,0,4,4,0,0,15,5,3,6,4,5,0,0,0,17,421,353,553,319,372,349,136,27,2532,3,0,5,7,6,5,3,0,28,5,6,3,4,4,0,0,0,23,9,3,4,3,4,0,0,0,28,5,7,6,9,3,5,0,0,35,0,5,0,0,9,0,5,3,26,0,5,15,9,3,6,7,0,49,0,8,9,10,8,3,0,0,46,0,10,19,8,12,10,4,0,71,0,3,28,25,17,11,7,0,87,0,0,12,20,13,6,3,0,53,0,0,14,15,14,10,0,0,55,0,0,9,12,6,0,0,0,38,0,0,11,24,11,9,0,0,56,0,0,5,6,6,0,3,0,17,0,0,0,13,7,7,9,0,32,0,13,29,27,14,16,9,3,106,25,64,180,193,138,83,49,19,752,39,30,56,81,68,44,22,0,335,995,229,64,75,59,44,34,3,1507,476,467,161,152,128
LGA22410,4,0,4,0,0,7,3,3,4,0,10,0,0,0,17,129,102,158,168,215,237,61,3,1079,3,0,0,3,0,0,0,0,9,6,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,3,0,8,0,0,0,0,0,3,3,3,13,0,0,5,0,8,5,0,0,18,0,5,9,3,0,8,0,0,21,0,4,0,4,0,5,0,0,16,0,0,6,0,3,6,0,0,10,0,0,0,6,3,0,0,3,13,0,0,0,3,4,0,0,0,12,0,0,3,3,8,5,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,9,8,0,0,3,16,14,8,22,40,44,26,17,14,185,9,0,13,16,21,16,9,0,84,208,0,18,13,9,28,4,0,288,87,21,34,34,39
LGA22490,0,3,0,0,0,3,0,0,3,0,0,3,0,0,8,88,84,96,116,143,94,31,11,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,5,0,0,0,4,0,5,0,3,13,0,0,4,0,4,0,0,0,12,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,3,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,7,7,9,11,15,20,14,3,6,76,7,0,7,8,14,15,4,5,62,104,8,6,19,14,13,8,0,174,54,26,24,20,25
LGA22620,0,7,7,0,0,11,8,10,7,9,7,14,0,0,53,885,703,1075,895,860,908,236,33,5599,12,5,3,0,3,4,4,0,28,26,7,0,3,0,3,0,0,35,6,5,4,5,0,4,0,0,24,5,4,6,3,5,3,9,5,33,5,5,4,11,7,9,3,4,42,5,9,15,15,8,6,6,0,68,0,10,19,12,21,13,7,0,78,3,12,26,11,11,18,3,5,82,0,17,18,21,14,25,0,0,94,0,9,10,13,17,11,0,0,65,0,0,11,6,19,12,6,0,56,0,0,11,13,17,7,0,0,51,0,0,9,16,17,3,10,0,53,0,0,0,6,0,0,0,0,3,0,0,3,0,0,0,0,0,9,4,11,17,10,23,12,6,7,102,56,87,161,137,159,136,53,27,814,56,19,48,37,51,35,20,0,273,1401,75,53,58,38,63,30,7,1723,752,248,159,141,109
LGA22670,14,10,12,6,0,48,7,8,22,16,30,17,0,0,101,839,1450,2965,2496,2566,2102,489,45,12952,10,6,15,22,15,12,3,0,80,22,8,8,3,10,0,0,0,55,22,7,12,9,6,8,5,0,64,4,15,17,16,8,10,3,0,80,10,23,23,21,5,8,7,0,99,5,20,28,27,31,19,5,4,147,12,42,53,42,43,37,12,4,243,7,54,120,78,60,46,15,5,382,3,35,116,99,81,56,13,0,401,0,14,84,63,59,29,4,0,259,0,9,45,58,66,41,3,0,222,0,0,35,28,33,13,4,0,119,0,3,24,28,27,21,3,4,106,0,0,5,7,4,0,0,0,20,0,3,8,10,9,11,0,0,34,18,39,88,72,56,37,10,10,326,105,272,681,577,515,354,94,26,2627,108,63,124,130,128,91,28,8,671,1032,236,85,98,96,87,41,3,1678,697,473,273,248,231
LGA22750,13,17,7,0,0,56,14,10,23,11,24,16,13,0,112,1663,1405,2130,1691,1775,1671,525,66,10939,4,4,17,22,7,10,0,0,66,36,9,4,9,5,4,0,0,68,15,9,8,13,3,16,3,0,66,4,11,11,4,13,6,6,6,71,7,19,21,16,11,12,6,6,103,4,21,27,20,28,21,10,8,129,5,22,23,25,18,16,10,0,127,3,23,57,41,37,21,6,4,184,0,23,76,49,46,33,14,0,237,0,10,54,30,40,37,6,0,178,0,4,39,47,40,29,0,0,161,0,4,22,27,35,23,0,3,115,0,0,33,48,34,15,3,0,132,0,0,4,4,15,8,0,0,27,0,3,4,15,20,16,7,4,69,14,26,62,56,69,29,11,9,270,98,189,454,422,415,276,99,47,2000,106,52,112,129,94,86,23,7,616,3156,278,153,135,115,127,71,12,4051,1570,817,375,368,288
LGA22830,8,3,3,0,0,13,5,0,8,9,12,11,8,0,56,441,415,853,725,791,679,208,23,4139,6,0,4,5,4,4,0,0,22,17,0,0,0,0,0,0,0,20,3,3,0,3,3,3,0,5,24,0,0,3,3,5,10,0,3,27,0,4,4,0,7,4,5,7,34,5,8,10,10,6,10,9,0,52,3,10,9,11,11,10,5,0,62,4,7,20,14,13,8,9,0,80,7,0,18,19,13,16,3,0,79,0,0,14,13,11,9,0,0,50,0,0,8,13,4,5,3,0,32,0,0,5,6,11,9,0,0,33,0,0,3,4,7,7,0,0,22,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,3,6,4,4,15,16,18,7,3,6,75,42,50,128,126,112,99,40,29,619,55,14,27,30,50,40,29,3,253,729,36,28,29,34,31,22,4,920,336,108,85,94,81
LGA22910,0,0,0,0,0,0,3,0,3,0,0,3,0,0,6,75,48,91,108,107,135,37,13,620,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,7,0,0,0,0,6,0,0,0,6,0,0,0,0,5,4,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,4,0,0,5,8,0,17,10,18,13,8,3,74,10,5,3,3,10,16,5,4,56,108,9,6,17,7,15,6,0,168,66,24,22,25,22
LGA22980,0,0,0,0,0,0,0,0,0,0,4,4,0,0,7,35,34,94,47,58,75,21,7,370,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,4,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,14,0,9,4,3,4,42,0,0,3,8,0,6,4,5,24,35,0,6,0,3,3,0,0,48,7,5,5,9,12
LGA23110,8,11,9,0,0,44,0,4,6,3,4,8,7,0,37,402,414,875,729,650,596,126,18,3804,4,0,9,12,4,0,0,0,35,9,0,0,0,3,5,0,0,19,0,6,0,3,3,0,5,0,24,0,3,7,6,3,4,0,0,28,3,5,6,4,5,0,5,0,30,0,4,3,13,5,4,3,6,34,0,6,19,7,5,4,5,0,48,0,11,33,20,18,17,0,0,103,6,6,36,18,18,10,0,0,98,0,4,29,16,14,5,0,0,73,0,0,20,23,19,5,0,0,69,0,0,11,14,23,6,4,0,50,0,0,11,22,21,13,7,0,69,0,0,7,3,10,0,0,0,18,0,0,3,6,6,0,3,0,22,4,15,17,17,17,7,3,3,85,25,73,218,189,174,88,24,8,800,38,12,48,42,40,27,9,0,227,694,97,27,53,42,36,15,0,955,371,242,118,119,80
LGA23190,0,3,0,0,0,6,0,4,0,0,0,3,0,0,8,144,105,196,133,160,195,61,12,1001,0,0,0,5,0,0,0,0,5,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,5,0,0,5,0,0,3,0,0,6,0,0,4,5,0,7,0,3,15,0,0,0,3,6,3,0,4,14,0,0,6,0,0,3,0,3,19,0,0,4,9,4,3,0,0,17,0,0,6,3,0,0,0,0,13,0,0,6,4,5,0,0,0,15,0,0,0,3,5,5,0,0,11,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,4,0,4,5,0,0,19,7,5,39,34,32,24,6,16,163,13,0,4,8,10,4,8,0,54,239,18,11,9,13,20,0,4,315,117,27,29,33,27
LGA23270,12,14,10,0,0,63,11,13,24,16,28,19,7,0,111,1134,1406,2740,2246,2253,1733,398,34,11940,8,9,21,22,10,9,0,0,70,24,7,0,11,5,0,3,0,45,11,8,11,8,4,0,7,0,49,3,20,13,5,9,6,4,4,67,10,13,17,13,17,8,6,0,87,8,23,33,38,24,13,8,0,143,9,36,80,69,35,24,5,0,257,13,48,110,91,41,44,6,3,358,4,37,127,90,59,39,8,0,368,0,22,77,82,43,32,4,0,253,0,6,36,65,51,28,0,0,192,0,0,35,26,26,21,7,0,113,0,0,30,45,36,26,3,0,138,0,0,7,0,4,0,0,0,15,0,0,5,12,9,9,4,0,39,21,36,90,70,74,47,3,3,342,111,269,693,647,441,306,74,18,2546,124,51,167,140,106,84,30,0,705,1574,226,119,132,81,64,37,8,2231,1065,621,331,301,246
LGA23350,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,97,60,115,122,188,200,49,7,844,4,0,0,0,0,3,0,0,10,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,11,0,4,0,3,3,4,0,0,17,0,0,0,0,4,3,0,0,6,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,0,0,6,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,4,13,16,21,16,14,8,93,17,0,8,10,14,20,13,0,78,187,3,3,11,15,12,5,3,244,64,12,12,20,30
LGA23430,14,8,3,4,0,31,5,14,12,11,20,12,0,3,74,919,1036,1787,1497,1660,1424,383,57,8772,5,3,14,13,14,6,0,4,58,22,4,5,5,5,4,0,0,45,6,3,4,5,0,4,6,0,36,0,9,11,10,10,4,5,3,55,8,11,14,13,4,16,6,0,68,5,4,25,17,15,4,5,3,71,3,22,38,24,26,29,3,3,143,8,15,65,44,42,31,11,3,208,0,15,73,60,54,40,4,0,253,0,4,41,42,33,21,11,0,152,0,0,23,40,32,27,7,0,132,0,0,18,18,28,12,0,0,78,0,0,19,26,18,12,0,3,79,0,0,10,12,5,0,0,0,24,0,0,7,15,15,4,3,4,45,9,29,60,44,38,24,7,10,219,63,127,411,380,344,229,78,28,1666,90,52,90,104,101,80,28,7,543,1862,294,95,84,90,75,47,13,2554,1006,659,218,222,217
LGA23670,3,3,3,0,0,24,5,3,8,11,9,4,0,0,37,873,846,1283,1115,1221,1183,370,39,6929,6,6,6,12,8,14,4,0,52,19,0,5,9,0,0,0,0,34,6,8,5,3,4,3,0,0,35,0,5,8,6,10,10,3,7,57,3,4,14,8,11,7,0,3,49,3,7,12,9,12,15,6,4,72,0,18,31,20,23,17,4,0,112,0,22,45,52,41,24,6,3,187,4,21,52,51,48,30,5,0,217,0,3,40,36,28,17,8,0,135,0,7,28,35,28,19,3,0,112,0,5,3,17,16,15,0,0,54,0,0,12,15,22,15,0,0,69,0,0,3,10,13,3,4,0,28,0,0,0,7,8,0,0,0,22,7,24,48,39,35,20,7,5,179,51,131,326,318,301,211,60,20,1420,86,30,58,83,63,65,26,5,420,1591,223,100,100,75,87,43,3,2224,955,545,231,198,209
