POW_LGA_CODE_2021,P_OthSvs_H_0,P_OthSvs_H_1_19,P_OthSvs_H_20_29,P_OthSvs_H_30_34,P_OthSvs_H_35_39,P_OthSvs_H_40_44,P_OthSvs_H_45_49,P_OthSvs_H_50ov,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_19,P_IDNS_H_20_29,P_IDNS_H_30_34,P_IDNS_H_35_39,P_IDNS_H_40_44,P_IDNS_H_45_49,P_IDNS_H_50ov,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_19,P_Tot_H_20_29,P_Tot_H_30_34,P_Tot_H_35_39,P_Tot_H_40_44,P_Tot_H_45_49,P_Tot_H_50ov,P_Tot_H_NS,P_Tot_H_Tot
LGA21450,138,261,213,88,202,260,57,150,14,1379,61,163,122,79,313,319,53,147,275,1530,1571,5689,3988,2543,5910,5835,1704,3618,619,31486
LGA21610,318,620,512,241,592,568,159,276,41,3317,118,490,402,206,856,754,164,322,720,4034,3983,14863,11862,7191,16565,14537,4001,7738,1532,82257
LGA21670,12,32,16,12,28,26,6,22,0,164,14,26,19,17,41,31,5,16,35,204,276,799,560,470,873,709,203,447,104,4438
LGA21750,15,59,33,21,75,67,21,41,6,334,21,67,29,22,77,53,12,37,92,413,621,1793,1218,833,1980,1908,592,1356,205,10496
LGA21830,12,22,16,13,26,39,11,33,0,176,17,37,21,3,21,53,19,42,88,300,343,1064,830,528,856,1299,477,1701,242,7344
LGA21890,176,394,306,156,452,416,83,166,27,2177,94,314,254,181,555,466,86,183,467,2608,2706,8966,7322,4588,11714,10223,2710,4803,928,53965
LGA22110,27,111,88,78,128,141,40,72,14,693,51,94,76,45,124,81,19,75,165,735,1054,3012,2417,1761,3211,2961,873,2046,426,17762
LGA22170,207,328,272,165,369,393,93,170,19,2007,96,273,219,142,593,510,110,220,418,2582,2889,8353,7058,5227,10310,10070,2532,4761,846,52045
LGA22250,11,21,15,14,27,31,10,29,0,141,6,18,14,12,36,38,4,23,41,188,171,513,474,330,591,772,234,710,85,3880
LGA22310,154,409,296,135,274,240,95,153,23,1783,65,259,175,107,253,294,49,128,308,1634,1854,8084,6069,3676,7116,7764,1908,3992,613,41076
LGA22410,13,47,34,31,63,63,11,26,0,289,21,45,17,17,33,58,12,26,87,327,454,1310,986,673,1349,1658,411,1175,183,8193
LGA22490,14,41,21,10,25,32,9,18,0,174,7,27,9,10,20,27,7,9,31,146,190,849,511,370,675,887,247,677,90,4492
LGA22620,118,362,266,140,417,399,90,194,13,1995,72,223,153,89,311,319,63,181,353,1767,2882,8196,6611,4901,11061,9388,2744,5501,794,52077
LGA22670,177,459,491,242,1202,1029,299,457,45,4399,203,750,714,483,2550,2088,440,700,1110,9037,3786,11260,11178,7770,30684,26663,7581,12135,2122,113178
LGA22750,302,812,637,299,772,788,186,361,48,4208,163,523,391,286,708,830,179,381,764,4226,6482,20042,15523,10410,23289,23011,6227,11174,1741,117909
LGA22830,68,223,169,95,341,284,79,140,19,1420,63,168,115,64,246,270,66,127,309,1424,1542,4290,3475,2736,6477,6501,1911,3648,659,31250
LGA22910,31,42,44,16,37,29,9,21,0,236,13,43,28,3,32,33,8,18,29,214,369,1127,819,526,724,796,249,612,91,5311
LGA22980,3,4,4,0,4,11,0,8,0,42,3,5,5,4,23,12,5,8,18,78,95,268,234,219,392,464,113,391,42,2233
LGA23110,84,240,259,106,283,284,76,127,17,1480,77,179,218,102,481,477,87,202,306,2124,1599,4916,4205,2622,7680,8006,2312,4717,654,36710
LGA23190,20,68,49,38,98,107,23,39,3,443,16,39,24,22,52,62,15,35,72,323,489,1442,1101,927,2024,1972,543,1088,159,9749
LGA23270,226,479,448,207,772,696,155,268,57,3321,199,674,578,337,1719,1379,288,506,1114,6801,4969,13249,11912,7346,25653,22982,6564,10986,2327,105989
LGA23350,10,28,18,3,16,26,4,28,0,136,19,42,16,10,22,36,7,12,40,198,419,935,674,436,746,1056,299,761,97,5420
LGA23430,210,559,481,243,850,692,186,309,39,3573,157,605,520,330,1562,1317,238,511,691,5936,3679,12286,9811,6295,19359,17978,4671,8381,1295,83752
LGA23670,240,478,348,208,589,696,203,336,21,3120,125,427,369,294,1301,1121,262,406,505,4804,3030,10496,8180,5524,16971,15746,4124,7000,1014,72079
LGA23810,78,197,155,77,264,296,68,140,18,1289,69,129,92,69,212,245,60,139,304,1324,1902,4854,4065,2954,7310,6334,1998,3475,682,33579
LGA23940,4,14,9,0,0,0,9,3,0,36,4,16,14,9,23,20,8,16,41,141,113,390,297,208,304,453,154,700,93,2701
LGA24130,56,129,103,61,70,107,37,78,15,651,32,100,36,36,74,88,25,60,92,552,881,3253,2137,1457,2356,2767,775,1795,286,15711
LGA24210,115,264,241,111,195,177,63,112,9,1291,43,200,144,74,154,183,17,86,222,1114,2018,7332,5031,2657,5195,4966,1423,2726,456,31820
LGA24250,3,23,20,11,21,34,11,22,5,151,8,16,22,13,21,21,4,9,40,146,251,713,558,360,561,634,213,547,93,3929
LGA24330,137,304,272,195,443,273,69,127,25,1843,84,235,207,114,465,402,73,170,431,2186,2354,6912,5594,3805,9080,8019,1968,4148,782,42663
LGA24410,173,370,328,153,405,468,116,219,15,2260,63,252,198,122,573,477,102,220,313,2321,2368,8007,6131,4003,9405,9091,2467,4512,650,46629
LGA24600,595,949,1210,818,2736,1969,534,941,58,9807,757,1260,1175,675,2943,3171,612,1329,3433,15352,25678,35808,38220,29535,122546,146173,33946,64578,6558,503044
LGA24650,122,253,212,100,268,267,69,153,11,1445,63,188,185,99,364,350,62,130,377,1825,1778,6293,4928,2848,7462,7771,2008,3776,816,37682
LGA24780,58,132,109,71,214,193,35,90,13,929,60,120,95,63,201,177,44,80,306,1153,1139,3213,2699,2048,5370,4649,1250,2872,649,23895
LGA24850,43,73,68,43,74,94,25,52,14,487,29,65,54,30,76,92,16,49,125,537,734,2377,1773,1147,2369,2595,760,1639,306,13705
LGA24900,29,66,40,31,72,106,26,62,8,437,26,53,38,16,60,77,17,32,105,424,570,1640,1295,1022,1925,2190,735,1751,286,11409
LGA24970,233,515,430,240,828,678,175,294,29,3426,196,576,517,326,1434,1366,247,518,934,6120,4908,15646,13147,9006,26599,26846,6793,11949,1795,116697
LGA25060,191,368,326,162,337,294,64,147,25,1912,75,187,154,78,307,233,48,111,356,1547,2292,7516,5568,3195,8041,7332,2002,3867,715,40540
LGA25150,29,87,82,30,87,71,28,51,3,478,22,46,49,30,62,80,18,47,93,439,508,1815,1310,824,1601,1707,485,1270,238,9746
LGA25250,200,327,307,188,483,399,121,157,22,2213,72,290,255,156,435,408,69,200,340,2219,2153,8013,6652,4093,8700,7970,1940,3986,758,44261
LGA25340,309,457,397,188,360,377,85,175,29,2382,118,357,225,142,390,359,80,205,430,2293,3829,11400,8358,5266,9808,10274,2870,5602,1061,58473
LGA25430,11,38,27,23,40,51,10,21,0,228,16,56,31,30,43,62,6,20,46,309,416,1415,1074,748,1085,1633,372,781,140,7670
LGA25490,15,44,18,14,14,27,5,20,3,161,13,32,18,16,29,40,14,17,60,231,327,946,645,451,829,1281,480,1496,170,6639
LGA25620,21,35,22,11,22,26,8,14,4,164,13,30,22,20,26,30,7,24,26,203,356,801,608,447,791,831,224,593,99,4757
LGA25710,85,177,124,51,101,125,29,49,7,756,24,96,59,38,67,105,17,58,79,539,900,3525,2126,1320,2166,2642,665,1460,196,15013
LGA25810,6,25,12,6,23,32,9,3,6,119,12,22,16,3,17,21,5,12,36,146,318,797,531,430,862,970,239,818,112,5082
LGA25900,235,446,490,289,708,607,150,268,24,3228,131,344,301,217,773,943,218,439,523,3897,3317,8635,8180,5110,16603,20090,5197,10290,1107,78518
LGA25990,0,7,5,0,9,10,4,11,0,53,0,7,0,0,6,16,4,12,27,79,98,301,225,196,294,454,119,406,61,2158
LGA26080,4,17,11,4,4,4,0,4,0,45,8,7,0,5,7,5,0,4,9,50,159,376,245,145,235,199,55,145,31,1590
LGA26170,23,76,37,33,87,93,16,59,7,435,27,54,41,25,60,61,18,38,109,432,640,2020,1507,1043,1671,1974,670,1825,297,11645
LGA26260,18,41,28,16,41,52,14,31,9,238,15,51,22,12,46,41,20,33,56,296,406,1126,959,656,1187,1537,442,1218,150,7685
LGA26350,315,530,467,216,388,288,90,119,23,2435,116,295,272,167,409,525,130,290,438,2636,3754,11235,8632,4932,11465,11005,2926,5945,897,60787
LGA26430,5,29,10,7,12,18,3,11,0,94,0,16,14,14,13,29,0,19,28,143,209,644,480,351,657,838,172,602,87,4045
LGA26490,52,121,87,31,80,50,6,42,9,473,21,65,43,24,50,77,9,56,58,409,810,2656,1680,1028,1816,1941,468,1206,177,11779
LGA26610,20,33,37,31,78,74,31,56,7,359,25,74,37,25,116,85,28,40,140,572,470,1341,1082,877,2074,2082,590,1339,274,10132
LGA26670,3,10,13,6,5,20,5,11,3,76,3,19,5,9,5,11,6,4,12,71,130,354,273,198,315,383,110,450,49,2256
LGA26700,33,68,59,33,116,133,37,52,5,532,21,51,53,33,99,102,25,47,101,522,771,2002,1741,1391,2681,2508,721,1498,248,13560
LGA26730,44,125,109,49,151,143,28,69,11,728,16,70,54,29,94,114,26,53,111,578,998,3017,2289,1625,3515,3239,895,1616,297,17487
LGA26810,47,107,85,38,105,143,32,59,5,636,50,74,46,36,80,120,25,92,158,683,1031,2595,2059,1459,2922,3525,1036,2766,359,17756
LGA26890,5,0,0,6,4,6,0,3,0,27,5,3,4,0,5,9,0,0,17,38,68,219,164,140,153,376,106,479,48,1754
LGA26980,208,546,540,320,920,761,189,309,27,3820,102,368,324,206,648,708,105,194,545,3194,3509,12527,10090,6596,15869,14925,3657,6451,1032,74657
LGA27070,190,425,338,152,466,424,108,197,25,2334,110,420,376,212,1007,811,158,292,668,4047,3128,10948,8997,5834,15311,14251,3587,6483,1380,69926
LGA27170,50,117,92,41,160,184,49,98,9,805,18,87,59,34,147,156,46,59,148,751,987,2533,2172,1853,4436,4889,1407,2526,369,21166
LGA27260,187,434,375,169,543,510,138,235,25,2617,141,446,428,284,1082,944,168,358,918,4768,3850,12493,10739,6729,20165,17946,4899,8833,1882,87535
LGA27350,229,450,444,251,559,498,136,229,23,2836,164,413,355,261,990,1110,248,511,663,4717,4577,10966,10056,7626,21352,22258,5861,10623,1257,94588
LGA27450,195,394,310,161,290,325,86,165,23,1949,78,270,174,126,362,345,74,154,322,1903,2795,9108,6304,3925,7940,7793,2182,4542,743,45331
LGA27630,7,8,11,8,9,17,4,13,0,72,0,10,4,0,8,12,0,10,31,80,136,375,324,210,343,533,125,459,65,2576
LGA29399,0,4,0,3,0,3,0,0,0,13,9,13,16,9,9,8,4,10,16,97,180,519,490,210,352,279,92,247,53,2422
LGA29499,489,1014,650,335,512,710,145,406,56,4323,550,1035,695,417,955,1183,201,599,1318,6946,9454,25035,16766,10677,19053,31147,7014,14943,3389,137478
LGA29799,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,8,0,16,19,8,3,3,12,22,9,114,0,194
