POW_LGA_CODE_2021,M_EW_FT_ATSI,M_EW_FT_NI,M_EW_FT_Isns,M_EW_FT_Total,M_EW_PT_ATSI,M_EW_PT_NI,M_EW_PT_Isns,M_EW_PT_Total,M_EW_Em_afw_ATSI,M_EW_Em_afw_NI,M_EW_Em_afw_Isns,M_EW_Em_afw_Total,M_Tot_ATSI,M_Tot_NI,M_Tot_Isns,M_Tot_Total,F_EW_FT_ATSI,F_EW_FT_NI,F_EW_FT_Isns,F_EW_FT_Total,F_EW_PT_ATSI,F_EW_PT_NI,F_EW_PT_Isns,F_EW_PT_Total,F_EW_Em_afw_ATSI,F_EW_Em_afw_NI,F_EW_Em_afw_Isns,F_EW_Em_afw_Total,F_Tot_ATSI,F_Tot_NI,F_Tot_Isns,F_Tot_Total,P_EW_FT_ATSI,P_EW_FT_NI,P_EW_FT_Isns,P_EW_FT_Total,P_EW_PT_ATSI,P_EW_PT_NI,P_EW_PT_Isns,P_EW_PT_Total,P_EW_Em_afw_ATSI,P_EW_Em_afw_NI,P_EW_Em_afw_Isns,P_EW_Em_afw_Total,P_Tot_ATSI,P_Tot_NI,P_Tot_Isns,P_Tot_Total
LGA24900,77,4247,31,4350,19,1113,4,1139,14,373,4,395,114,5735,43,5890,37,2190,17,2245,55,2755,5,2812,10,448,6,460,101,5391,27,5522,113,6435,43,6600,76,3864,16,3955,24,819,9,856,215,11125,68,11409
LGA24970,176,43568,61,43807,46,13186,20,13256,16,2832,15,2871,239,59592,99,59933,105,28252,22,28387,71,24425,44,24537,22,3797,11,3836,205,56476,87,56765,284,71824,85,72198,119,37611,71,37798,42,6630,28,6703,441,116062,188,116697
LGA25060,42,12371,18,12429,18,5333,5,5363,11,1209,3,1220,72,18911,29,19015,38,8761,25,8819,38,10858,19,10918,6,1773,3,1790,84,21396,49,21530,77,21130,44,21249,58,16193,28,16279,19,2980,9,3011,155,40305,84,40540
LGA25150,32,3110,15,3155,19,1247,6,1268,7,310,4,322,51,4658,17,4733,17,1887,4,1904,26,2651,6,2679,4,418,0,428,50,4947,14,5010,50,4993,18,5058,40,3889,12,3940,13,723,4,745,101,9610,36,9746
LGA25250,66,13223,18,13319,39,7008,13,7058,11,1263,13,1289,121,21490,51,21660,80,9186,14,9276,68,11605,19,11701,12,1606,8,1625,159,22402,38,22605,151,22414,32,22594,110,18611,40,18758,28,2868,16,2913,283,43895,90,44261
LGA25340,193,17427,55,17676,71,7777,37,7890,28,1911,14,1960,291,27115,111,27516,87,10764,29,10891,133,16962,39,17140,35,2873,19,2934,256,30603,97,30957,280,28190,92,28564,209,24745,82,25026,66,4789,36,4891,550,57721,206,58473
LGA25430,28,2470,14,2513,16,1154,4,1172,4,243,4,248,45,3872,23,3940,17,1333,10,1361,25,2025,14,2060,0,301,6,309,43,3665,26,3734,43,3804,23,3874,36,3181,21,3237,4,547,5,553,90,7533,47,7670
LGA25490,27,2975,7,3013,6,706,0,719,7,238,4,240,41,3922,13,3978,13,1056,6,1072,20,1306,5,1328,3,248,0,259,37,2612,13,2658,37,4032,10,4089,25,2017,8,2048,10,486,5,499,78,6533,27,6639
LGA25620,38,1546,0,1584,0,636,5,645,4,182,0,187,47,2364,5,2411,14,842,0,853,15,1200,7,1225,5,257,5,265,36,2295,16,2339,48,2382,3,2438,20,1834,10,1867,4,440,5,452,77,4661,17,4757
LGA25710,27,4187,10,4223,8,2181,5,2194,6,440,5,447,41,6811,14,6869,11,2697,7,2710,15,4751,14,4784,4,642,0,651,31,8097,15,8143,39,6881,17,6941,25,6939,10,6980,5,1083,5,1094,68,14902,29,15013
LGA25810,21,1845,4,1868,7,577,5,591,0,196,0,197,33,2621,5,2660,5,1004,10,1019,16,1150,6,1170,4,229,6,235,23,2379,14,2422,23,2849,12,2891,20,1728,10,1759,5,424,6,431,53,5004,23,5082
LGA25900,135,31796,53,31989,42,8920,17,8978,9,1971,9,1995,186,42685,83,42961,80,20078,35,20189,46,12874,22,12941,15,2409,5,2425,142,35358,54,35560,220,51873,85,52175,93,21789,38,21921,23,4381,18,4420,331,78047,141,78518
LGA25990,7,884,4,898,6,237,0,239,0,76,0,76,13,1198,6,1215,5,376,5,383,3,481,0,481,0,76,0,77,13,930,6,943,12,1258,11,1280,6,712,4,719,0,155,0,156,23,2120,10,2158
LGA26080,0,408,0,412,0,237,0,238,0,78,0,78,0,727,3,727,6,227,0,233,6,517,0,520,0,115,0,115,6,859,0,867,6,639,0,641,6,752,0,759,0,189,0,186,6,1576,4,1590
LGA26170,30,4050,23,4105,9,1432,9,1451,10,390,6,400,48,5869,33,5954,13,2008,13,2029,26,3088,10,3125,12,516,11,535,45,5613,30,5689,44,6053,37,6137,33,4525,19,4570,20,908,15,935,96,11484,63,11645
LGA26260,37,2725,12,2769,8,811,12,828,3,219,0,225,46,3750,16,3819,24,1590,8,1621,30,1875,7,1919,5,317,3,329,61,3781,23,3864,58,4311,14,4386,41,2685,16,2743,8,535,7,554,111,7534,45,7685
LGA26350,52,16583,22,16656,28,8038,17,8083,14,1614,9,1633,95,26236,42,26375,50,14610,19,14676,42,16645,28,16721,23,2979,18,3016,119,34234,61,34409,100,31191,44,31335,71,24682,42,24801,40,4590,19,4649,214,60468,106,60787
LGA26430,19,1413,11,1441,11,499,11,516,6,112,4,116,31,2017,22,2074,6,825,0,834,5,947,3,961,3,179,5,185,15,1950,8,1973,24,2234,12,2271,15,1445,16,1474,8,287,9,302,47,3972,37,4045
LGA26490,21,3427,17,3465,5,1750,5,1755,9,376,0,389,32,5554,19,5611,13,1947,3,1959,9,3582,13,3604,5,599,4,601,27,6122,21,6167,29,5375,22,5425,16,5332,13,5364,13,971,3,992,59,11682,43,11779
LGA26610,83,3900,23,4010,24,982,8,1018,11,294,8,316,121,5174,36,5336,55,2021,11,2084,70,2191,18,2277,8,409,7,433,137,4622,33,4792,139,5917,35,6089,101,3172,20,3295,26,713,17,745,257,9799,73,10132
LGA26670,17,800,5,820,3,240,0,246,0,72,3,74,15,1113,12,1141,10,427,0,436,9,566,3,579,3,100,0,100,23,1089,6,1120,21,1226,6,1254,12,804,6,826,3,174,3,176,41,2198,18,2256
LGA26700,57,4326,25,4399,23,1473,14,1514,8,367,5,390,87,6171,39,6298,45,2954,13,3012,51,3555,16,3619,8,613,3,632,103,7121,37,7258,99,7282,33,7411,72,5031,24,5128,15,988,14,1015,188,13294,75,13560
LGA26730,78,5444,22,5542,36,1824,3,1858,8,476,3,488,111,7745,32,7891,53,3660,7,3723,73,4975,22,5069,9,800,5,817,137,9437,37,9607,130,9109,31,9263,99,6798,26,6925,21,1270,8,1301,247,17179,62,17487
LGA26810,71,6578,29,6681,26,1707,8,1744,9,608,11,629,114,8890,47,9052,57,3494,14,3567,53,4302,16,4370,10,744,7,763,119,8540,37,8701,130,10078,44,10250,79,6004,28,6113,23,1349,12,1387,237,17436,89,17756
LGA26890,5,797,3,815,0,159,0,156,0,52,0,52,5,1005,10,1018,5,297,4,301,0,363,3,364,0,57,0,66,4,724,4,733,6,1097,8,1115,0,519,3,526,0,111,0,111,16,1728,14,1754
LGA26980,96,22955,33,23085,31,9422,22,9477,8,1765,16,1787,133,34144,70,34350,73,17728,19,17819,46,19654,36,19738,10,2733,4,2750,130,40109,66,40307,172,40677,54,40903,75,29076,56,29210,25,4496,20,4539,266,74256,134,74657
LGA27070,159,25041,35,25243,52,8906,30,8987,18,1924,10,1951,227,35875,84,36183,110,14265,17,14390,118,16641,31,16796,23,2525,10,2557,251,33434,58,33745,270,39303,60,39631,173,25549,61,25787,37,4453,24,4510,481,69304,146,69926
LGA27170,172,8490,27,8689,44,2009,17,2072,24,565,6,603,246,11070,51,11367,109,4448,11,4567,111,4361,15,4482,23,723,0,746,248,9529,22,9800,285,12937,36,13257,159,6367,27,6554,51,1288,14,1356,497,20594,76,21166
LGA27260,232,33510,63,33796,50,11700,36,11798,33,2673,12,2723,315,47884,115,48312,110,17905,39,18051,139,18001,25,18161,41,2957,17,3010,280,38859,79,39223,334,51412,103,51842,190,29703,65,29958,73,5638,33,5735,598,86750,194,87535
LGA27350,185,33200,39,33426,76,10146,23,10246,23,2320,6,2354,289,45668,74,46031,201,26433,38,26665,122,18262,25,18407,30,3449,7,3483,350,48143,69,48562,383,59637,72,60094,195,28406,45,28655,59,5766,15,5841,640,93812,131,94588
LGA27450,130,14146,28,14300,63,6043,18,6126,20,1393,15,1424,205,21583,60,21847,90,8048,16,8157,125,13056,28,13211,20,2085,16,2119,236,23189,57,23483,213,22198,47,22452,193,19098,46,19335,38,3480,21,3542,444,44774,116,45331
LGA27630,10,1024,4,1035,3,277,5,280,0,86,0,89,7,1389,7,1403,4,419,0,425,12,619,3,632,0,112,0,117,19,1151,6,1169,7,1446,4,1467,15,893,5,913,0,197,0,200,22,2543,10,2576
LGA29399,9,581,3,588,0,581,0,586,3,137,0,138,10,1296,4,1313,6,369,4,380,0,637,0,641,0,100,0,100,10,1101,4,1116,11,950,10,971,3,1219,0,1223,3,228,3,238,20,2398,8,2422
LGA29499,607,60585,222,61412,248,28778,111,29131,86,7581,66,7736,942,96942,396,98277,116,10596,36,10738,198,23075,71,23349,47,5014,44,5108,362,38681,154,39201,723,71176,255,72156,444,51855,182,52479,133,12595,111,12840,1297,135628,552,137478
LGA29799,4,139,0,147,0,10,0,10,0,23,0,23,4,174,0,181,0,12,0,13,0,0,0,0,0,0,0,0,0,10,0,16,4,153,0,160,0,17,0,17,0,23,0,23,4,187,0,194
