POW_LGA_CODE_2021,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
LGA23430,85,87,23,27,10,0,0,235,9,5,0,0,0,0,0,17,54,77,40,26,16,10,0,222,144,173,63,55,28,9,0,471,576,2560,3889,4127,2401,727,110,14392,2952,1688,1337,1280,1209,475,76,9013,51,99,77,64,37,30,18,370,12297,17800,17397,18378,13584,3791,502,83752
LGA23670,34,42,20,3,4,0,0,100,10,8,0,0,3,0,0,21,49,48,35,7,11,4,0,143,88,95,56,19,10,4,0,264,579,2686,3972,3793,2446,678,109,14267,2348,1340,1232,1106,1110,411,52,7606,22,44,44,44,36,14,18,227,10489,14822,15318,15641,12288,3158,363,72079
LGA23810,5,6,0,0,0,0,0,10,7,5,0,0,0,0,0,7,13,11,5,6,4,6,0,40,18,13,7,8,4,6,0,58,160,775,1026,936,690,244,63,3899,839,836,672,630,743,204,18,3941,38,45,40,31,42,33,8,232,4989,7203,6880,6834,6035,1446,182,33579
LGA23940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,16,31,90,118,139,118,41,557,40,36,30,27,42,21,6,197,3,3,9,3,6,0,6,35,252,377,438,557,658,327,90,2701
LGA24130,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,10,0,0,4,0,0,0,22,80,299,722,932,667,318,103,3122,621,290,280,318,308,100,21,1929,20,14,11,9,12,10,4,80,2731,2570,2994,3521,2725,963,216,15711
LGA24210,20,20,11,3,0,0,0,50,7,3,4,0,0,0,0,22,7,23,9,3,3,0,0,51,42,49,24,12,8,0,0,124,365,1280,1948,2193,1575,634,192,8180,1788,880,686,664,689,228,33,4960,13,27,18,17,16,10,7,115,5890,6284,6016,6389,5217,1684,342,31820
LGA24250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,33,102,124,129,99,37,535,107,79,76,78,100,38,7,485,4,0,5,7,5,3,3,29,488,616,747,814,833,367,62,3929
LGA24330,86,90,28,18,8,4,0,236,14,5,0,0,0,0,0,20,41,62,25,17,5,4,0,155,137,158,60,30,16,3,0,407,304,2045,2656,2197,1264,280,25,8765,1753,1310,909,658,594,208,19,5456,33,55,36,34,19,8,4,194,6650,10851,9523,8241,5869,1415,110,42663
LGA24410,40,32,8,10,7,0,0,91,5,3,0,0,0,0,0,12,27,33,20,15,6,4,0,105,69,70,27,22,10,4,0,204,329,1385,2086,2177,1554,507,82,8114,2260,1088,931,847,806,297,47,6272,18,45,36,28,17,10,13,165,8303,9525,9277,9503,7665,2075,276,46629
LGA24600,630,1197,940,423,267,66,3,3532,20,22,23,16,5,5,0,87,185,439,229,87,62,21,3,1021,836,1658,1193,527,333,93,6,4646,13356,81624,95528,60151,28203,5492,500,284846,8445,14859,12363,6331,4958,1686,223,48865,277,571,424,243,194,106,89,1911,42944,150186,148604,95438,52700,11943,1242,503044
LGA24650,17,20,8,0,3,0,0,56,7,5,3,0,0,0,0,16,43,49,30,10,6,0,0,150,70,73,47,15,9,0,0,218,306,1454,2059,1488,724,184,9,6225,1355,988,852,662,440,124,7,4432,34,43,46,30,16,9,10,174,6720,9662,9168,7071,4064,924,67,37682
LGA24780,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,6,19,12,3,7,5,0,50,7,19,12,6,5,5,0,54,80,333,515,548,490,233,39,2246,469,469,318,291,315,100,13,1972,46,53,37,48,27,14,19,240,3588,5110,4626,4970,4238,1199,160,23895
LGA24850,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,10,3,4,0,0,22,10,4,10,3,4,0,0,30,70,301,430,503,361,204,45,1928,463,296,223,199,220,87,8,1503,21,12,13,16,15,12,3,90,2534,2807,2635,2719,2177,723,106,13705
LGA24900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,9,3,0,0,0,3,0,0,9,40,103,191,279,348,188,73,1218,233,184,150,170,207,75,3,1037,26,22,20,14,19,12,7,112,1637,2107,2077,2386,2275,777,144,11409
LGA24970,113,149,69,37,19,0,0,392,27,9,9,5,0,0,0,47,81,87,60,26,22,14,0,291,214,250,138,62,41,16,0,731,1490,6988,9526,8409,4932,1260,175,32779,2944,2550,2206,1677,1577,567,92,11610,64,113,92,70,54,27,27,455,14196,27389,27606,24844,17468,4636,562,116697
LGA25060,43,42,20,17,0,0,0,122,8,8,0,0,0,0,0,15,43,30,18,12,11,3,0,112,91,77,40,28,12,7,0,252,454,1965,2633,2668,1555,515,46,9837,1876,1160,944,814,650,237,31,5716,27,49,28,38,17,15,4,179,7105,9084,8428,8227,5840,1674,184,40540
LGA25150,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,5,0,7,0,0,0,18,49,228,356,375,335,139,55,1530,325,229,185,141,149,46,9,1085,12,13,15,11,9,9,5,67,1671,1962,1984,1937,1590,491,112,9746
LGA25250,49,72,32,16,10,3,0,185,11,3,4,0,0,0,0,17,47,77,43,19,13,3,0,200,104,145,84,37,22,12,0,403,436,2453,2828,2380,1367,380,52,9898,1372,1366,971,758,611,221,35,5329,33,43,38,19,27,4,4,173,6250,11535,9835,8540,6215,1678,211,44261
LGA25340,6,11,0,0,0,0,0,19,6,0,3,5,0,0,0,10,21,18,13,5,5,0,0,70,37,29,18,10,5,0,0,96,437,1286,2269,2840,2156,1129,268,10391,2642,1440,1344,1428,1287,462,66,8667,76,49,45,78,58,30,23,351,10903,10653,10659,12413,9901,3369,575,58473
LGA25430,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,12,8,3,0,5,0,0,0,17,19,100,262,342,334,188,50,1294,183,128,147,174,213,80,3,942,11,3,11,4,8,3,9,55,893,1180,1385,1794,1738,585,94,7670
LGA25490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,4,0,0,10,7,4,3,3,4,0,0,11,40,132,225,310,358,259,93,1416,108,94,91,97,109,52,6,548,9,0,5,11,12,12,8,61,749,1104,1142,1431,1431,615,167,6639
LGA25620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,26,104,132,199,228,144,98,927,128,75,101,83,115,42,12,552,7,4,6,8,9,4,3,45,579,719,792,1036,1063,422,153,4757
LGA25710,9,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,16,9,8,3,5,3,0,0,26,143,484,924,1196,931,393,77,4147,856,340,299,274,319,115,17,2218,12,8,9,4,3,5,0,46,2855,2474,2770,3196,2637,916,161,15013
LGA25810,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,3,0,0,12,8,52,96,114,141,96,31,543,96,126,77,89,114,52,0,556,11,7,0,4,6,0,3,40,727,1066,808,991,1011,383,97,5082
LGA25900,168,261,153,102,50,17,0,755,4,5,0,0,0,0,0,14,56,95,41,22,14,5,0,228,234,368,194,120,65,16,0,994,1677,9595,9743,7096,3648,1120,180,33055,1747,2121,1528,903,727,300,45,7361,55,85,62,38,27,8,14,295,8619,23800,19938,14378,8706,2658,431,78518
LGA25990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,36,58,94,124,75,26,419,32,37,22,40,47,23,7,213,7,9,3,3,3,6,0,30,226,301,366,503,490,217,56,2158
LGA26080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,4,32,57,73,87,58,12,328,73,39,39,41,56,32,3,282,3,0,0,0,0,0,0,7,224,217,258,342,364,159,25,1590
LGA26170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,3,50,172,325,482,490,407,104,2035,318,190,197,201,256,94,7,1265,24,17,15,19,26,9,11,121,1533,1777,2032,2560,2469,1071,205,11645
LGA26260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,5,3,0,0,17,7,4,0,5,3,0,0,20,28,102,192,242,307,216,54,1138,147,146,105,89,137,58,0,686,8,9,5,9,15,10,17,70,1034,1326,1341,1554,1616,683,136,7685
LGA26350,124,158,60,23,17,4,0,388,10,3,0,0,0,0,0,14,51,90,38,10,9,3,4,204,185,254,99,35,29,6,3,612,963,4692,4272,3680,2306,1002,249,17155,3267,2465,1382,913,827,360,89,9295,25,61,39,38,26,21,12,223,10889,17135,12156,10109,7175,2782,550,60787
LGA26430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,4,0,0,0,9,16,60,106,127,164,195,68,737,104,70,52,41,73,36,7,388,11,3,0,3,3,4,4,37,517,626,676,743,851,495,137,4045
LGA26490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,12,0,0,7,0,0,4,0,13,63,317,698,717,550,263,66,2676,502,272,236,184,203,81,14,1498,14,13,16,7,12,3,3,65,2168,2223,2445,2287,1880,655,125,11779
LGA26610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,4,5,4,5,0,32,7,11,7,5,4,5,0,34,31,105,192,199,178,121,32,859,160,163,119,113,138,40,11,739,15,15,18,16,17,8,12,108,1431,2287,2018,1806,1890,594,106,10132
LGA26670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,33,56,74,105,119,44,446,29,40,37,42,60,18,8,239,0,0,4,0,4,3,0,20,226,335,362,416,530,295,96,2256
LGA26700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,15,5,8,3,0,41,6,13,15,5,8,3,0,46,31,168,311,380,375,230,91,1591,358,277,251,236,304,105,11,1541,27,11,15,13,11,13,6,104,1992,2334,2558,2929,2676,889,170,13560
LGA26730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,11,6,6,0,0,48,11,15,11,6,6,0,0,48,47,251,351,419,308,115,26,1519,463,439,389,289,326,108,12,2021,20,11,20,17,14,10,10,100,2931,3600,3415,3631,3042,785,85,17487
LGA26810,4,0,0,0,0,0,0,5,3,0,0,0,0,0,0,6,5,3,4,8,8,3,3,30,10,10,4,8,7,3,3,39,56,264,412,449,472,298,110,2063,405,414,305,325,381,126,13,1963,24,19,19,22,29,25,16,151,2582,3426,3434,3579,3368,1135,224,17756
LGA26890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,10,29,47,74,115,84,31,388,14,18,23,22,26,16,0,124,0,6,0,3,3,8,3,19,166,272,275,341,414,219,64,1754
LGA26980,54,50,34,22,10,8,0,176,17,6,0,0,0,0,0,26,32,57,24,10,10,3,0,138,99,115,65,30,23,7,0,333,980,4415,5936,5687,3478,1011,177,21684,2542,1777,1569,1310,1334,469,76,9080,38,69,57,51,35,10,13,273,10266,16775,16462,15694,11729,3274,464,74657
LGA27070,48,60,22,7,5,4,0,151,14,5,6,0,0,0,0,22,60,86,63,30,21,3,0,261,120,147,90,45,22,7,0,435,416,2221,3005,2337,1364,362,67,9771,2234,1679,1488,1062,877,272,33,7651,43,91,68,38,40,15,15,306,10929,17035,16131,13728,9575,2269,255,69926
LGA27170,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,13,6,10,5,0,0,46,12,13,6,7,5,0,0,52,76,275,468,554,380,131,19,1891,459,416,344,322,303,124,10,1982,16,26,26,13,15,8,8,107,3539,4517,4416,4324,3384,872,119,21166
LGA27260,58,56,26,17,4,5,0,166,23,11,0,0,3,0,0,31,151,167,97,36,23,4,0,477,234,230,124,56,30,5,0,680,572,3168,4925,3319,1802,390,36,14211,2614,1969,1884,1317,1011,255,28,9078,66,125,102,38,36,10,15,393,13116,22018,22704,16681,10666,2165,188,87535
LGA27350,154,228,120,76,36,9,0,622,0,10,5,4,0,0,0,19,67,175,61,27,17,8,0,357,225,412,184,101,51,18,0,991,1944,12614,11223,6843,3206,915,162,36907,2518,3542,2301,1306,971,440,60,11137,55,117,65,57,36,17,10,352,11059,31168,23678,15846,9518,2896,419,94588
LGA27450,13,10,3,4,5,0,0,26,10,0,0,0,0,0,0,10,16,12,11,11,6,0,0,57,30,25,11,12,8,6,0,94,301,1313,2061,2267,1768,766,151,8639,2168,1125,1031,957,917,334,43,6579,32,24,32,39,39,25,7,194,8207,8421,8686,9470,7756,2445,348,45331
LGA27630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,10,27,39,89,102,59,30,346,46,36,25,25,70,21,3,225,11,0,5,4,4,4,7,27,297,448,394,484,666,216,76,2576
LGA29399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,3,22,24,43,45,38,14,5,194,211,143,45,37,42,21,7,498,5,0,0,6,0,0,0,15,848,680,263,261,253,106,14,2422
LGA29499,89,96,40,31,19,12,0,293,7,3,3,0,0,0,0,13,38,117,108,59,44,20,5,393,130,219,154,87,65,33,5,695,1544,4983,5564,4132,2538,1186,411,20367,2474,3035,3139,3295,3355,1457,278,17033,139,159,150,170,110,76,63,867,18954,32300,28956,27033,21711,7223,1298,137478
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,6,13,11,0,0,34,0,0,0,0,0,0,0,4,7,27,42,68,50,12,0,194
