POW_LGA_CODE_2021,Tot_HC_SA_Bf_91,Tot_HC_SA_91_95,Tot_HC_SA_96_00,Tot_HC_SA_01_05,Tot_HC_SA_06_10,Tot_HC_SA_11_15,Tot_HC_SA_16_20,Tot_HC_SA_2021,Tot_HC_SA_NS,Tot_HC_SA_Tot,Tot_ArtsR_Bf_91,Tot_ArtsR_91_95,Tot_ArtsR_96_00,Tot_ArtsR_01_05,Tot_ArtsR_06_10,Tot_ArtsR_11_15,Tot_ArtsR_16_20,Tot_ArtsR_2021,Tot_ArtsR_NS,Tot_ArtsR_Tot,Tot_OthSvs_Bf_91,Tot_OthSvs_91_95,Tot_OthSvs_96_00,Tot_OthSvs_01_05,Tot_OthSvs_06_10,Tot_OthSvs_11_15,Tot_OthSvs_16_20,Tot_OthSvs_2021,Tot_OthSvs_NS,Tot_OthSvs_Tot,Tot_IDNS_Bf_91,Tot_IDNS_91_95,Tot_IDNS_96_00,Tot_IDNS_01_05,Tot_IDNS_06_10,Tot_IDNS_11_15,Tot_IDNS_16_20,Tot_IDNS_2021,Tot_IDNS_NS,Tot_IDNS_Tot,Tot_Tot_Bf_91,Tot_Tot_91_95,Tot_Tot_96_00,Tot_Tot_01_05,Tot_Tot_06_10,Tot_Tot_11_15,Tot_Tot_16_20,Tot_Tot_2021,Tot_Tot_NS,Tot_Tot_Tot
LGA21270,7,3,6,3,3,10,15,0,0,46,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,45,6,14,14,26,27,63,0,5,185
LGA21370,83,8,26,32,57,81,66,0,10,360,0,0,0,0,0,4,0,0,0,8,14,0,3,0,9,6,5,0,0,39,12,0,3,3,9,11,22,0,5,59,347,61,91,107,219,245,315,10,39,1436
LGA21450,219,52,76,139,318,225,171,3,10,1210,30,3,7,14,26,24,11,0,5,110,52,9,14,20,76,49,54,0,7,275,107,25,20,58,103,83,94,0,30,533,1789,339,516,840,1865,1456,1409,15,127,8372
LGA21610,1063,420,489,859,1773,1300,784,7,43,6743,77,15,21,43,83,40,28,0,4,314,310,80,95,133,311,190,174,0,15,1310,317,102,142,205,413,330,367,3,79,1963,6305,1785,2527,4157,8162,5867,4764,47,340,33946
LGA21670,43,0,0,7,27,18,34,0,9,130,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,8,8,0,0,0,8,0,5,0,0,24,153,9,18,27,66,54,74,0,14,421
LGA21750,57,6,8,19,39,33,33,0,0,194,12,0,5,0,0,0,0,0,0,17,4,3,0,0,0,0,3,0,0,14,18,0,3,0,0,5,12,0,0,50,298,38,59,117,168,201,427,16,19,1338
LGA21830,25,3,6,4,10,17,15,0,5,80,0,0,0,0,0,0,0,0,0,3,3,0,4,4,0,4,0,0,0,11,10,0,0,5,3,0,4,0,0,23,159,21,60,88,95,98,128,8,16,663
LGA21890,738,186,236,359,751,621,597,6,35,3534,59,17,16,26,28,28,28,0,4,212,211,51,62,64,133,154,167,0,19,856,243,60,79,98,163,161,242,0,57,1120,4737,1148,1411,1978,3222,3205,3669,34,265,19659
LGA22110,147,15,40,49,68,96,80,3,11,504,14,4,0,0,3,0,4,0,0,22,28,0,3,6,3,10,7,0,0,61,30,3,5,5,7,12,19,0,10,88,743,89,135,160,274,313,356,8,60,2143
LGA22170,954,242,292,559,1046,728,577,9,40,4439,35,3,8,21,27,14,17,0,0,125,157,29,44,52,79,61,77,0,4,497,227,47,65,74,152,149,156,3,58,936,3991,764,1108,1714,2986,2228,2090,31,196,15115
LGA22250,8,0,0,6,8,6,13,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,3,0,3,4,0,0,12,72,6,22,20,38,45,63,0,5,277
LGA22310,877,310,302,414,722,654,832,7,29,4148,51,6,14,17,20,22,33,0,0,167,205,58,67,73,140,128,132,0,7,821,147,33,42,72,133,127,197,6,38,791,3970,1130,1382,1814,2821,2678,3481,53,187,17523
LGA22410,49,3,13,19,33,40,52,0,5,215,9,0,0,0,0,0,0,0,0,9,11,0,0,0,4,5,0,0,0,21,7,0,7,9,0,4,3,0,7,36,263,24,65,54,90,109,129,0,22,759
LGA22490,15,5,5,6,17,11,10,0,0,66,4,0,0,0,0,0,0,0,0,3,7,0,0,0,0,3,0,0,3,17,4,0,0,5,7,3,7,0,0,25,188,25,33,40,86,98,93,3,8,579
LGA22620,327,61,84,145,409,328,388,4,18,1769,16,0,4,6,12,14,12,0,0,65,45,4,5,8,38,27,30,0,5,158,41,6,7,19,58,53,48,0,9,248,1289,211,342,534,1282,1095,1242,13,87,6101
LGA22670,1238,464,547,791,1389,958,762,8,56,6217,36,8,29,22,35,27,20,0,3,167,468,156,160,196,395,342,339,4,20,2083,956,309,321,514,893,868,977,18,212,5071,12657,3925,4494,5936,10465,8389,8735,126,665,55388
LGA22750,1225,203,296,454,1060,919,914,18,54,5138,65,13,8,23,34,33,27,7,4,205,171,31,40,50,145,154,168,0,8,780,212,31,48,61,165,216,220,5,55,1001,5603,892,1275,1904,4186,4130,4529,60,330,22918
LGA22830,165,41,87,137,337,292,296,14,16,1376,3,0,0,3,0,6,3,0,0,21,32,10,19,27,55,45,66,0,5,263,56,4,13,22,60,64,107,0,31,356,841,185,318,490,1149,1135,1415,27,116,5676
LGA22910,47,6,8,16,18,13,34,0,8,149,5,0,3,6,4,0,0,0,0,16,11,0,5,0,8,8,3,0,6,35,22,0,0,3,3,9,3,0,3,39,321,41,66,78,122,128,151,0,25,933
LGA22980,13,4,0,7,18,22,22,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,18,0,0,0,0,23,42,7,5,34,94,52,52,0,9,288
LGA23110,321,83,122,179,327,298,254,4,6,1593,46,9,12,11,24,10,9,0,4,122,163,33,38,49,108,96,106,4,4,603,187,56,61,85,214,180,230,0,53,1063,3306,722,1000,1404,2704,2271,2607,32,170,14226
LGA23190,27,8,5,26,58,56,53,0,5,233,7,0,0,0,6,0,0,0,0,10,3,5,0,0,3,4,8,0,0,28,10,0,0,5,6,7,15,0,3,46,170,28,37,67,180,151,190,0,8,829
LGA23270,592,205,264,412,800,663,484,0,23,3450,46,8,7,15,35,15,13,0,5,146,287,84,93,116,271,264,285,0,19,1424,588,185,220,276,607,565,777,17,153,3390,9348,2702,3058,4302,8868,7030,7896,100,562,43867
LGA23350,28,14,7,0,16,4,11,0,0,81,3,0,4,0,3,0,0,0,0,6,5,0,4,0,0,3,0,0,0,9,10,0,0,0,5,5,3,0,0,26,218,36,35,33,85,53,62,0,21,541
LGA23430,823,256,275,424,817,716,755,3,38,4099,52,11,15,44,45,38,36,0,8,249,354,104,113,130,256,194,253,0,9,1413,635,193,217,313,510,458,538,9,119,2995,8201,2199,2524,3746,6008,5037,5755,66,428,33965
LGA23670,934,217,268,455,841,619,490,10,28,3856,70,15,25,42,32,19,29,0,0,227,244,48,67,77,180,142,100,0,12,874,488,102,138,213,355,366,386,3,61,2110,6700,1494,1954,2980,4875,3926,3718,66,259,25973
LGA23810,317,41,68,139,234,210,255,7,4,1270,14,0,0,0,5,5,0,0,0,34,39,7,10,11,31,18,22,0,0,140,52,4,12,17,14,22,34,0,9,168,1358,151,237,376,688,581,653,20,72,4131
LGA23940,6,0,0,3,7,12,7,0,0,28,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,0,0,15,64,6,11,16,33,46,46,4,3,229
LGA24130,125,12,30,41,76,92,65,0,8,455,18,5,6,11,14,3,4,0,3,54,45,6,3,5,14,16,7,0,0,96,28,6,7,19,10,5,12,0,6,93,881,98,198,245,405,337,386,3,55,2610
LGA24210,602,194,210,300,522,458,475,9,20,2789,32,11,9,17,16,21,17,0,0,117,125,28,33,48,98,69,86,0,3,496,86,19,33,67,85,100,126,4,34,551,2918,744,963,1395,2272,2027,2144,33,145,12629
LGA24250,33,0,6,5,4,4,0,0,3,55,4,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,4,0,0,21,12,0,0,0,0,0,3,0,0,22,196,18,24,41,48,41,62,3,20,456
LGA24330,881,284,335,434,774,590,495,8,30,3833,44,16,18,29,35,18,16,0,0,179,214,78,59,87,150,180,159,0,9,938,218,75,77,120,187,198,255,5,69,1205,4351,1203,1407,1882,3270,2952,3439,37,231,18775
LGA24410,622,168,174,294,567,491,388,6,15,2717,18,4,3,6,13,8,11,0,0,78,173,36,31,56,119,95,96,0,3,609,186,35,57,90,167,164,164,0,33,890,3435,794,909,1456,2513,2108,2076,27,131,13455
LGA24600,3704,1047,1411,2059,3147,3035,3044,108,123,17660,936,308,482,665,986,795,717,16,47,4944,750,204,268,424,714,734,834,15,27,3971,997,309,460,723,1264,1408,2164,38,367,7739,37477,11477,16446,25582,38070,40585,47535,954,1769,219893
LGA24650,236,90,116,219,444,401,267,4,17,1786,17,10,5,16,33,27,14,0,4,123,105,35,30,38,98,108,145,0,11,570,134,23,62,85,196,165,180,0,38,888,2568,712,979,1594,3433,2622,2671,23,161,14760
LGA24780,128,27,36,59,120,141,208,8,5,723,7,0,0,4,0,0,0,0,0,10,23,0,10,9,12,11,21,0,0,85,24,5,5,15,36,55,127,0,28,297,636,87,188,246,482,618,1157,25,93,3533
LGA24850,77,10,21,36,113,83,45,0,8,386,9,0,0,4,8,9,0,0,0,29,16,3,3,6,15,20,13,0,9,82,19,4,5,11,27,21,6,0,6,106,520,85,129,203,494,408,358,7,56,2260
LGA24900,54,8,7,14,42,59,38,0,3,231,0,0,0,0,0,0,0,0,0,4,9,0,0,0,9,0,8,0,0,24,14,0,5,4,4,16,18,0,0,56,309,27,61,120,217,254,394,3,35,1417
LGA24970,2046,668,758,1140,2018,1592,1567,16,75,9876,52,15,27,38,59,49,42,0,6,283,337,105,113,173,336,249,268,5,13,1588,579,131,222,364,545,543,688,7,148,3227,11183,3149,4125,6114,9912,8473,9771,130,577,53430
LGA25060,492,141,178,214,476,393,413,3,26,2335,30,5,13,12,12,26,23,0,4,130,166,42,46,61,86,105,97,4,5,614,150,31,27,66,115,128,133,7,38,687,3418,737,891,1238,2214,1989,2336,29,167,13024
LGA25150,85,10,17,37,126,81,53,0,3,408,7,0,0,0,5,4,0,0,0,18,26,7,7,4,11,15,3,0,7,79,19,6,4,7,25,32,20,0,13,119,506,63,103,161,477,360,335,3,44,2057
LGA25250,674,190,218,289,739,647,622,11,23,3415,56,10,27,25,26,28,36,0,3,215,272,54,52,59,137,116,117,0,8,825,215,41,59,94,164,153,215,13,39,989,4053,898,1191,1470,2762,2576,3379,68,201,16598
LGA25340,757,112,147,280,522,461,443,3,36,2766,84,13,18,22,36,33,21,0,4,235,159,22,21,46,71,53,56,0,9,440,179,25,37,59,91,78,105,0,32,611,3964,587,851,1318,2200,1827,1614,19,266,12639
LGA25430,53,11,11,15,19,14,15,0,4,146,15,0,5,0,4,0,5,0,0,30,14,3,3,0,3,0,0,0,0,21,23,4,6,8,11,7,5,0,0,59,369,64,94,103,152,110,111,4,28,1023
LGA25490,20,0,6,5,13,5,4,0,0,61,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,4,0,0,0,16,3,0,0,3,3,3,5,0,0,24,150,27,54,70,104,112,115,9,21,659
LGA25620,34,3,4,5,3,14,9,0,6,86,0,0,0,0,0,0,5,0,0,7,7,0,0,0,0,3,0,0,0,12,13,0,0,3,0,4,4,0,3,33,263,27,36,47,57,78,91,0,28,625
LGA25710,128,31,46,62,156,120,97,0,6,658,20,3,3,11,16,8,0,0,0,54,37,9,11,10,15,14,6,0,0,114,35,3,14,19,24,19,17,0,11,142,985,170,223,339,552,429,398,4,50,3143
LGA25810,31,3,12,12,17,17,42,0,3,136,6,0,5,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,10,9,0,0,4,3,4,4,0,3,16,122,24,35,40,90,103,213,12,14,659
LGA25900,544,170,204,284,529,574,708,12,25,3045,90,20,28,40,62,59,89,0,4,404,248,68,61,94,226,231,241,5,8,1189,252,68,116,186,290,315,398,14,65,1715,5491,1526,2122,3264,5446,5954,8455,144,286,32695
LGA25990,6,0,0,0,7,7,3,0,0,24,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,4,0,0,9,3,0,0,0,3,0,0,0,0,11,100,7,11,16,31,24,24,0,6,211
LGA26080,9,0,0,4,7,0,0,0,0,24,8,0,0,3,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,91,8,12,23,29,20,26,0,6,224
LGA26170,89,11,18,17,49,34,31,3,13,263,6,0,0,0,4,4,4,0,0,18,22,0,0,0,4,3,7,0,0,44,19,0,4,3,7,8,0,0,3,54,570,47,91,116,200,165,172,10,44,1416
LGA26260,46,12,8,18,38,40,37,0,4,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,13,4,3,3,7,5,3,6,0,0,30,177,34,43,69,138,92,97,0,19,672
LGA26350,957,240,318,526,907,925,1062,14,38,4992,57,15,18,35,34,52,49,0,0,254,200,66,56,89,170,181,231,4,14,1012,167,51,82,121,166,214,296,6,53,1149,4390,1129,1632,2445,3982,4238,5894,105,253,24068
LGA26430,26,0,7,9,30,17,18,0,0,106,5,0,0,4,4,7,15,0,0,36,8,0,0,0,0,0,0,0,0,9,4,0,0,0,5,7,4,0,0,23,149,16,20,47,79,110,116,0,14,548
LGA26490,73,10,16,20,53,74,66,0,5,316,14,0,3,7,5,7,10,0,0,44,23,5,8,8,21,21,16,0,0,94,17,0,4,9,13,12,19,0,3,64,467,71,114,152,319,384,390,5,27,1928
LGA26610,30,9,17,20,51,61,74,0,0,256,0,0,0,0,0,0,0,0,0,3,4,0,0,3,3,3,11,0,0,25,5,3,11,17,18,38,104,5,22,220,192,35,83,111,255,329,921,21,93,2045
LGA26670,14,0,4,4,6,11,17,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,84,8,9,10,22,26,42,10,3,218
LGA26700,111,20,29,35,46,54,118,3,4,427,4,0,0,0,0,0,4,0,0,20,18,0,5,0,4,6,3,0,0,42,10,5,0,0,6,5,6,0,0,47,447,57,80,101,176,177,272,7,20,1344
LGA26730,117,26,33,59,72,100,114,4,0,531,8,5,3,0,0,3,6,0,0,20,11,0,4,8,12,3,5,0,0,46,12,0,8,4,11,11,33,0,9,90,382,67,125,177,290,295,586,14,35,1970
LGA26810,118,23,21,38,79,63,74,0,5,426,10,0,0,0,0,0,0,0,0,12,17,0,4,3,6,10,5,0,5,55,24,0,4,7,9,13,16,0,8,74,645,89,127,180,316,301,337,11,49,2038
LGA26890,4,0,0,3,3,0,19,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,5,7,5,16,7,32,0,0,121
LGA26980,1544,431,595,1024,1437,1213,1018,16,53,7339,55,5,27,31,44,42,34,0,0,237,347,108,129,193,300,261,270,3,19,1628,247,66,95,168,260,302,403,5,81,1627,6395,1704,2608,4094,5856,5320,5467,66,301,31820
LGA27070,844,301,378,583,1440,1081,869,13,63,5566,34,8,8,24,43,37,19,0,0,177,201,43,60,63,158,131,142,4,10,817,390,104,108,182,340,309,385,8,100,1930,5563,1541,1817,2661,5967,4575,4894,57,351,27426
LGA27170,130,30,26,48,119,111,89,4,4,561,9,0,3,4,0,0,0,0,0,18,28,3,7,4,11,18,14,0,0,94,24,6,6,12,21,21,23,0,10,113,690,89,133,206,463,429,470,9,44,2538
LGA27260,571,236,318,696,1549,1250,835,15,28,5508,34,11,10,43,78,58,45,3,8,291,214,65,54,106,324,229,255,7,5,1263,318,115,128,267,631,561,664,8,134,2835,6046,1925,2511,4852,10849,8249,8436,112,457,43439
LGA27350,1599,414,531,797,1231,1192,1127,30,56,6982,108,33,20,57,73,87,96,6,5,480,234,32,69,96,155,227,233,11,14,1065,291,91,108,196,305,365,519,8,84,1968,6490,1775,2451,3748,5919,6642,7928,175,365,35504
LGA27450,453,68,121,153,246,209,178,3,16,1456,66,10,11,10,18,11,15,0,3,149,122,33,15,19,47,43,45,0,8,328,140,14,27,55,79,84,94,0,18,516,3185,481,676,981,1499,1280,1268,12,148,9529
LGA27630,16,0,7,3,18,14,19,0,0,75,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,6,0,0,0,3,0,0,0,0,3,47,0,3,11,36,30,34,0,5,168
LGA29399,0,0,0,3,0,0,4,0,0,9,13,0,0,0,0,0,3,0,0,23,0,0,0,0,0,0,0,0,0,3,5,0,0,0,8,7,3,0,0,23,75,13,26,38,44,46,162,4,11,409
LGA29499,1149,325,315,456,591,559,628,5,42,4064,83,35,32,33,49,45,58,0,5,344,360,82,81,94,151,156,127,0,19,1072,493,91,134,206,371,362,420,25,128,2235,9578,2134,2802,3551,6129,5487,6947,148,657,37444
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,14,0,7,0,6,4,0,0,0,39
