POW_LGA_CODE_2021,TYP_lthc_arth_A_15_24,TYP_ltch_arth_A_25_34,TYP_lthc_arth_A_35_34,TYP_lthc_arth_A_45_54,TYP_lthc_arth_A_55_64,TYP_lthc_arth_A_65_74,TYP_lthc_arth_A_75ov,TYP_lthc_arth_A_tot,TYP_lthc_asth_A_15_24,TYP_lthc_asth_A_25_34,TYP_lthc_asth_A_35_34,TYP_lthc_asth_A_45_54,TYP_lthc_asth_A_55_64,TYP_lthc_asth_A_65_74,TYP_lthc_asth_A_75ov,TYP_lthc_asth_A_tot,TYP_lthc_canc_A_15_24,TYP_lthc_canc_A_25_34,TYP_lthc_canc_A_35_34,TYP_lthc_canc_A_45_54,TYP_lthc_canc_A_55_64,TYP_lthc_canc_A_65_74,TYP_lthc_canc_A_75ov,TYP_lthc_canc_A_tot,TYP_lthc_demen_A_15_24,TYP_lthc_demen_A_25_34,TYP_lthc_demen_A_35_34,TYP_lthc_demen_A_45_54,TYP_lthc_demen_A_55_64,TYP_lthc_demen_A_65_74,TYP_lthc_demen_A_75ov,TYP_lthc_demen_A_tot,TYP_lthc_diab_A_15_24,TYP_lthc_diab_A_25_34,TYP_lthc_diab_A_35_34,TYP_lthc_diab_A_45_54,TYP_lthc_diab_A_55_64,TYP_lthc_diab_A_65_74,TYP_lthc_diab_A_75ov,TYP_lthc_diab_A_tot,TYP_lthc_hear_A_15_24,TYP_lthc_hear_A_25_34,TYP_lthc_hear_A_35_34,TYP_lthc_hear_A_45_54,TYP_lthc_hear_A_55_64,TYP_lthc_hear_A_65_74,TYP_lthc_hear_A_75ov,TYP_lthc_hear_A_tot,TYP_lthc_kidn_A_15_24,TYP_lthc_kidn_A_25_34,TYP_lthc_kidn_A_35_34,TYP_lthc_kidn_A_45_54,TYP_lthc_kidn_A_55_64,TYP_lthc_kidn_A_65_74,TYP_lthc_kidn_A_75ov,TYP_lthc_kidn_A_tot,TYP_lthc_lung_A_15_24,TYP_lthc_lung_A_25_34,TYP_lthc_lung_A_35_34,TYP_lthc_lung_A_45_54,TYP_lthc_lung_A_55_64,TYP_lthc_lung_A_65_74,TYP_lthc_lung_A_75ov,TYP_lthc_lung_A_tot,TYP_lthc_ment_A_15_24,TYP_lthc_ment_A_25_34,TYP_lthc_ment_A_35_34,TYP_lthc_ment_A_45_54,TYP_lthc_ment_A_55_64,TYP_lthc_ment_A_65_74,TYP_lthc_ment_A_75ov,TYP_lthc_ment_A_tot,TYP_lthc_stro_A_15_24,TYP_lthc_stro_A_25_34,TYP_lthc_stro_A_35_34,TYP_lthc_stro_A_45_54,TYP_lthc_stro_A_55_64,TYP_lthc_stro_A_65_74,TYP_lthc_stro_A_75ov,TYP_lthc_stro_A_tot,TYP_lthc_AO_lthc_A_15_24,TYP_lthc_AO_lthc_A_25_34,TYP_lthc_AO_lthc_A_35_34,TYP_lthc_AO_lthc_A_45_54,TYP_lthc_AO_lthc_A_55_64,TYP_lthc_AO_lthc_A_65_74,TYP_lthc_AO_lthc_A_75ov,TYP_lthc_AO_lthc_A_tot,TYP_lthc_NO_lthc_A_15_24,TYP_lthc_NO_lthc_A_25_34,TYP_lthc_NO_lthc_A_35_34,TYP_lthc_NO_lthc_A_45_54,TYP_lthc_NO_lthc_A_55_64,TYP_lthc_NO_lthc_A_65_74,TYP_lthc_NO_lthc_A_75ov,TYP_lthc_NO_lthc_A_tot,TYP_lthc_NS_A_15_24,TYP_lthc_NS_A_25_34,TYP_lthc_NS_A_35_34,TYP_lthc_NS_A_45_54,TYP_lthc_NS_A_55_64,TYP_lthc_NS_A_65_74,TYP_lthc_NS_A_75ov,TYP_lthc_NS_A_tot,TYP_lthc_Tot_A_15_24,TYP_lthc_Tot_A_25_34,TYP_lthc_Tot_A_35_34,TYP_lthc_Tot_A_45_54,TYP_lthc_Tot_A_55_64,TYP_lthc_Tot_A_65_74,TYP_lthc_Tot_A_75ov,TYP_lthc_Tot_A_tot,CNT_lthc_NONE_A_15_24,CNT_lthc_NONE_A_25_34,CNT_lthc_NONE_A_35_34,CNT_lthc_NONE_A_45_54,CNT_lthc_NONE_A_55_64,CNT_lthc_NONE_A_65_74,CNT_lthc_NONE_A_75ov,CNT_lthc_NONE_A_tot,CNT_lthc_ONE_A_15_24,CNT_lthc_ONE_A_25_34,CNT_lthc_ONE_A_35_34,CNT_lthc_ONE_A_45_54,CNT_lthc_ONE_A_55_64,CNT_lthc_ONE_A_65_74,CNT_lthc_ONE_A_75ov,CNT_lthc_ONE_A_tot,CNT_lthc_TWO_A_15_24,CNT_lthc_TWO_A_25_34,CNT_lthc_TWO_A_35_34,CNT_lthc_TWO_A_45_54,CNT_lthc_TWO_A_55_64,CNT_lthc_TWO_A_65_74,CNT_lthc_TWO_A_75ov,CNT_lthc_TWO_A_tot,CNT_lthc_THREEmo_A_15_24,CNT_lthc_THREEmo_A_25_34,CNT_lthc_THREEmo_A_35_34,CNT_lthc_THREEmo_A_45_54,CNT_lthc_THREEmo_A_55_64,CNT_lthc_THREEmo_A_65_74,CNT_lthc_THREEmo_A_75ov,CNT_lthc_THREEmo_A_tot,CNT_lthc_ONEmo_Tot_A_15_24,CNT_lthc_ONEmo_Tot_A_25_34,CNT_lthc_ONEmo_Tot_A_35_34,CNT_lthc_ONEmo_Tot_A_45_54,CNT_lthc_ONEmo_Tot_A_55_64,CNT_lthc_ONEmo_Tot_A_65_74,CNT_lthc_ONEmo_Tot_A_75ov,CNT_lthc_ONEmo_Tot_A_tot,CNT_lthc_NS_A_15_24,CNT_lthc_NS_Tot_A_25_34,CNT_lthc_NS_Tot_A_35_34,CNT_lthc_NS_Tot_A_45_54,CNT_lthc_NS_Tot_A_55_64,CNT_lthc_NS_Tot_A_65_74,CNT_lthc_NS_Tot_A_75ov,CNT_lthc_NS_Tot_A_tot,CNT_lthc_Tot_A_15_24,CNT_lthc_Tot_A_25_34,CNT_lthc_Tot_A_35_34,CNT_lthc_Tot_A_45_54,CNT_lthc_Tot_A_55_64,CNT_lthc_Tot_A_65_74,CNT_lthc_Tot_A_75ov,CNT_lthc_Tot_A_tot
LGA21270,9,9,7,44,89,43,15,220,26,44,44,59,56,19,3,254,0,4,5,12,29,23,12,92,0,0,0,0,0,0,0,0,5,6,8,22,56,22,0,116,0,0,4,6,26,19,3,68,0,0,3,4,7,4,5,17,0,3,0,3,13,0,0,21,20,41,47,58,43,13,0,220,0,0,0,5,9,5,4,15,10,15,22,33,46,9,8,138,243,275,250,367,357,150,21,1658,16,7,15,22,24,3,9,96,313,386,375,555,630,278,57,2590,248,284,263,373,377,154,19,1724,40,75,71,115,165,81,19,572,6,11,22,34,42,22,6,152,0,3,0,10,20,7,4,44,44,92,97,156,230,113,33,769,16,7,15,22,24,3,9,96,313,386,375,555,630,278,57,2590
LGA21370,12,60,113,298,543,236,69,1335,250,303,322,321,286,89,19,1599,4,9,26,99,143,66,25,377,0,0,0,0,4,0,0,8,14,56,67,136,226,102,28,634,7,13,18,72,155,117,41,429,0,6,6,14,35,14,11,96,0,6,12,23,54,31,11,142,232,331,332,346,271,55,8,1579,0,0,3,11,24,14,0,62,110,145,189,244,262,85,23,1057,1784,2050,1939,2253,1864,509,55,10459,110,76,91,119,134,42,10,584,2429,2867,2878,3522,3386,1089,207,16371,1853,2122,2051,2393,2018,547,55,11038,405,560,603,765,859,341,77,3606,55,95,110,196,270,116,36,873,3,19,25,53,102,46,21,273,464,671,737,1013,1228,498,136,4755,110,76,91,119,134,42,10,584,2429,2867,2878,3522,3386,1089,207,16371
LGA21450,31,99,232,488,644,234,66,1797,529,754,706,629,360,87,15,3082,10,27,65,135,228,106,31,597,0,3,0,0,7,0,5,12,30,79,178,280,358,145,36,1107,0,28,33,115,250,120,49,593,10,11,16,29,37,18,3,130,6,14,23,69,77,45,10,232,650,816,680,623,316,62,3,3144,0,9,16,36,32,16,9,116,276,380,419,465,360,98,17,2021,4335,5231,4586,3776,2318,581,78,20897,238,199,220,209,155,41,11,1073,5832,7175,6636,6050,4311,1251,226,31486,4505,5445,4835,4032,2505,628,87,22031,933,1259,1277,1347,1164,398,84,6470,153,241,261,369,355,126,38,1537,5,24,47,98,131,56,13,381,1094,1525,1583,1814,1649,578,133,8383,238,199,220,209,155,41,11,1073,5832,7175,6636,6050,4311,1251,226,31486
LGA21610,54,226,494,1116,1468,514,85,3956,1363,1847,1676,1424,873,234,27,7443,23,59,128,334,421,174,36,1180,4,0,0,11,10,5,8,31,75,166,531,904,1041,361,56,3137,30,53,113,312,569,284,70,1424,22,36,63,88,82,50,14,352,7,24,48,108,146,81,18,430,1428,1817,1545,1353,733,114,9,6994,0,14,20,70,95,43,8,256,665,966,1054,1317,971,256,20,5259,11601,14182,13847,9995,5901,1196,99,56826,526,493,520,574,370,78,15,2563,15215,18834,18809,15746,10716,2621,312,82257,12024,14756,14485,10798,6425,1302,105,59906,2328,2991,3124,3332,2791,808,100,15471,324,549,587,819,852,310,55,3482,13,49,99,230,287,119,36,836,2664,3580,3807,4378,3918,1238,189,19789,526,493,520,574,370,78,15,2563,15215,18834,18809,15746,10716,2621,312,82257
LGA21670,3,19,43,99,170,86,14,432,59,89,68,89,83,40,4,427,3,4,8,23,53,26,13,122,0,0,0,0,0,0,0,0,0,9,23,43,60,29,4,162,0,3,10,14,60,29,9,125,0,0,8,3,3,7,0,30,0,0,9,11,24,23,5,67,83,129,98,93,120,23,0,547,0,0,0,6,15,0,4,25,43,59,61,69,80,30,5,342,480,512,467,586,483,145,20,2689,22,32,21,33,35,14,6,161,653,774,721,947,950,332,60,4438,500,544,507,626,526,159,21,2880,112,159,144,208,253,99,21,994,21,37,43,70,94,40,12,313,0,10,7,14,42,20,5,99,131,205,195,290,395,159,31,1405,22,32,21,33,35,14,6,161,653,774,721,947,950,332,60,4438
LGA21750,6,29,64,147,275,153,28,696,142,201,216,177,145,47,7,942,0,3,22,36,72,50,17,197,0,0,0,0,0,0,3,4,7,21,36,82,105,55,13,322,3,5,12,36,98,65,27,243,0,0,0,11,20,7,0,46,0,3,5,14,40,22,6,89,150,205,222,211,118,25,4,941,0,6,9,8,22,10,10,48,69,92,117,134,159,54,13,647,1165,1613,1317,1387,1097,357,52,6988,77,57,47,91,74,15,4,368,1562,2109,1918,2115,1929,720,148,10496,1216,1661,1393,1450,1186,387,62,7343,229,325,393,439,486,237,54,2159,44,67,76,106,143,69,23,524,0,4,9,19,40,16,6,105,274,396,481,569,669,324,82,2780,77,57,47,91,74,15,4,368,1562,2109,1918,2115,1929,720,148,10496
LGA21830,7,10,42,99,211,112,38,520,94,140,127,141,129,48,13,690,0,5,9,42,65,41,9,176,0,0,0,0,0,0,0,0,7,19,30,61,85,55,20,270,0,8,9,29,77,68,31,220,0,3,9,5,16,5,0,47,0,0,6,18,25,21,4,73,81,148,132,134,104,32,6,640,0,0,0,11,10,6,0,28,35,54,62,96,106,29,9,392,711,837,885,1007,934,345,74,4797,47,34,36,55,53,26,4,245,959,1198,1260,1533,1582,644,167,7344,738,879,922,1066,986,349,82,5024,154,254,258,307,406,175,51,1605,25,25,47,81,109,66,21,368,0,4,6,19,38,22,10,99,174,291,311,407,546,268,78,2077,47,34,36,55,53,26,4,245,959,1198,1260,1533,1582,644,167,7344
LGA21890,44,118,276,596,988,396,68,2483,704,1277,1072,817,574,167,15,4632,14,60,100,228,325,148,24,904,0,3,0,0,4,4,0,13,33,113,249,449,618,234,34,1730,11,36,47,203,361,188,40,886,15,26,25,62,79,28,10,238,10,15,27,52,97,64,9,272,857,1748,1138,841,495,106,5,5190,0,4,14,45,50,29,7,163,346,786,776,833,790,225,20,3771,5601,9667,8540,7460,4550,1003,90,36916,255,297,283,424,278,70,13,1616,7509,13249,11792,11027,7986,2156,242,53965,5785,10085,9009,7976,5013,1121,94,39079,1269,2378,2107,2082,2004,670,89,10594,196,457,343,442,527,216,34,2215,10,32,49,107,164,79,22,457,1472,2869,2503,2629,2692,968,133,13268,255,297,283,424,278,70,13,1616,7509,13249,11792,11027,7986,2156,242,53965
LGA22110,13,60,119,290,588,284,62,1412,232,342,345,319,323,102,20,1690,5,13,40,85,180,109,24,456,0,0,0,0,0,3,0,7,20,28,60,144,249,120,26,653,3,8,24,75,210,141,44,509,9,6,10,21,23,26,5,95,3,5,15,38,100,58,15,234,261,390,394,403,345,64,4,1866,0,0,12,17,29,32,3,98,91,174,206,253,337,122,22,1208,1703,2090,2125,2364,2181,688,126,11270,77,102,72,135,107,53,13,563,2321,3000,3099,3692,3912,1450,293,17762,1762,2191,2235,2515,2354,751,135,11947,405,578,614,777,1003,432,95,3901,69,118,146,201,315,159,30,1045,4,15,27,65,129,54,14,301,479,709,793,1040,1447,644,141,5252,77,102,72,135,107,53,13,563,2321,3000,3099,3692,3912,1450,293,17762
LGA22170,42,160,337,819,1139,464,67,3030,788,1247,1172,1019,709,207,23,5165,19,48,126,240,384,182,37,1026,0,0,0,4,3,0,6,13,50,112,226,483,617,219,53,1761,19,37,59,223,379,201,68,993,12,21,31,59,67,29,6,237,6,18,23,82,155,65,15,367,1012,1410,1269,1127,688,92,6,5605,6,4,20,44,67,25,16,183,435,677,819,907,748,207,24,3814,6075,8053,7598,6780,4346,991,91,33941,312,302,345,408,298,67,13,1736,8329,11305,11123,10786,8081,2154,273,52045,6333,8420,8094,7292,4752,1102,103,36087,1421,2154,2167,2300,2146,627,84,10898,256,399,467,599,656,262,48,2666,11,38,52,189,235,105,31,658,1686,2588,2685,3083,3035,990,160,14221,312,302,345,408,298,67,13,1736,8329,11305,11123,10786,8081,2154,273,52045
