POW_LGA_CODE_2021,Tot_800_999_H_0,Tot_800_999_H_1_19,Tot_800_999_H_20_29,Tot_800_999_H_30_34,Tot_800_999_H_35_39,Tot_800_999_H_40_44,Tot_800_999_H_45_49,Tot_800_999_H_50ov,Tot_800_999_H_NS,Tot_800_999_H_Tot,Tot_1000_1249_H_0,Tot_1000_1249_H_1_19,Tot_1000_1249_H_20_29,Tot_1000_1249_H_30_34,Tot_1000_1249_H_35_39,Tot_1000_1249_H_40_44,Tot_1000_1249_H_45_49,Tot_1000_1249_H_50ov,Tot_1000_1249_H_NS,Tot_1000_1249_H_Tot,Tot_1250_1499_H_0,Tot_1250_1499_H_1_19,Tot_1250_1499_H_20_29,Tot_1250_1499_H_30_34,Tot_1250_1499_H_35_39,Tot_1250_1499_H_40_44,Tot_1250_1499_H_45_49,Tot_1250_1499_H_50ov,Tot_1250_1499_H_NS,Tot_1250_1499_H_Tot,Tot_1500_1749_H_0,Tot_1500_1749_H_1_19,Tot_1500_1749_H_20_29,Tot_1500_1749_H_30_34,Tot_1500_1749_H_35_39,Tot_1500_1749_H_40_44,Tot_1500_1749_H_45_49,Tot_1500_1749_H_50ov,Tot_1500_1749_H_NS,Tot_1500_1749_H_Tot,Tot_1750_1999_H_0,Tot_1750_1999_H_1_19,Tot_1750_1999_H_20_29,Tot_1750_1999_H_30_34,Tot_1750_1999_H_35_39,Tot_1750_1999_H_40_44,Tot_1750_1999_H_45_49,Tot_1750_1999_H_50ov,Tot_1750_1999_H_NS,Tot_1750_1999_H_Tot,Tot_2000_2999_H_0,Tot_2000_2999_H_1_19,Tot_2000_2999_H_20_29,Tot_2000_2999_H_30_34,Tot_2000_2999_H_35_39,Tot_2000_2999_H_40_44,Tot_2000_2999_H_45_49,Tot_2000_2999_H_50ov,Tot_2000_2999_H_NS,Tot_2000_2999_H_Tot,Tot_3000_3499_H_0,Tot_3000_3499_H_1_19,Tot_3000_3499_H_20_29,Tot_3000_3499_H_30_34,Tot_3000_3499_H_35_39,Tot_3000_3499_H_40_44,Tot_3000_3499_H_45_49,Tot_3000_3499_H_50ov,Tot_3000_3499_H_NS,Tot_3000_3499_H_Tot,Tot_3500mo_H_0,Tot_3500mo_H_1_19,Tot_3500mo_H_20_29,Tot_3500mo_H_30_34,Tot_3500mo_H_35_39,Tot_3500mo_H_40_44,Tot_3500mo_H_45_49,Tot_3500mo_H_50ov,Tot_3500mo_H_NS,Tot_3500mo_H_Tot,Tot_PINS_H_0,Tot_PINS_H_1_19,Tot_PINS_H_20_29,Tot_PINS_H_30_34,Tot_PINS_H_35_39,Tot_PINS_H_40_44,Tot_PINS_H_45_49,Tot_PINS_H_50ov,Tot_PINS_H_NS,Tot_PINS_H_Tot,Tot_Tot_H_0,Tot_Tot_H_1_19,Tot_Tot_H_20_29,Tot_Tot_H_30_34,Tot_Tot_H_35_39,Tot_Tot_H_40_44,Tot_Tot_H_45_49,Tot_Tot_H_50ov,Tot_Tot_H_NS,Tot_Tot_H_Tot
LGA24650,185,393,718,607,1561,953,145,198,80,4845,186,290,520,463,1688,1453,315,405,101,5416,131,145,251,275,1133,1280,348,523,63,4154,103,78,128,178,767,1133,306,577,40,3317,76,71,76,97,433,761,259,447,25,2241,81,69,69,63,499,972,326,853,31,2958,14,14,29,28,69,130,66,184,5,531,20,27,28,29,76,189,68,256,10,692,22,47,25,27,57,78,16,29,158,449,1778,6293,4928,2848,7462,7771,2008,3776,816,37682
LGA24780,122,206,410,399,1231,705,145,244,71,3528,121,138,281,310,1271,974,238,362,68,3765,71,87,145,201,691,679,189,326,38,2433,92,70,80,133,534,584,166,384,37,2088,60,30,38,86,260,368,120,306,16,1291,54,37,41,61,336,503,189,486,20,1741,10,8,11,14,21,66,34,119,0,278,17,29,14,12,50,104,47,181,7,467,13,29,35,21,41,38,9,44,102,338,1139,3213,2699,2048,5370,4649,1250,2872,649,23895
LGA24850,68,138,242,241,469,317,67,105,24,1667,78,101,169,162,526,510,121,203,30,1902,53,55,96,119,368,395,114,192,22,1414,62,38,51,86,271,349,116,251,17,1241,34,16,30,48,143,255,82,171,15,786,46,32,28,34,176,350,139,340,11,1157,9,6,10,4,14,51,23,69,5,189,8,10,10,15,17,54,19,110,5,250,15,26,19,5,19,18,7,10,75,190,734,2377,1773,1147,2369,2595,760,1639,306,13705
LGA24900,63,84,179,212,469,333,65,162,33,1610,45,94,122,185,423,461,129,253,22,1744,48,44,58,88,224,346,121,193,16,1137,26,33,36,67,170,257,90,176,14,876,22,22,16,28,83,160,78,164,3,573,35,13,22,22,96,173,136,272,10,786,0,4,5,4,18,39,7,54,0,148,4,9,8,5,20,41,15,73,3,180,8,19,10,25,21,16,10,28,41,170,570,1640,1295,1022,1925,2190,735,1751,286,11409
LGA24970,482,1143,1974,1560,3684,2099,375,372,194,11877,484,897,1693,1722,5266,3770,645,779,205,15462,411,440,920,1137,4263,3824,779,933,124,12835,392,363,571,883,3602,3865,938,1232,89,11942,281,209,300,525,2517,3148,779,1260,58,9084,460,314,360,539,3638,5659,1839,3286,64,16165,85,77,102,100,527,1204,468,1103,19,3690,107,140,174,194,577,1515,697,2362,40,5816,33,95,79,57,165,175,32,84,375,1086,4908,15646,13147,9006,26599,26846,6793,11949,1795,116697
LGA25060,199,479,836,606,1367,725,127,173,74,4581,204,372,608,533,1553,1081,239,368,70,5027,146,189,330,339,1208,1036,263,348,40,3895,129,128,204,260,1030,1026,290,439,35,3538,89,90,115,166,634,766,237,377,31,2504,145,126,155,165,834,1386,484,928,41,4264,20,40,33,44,146,264,101,294,10,940,26,75,90,81,162,359,151,609,16,1567,18,48,42,16,63,58,16,27,161,445,2292,7516,5568,3195,8041,7332,2002,3867,715,40540
LGA25150,39,107,208,185,294,251,55,90,32,1264,49,76,133,132,342,328,71,132,26,1279,39,34,77,86,250,218,75,151,20,940,30,39,33,59,148,208,63,198,12,792,14,14,23,32,101,131,58,110,9,483,25,21,22,33,100,214,78,240,10,744,0,3,3,3,7,44,13,59,0,145,3,10,15,7,23,38,24,92,5,218,3,20,10,0,14,12,3,28,33,122,508,1815,1310,824,1601,1707,485,1270,238,9746
LGA25250,235,619,1019,785,1555,918,145,253,83,5614,210,447,749,760,1760,1391,254,398,74,6033,147,216,376,487,1305,1161,303,391,45,4438,133,146,230,317,1136,974,279,499,37,3751,98,74,144,178,669,814,193,434,21,2613,115,120,152,213,732,1181,406,835,25,3781,11,39,36,48,110,233,87,250,14,823,24,45,50,62,116,284,122,482,15,1200,17,58,40,28,59,75,10,42,160,487,2153,8013,6652,4093,8700,7970,1940,3986,758,44261
LGA25340,409,861,1253,1064,2005,1325,232,420,115,7688,367,592,919,949,2138,1950,381,590,106,7986,238,346,466,545,1371,1465,428,605,55,5504,174,253,334,386,1029,1334,408,696,43,4648,132,125,191,211,602,913,345,608,42,3156,176,214,227,240,752,1449,599,1212,47,4910,28,62,68,62,104,224,102,280,5,940,42,110,145,96,157,406,156,598,16,1731,36,77,62,41,88,88,22,59,209,681,3829,11400,8358,5266,9808,10274,2870,5602,1061,58473
LGA25430,53,121,179,142,211,271,52,62,21,1107,58,68,136,124,225,349,68,127,13,1174,30,39,85,86,119,205,49,79,10,700,21,33,30,68,112,195,41,112,8,629,24,23,17,34,69,142,30,67,5,407,26,24,20,33,82,170,64,134,3,561,5,4,5,3,12,15,16,21,3,80,0,5,9,7,16,38,10,56,0,151,0,9,7,4,9,12,3,9,28,83,416,1415,1074,748,1085,1633,372,781,140,7670
